occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,2.36,-1.24,100.00,100.00,1.80,100.00,98.20
Sales manager,Marketing manager,33.1,62.4,96.46,0.23,-2.90,97.50,100.00,1.56,98.75,97.21
Project management specialist,Training and development specialist,47.3,56.7,96.32,-0.07,-0.97,100.00,100.00,0.45,100.00,99.55
Project management specialist,Marketing specialist,47.3,61.7,96.15,-0.28,-0.47,100.00,100.00,0.10,100.00,99.90
Project management specialist,Marketing manager,47.3,62.4,95.99,-1.86,1.05,100.00,100.00,-1.46,100.00,98.54
Information security analyst,Operations research analyst,19.3,55.0,95.42,0.86,1.34,100.00,100.00,-0.24,100.00,99.76
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,1.56,2.45,100.00,95.00,-0.45,97.50,97.07
Management analyst,Marketing manager,46.6,62.4,94.88,-0.29,0.25,100.00,100.00,-0.27,100.00,99.73
Sales manager,Public relations manager,33.1,66.4,94.60,1.45,-2.29,100.00,97.50,1.87,98.75,96.90
Management analyst,Marketing specialist,46.6,61.7,94.50,1.83,-2.11,100.00,100.00,1.97,100.00,98.03
Sales manager,Human resources manager,33.1,76.5,94.40,1.58,-2.54,100.00,90.00,2.06,95.00,93.04
Sales manager,Marketing specialist,33.1,61.7,94.34,2.89,-4.42,100.00,100.00,3.66,100.00,96.34
Training and development manager,Marketing manager,48.0,62.4,94.32,-0.67,-0.15,100.00,100.00,-0.26,100.00,99.74
Training and development manager,Administrative services manager,48.0,74.0,94.24,-0.80,1.29,100.00,100.00,-1.05,100.00,98.95
Project management specialist,Administrative services manager,47.3,74.0,94.20,-1.97,2.08,100.00,100.00,-2.02,100.00,97.98
Purchasing manager,Financial manager,47.7,56.2,94.07,2.28,0.21,97.50,100.00,1.03,98.75,97.73
Management analyst,Financial manager,46.6,56.2,94.00,-0.63,3.84,100.00,100.00,-2.24,100.00,97.76
Sales manager,Financial manager,33.1,56.2,93.76,0.66,-0.29,100.00,100.00,0.48,100.00,99.52
Training and development manager,Human resources manager,48.0,76.5,93.69,-0.65,-0.23,100.00,100.00,-0.21,100.00,99.79
Project management specialist,Public relations manager,47.3,66.4,93.13,-1.03,0.90,100.00,100.00,-0.97,100.00,99.03
Management analyst,Operations research analyst,46.6,55.0,92.92,0.20,2.24,100.00,100.00,-1.02,100.00,98.98
Management analyst,Public relations manager,46.6,66.4,92.91,0.61,0.11,100.00,100.00,0.25,100.00,99.75
Purchasing manager,Human resources manager,47.7,76.5,92.77,2.84,-2.46,100.00,95.00,2.65,97.50,94.92
Training and development manager,Public relations manager,48.0,66.4,92.59,-0.02,0.10,100.00,100.00,-0.06,100.00,99.94
Purchasing manager,Marketing manager,47.7,62.4,92.52,2.65,-2.16,100.00,100.00,2.40,100.00,97.60
Project management specialist,Human resources manager,47.3,76.5,92.47,-1.32,0.71,100.00,100.00,-1.01,100.00,98.99
Purchasing manager,Public relations manager,47.7,66.4,92.38,3.11,-2.04,100.00,100.00,2.57,100.00,97.43
Management analyst,Human resources manager,46.6,76.5,92.37,0.18,-0.27,100.00,100.00,0.22,100.00,99.78
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,2.72,-1.12,95.00,100.00,1.92,97.50,95.63
Financial and investment analyst,Financial manager,43.9,56.2,92.25,-1.72,2.11,100.00,100.00,-1.92,100.00,98.08
Project management specialist,Human resources worker,47.3,76.5,92.21,-0.49,0.98,100.00,100.00,-0.74,100.00,99.26
Facilities manager,Human resources manager,23.4,76.5,92.06,3.47,-2.71,100.00,100.00,3.09,100.00,96.91
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,3.02,-4.98,100.00,97.50,4.00,98.75,94.80
Training and development manager,Marketing specialist,48.0,61.7,91.94,1.77,-1.75,100.00,100.00,1.76,100.00,98.24
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,2.83,-0.88,97.50,100.00,1.86,98.75,96.92
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,3.45,-1.67,100.00,100.00,2.56,100.00,97.44
Management analyst,Human resources worker,46.6,76.5,91.64,0.87,-0.48,100.00,100.00,0.67,100.00,99.33
Training and development manager,Human resources worker,48.0,76.5,91.58,0.95,0.15,100.00,100.00,0.40,100.00,99.60
Project management specialist,Operations research analyst,47.3,55.0,91.31,-1.68,1.91,100.00,100.00,-1.80,100.00,98.20
Project management specialist,Financial manager,47.3,56.2,91.15,-2.79,3.63,100.00,100.00,-3.21,100.00,96.79
Sales manager,Human resources worker,33.1,76.5,91.09,2.20,-2.73,100.00,97.50,2.47,98.75,96.31
Facilities manager,Marketing manager,23.4,62.4,90.92,3.22,-1.76,100.00,100.00,2.49,100.00,97.51
Facilities manager,Administrative services manager,23.4,74.0,90.81,2.92,-1.76,100.00,100.00,2.34,100.00,97.66
