occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,0.00,0.00,0.00,0.00,0.00
Sales manager,Marketing manager,33.1,62.4,27.50,0.00,2.50,13.75,13.41
Project management specialist,Training and development specialist,47.3,56.7,2.50,0.00,1.25,1.25,1.23
Project management specialist,Marketing specialist,47.3,61.7,0.00,5.00,1.25,2.50,2.47
Project management specialist,Marketing manager,47.3,62.4,0.00,0.00,0.00,0.00,0.00
Information security analyst,Operations research analyst,19.3,55.0,27.50,15.00,-7.50,21.25,19.66
Financial and investment analyst,Operations research analyst,43.9,55.0,27.50,7.50,-8.75,17.50,15.97
Management analyst,Marketing manager,46.6,62.4,0.00,7.50,-2.50,3.75,3.66
Sales manager,Public relations manager,33.1,66.4,37.50,0.00,5.00,18.75,17.81
Management analyst,Marketing specialist,46.6,61.7,0.00,0.00,-1.25,0.00,0.00
Sales manager,Human resources manager,33.1,76.5,35.00,0.00,6.25,17.50,16.41
Sales manager,Marketing specialist,33.1,61.7,27.50,0.00,8.75,13.75,12.55
Training and development manager,Marketing manager,48.0,62.4,0.00,5.00,-2.50,2.50,2.44
Training and development manager,Administrative services manager,48.0,74.0,0.00,5.00,0.00,2.50,2.50
Project management specialist,Administrative services manager,47.3,74.0,0.00,2.50,1.25,1.25,1.23
Purchasing manager,Financial manager,47.7,56.2,2.50,37.50,2.50,20.00,19.50
Management analyst,Financial manager,46.6,56.2,0.00,22.50,-3.75,11.25,10.83
Sales manager,Financial manager,33.1,56.2,12.50,27.50,-5.00,20.00,19.00
Training and development manager,Human resources manager,48.0,76.5,0.00,0.00,0.00,0.00,0.00
Project management specialist,Public relations manager,47.3,66.4,2.50,0.00,1.25,1.25,1.23
Management analyst,Operations research analyst,46.6,55.0,2.50,0.00,-2.50,1.25,1.22
Management analyst,Public relations manager,46.6,66.4,2.50,0.00,0.00,1.25,1.25
Purchasing manager,Human resources manager,47.7,76.5,10.00,0.00,1.25,5.00,4.94
Training and development manager,Public relations manager,48.0,66.4,0.00,0.00,0.00,0.00,0.00
Purchasing manager,Marketing manager,47.7,62.4,7.50,17.50,2.50,12.50,12.19
Project management specialist,Human resources manager,47.3,76.5,0.00,0.00,0.00,0.00,0.00
Purchasing manager,Public relations manager,47.7,66.4,15.00,0.00,3.75,7.50,7.22
Management analyst,Human resources manager,46.6,76.5,0.00,0.00,0.00,0.00,0.00
Architectural and engineering manager,Marketing manager,12.8,62.4,7.50,12.50,10.00,10.00,9.00
Financial and investment analyst,Financial manager,43.9,56.2,0.00,20.00,-7.50,10.00,9.25
Project management specialist,Human resources worker,47.3,76.5,2.50,0.00,1.25,1.25,1.23
Facilities manager,Human resources manager,23.4,76.5,2.50,0.00,1.25,1.25,1.23
Architectural and engineering manager,Training and development specialist,12.8,56.7,25.00,2.50,10.00,13.75,12.38
Training and development manager,Marketing specialist,48.0,61.7,0.00,0.00,0.00,0.00,0.00
Architectural and engineering manager,Administrative services manager,12.8,74.0,7.50,15.00,12.50,11.25,9.84
Architectural and engineering manager,Human resources manager,12.8,76.5,10.00,5.00,11.25,7.50,6.66
Management analyst,Human resources worker,46.6,76.5,5.00,0.00,1.25,2.50,2.47
Training and development manager,Human resources worker,48.0,76.5,0.00,0.00,0.00,0.00,0.00
Project management specialist,Operations research analyst,47.3,55.0,0.00,0.00,-1.25,0.00,0.00
Project management specialist,Financial manager,47.3,56.2,0.00,20.00,-6.25,10.00,9.38
Sales manager,Human resources worker,33.1,76.5,42.50,0.00,6.25,21.25,19.92
Facilities manager,Marketing manager,23.4,62.4,0.00,10.00,3.75,5.00,4.81
Facilities manager,Administrative services manager,23.4,74.0,0.00,5.00,3.75,2.50,2.41
Sales manager,Administrative services manager,33.1,74.0,35.00,5.00,10.00,20.00,18.00
Management analyst,Administrative services manager,46.6,74.0,0.00,0.00,0.00,0.00,0.00
Purchasing manager,Human resources worker,47.7,76.5,15.00,0.00,3.75,7.50,7.22
Management analyst,Training and development specialist,46.6,56.7,2.50,0.00,0.00,1.25,1.25
Architectural and engineering manager,Public relations manager,12.8,66.4,12.50,17.50,15.00,15.00,12.75
Financial and investment analyst,Training and development specialist,43.9,56.7,47.50,0.00,1.25,23.75,23.45
Facilities manager,Public relations manager,23.4,66.4,5.00,0.00,2.50,2.50,2.44
Sales manager,Training and development specialist,33.1,56.7,37.50,0.00,10.00,18.75,16.88
Financial and investment analyst,Administrative services manager,43.9,74.0,15.00,5.00,5.00,10.00,9.50
Architectural and engineering manager,Financial manager,12.8,56.2,10.00,67.50,0.00,38.75,38.75
Purchasing manager,Marketing specialist,47.7,61.7,12.50,2.50,10.00,7.50,6.75
Training and development manager,Financial manager,48.0,56.2,0.00,25.00,-3.75,12.50,12.03
Sales manager,Advertising sales agent,33.1,52.7,20.00,0.00,1.52,10.00,9.85
Management analyst,Accountant,46.6,57.0,0.00,20.00,-6.25,10.00,9.38
Industrial production manager,Human resources manager,19.1,76.5,2.50,12.50,11.25,7.50,6.66
Facilities manager,Social and community service manager,23.4,71.7,12.50,0.00,7.50,6.25,5.78
Purchasing manager,Administrative services manager,47.7,74.0,5.00,5.00,3.75,5.00,4.81
Industrial production manager,Financial manager,19.1,56.2,2.50,72.50,3.75,37.50,36.09
Operation manager,Financial manager,37.1,56.2,7.50,40.00,-1.25,23.75,23.45
Industrial production manager,Human resources worker,19.1,76.5,2.50,0.00,3.75,1.25,1.20
Sales manager,Insurance sales agent,33.1,54.9,17.50,0.00,3.23,8.75,8.47
Architectural and engineering manager,Marketing specialist,12.8,61.7,12.50,7.50,10.00,10.00,9.00
Postsecondary teacher,Secondary school teacher,46.6,56.9,7.50,6.67,0.00,7.08,7.08
Facilities manager,Human resources worker,23.4,76.5,2.50,0.00,2.50,1.25,1.22
Software developer,Marketing specialist,20.2,61.7,20.00,0.00,6.25,10.00,9.38
Industrial production manager,Marketing manager,19.1,62.4,2.50,27.50,3.75,15.00,14.44
Facilities manager,Training and development specialist,23.4,56.7,5.00,0.00,2.50,2.50,2.44
Software developer,Operations research analyst,20.2,55.0,7.50,0.00,0.00,3.75,3.75
Web and digital interface designer,Marketing specialist,42.7,61.7,5.00,0.00,1.25,2.50,2.47
Information security analyst,Administrative services manager,19.3,74.0,15.00,12.50,-3.75,13.75,13.23
Industrial production manager,Operations research analyst,19.1,55.0,7.50,0.00,1.25,3.75,3.70
Facilities manager,Financial manager,23.4,56.2,0.00,35.00,3.75,17.50,16.84
Financial and investment analyst,Marketing manager,43.9,62.4,15.00,5.00,2.50,10.00,9.75
Industrial production manager,Public relations manager,19.1,66.4,2.50,20.00,8.75,11.25,10.27
Project management specialist,Public relations specialist,47.3,76.2,2.50,0.00,1.25,1.25,1.23
Industrial production manager,Administrative services manager,19.1,74.0,2.50,45.00,12.50,23.75,20.78
Facilities manager,Marketing specialist,23.4,61.7,0.00,5.00,1.25,2.50,2.47
Financial and investment analyst,Marketing specialist,43.9,61.7,15.00,2.50,6.25,8.75,8.20
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,0.00,0.00,0.00,0.00,0.00
Operation manager,Marketing manager,37.1,62.4,7.50,25.00,1.25,16.25,16.05
Industrial production manager,Training and development specialist,19.1,56.7,7.50,2.50,6.25,5.00,4.69
Purchasing manager,Accountant,47.7,57.0,2.50,32.50,3.75,17.50,16.84
Financial and investment analyst,Insurance underwriter,43.9,56.9,15.00,5.00,8.75,10.00,9.12
Financial and investment analyst,Public relations manager,43.9,66.4,17.50,2.50,3.75,10.00,9.62
Chemical engineer,Medical scientist,21.6,51.8,2.50,36.84,1.28,19.67,19.42
Operation manager,Human resources manager,37.1,76.5,12.50,0.00,1.25,6.25,6.17
Architectural and engineering manager,Human resources worker,12.8,76.5,10.00,2.50,6.25,6.25,5.86
Operation manager,Public relations manager,37.1,66.4,15.00,0.00,0.00,7.50,7.50
Training and development manager,Social and community service manager,48.0,71.7,2.50,0.00,0.00,1.25,1.25
Financial and investment analyst,Accountant,43.9,57.0,20.00,37.50,-6.25,28.75,26.95
Financial and investment analyst,Human resources manager,43.9,76.5,17.50,2.50,2.50,10.00,9.75
Training and development manager,Insurance claims and policy processing clerk,48.0,80.1,0.00,0.00,0.00,0.00,0.00
Purchasing manager,Training and development specialist,47.7,56.7,15.00,0.00,3.75,7.50,7.22
Web developer,Graphic designer,19.4,54.7,20.00,21.62,-1.30,20.81,20.54
