occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,-0.54,-2.76,0.00,0.00,1.11,0.00,0.00
Sales manager,Marketing manager,33.1,62.4,96.46,1.42,0.30,27.50,0.00,0.56,13.75,13.67
Project management specialist,Training and development specialist,47.3,56.7,96.32,0.08,-1.78,2.50,0.00,0.93,1.25,1.24
Project management specialist,Marketing specialist,47.3,61.7,96.15,0.14,-1.59,0.00,5.00,0.86,2.50,2.48
Project management specialist,Marketing manager,47.3,62.4,95.99,-0.44,0.90,0.00,0.00,-0.67,0.00,0.00
Information security analyst,Operations research analyst,19.3,55.0,95.42,-3.90,0.36,27.50,15.00,-2.13,21.25,20.80
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,-2.02,0.17,27.50,7.50,-1.10,17.50,17.31
Management analyst,Marketing manager,46.6,62.4,94.88,-0.66,1.22,0.00,7.50,-0.94,3.75,3.71
Sales manager,Public relations manager,33.1,66.4,94.60,1.89,-1.31,37.50,0.00,1.60,18.75,18.45
Management analyst,Marketing specialist,46.6,61.7,94.50,1.23,-1.83,0.00,0.00,1.53,0.00,0.00
Sales manager,Human resources manager,33.1,76.5,94.40,1.89,-2.19,35.00,0.00,2.04,17.50,17.14
Sales manager,Marketing specialist,33.1,61.7,94.34,3.22,-2.61,27.50,0.00,2.92,13.75,13.35
Training and development manager,Marketing manager,48.0,62.4,94.32,-0.28,0.94,0.00,5.00,-0.61,2.50,2.48
Training and development manager,Administrative services manager,48.0,74.0,94.24,0.23,0.24,0.00,5.00,-0.00,2.50,2.50
Project management specialist,Administrative services manager,47.3,74.0,94.20,0.09,0.55,0.00,2.50,-0.23,1.25,1.25
Purchasing manager,Financial manager,47.7,56.2,94.07,-1.06,-0.75,2.50,37.50,-0.15,20.00,19.97
Management analyst,Financial manager,46.6,56.2,94.00,-3.88,0.61,0.00,22.50,-2.24,11.25,11.00
Sales manager,Financial manager,33.1,56.2,93.76,-0.76,0.26,12.50,27.50,-0.51,20.00,19.90
Training and development manager,Human resources manager,48.0,76.5,93.69,0.51,-0.71,0.00,0.00,0.61,0.00,0.00
Project management specialist,Public relations manager,47.3,66.4,93.13,0.80,0.03,2.50,0.00,0.39,1.25,1.25
Management analyst,Operations research analyst,46.6,55.0,92.92,-2.64,0.76,2.50,0.00,-1.70,1.25,1.23
Management analyst,Public relations manager,46.6,66.4,92.91,0.66,-0.83,2.50,0.00,0.75,1.25,1.24
Purchasing manager,Human resources manager,47.7,76.5,92.77,1.57,-3.43,10.00,0.00,2.50,5.00,4.87
Training and development manager,Public relations manager,48.0,66.4,92.59,0.76,0.14,0.00,0.00,0.31,0.00,0.00
Purchasing manager,Marketing manager,47.7,62.4,92.52,1.31,-0.81,7.50,17.50,1.06,12.50,12.37
Project management specialist,Human resources manager,47.3,76.5,92.47,0.68,-0.70,0.00,0.00,0.69,0.00,0.00
Purchasing manager,Public relations manager,47.7,66.4,92.38,2.08,-2.69,15.00,0.00,2.38,7.50,7.32
Management analyst,Human resources manager,46.6,76.5,92.37,1.40,-0.97,0.00,0.00,1.18,0.00,0.00
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,4.78,-3.06,7.50,12.50,3.92,10.00,9.61
Financial and investment analyst,Financial manager,43.9,56.2,92.25,-0.92,1.37,0.00,20.00,-1.15,10.00,9.89
Project management specialist,Human resources worker,47.3,76.5,92.21,0.94,-1.53,2.50,0.00,1.24,1.25,1.23
Facilities manager,Human resources manager,23.4,76.5,92.06,3.22,-3.56,2.50,0.00,3.39,1.25,1.21
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,7.99,-4.98,25.00,2.50,6.48,13.75,12.86
Training and development manager,Marketing specialist,48.0,61.7,91.94,1.45,-1.62,0.00,0.00,1.54,0.00,0.00
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,4.99,-4.10,7.50,15.00,4.54,11.25,10.74
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,5.71,-4.63,10.00,5.00,5.17,7.50,7.11
Management analyst,Human resources worker,46.6,76.5,91.64,1.71,-1.85,5.00,0.00,1.78,2.50,2.46
Training and development manager,Human resources worker,48.0,76.5,91.58,1.86,-2.06,0.00,0.00,1.96,0.00,0.00
Project management specialist,Operations research analyst,47.3,55.0,91.31,-2.15,1.77,0.00,0.00,-1.96,0.00,0.00
Project management specialist,Financial manager,47.3,56.2,91.15,-2.35,2.21,0.00,20.00,-2.28,10.00,9.77
Sales manager,Human resources worker,33.1,76.5,91.09,2.94,-2.78,42.50,0.00,2.86,21.25,20.64
Facilities manager,Marketing manager,23.4,62.4,90.92,2.35,-1.71,0.00,10.00,2.03,5.00,4.90
Facilities manager,Administrative services manager,23.4,74.0,90.81,2.75,-2.97,0.00,5.00,2.86,2.50,2.43
Sales manager,Administrative services manager,33.1,74.0,90.73,2.00,-1.41,35.00,5.00,1.70,20.00,19.66
Management analyst,Administrative services manager,46.6,74.0,90.68,0.24,-0.80,0.00,0.00,0.52,0.00,0.00
Purchasing manager,Human resources worker,47.7,76.5,90.36,3.21,-4.08,15.00,0.00,3.64,7.50,7.23
Management analyst,Training and development specialist,46.6,56.7,90.32,1.55,-1.83,2.50,0.00,1.69,1.25,1.23
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,5.33,-4.58,12.50,17.50,4.96,15.00,14.26
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,2.30,-2.20,47.50,0.00,2.25,23.75,23.22
Facilities manager,Public relations manager,23.4,66.4,90.26,4.32,-3.05,5.00,0.00,3.69,2.50,2.41
Sales manager,Training and development specialist,33.1,56.7,90.18,3.09,-2.13,37.50,0.00,2.61,18.75,18.26
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,1.68,-2.29,15.00,5.00,1.99,10.00,9.80
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,2.03,-1.26,10.00,67.50,1.65,38.75,38.11
Purchasing manager,Marketing specialist,47.7,61.7,90.08,3.65,-4.08,12.50,2.50,3.86,7.50,7.21
Training and development manager,Financial manager,48.0,56.2,90.06,-2.10,2.09,0.00,25.00,-2.09,12.50,12.24
Sales manager,Advertising sales agent,33.1,52.7,89.99,2.24,0.24,20.00,0.00,1.00,10.00,9.90
Management analyst,Accountant,46.6,57.0,89.84,-1.26,1.83,0.00,20.00,-1.55,10.00,9.85
Industrial production manager,Human resources manager,19.1,76.5,89.80,2.38,-3.72,2.50,12.50,3.05,7.50,7.27
Facilities manager,Social and community service manager,23.4,71.7,89.67,4.71,-1.56,12.50,0.00,3.14,6.25,6.05
Purchasing manager,Administrative services manager,47.7,74.0,89.51,1.93,-2.49,5.00,5.00,2.21,5.00,4.89
Industrial production manager,Financial manager,19.1,56.2,89.51,0.28,-0.63,2.50,72.50,0.45,37.50,37.33
Operation manager,Financial manager,37.1,56.2,89.31,-1.48,0.66,7.50,40.00,-1.07,23.75,23.49
Industrial production manager,Human resources worker,19.1,76.5,89.29,3.26,-4.04,2.50,0.00,3.65,1.25,1.20
Sales manager,Insurance sales agent,33.1,54.9,89.13,1.63,-0.55,17.50,0.00,1.09,8.75,8.65
Architectural and engineering manager,Marketing specialist,12.8,61.7,89.09,7.63,-6.43,12.50,7.50,7.03,10.00,9.30
Postsecondary teacher,Secondary school teacher,46.6,56.9,89.04,0.24,-2.23,7.50,6.67,1.23,7.08,7.00
Facilities manager,Human resources worker,23.4,76.5,88.96,5.06,-3.73,2.50,0.00,4.40,1.25,1.20
Software developer,Marketing specialist,20.2,61.7,88.94,4.52,-2.73,20.00,0.00,3.62,10.00,9.64
Industrial production manager,Marketing manager,19.1,62.4,88.93,1.91,-1.54,2.50,27.50,1.72,15.00,14.74
Facilities manager,Training and development specialist,23.4,56.7,88.90,4.51,-3.56,5.00,0.00,4.03,2.50,2.40
Software developer,Operations research analyst,20.2,55.0,88.88,2.01,-0.47,7.50,0.00,1.24,3.75,3.70
Web and digital interface designer,Marketing specialist,42.7,61.7,88.62,1.27,-2.93,5.00,0.00,2.10,2.50,2.45
Information security analyst,Administrative services manager,19.3,74.0,88.53,-0.55,-1.23,15.00,12.50,0.34,13.75,13.70
Industrial production manager,Operations research analyst,19.1,55.0,88.39,1.27,-1.03,7.50,0.00,1.15,3.75,3.71
Facilities manager,Financial manager,23.4,56.2,88.37,-0.26,-0.62,0.00,35.00,0.18,17.50,17.47
Financial and investment analyst,Marketing manager,43.9,62.4,88.36,1.02,-1.10,15.00,5.00,1.06,10.00,9.89
Industrial production manager,Public relations manager,19.1,66.4,88.35,2.78,-3.10,2.50,20.00,2.94,11.25,10.92
Project management specialist,Public relations specialist,47.3,76.2,88.35,2.34,-2.56,2.50,0.00,2.45,1.25,1.22
Industrial production manager,Administrative services manager,19.1,74.0,88.30,2.13,-3.19,2.50,45.00,2.66,23.75,23.12
Facilities manager,Marketing specialist,23.4,61.7,88.28,4.87,-4.44,0.00,5.00,4.66,2.50,2.38
Financial and investment analyst,Marketing specialist,43.9,61.7,88.28,1.96,-2.45,15.00,2.50,2.20,8.75,8.56
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,88.18,0.88,-1.13,0.00,0.00,1.00,0.00,0.00
Operation manager,Marketing manager,37.1,62.4,88.12,-0.15,0.28,7.50,25.00,-0.21,16.25,16.22
Industrial production manager,Training and development specialist,19.1,56.7,88.10,3.36,-3.72,7.50,2.50,3.54,5.00,4.82
Purchasing manager,Accountant,47.7,57.0,88.07,1.51,-0.56,2.50,32.50,1.03,17.50,17.32
Financial and investment analyst,Insurance underwriter,43.9,56.9,88.04,-0.12,-4.09,15.00,5.00,1.98,10.00,9.80
Financial and investment analyst,Public relations manager,43.9,66.4,87.91,2.45,-2.58,17.50,2.50,2.52,10.00,9.75
Chemical engineer,Medical scientist,21.6,51.8,87.70,3.29,1.62,2.50,36.84,0.84,19.67,19.51
Operation manager,Human resources manager,37.1,76.5,87.61,0.59,-2.05,12.50,0.00,1.32,6.25,6.17
Architectural and engineering manager,Human resources worker,12.8,76.5,87.58,6.96,-5.72,10.00,2.50,6.34,6.25,5.85
Operation manager,Public relations manager,37.1,66.4,87.47,0.70,-1.48,15.00,0.00,1.09,7.50,7.42
Training and development manager,Social and community service manager,48.0,71.7,87.29,0.66,0.49,2.50,0.00,0.09,1.25,1.25
Financial and investment analyst,Accountant,43.9,57.0,87.27,-0.61,0.46,20.00,37.50,-0.53,28.75,28.60
Financial and investment analyst,Human resources manager,43.9,76.5,87.23,2.88,-2.87,17.50,2.50,2.88,10.00,9.71
Training and development manager,Insurance claims and policy processing clerk,48.0,80.1,87.11,2.70,-3.01,0.00,0.00,2.85,0.00,0.00
Purchasing manager,Training and development specialist,47.7,56.7,86.71,3.08,-3.32,15.00,0.00,3.20,7.50,7.26
Web developer,Graphic designer,19.4,54.7,86.62,1.64,0.08,20.00,21.62,0.78,20.81,20.65
Purchasing manager,Social and community service manager,47.7,71.7,86.53,3.00,-1.02,30.00,0.00,2.01,15.00,14.70
Chemical engineer,Biological scientist,21.6,55.0,86.36,3.97,-1.15,12.50,45.95,2.56,29.22,28.48
Dentist,Dental hygienist,39.5,95.7,86.25,12.07,-11.97,15.79,33.33,12.02,24.56,21.61
Software quality tester,Operations research analyst,44.1,55.0,86.23,-2.67,1.87,0.00,17.50,-2.27,8.75,8.55
Web and digital interface designer,Graphic designer,42.7,54.7,86.19,-0.41,0.51,5.00,10.81,-0.46,7.91,7.87
