occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,100.00,100.00,0.00,100.00,100.00
Sales manager,Marketing manager,33.1,62.4,92.50,95.00,3.75,93.75,90.23
Project management specialist,Training and development specialist,47.3,56.7,100.00,100.00,0.00,100.00,100.00
Project management specialist,Marketing specialist,47.3,61.7,100.00,100.00,0.00,100.00,100.00
Project management specialist,Marketing manager,47.3,62.4,100.00,100.00,0.00,100.00,100.00
Information security analyst,Operations research analyst,19.3,55.0,95.00,100.00,0.00,97.50,97.50
Financial and investment analyst,Operations research analyst,43.9,55.0,100.00,90.00,-1.25,95.00,93.81
Management analyst,Marketing manager,46.6,62.4,90.00,100.00,2.50,95.00,92.62
Sales manager,Public relations manager,33.1,66.4,100.00,72.50,2.50,86.25,84.09
Management analyst,Marketing specialist,46.6,61.7,100.00,100.00,0.00,100.00,100.00
Sales manager,Human resources manager,33.1,76.5,100.00,70.00,3.75,85.00,81.81
Sales manager,Marketing specialist,33.1,61.7,100.00,100.00,0.00,100.00,100.00
Training and development manager,Marketing manager,48.0,62.4,97.50,100.00,-1.25,98.75,97.52
Training and development manager,Administrative services manager,48.0,74.0,100.00,100.00,0.00,100.00,100.00
Project management specialist,Administrative services manager,47.3,74.0,100.00,100.00,0.00,100.00,100.00
Purchasing manager,Financial manager,47.7,56.2,75.00,100.00,5.00,87.50,83.12
Management analyst,Financial manager,46.6,56.2,90.00,100.00,-3.75,95.00,91.44
Sales manager,Financial manager,33.1,56.2,87.50,100.00,2.50,93.75,91.41
Training and development manager,Human resources manager,48.0,76.5,100.00,100.00,0.00,100.00,100.00
Project management specialist,Public relations manager,47.3,66.4,100.00,100.00,0.00,100.00,100.00
Management analyst,Operations research analyst,46.6,55.0,100.00,100.00,0.00,100.00,100.00
Management analyst,Public relations manager,46.6,66.4,100.00,100.00,0.00,100.00,100.00
Purchasing manager,Human resources manager,47.7,76.5,100.00,92.50,3.75,96.25,92.64
Training and development manager,Public relations manager,48.0,66.4,100.00,100.00,0.00,100.00,100.00
Purchasing manager,Marketing manager,47.7,62.4,92.50,97.50,6.25,95.00,89.06
Project management specialist,Human resources manager,47.3,76.5,100.00,100.00,0.00,100.00,100.00
Purchasing manager,Public relations manager,47.7,66.4,97.50,95.00,3.75,96.25,92.64
Management analyst,Human resources manager,46.6,76.5,100.00,100.00,0.00,100.00,100.00
Architectural and engineering manager,Marketing manager,12.8,62.4,87.50,100.00,3.75,93.75,90.23
Financial and investment analyst,Financial manager,43.9,56.2,92.50,100.00,0.00,96.25,96.25
Project management specialist,Human resources worker,47.3,76.5,100.00,100.00,0.00,100.00,100.00
Facilities manager,Human resources manager,23.4,76.5,100.00,100.00,0.00,100.00,100.00
Architectural and engineering manager,Training and development specialist,12.8,56.7,97.50,97.50,2.50,97.50,95.06
