occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,3.13,0.92,100.00,100.00,1.11,100.00,98.89
Sales manager,Marketing manager,33.1,62.4,96.46,0.53,-1.39,92.50,95.00,0.96,93.75,92.85
Project management specialist,Training and development specialist,47.3,56.7,96.32,1.74,0.83,100.00,100.00,0.45,100.00,99.55
Project management specialist,Marketing specialist,47.3,61.7,96.15,1.17,0.97,100.00,100.00,0.10,100.00,99.90
Project management specialist,Marketing manager,47.3,62.4,95.99,-0.40,1.12,100.00,100.00,-0.76,100.00,99.24
Information security analyst,Operations research analyst,19.3,55.0,95.42,-0.46,1.15,95.00,100.00,-0.81,97.50,96.71
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,1.71,2.10,100.00,90.00,-0.19,95.00,94.82
Management analyst,Marketing manager,46.6,62.4,94.88,-1.02,0.59,90.00,100.00,-0.80,95.00,94.24
Sales manager,Public relations manager,33.1,66.4,94.60,1.81,-2.85,100.00,72.50,2.33,86.25,84.24
Management analyst,Marketing specialist,46.6,61.7,94.50,1.15,-0.99,100.00,100.00,1.07,100.00,98.93
Sales manager,Human resources manager,33.1,76.5,94.40,2.27,-1.35,100.00,70.00,1.81,85.00,83.46
Sales manager,Marketing specialist,33.1,61.7,94.34,2.56,-2.14,100.00,100.00,2.35,100.00,97.65
Training and development manager,Marketing manager,48.0,62.4,94.32,-0.98,0.32,97.50,100.00,-0.65,98.75,98.10
Training and development manager,Administrative services manager,48.0,74.0,94.24,0.02,0.82,100.00,100.00,-0.40,100.00,99.60
Project management specialist,Administrative services manager,47.3,74.0,94.20,-0.30,1.11,100.00,100.00,-0.70,100.00,99.30
Purchasing manager,Financial manager,47.7,56.2,94.07,2.19,-0.37,75.00,100.00,1.28,87.50,86.38
Management analyst,Financial manager,46.6,56.2,94.00,-0.45,4.00,90.00,100.00,-2.23,95.00,92.88
Sales manager,Financial manager,33.1,56.2,93.76,1.04,0.49,87.50,100.00,0.27,93.75,93.50
Training and development manager,Human resources manager,48.0,76.5,93.69,0.31,-0.34,100.00,100.00,0.33,100.00,99.67
Project management specialist,Public relations manager,47.3,66.4,93.13,0.49,-0.78,100.00,100.00,0.63,100.00,99.37
Management analyst,Operations research analyst,46.6,55.0,92.92,0.44,3.14,100.00,100.00,-1.35,100.00,98.65
Management analyst,Public relations manager,46.6,66.4,92.91,0.40,-1.85,100.00,100.00,1.12,100.00,98.88
Purchasing manager,Human resources manager,47.7,76.5,92.77,3.72,-2.55,100.00,92.50,3.13,96.25,93.23
Training and development manager,Public relations manager,48.0,66.4,92.59,0.15,-0.85,100.00,100.00,0.50,100.00,99.50
Purchasing manager,Marketing manager,47.7,62.4,92.52,2.57,-1.81,92.50,97.50,2.19,95.00,92.92
Project management specialist,Human resources manager,47.3,76.5,92.47,0.67,-0.73,100.00,100.00,0.70,100.00,99.30
Purchasing manager,Public relations manager,47.7,66.4,92.38,3.53,-4.25,97.50,95.00,3.89,96.25,92.51
Management analyst,Human resources manager,46.6,76.5,92.37,1.01,-1.64,100.00,100.00,1.33,100.00,98.67
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,5.17,-1.75,87.50,100.00,3.46,93.75,90.50
Financial and investment analyst,Financial manager,43.9,56.2,92.25,-0.34,1.28,92.50,100.00,-0.81,96.25,95.47
Project management specialist,Human resources worker,47.3,76.5,92.21,1.52,0.43,100.00,100.00,0.55,100.00,99.45
Facilities manager,Human resources manager,23.4,76.5,92.06,4.86,-2.48,100.00,100.00,3.67,100.00,96.33
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,5.83,-4.68,97.50,97.50,5.25,97.50,92.38
Training and development manager,Marketing specialist,48.0,61.7,91.94,1.37,-0.84,100.00,100.00,1.11,100.00,98.89
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,5.33,-3.16,95.00,100.00,4.24,97.50,93.36
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,6.06,-3.13,97.50,100.00,4.59,98.75,94.21
Management analyst,Human resources worker,46.6,76.5,91.64,1.78,-0.88,100.00,100.00,1.33,100.00,98.67
Training and development manager,Human resources worker,48.0,76.5,91.58,2.14,-0.29,100.00,100.00,1.21,100.00,98.79
Project management specialist,Operations research analyst,47.3,55.0,91.31,-0.75,2.42,100.00,100.00,-1.59,100.00,98.41
Project management specialist,Financial manager,47.3,56.2,91.15,-0.44,3.65,92.50,100.00,-2.05,96.25,94.28
Sales manager,Human resources worker,33.1,76.5,91.09,2.46,-2.42,100.00,82.50,2.44,91.25,89.02
Facilities manager,Marketing manager,23.4,62.4,90.92,4.00,-0.86,92.50,100.00,2.43,96.25,93.91
Facilities manager,Administrative services manager,23.4,74.0,90.81,4.49,-2.10,100.00,100.00,3.29,100.00,96.71
Sales manager,Administrative services manager,33.1,74.0,90.73,1.75,-1.42,100.00,82.50,1.58,91.25,89.81
Management analyst,Administrative services manager,46.6,74.0,90.68,0.36,0.31,100.00,100.00,0.03,100.00,99.97
Purchasing manager,Human resources worker,47.7,76.5,90.36,4.41,-3.64,100.00,90.00,4.03,95.00,91.18
Management analyst,Training and development specialist,46.6,56.7,90.32,1.64,-0.95,100.00,97.50,1.30,98.75,97.47
