occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,0.16,-1.09,0.00,0.00,0.63,0.00,0.00
Sales manager,Marketing manager,33.1,62.4,96.46,-0.37,-0.30,12.50,0.00,-0.04,6.25,6.25
Project management specialist,Training and development specialist,47.3,56.7,96.32,-0.36,-1.49,0.00,0.00,0.57,0.00,0.00
Project management specialist,Marketing specialist,47.3,61.7,96.15,0.15,-1.01,0.00,0.00,0.58,0.00,0.00
Project management specialist,Marketing manager,47.3,62.4,95.99,0.55,-0.33,0.00,0.00,0.44,0.00,0.00
Information security analyst,Operations research analyst,19.3,55.0,95.42,-3.12,-0.53,10.00,0.00,-1.29,5.00,4.94
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,-1.26,-0.53,12.50,0.00,-0.36,6.25,6.23
Management analyst,Marketing manager,46.6,62.4,94.88,-0.14,-0.18,0.00,0.00,0.02,0.00,0.00
Sales manager,Public relations manager,33.1,66.4,94.60,0.25,-0.85,20.00,0.00,0.55,10.00,9.94
Management analyst,Marketing specialist,46.6,61.7,94.50,0.21,-0.57,0.00,0.00,0.39,0.00,0.00
Sales manager,Human resources manager,33.1,76.5,94.40,0.49,-1.72,17.50,0.00,1.11,8.75,8.65
Sales manager,Marketing specialist,33.1,61.7,94.34,0.50,-0.25,7.50,0.00,0.37,3.75,3.74
Training and development manager,Marketing manager,48.0,62.4,94.32,0.25,-0.35,0.00,0.00,0.30,0.00,0.00
Training and development manager,Administrative services manager,48.0,74.0,94.24,0.68,-0.70,0.00,0.00,0.69,0.00,0.00
Project management specialist,Administrative services manager,47.3,74.0,94.20,0.71,-0.51,0.00,0.00,0.61,0.00,0.00
Purchasing manager,Financial manager,47.7,56.2,94.07,-1.24,0.27,0.00,15.00,-0.75,7.50,7.44
Management analyst,Financial manager,46.6,56.2,94.00,-1.08,0.43,0.00,5.00,-0.75,2.50,2.48
Sales manager,Financial manager,33.1,56.2,93.76,-1.33,0.77,7.50,12.50,-1.05,10.00,9.89
Training and development manager,Human resources manager,48.0,76.5,93.69,0.97,-1.51,0.00,0.00,1.24,0.00,0.00
Project management specialist,Public relations manager,47.3,66.4,93.13,1.05,-1.08,0.00,0.00,1.07,0.00,0.00
Management analyst,Operations research analyst,46.6,55.0,92.92,-1.24,0.04,0.00,0.00,-0.64,0.00,0.00
Management analyst,Public relations manager,46.6,66.4,92.91,0.50,-1.09,0.00,0.00,0.80,0.00,0.00
Purchasing manager,Human resources manager,47.7,76.5,92.77,0.54,-2.02,0.00,0.00,1.28,0.00,0.00
Training and development manager,Public relations manager,48.0,66.4,92.59,0.93,-0.77,0.00,0.00,0.85,0.00,0.00
Purchasing manager,Marketing manager,47.7,62.4,92.52,-0.18,-0.54,0.00,0.00,0.18,0.00,0.00
Project management specialist,Human resources manager,47.3,76.5,92.47,1.21,-1.76,0.00,0.00,1.48,0.00,0.00
Purchasing manager,Public relations manager,47.7,66.4,92.38,0.39,-1.50,0.00,0.00,0.95,0.00,0.00
Management analyst,Human resources manager,46.6,76.5,92.37,1.21,-1.24,0.00,0.00,1.23,0.00,0.00
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,1.16,-2.67,2.50,2.50,1.91,2.50,2.45
Financial and investment analyst,Financial manager,43.9,56.2,92.25,-0.50,-0.57,0.00,0.00,0.04,0.00,0.00
Project management specialist,Human resources worker,47.3,76.5,92.21,1.04,-1.40,0.00,0.00,1.22,0.00,0.00
Facilities manager,Human resources manager,23.4,76.5,92.06,1.85,-2.17,0.00,0.00,2.01,0.00,0.00
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,2.20,-2.86,15.00,0.00,2.53,7.50,7.31
Training and development manager,Marketing specialist,48.0,61.7,91.94,1.45,-0.22,0.00,0.00,0.84,0.00,0.00
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,1.27,-2.56,2.50,5.00,1.91,3.75,3.68
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,1.98,-3.41,2.50,0.00,2.70,1.25,1.22
Management analyst,Human resources worker,46.6,76.5,91.64,1.16,-0.75,0.00,0.00,0.95,0.00,0.00
Training and development manager,Human resources worker,48.0,76.5,91.58,2.28,-1.15,0.00,0.00,1.72,0.00,0.00
Project management specialist,Operations research analyst,47.3,55.0,91.31,-1.34,0.21,0.00,0.00,-0.77,0.00,0.00
Project management specialist,Financial manager,47.3,56.2,91.15,-0.20,0.88,0.00,12.50,-0.54,6.25,6.22
Sales manager,Human resources worker,33.1,76.5,91.09,0.85,-0.90,32.50,0.00,0.88,16.25,16.11
Facilities manager,Marketing manager,23.4,62.4,90.92,0.76,-0.99,0.00,0.00,0.87,0.00,0.00
Facilities manager,Administrative services manager,23.4,74.0,90.81,1.48,-1.52,0.00,0.00,1.50,0.00,0.00
Sales manager,Administrative services manager,33.1,74.0,90.73,0.16,-1.03,7.50,0.00,0.59,3.75,3.73
Management analyst,Administrative services manager,46.6,74.0,90.68,0.60,-0.67,0.00,0.00,0.64,0.00,0.00
Purchasing manager,Human resources worker,47.7,76.5,90.36,1.32,-1.27,0.00,0.00,1.29,0.00,0.00
Management analyst,Training and development specialist,46.6,56.7,90.32,0.21,-0.96,0.00,0.00,0.59,0.00,0.00
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,1.38,-2.48,5.00,0.00,1.93,2.50,2.45
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,0.38,-2.29,20.00,0.00,1.34,10.00,9.87
Facilities manager,Public relations manager,23.4,66.4,90.26,1.68,-1.62,0.00,0.00,1.65,0.00,0.00
Sales manager,Training and development specialist,33.1,56.7,90.18,0.50,-0.92,15.00,0.00,0.71,7.50,7.45
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,0.59,-2.75,12.50,5.00,1.67,8.75,8.60
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,0.14,-0.46,2.50,30.00,0.30,16.25,16.20
Purchasing manager,Marketing specialist,47.7,61.7,90.08,1.04,-0.92,0.00,0.00,0.98,0.00,0.00
Training and development manager,Financial manager,48.0,56.2,90.06,-0.66,0.95,0.00,12.50,-0.81,6.25,6.20
Sales manager,Advertising sales agent,33.1,52.7,89.99,-0.05,0.26,10.00,0.00,-0.15,5.00,4.99
Management analyst,Accountant,46.6,57.0,89.84,-0.65,0.53,0.00,5.00,-0.59,2.50,2.49
Industrial production manager,Human resources manager,19.1,76.5,89.80,2.08,-2.96,2.50,0.00,2.52,1.25,1.22
Facilities manager,Social and community service manager,23.4,71.7,89.67,1.41,-1.06,2.50,0.00,1.24,1.25,1.23
Purchasing manager,Administrative services manager,47.7,74.0,89.51,0.21,-1.45,0.00,2.50,0.83,1.25,1.24
Industrial production manager,Financial manager,19.1,56.2,89.51,0.91,-0.22,0.00,45.00,0.56,22.50,22.37
Operation manager,Financial manager,37.1,56.2,89.31,-0.63,0.39,0.00,20.00,-0.51,10.00,9.95
Industrial production manager,Human resources worker,19.1,76.5,89.29,2.75,-2.60,2.50,0.00,2.67,1.25,1.22
Sales manager,Insurance sales agent,33.1,54.9,89.13,-0.18,-0.87,5.00,0.00,0.35,2.50,2.49
Architectural and engineering manager,Marketing specialist,12.8,61.7,89.09,2.38,-2.79,5.00,0.00,2.58,2.50,2.44
Postsecondary teacher,Secondary school teacher,46.6,56.9,89.04,-1.45,-2.55,0.00,0.00,0.55,0.00,0.00
Facilities manager,Human resources worker,23.4,76.5,88.96,3.13,-1.46,2.50,0.00,2.29,1.25,1.22
Software developer,Marketing specialist,20.2,61.7,88.94,2.74,-2.38,0.00,0.00,2.56,0.00,0.00
Industrial production manager,Marketing manager,19.1,62.4,88.93,1.54,-1.40,0.00,2.50,1.47,1.25,1.23
Facilities manager,Training and development specialist,23.4,56.7,88.90,1.73,-1.76,0.00,0.00,1.75,0.00,0.00
Software developer,Operations research analyst,20.2,55.0,88.88,1.23,-1.85,0.00,0.00,1.54,0.00,0.00
Web and digital interface designer,Marketing specialist,42.7,61.7,88.62,0.32,-1.75,0.00,0.00,1.03,0.00,0.00
Information security analyst,Administrative services manager,19.3,74.0,88.53,-1.31,-1.01,2.50,5.00,-0.15,3.75,3.74
Industrial production manager,Operations research analyst,19.1,55.0,88.39,0.83,-0.26,2.50,0.00,0.55,1.25,1.24
Facilities manager,Financial manager,23.4,56.2,88.37,-0.30,0.40,0.00,15.00,-0.35,7.50,7.47
Financial and investment analyst,Marketing manager,43.9,62.4,88.36,0.00,-2.21,7.50,0.00,1.10,3.75,3.71
Industrial production manager,Public relations manager,19.1,66.4,88.35,1.90,-1.99,2.50,2.50,1.95,2.50,2.45
Project management specialist,Public relations specialist,47.3,76.2,88.35,1.08,-2.47,2.50,0.00,1.78,1.25,1.23
Industrial production manager,Administrative services manager,19.1,74.0,88.30,1.69,-2.27,0.00,10.00,1.98,5.00,4.90
Facilities manager,Marketing specialist,23.4,61.7,88.28,2.22,-1.24,0.00,0.00,1.73,0.00,0.00
Financial and investment analyst,Marketing specialist,43.9,61.7,88.28,0.13,-1.63,12.50,0.00,0.88,6.25,6.20
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,88.18,-0.02,-0.71,0.00,0.00,0.35,0.00,0.00
Operation manager,Marketing manager,37.1,62.4,88.12,-0.45,-0.61,2.50,0.00,0.08,1.25,1.25
Industrial production manager,Training and development specialist,19.1,56.7,88.10,1.72,-2.28,2.50,0.00,2.00,1.25,1.22
Purchasing manager,Accountant,47.7,57.0,88.07,-0.50,0.06,2.50,5.00,-0.28,3.75,3.74
Financial and investment analyst,Insurance underwriter,43.9,56.9,88.04,-0.16,-3.51,7.50,0.00,1.67,3.75,3.69
Financial and investment analyst,Public relations manager,43.9,66.4,87.91,0.55,-3.14,15.00,0.00,1.84,7.50,7.36
Chemical engineer,Medical scientist,21.6,51.8,87.70,2.45,-0.04,0.00,13.16,1.25,6.58,6.50
Operation manager,Human resources manager,37.1,76.5,87.61,0.70,-1.89,2.50,0.00,1.30,1.25,1.23
Architectural and engineering manager,Human resources worker,12.8,76.5,87.58,2.80,-3.33,10.00,0.00,3.07,5.00,4.85
Operation manager,Public relations manager,37.1,66.4,87.47,0.22,-1.40,7.50,0.00,0.81,3.75,3.72
Training and development manager,Social and community service manager,48.0,71.7,87.29,0.31,-0.57,0.00,0.00,0.44,0.00,0.00
Financial and investment analyst,Accountant,43.9,57.0,87.27,-0.47,-0.90,12.50,15.00,0.22,13.75,13.72
Financial and investment analyst,Human resources manager,43.9,76.5,87.23,1.50,-3.70,12.50,2.50,2.60,7.50,7.31
Training and development manager,Insurance claims and policy processing clerk,48.0,80.1,87.11,1.67,-2.76,0.00,0.00,2.21,0.00,0.00
Purchasing manager,Training and development specialist,47.7,56.7,86.71,0.31,-1.55,2.50,0.00,0.93,1.25,1.24
Web developer,Graphic designer,19.4,54.7,86.62,0.75,-0.67,0.00,10.81,0.71,5.41,5.37
Purchasing manager,Social and community service manager,47.7,71.7,86.53,0.08,-0.71,5.00,0.00,0.40,2.50,2.49
