occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,100.00,100.00,0.00,100.00,100.00
Sales manager,Marketing manager,33.1,62.4,97.50,100.00,1.25,98.75,97.52
Project management specialist,Training and development specialist,47.3,56.7,100.00,100.00,0.00,100.00,100.00
Project management specialist,Marketing specialist,47.3,61.7,100.00,100.00,0.00,100.00,100.00
Project management specialist,Marketing manager,47.3,62.4,100.00,100.00,0.00,100.00,100.00
Information security analyst,Operations research analyst,19.3,55.0,100.00,100.00,0.00,100.00,100.00
Financial and investment analyst,Operations research analyst,43.9,55.0,100.00,97.50,0.00,98.75,98.75
Management analyst,Marketing manager,46.6,62.4,97.50,100.00,-1.25,98.75,97.52
Sales manager,Public relations manager,33.1,66.4,100.00,95.00,0.00,97.50,97.50
Management analyst,Marketing specialist,46.6,61.7,100.00,100.00,0.00,100.00,100.00
Sales manager,Human resources manager,33.1,76.5,100.00,82.50,2.50,91.25,88.97
Sales manager,Marketing specialist,33.1,61.7,100.00,100.00,0.00,100.00,100.00
Training and development manager,Marketing manager,48.0,62.4,100.00,100.00,0.00,100.00,100.00
Training and development manager,Administrative services manager,48.0,74.0,100.00,100.00,0.00,100.00,100.00
Project management specialist,Administrative services manager,47.3,74.0,100.00,100.00,0.00,100.00,100.00
Purchasing manager,Financial manager,47.7,56.2,95.00,100.00,1.25,97.50,96.28
Management analyst,Financial manager,46.6,56.2,92.50,100.00,-3.75,96.25,92.64
Sales manager,Financial manager,33.1,56.2,97.50,100.00,-1.25,98.75,97.52
Training and development manager,Human resources manager,48.0,76.5,100.00,100.00,0.00,100.00,100.00
Project management specialist,Public relations manager,47.3,66.4,100.00,100.00,0.00,100.00,100.00
Management analyst,Operations research analyst,46.6,55.0,100.00,100.00,0.00,100.00,100.00
Management analyst,Public relations manager,46.6,66.4,100.00,100.00,0.00,100.00,100.00
Purchasing manager,Human resources manager,47.7,76.5,100.00,100.00,0.00,100.00,100.00
Training and development manager,Public relations manager,48.0,66.4,100.00,100.00,0.00,100.00,100.00
Purchasing manager,Marketing manager,47.7,62.4,97.50,100.00,1.25,98.75,97.52
Project management specialist,Human resources manager,47.3,76.5,100.00,100.00,0.00,100.00,100.00
Purchasing manager,Public relations manager,47.7,66.4,100.00,100.00,0.00,100.00,100.00
Management analyst,Human resources manager,46.6,76.5,100.00,100.00,0.00,100.00,100.00
Architectural and engineering manager,Marketing manager,12.8,62.4,95.00,100.00,1.25,97.50,96.28
Financial and investment analyst,Financial manager,43.9,56.2,97.50,100.00,1.25,98.75,97.52
Project management specialist,Human resources worker,47.3,76.5,100.00,100.00,0.00,100.00,100.00
Facilities manager,Human resources manager,23.4,76.5,100.00,100.00,0.00,100.00,100.00
Architectural and engineering manager,Training and development specialist,12.8,56.7,100.00,100.00,0.00,100.00,100.00
Training and development manager,Marketing specialist,48.0,61.7,100.00,100.00,0.00,100.00,100.00
Architectural and engineering manager,Administrative services manager,12.8,74.0,100.00,100.00,0.00,100.00,100.00
Architectural and engineering manager,Human resources manager,12.8,76.5,100.00,100.00,0.00,100.00,100.00
Management analyst,Human resources worker,46.6,76.5,100.00,100.00,0.00,100.00,100.00
Training and development manager,Human resources worker,48.0,76.5,100.00,100.00,0.00,100.00,100.00
Project management specialist,Operations research analyst,47.3,55.0,100.00,100.00,0.00,100.00,100.00
Project management specialist,Financial manager,47.3,56.2,100.00,100.00,0.00,100.00,100.00
Sales manager,Human resources worker,33.1,76.5,100.00,95.00,1.25,97.50,96.28
Facilities manager,Marketing manager,23.4,62.4,100.00,100.00,0.00,100.00,100.00
Facilities manager,Administrative services manager,23.4,74.0,100.00,100.00,0.00,100.00,100.00
Sales manager,Administrative services manager,33.1,74.0,100.00,95.00,0.00,97.50,97.50
Management analyst,Administrative services manager,46.6,74.0,100.00,100.00,0.00,100.00,100.00
Purchasing manager,Human resources worker,47.7,76.5,100.00,100.00,0.00,100.00,100.00
Management analyst,Training and development specialist,46.6,56.7,100.00,100.00,0.00,100.00,100.00
Architectural and engineering manager,Public relations manager,12.8,66.4,100.00,100.00,0.00,100.00,100.00
Financial and investment analyst,Training and development specialist,43.9,56.7,100.00,100.00,0.00,100.00,100.00
Facilities manager,Public relations manager,23.4,66.4,100.00,100.00,0.00,100.00,100.00
Sales manager,Training and development specialist,33.1,56.7,100.00,97.50,1.25,98.75,97.52
Financial and investment analyst,Administrative services manager,43.9,74.0,100.00,100.00,0.00,100.00,100.00
Architectural and engineering manager,Financial manager,12.8,56.2,97.50,100.00,0.00,98.75,98.75
Purchasing manager,Marketing specialist,47.7,61.7,100.00,100.00,0.00,100.00,100.00
Training and development manager,Financial manager,48.0,56.2,97.50,100.00,-1.25,98.75,97.52
Sales manager,Advertising sales agent,33.1,52.7,100.00,100.00,0.00,100.00,100.00
Management analyst,Accountant,46.6,57.0,100.00,100.00,0.00,100.00,100.00
Industrial production manager,Human resources manager,19.1,76.5,100.00,100.00,0.00,100.00,100.00
Facilities manager,Social and community service manager,23.4,71.7,100.00,100.00,0.00,100.00,100.00
Purchasing manager,Administrative services manager,47.7,74.0,100.00,100.00,0.00,100.00,100.00
Industrial production manager,Financial manager,19.1,56.2,85.00,100.00,5.00,92.50,87.88
Operation manager,Financial manager,37.1,56.2,95.00,100.00,0.00,97.50,97.50
Industrial production manager,Human resources worker,19.1,76.5,100.00,100.00,0.00,100.00,100.00
Sales manager,Insurance sales agent,33.1,54.9,100.00,95.45,-1.61,97.73,96.15
Architectural and engineering manager,Marketing specialist,12.8,61.7,97.50,100.00,1.25,98.75,97.52
Postsecondary teacher,Secondary school teacher,46.6,56.9,100.00,100.00,0.00,100.00,100.00
Facilities manager,Human resources worker,23.4,76.5,100.00,100.00,0.00,100.00,100.00
Software developer,Marketing specialist,20.2,61.7,100.00,100.00,0.00,100.00,100.00
Industrial production manager,Marketing manager,19.1,62.4,97.50,100.00,1.25,98.75,97.52
Facilities manager,Training and development specialist,23.4,56.7,100.00,100.00,0.00,100.00,100.00
Software developer,Operations research analyst,20.2,55.0,100.00,100.00,0.00,100.00,100.00
Web and digital interface designer,Marketing specialist,42.7,61.7,100.00,100.00,0.00,100.00,100.00
Information security analyst,Administrative services manager,19.3,74.0,100.00,100.00,0.00,100.00,100.00
Industrial production manager,Operations research analyst,19.1,55.0,100.00,100.00,0.00,100.00,100.00
Facilities manager,Financial manager,23.4,56.2,100.00,100.00,0.00,100.00,100.00
Financial and investment analyst,Marketing manager,43.9,62.4,100.00,100.00,0.00,100.00,100.00
Industrial production manager,Public relations manager,19.1,66.4,100.00,100.00,0.00,100.00,100.00
Project management specialist,Public relations specialist,47.3,76.2,100.00,100.00,0.00,100.00,100.00
Industrial production manager,Administrative services manager,19.1,74.0,92.50,100.00,2.50,96.25,93.84
Facilities manager,Marketing specialist,23.4,61.7,100.00,100.00,0.00,100.00,100.00
Financial and investment analyst,Marketing specialist,43.9,61.7,100.00,97.50,0.00,98.75,98.75
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,100.00,100.00,0.00,100.00,100.00
Operation manager,Marketing manager,37.1,62.4,95.00,100.00,0.00,97.50,97.50
Industrial production manager,Training and development specialist,19.1,56.7,100.00,100.00,0.00,100.00,100.00
Purchasing manager,Accountant,47.7,57.0,95.00,100.00,1.25,97.50,96.28
Financial and investment analyst,Insurance underwriter,43.9,56.9,100.00,100.00,0.00,100.00,100.00
Financial and investment analyst,Public relations manager,43.9,66.4,100.00,100.00,0.00,100.00,100.00
Chemical engineer,Medical scientist,21.6,51.8,97.50,100.00,1.28,98.75,97.48
Operation manager,Human resources manager,37.1,76.5,100.00,100.00,0.00,100.00,100.00
Architectural and engineering manager,Human resources worker,12.8,76.5,100.00,100.00,0.00,100.00,100.00
Operation manager,Public relations manager,37.1,66.4,100.00,100.00,0.00,100.00,100.00
Training and development manager,Social and community service manager,48.0,71.7,100.00,100.00,0.00,100.00,100.00
Financial and investment analyst,Accountant,43.9,57.0,95.00,100.00,1.25,97.50,96.28
Financial and investment analyst,Human resources manager,43.9,76.5,100.00,100.00,0.00,100.00,100.00
Training and development manager,Insurance claims and policy processing clerk,48.0,80.1,100.00,100.00,0.00,100.00,100.00
Purchasing manager,Training and development specialist,47.7,56.7,100.00,97.50,1.25,98.75,97.52
Web developer,Graphic designer,19.4,54.7,100.00,100.00,0.00,100.00,100.00
Purchasing manager,Social and community service manager,47.7,71.7,100.00,97.50,0.00,98.75,98.75
Chemical engineer,Biological scientist,21.6,55.0,97.50,100.00,2.60,98.75,96.19
Dentist,Dental hygienist,39.5,95.7,92.11,66.67,4.88,79.39,75.51
Software quality tester,Operations research analyst,44.1,55.0,100.00,100.00,0.00,100.00,100.00
Web and digital interface designer,Graphic designer,42.7,54.7,100.00,100.00,0.00,100.00,100.00
Information security analyst,Training and development specialist,19.3,56.7,100.00,100.00,0.00,100.00,100.00
Software developer,Graphic designer,20.2,54.7,100.00,100.00,0.00,100.00,100.00
Architectural and engineering manager,Social and community service manager,12.8,71.7,100.00,100.00,0.00,100.00,100.00
Web and digital interface designer,Operations research analyst,42.7,55.0,100.00,100.00,0.00,100.00,100.00
First-line supervisor of non-retail sales workers,Supervisor of personal care and service workers,35.9,65.8,100.00,100.00,0.00,100.00,100.00
Lawyer,Paralegal,39.5,83.0,100.00,42.50,3.75,71.25,68.58
Architectural and engineering manager,Operations research analyst,12.8,55.0,100.00,100.00,0.00,100.00,100.00
