occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,0.94,0.64,100.00,100.00,0.15,100.00,99.85
Sales manager,Marketing manager,33.1,62.4,96.46,0.84,0.49,97.50,100.00,0.18,98.75,98.58
Project management specialist,Training and development specialist,47.3,56.7,96.32,1.14,0.57,100.00,100.00,0.29,100.00,99.71
Project management specialist,Marketing specialist,47.3,61.7,96.15,1.20,-0.54,100.00,100.00,0.87,100.00,99.13
Project management specialist,Marketing manager,47.3,62.4,95.99,0.88,-0.50,100.00,100.00,0.69,100.00,99.31
Information security analyst,Operations research analyst,19.3,55.0,95.42,-0.89,0.63,100.00,100.00,-0.76,100.00,99.24
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,1.01,1.49,100.00,97.50,-0.24,98.75,98.52
Management analyst,Marketing manager,46.6,62.4,94.88,-0.24,-0.18,97.50,100.00,-0.03,98.75,98.72
Sales manager,Public relations manager,33.1,66.4,94.60,1.36,-1.05,100.00,95.00,1.21,97.50,96.32
Management analyst,Marketing specialist,46.6,61.7,94.50,-0.10,-0.98,100.00,100.00,0.44,100.00,99.56
Sales manager,Human resources manager,33.1,76.5,94.40,1.65,-0.50,100.00,82.50,1.07,91.25,90.27
Sales manager,Marketing specialist,33.1,61.7,94.34,0.50,-0.37,100.00,100.00,0.44,100.00,99.56
Training and development manager,Marketing manager,48.0,62.4,94.32,0.03,0.02,100.00,100.00,0.00,100.00,100.00
Training and development manager,Administrative services manager,48.0,74.0,94.24,1.22,-0.61,100.00,100.00,0.92,100.00,99.08
Project management specialist,Administrative services manager,47.3,74.0,94.20,1.24,-1.16,100.00,100.00,1.20,100.00,98.80
Purchasing manager,Financial manager,47.7,56.2,94.07,0.82,0.44,95.00,100.00,0.19,97.50,97.31
Management analyst,Financial manager,46.6,56.2,94.00,0.03,0.70,92.50,100.00,-0.34,96.25,95.93
Sales manager,Financial manager,33.1,56.2,93.76,1.04,0.66,97.50,100.00,0.19,98.75,98.56
Training and development manager,Human resources manager,48.0,76.5,93.69,1.08,-0.91,100.00,100.00,1.00,100.00,99.00
Project management specialist,Public relations manager,47.3,66.4,93.13,1.08,-2.19,100.00,100.00,1.63,100.00,98.37
Management analyst,Operations research analyst,46.6,55.0,92.92,0.03,1.42,100.00,100.00,-0.70,100.00,99.30
Management analyst,Public relations manager,46.6,66.4,92.91,0.06,-2.17,100.00,100.00,1.12,100.00,98.88
Purchasing manager,Human resources manager,47.7,76.5,92.77,1.98,-1.09,100.00,100.00,1.54,100.00,98.46
Training and development manager,Public relations manager,48.0,66.4,92.59,0.68,-1.11,100.00,100.00,0.90,100.00,99.10
Purchasing manager,Marketing manager,47.7,62.4,92.52,1.30,0.41,97.50,100.00,0.44,98.75,98.31
Project management specialist,Human resources manager,47.3,76.5,92.47,1.53,-2.30,100.00,100.00,1.92,100.00,98.08
Purchasing manager,Public relations manager,47.7,66.4,92.38,1.93,-1.66,100.00,100.00,1.80,100.00,98.20
Management analyst,Human resources manager,46.6,76.5,92.37,0.71,-2.03,100.00,100.00,1.37,100.00,98.63
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,3.10,-0.28,95.00,100.00,1.69,97.50,95.85
Financial and investment analyst,Financial manager,43.9,56.2,92.25,1.78,-0.07,97.50,100.00,0.92,98.75,97.84
Project management specialist,Human resources worker,47.3,76.5,92.21,1.46,-1.75,100.00,100.00,1.61,100.00,98.39
Facilities manager,Human resources manager,23.4,76.5,92.06,2.28,-2.42,100.00,100.00,2.35,100.00,97.65
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,2.62,-0.94,100.00,100.00,1.78,100.00,98.22
Training and development manager,Marketing specialist,48.0,61.7,91.94,0.08,-1.10,100.00,100.00,0.59,100.00,99.41
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,3.20,-1.60,100.00,100.00,2.40,100.00,97.60
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,3.37,-1.81,100.00,100.00,2.59,100.00,97.41
Management analyst,Human resources worker,46.6,76.5,91.64,0.71,-1.63,100.00,100.00,1.17,100.00,98.83
Training and development manager,Human resources worker,48.0,76.5,91.58,1.30,-1.69,100.00,100.00,1.50,100.00,98.50
Project management specialist,Operations research analyst,47.3,55.0,91.31,0.33,0.90,100.00,100.00,-0.28,100.00,99.72
Project management specialist,Financial manager,47.3,56.2,91.15,1.33,0.51,100.00,100.00,0.41,100.00,99.59
Sales manager,Human resources worker,33.1,76.5,91.09,1.22,-1.32,100.00,95.00,1.27,97.50,96.26
Facilities manager,Marketing manager,23.4,62.4,90.92,1.62,-0.62,100.00,100.00,1.12,100.00,98.88
Facilities manager,Administrative services manager,23.4,74.0,90.81,2.36,-2.03,100.00,100.00,2.19,100.00,97.81
Sales manager,Administrative services manager,33.1,74.0,90.73,1.76,-0.85,100.00,95.00,1.30,97.50,96.23
Management analyst,Administrative services manager,46.6,74.0,90.68,0.61,-1.24,100.00,100.00,0.92,100.00,99.08
Purchasing manager,Human resources worker,47.7,76.5,90.36,1.90,-1.78,100.00,100.00,1.84,100.00,98.16
Management analyst,Training and development specialist,46.6,56.7,90.32,0.14,0.09,100.00,100.00,0.02,100.00,99.98
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,3.19,-1.88,100.00,100.00,2.53,100.00,97.47
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,1.67,-0.14,100.00,100.00,0.91,100.00,99.09
Facilities manager,Public relations manager,23.4,66.4,90.26,2.42,-2.77,100.00,100.00,2.59,100.00,97.41
Sales manager,Training and development specialist,33.1,56.7,90.18,0.59,0.61,100.00,97.50,-0.01,98.75,98.74
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,3.09,-1.86,100.00,100.00,2.48,100.00,97.52
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,3.24,0.48,97.50,100.00,1.38,98.75,97.39
Purchasing manager,Marketing specialist,47.7,61.7,90.08,1.54,-1.02,100.00,100.00,1.28,100.00,98.72
Training and development manager,Financial manager,48.0,56.2,90.06,-0.18,1.00,97.50,100.00,-0.59,98.75,98.17
Sales manager,Advertising sales agent,33.1,52.7,89.99,0.10,-0.39,100.00,100.00,0.25,100.00,99.75
Management analyst,Accountant,46.6,57.0,89.84,0.22,0.92,100.00,100.00,-0.35,100.00,99.65
Industrial production manager,Human resources manager,19.1,76.5,89.80,2.08,-1.83,100.00,100.00,1.95,100.00,98.05
Facilities manager,Social and community service manager,23.4,71.7,89.67,1.82,-1.38,100.00,100.00,1.60,100.00,98.40
Purchasing manager,Administrative services manager,47.7,74.0,89.51,2.17,-1.20,100.00,100.00,1.68,100.00,98.32
Industrial production manager,Financial manager,19.1,56.2,89.51,1.54,0.68,85.00,100.00,0.43,92.50,92.10
Operation manager,Financial manager,37.1,56.2,89.31,1.49,0.88,95.00,100.00,0.30,97.50,97.20
Industrial production manager,Human resources worker,19.1,76.5,89.29,2.23,-2.00,100.00,100.00,2.12,100.00,97.88
Sales manager,Insurance sales agent,33.1,54.9,89.13,0.17,1.19,100.00,95.45,-0.51,97.73,97.23
Architectural and engineering manager,Marketing specialist,12.8,61.7,89.09,3.33,-1.57,97.50,100.00,2.45,98.75,96.33
Postsecondary teacher,Secondary school teacher,46.6,56.9,89.04,1.59,0.82,100.00,100.00,0.39,100.00,99.61
