occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,0.30,-0.02,100.00,92.50,0.16,96.25,96.10
Sales manager,Marketing manager,33.1,62.4,96.46,0.77,-2.09,87.50,100.00,1.43,93.75,92.41
Project management specialist,Training and development specialist,47.3,56.7,96.32,-1.31,-1.09,100.00,100.00,-0.11,100.00,99.89
Project management specialist,Marketing specialist,47.3,61.7,96.15,-3.01,-1.27,100.00,97.50,-0.87,98.75,97.89
Project management specialist,Marketing manager,47.3,62.4,95.99,-2.28,-0.91,100.00,100.00,-0.69,100.00,99.31
Information security analyst,Operations research analyst,19.3,55.0,95.42,-1.76,-2.33,100.00,100.00,0.28,100.00,99.72
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,-2.27,-2.86,100.00,100.00,0.30,100.00,99.70
Management analyst,Marketing manager,46.6,62.4,94.88,-2.89,-0.23,100.00,100.00,-1.33,100.00,98.67
Sales manager,Public relations manager,33.1,66.4,94.60,0.64,-3.66,100.00,100.00,2.15,100.00,97.85
Management analyst,Marketing specialist,46.6,61.7,94.50,-3.29,-0.80,100.00,100.00,-1.25,100.00,98.75
Sales manager,Human resources manager,33.1,76.5,94.40,0.57,-2.25,50.00,100.00,1.41,75.00,73.94
Sales manager,Marketing specialist,33.1,61.7,94.34,1.59,-3.85,100.00,100.00,2.72,100.00,97.28
Training and development manager,Marketing manager,48.0,62.4,94.32,-2.29,-0.10,100.00,100.00,-1.10,100.00,98.90
Training and development manager,Administrative services manager,48.0,74.0,94.24,-1.04,-1.86,100.00,100.00,0.41,100.00,99.59
Project management specialist,Administrative services manager,47.3,74.0,94.20,-1.77,-1.90,100.00,100.00,0.07,100.00,99.93
Purchasing manager,Financial manager,47.7,56.2,94.07,-1.39,-0.70,100.00,100.00,-0.34,100.00,99.66
Management analyst,Financial manager,46.6,56.2,94.00,-3.63,-0.02,100.00,100.00,-1.80,100.00,98.20
Sales manager,Financial manager,33.1,56.2,93.76,-0.05,-2.65,95.00,100.00,1.30,97.50,96.23
Training and development manager,Human resources manager,48.0,76.5,93.69,-0.76,-0.21,92.50,100.00,-0.27,96.25,95.99
Project management specialist,Public relations manager,47.3,66.4,93.13,-2.60,-2.23,100.00,100.00,-0.18,100.00,99.82
Management analyst,Operations research analyst,46.6,55.0,92.92,-1.85,-1.43,100.00,100.00,-0.21,100.00,99.79
Management analyst,Public relations manager,46.6,66.4,92.91,-3.44,-1.25,100.00,100.00,-1.09,100.00,98.91
Purchasing manager,Human resources manager,47.7,76.5,92.77,-0.76,-1.44,100.00,100.00,0.34,100.00,99.66
Training and development manager,Public relations manager,48.0,66.4,92.59,-1.94,-2.40,100.00,100.00,0.23,100.00,99.77
Purchasing manager,Marketing manager,47.7,62.4,92.52,-0.45,-1.46,95.00,100.00,0.51,97.50,97.01
Project management specialist,Human resources manager,47.3,76.5,92.47,-2.01,-0.27,97.50,97.50,-0.87,97.50,96.65
Purchasing manager,Public relations manager,47.7,66.4,92.38,-1.24,-3.00,100.00,100.00,0.88,100.00,99.12
Management analyst,Human resources manager,46.6,76.5,92.37,-2.51,0.35,95.00,100.00,-1.43,97.50,96.10
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,-1.65,-1.84,100.00,100.00,0.09,100.00,99.91
Financial and investment analyst,Financial manager,43.9,56.2,92.25,-2.26,-0.87,100.00,100.00,-0.70,100.00,99.30
Project management specialist,Human resources worker,47.3,76.5,92.21,-1.89,-0.39,100.00,100.00,-0.75,100.00,99.25
Facilities manager,Human resources manager,23.4,76.5,92.06,-0.09,-1.04,100.00,72.50,0.47,86.25,85.84
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,-0.59,-2.45,100.00,100.00,0.93,100.00,99.07
Training and development manager,Marketing specialist,48.0,61.7,91.94,-2.48,-2.05,100.00,100.00,-0.22,100.00,99.78
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,-1.49,-3.10,100.00,100.00,0.81,100.00,99.19
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,-0.82,-1.66,100.00,100.00,0.42,100.00,99.58
Management analyst,Human resources worker,46.6,76.5,91.64,-2.28,0.36,97.50,100.00,-1.32,98.75,97.45
Training and development manager,Human resources worker,48.0,76.5,91.58,-1.01,-0.48,92.50,100.00,-0.26,96.25,96.00
Project management specialist,Operations research analyst,47.3,55.0,91.31,-1.50,-1.56,100.00,100.00,0.03,100.00,99.97
Project management specialist,Financial manager,47.3,56.2,91.15,-3.53,-1.02,100.00,100.00,-1.26,100.00,98.74
Sales manager,Human resources worker,33.1,76.5,91.09,1.35,-3.82,82.50,100.00,2.58,91.25,88.89
Facilities manager,Marketing manager,23.4,62.4,90.92,-1.83,-1.67,100.00,77.50,-0.08,88.75,88.68
Facilities manager,Administrative services manager,23.4,74.0,90.81,-0.36,-2.08,100.00,82.50,0.86,91.25,90.47
Sales manager,Administrative services manager,33.1,74.0,90.73,0.59,-3.28,100.00,100.00,1.93,100.00,98.07
Management analyst,Administrative services manager,46.6,74.0,90.68,-2.27,-0.65,100.00,100.00,-0.81,100.00,99.19
Purchasing manager,Human resources worker,47.7,76.5,90.36,-0.90,-1.87,100.00,100.00,0.48,100.00,99.52
Management analyst,Training and development specialist,46.6,56.7,90.32,-1.78,-0.17,100.00,100.00,-0.80,100.00,99.20
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,-1.34,-2.83,100.00,100.00,0.74,100.00,99.26
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,-2.20,-2.77,100.00,100.00,0.28,100.00,99.72
Facilities manager,Public relations manager,23.4,66.4,90.26,-1.60,-3.04,100.00,95.00,0.72,97.50,96.80
Sales manager,Training and development specialist,33.1,56.7,90.18,1.94,-3.10,100.00,100.00,2.52,100.00,97.48
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,-2.55,-2.58,100.00,100.00,0.01,100.00,99.99
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,-3.12,-2.98,100.00,100.00,-0.07,100.00,99.93
Purchasing manager,Marketing specialist,47.7,61.7,90.08,-0.49,-2.69,100.00,100.00,1.10,100.00,98.90
Training and development manager,Financial manager,48.0,56.2,90.06,-4.08,-0.94,100.00,100.00,-1.57,100.00,98.43
Sales manager,Advertising sales agent,33.1,52.7,89.99,1.73,-1.31,100.00,100.00,1.52,100.00,98.48
