occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,2.50,0.00,-3.75,1.25,1.20
Sales manager,Marketing manager,33.1,62.4,0.00,30.00,5.00,15.00,14.25
Project management specialist,Training and development specialist,47.3,56.7,5.00,0.00,1.25,2.50,2.47
Project management specialist,Marketing specialist,47.3,61.7,5.00,0.00,1.25,2.50,2.47
Project management specialist,Marketing manager,47.3,62.4,5.00,0.00,0.00,2.50,2.50
Information security analyst,Operations research analyst,19.3,55.0,0.00,0.00,0.00,0.00,0.00
Financial and investment analyst,Operations research analyst,43.9,55.0,0.00,0.00,0.00,0.00,0.00
Management analyst,Marketing manager,46.6,62.4,0.00,0.00,0.00,0.00,0.00
Sales manager,Public relations manager,33.1,66.4,0.00,2.50,0.00,1.25,1.25
Management analyst,Marketing specialist,46.6,61.7,0.00,0.00,0.00,0.00,0.00
Sales manager,Human resources manager,33.1,76.5,0.00,45.00,3.75,22.50,21.66
Sales manager,Marketing specialist,33.1,61.7,0.00,5.00,2.50,2.50,2.44
Training and development manager,Marketing manager,48.0,62.4,0.00,0.00,0.00,0.00,0.00
Training and development manager,Administrative services manager,48.0,74.0,0.00,0.00,0.00,0.00,0.00
Project management specialist,Administrative services manager,47.3,74.0,0.00,0.00,0.00,0.00,0.00
Purchasing manager,Financial manager,47.7,56.2,0.00,0.00,-1.25,0.00,0.00
Management analyst,Financial manager,46.6,56.2,2.50,0.00,0.00,1.25,1.25
Sales manager,Financial manager,33.1,56.2,0.00,2.50,0.00,1.25,1.25
Training and development manager,Human resources manager,48.0,76.5,0.00,7.50,1.25,3.75,3.70
Project management specialist,Public relations manager,47.3,66.4,2.50,0.00,0.00,1.25,1.25
Management analyst,Operations research analyst,46.6,55.0,0.00,0.00,0.00,0.00,0.00
Management analyst,Public relations manager,46.6,66.4,0.00,0.00,-1.25,0.00,0.00
Purchasing manager,Human resources manager,47.7,76.5,0.00,5.00,1.25,2.50,2.47
Training and development manager,Public relations manager,48.0,66.4,0.00,0.00,0.00,0.00,0.00
Purchasing manager,Marketing manager,47.7,62.4,0.00,7.50,-1.25,3.75,3.70
Project management specialist,Human resources manager,47.3,76.5,12.50,7.50,-6.25,10.00,9.38
Purchasing manager,Public relations manager,47.7,66.4,0.00,0.00,0.00,0.00,0.00
Management analyst,Human resources manager,46.6,76.5,5.00,10.00,-3.75,7.50,7.22
Architectural and engineering manager,Marketing manager,12.8,62.4,7.50,0.00,0.00,3.75,3.75
Financial and investment analyst,Financial manager,43.9,56.2,2.50,0.00,1.25,1.25,1.23
Project management specialist,Human resources worker,47.3,76.5,7.50,0.00,-1.25,3.75,3.70
Facilities manager,Human resources manager,23.4,76.5,47.50,0.00,-1.25,23.75,23.45
Architectural and engineering manager,Training and development specialist,12.8,56.7,12.50,0.00,3.75,6.25,6.02
Training and development manager,Marketing specialist,48.0,61.7,0.00,0.00,0.00,0.00,0.00
Architectural and engineering manager,Administrative services manager,12.8,74.0,0.00,0.00,0.00,0.00,0.00
Architectural and engineering manager,Human resources manager,12.8,76.5,7.50,0.00,2.50,3.75,3.66
Management analyst,Human resources worker,46.6,76.5,7.50,0.00,-3.75,3.75,3.61
Training and development manager,Human resources worker,48.0,76.5,0.00,0.00,0.00,0.00,0.00
Project management specialist,Operations research analyst,47.3,55.0,0.00,0.00,0.00,0.00,0.00
Project management specialist,Financial manager,47.3,56.2,7.50,0.00,0.00,3.75,3.75
Sales manager,Human resources worker,33.1,76.5,0.00,45.00,5.00,22.50,21.38
Facilities manager,Marketing manager,23.4,62.4,55.00,0.00,2.50,27.50,26.81
Facilities manager,Administrative services manager,23.4,74.0,30.00,0.00,5.00,15.00,14.25
Sales manager,Administrative services manager,33.1,74.0,0.00,0.00,0.00,0.00,0.00
