occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,-0.05,-0.43,2.50,0.00,0.19,1.25,1.25
Sales manager,Marketing manager,33.1,62.4,96.46,1.99,-0.72,0.00,30.00,1.35,15.00,14.80
Project management specialist,Training and development specialist,47.3,56.7,96.32,0.95,0.99,5.00,0.00,-0.02,2.50,2.50
Project management specialist,Marketing specialist,47.3,61.7,96.15,1.38,2.42,5.00,0.00,-0.52,2.50,2.49
Project management specialist,Marketing manager,47.3,62.4,95.99,0.63,1.80,5.00,0.00,-0.58,2.50,2.49
Information security analyst,Operations research analyst,19.3,55.0,95.42,1.84,2.02,0.00,0.00,-0.09,0.00,0.00
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,3.40,1.99,0.00,0.00,0.71,0.00,0.00
Management analyst,Marketing manager,46.6,62.4,94.88,0.34,2.15,0.00,0.00,-0.91,0.00,0.00
Sales manager,Public relations manager,33.1,66.4,94.60,3.29,-0.24,0.00,2.50,1.76,1.25,1.23
Management analyst,Marketing specialist,46.6,61.7,94.50,0.91,2.25,0.00,0.00,-0.67,0.00,0.00
Sales manager,Human resources manager,33.1,76.5,94.40,2.31,-0.61,0.00,45.00,1.46,22.50,22.17
Sales manager,Marketing specialist,33.1,61.7,94.34,3.64,-1.67,0.00,5.00,2.65,2.50,2.43
Training and development manager,Marketing manager,48.0,62.4,94.32,0.39,2.03,0.00,0.00,-0.82,0.00,0.00
Training and development manager,Administrative services manager,48.0,74.0,94.24,1.59,1.05,0.00,0.00,0.27,0.00,0.00
Project management specialist,Administrative services manager,47.3,74.0,94.20,1.28,1.94,0.00,0.00,-0.33,0.00,0.00
Purchasing manager,Financial manager,47.7,56.2,94.07,-0.24,1.48,0.00,0.00,-0.86,0.00,0.00
Management analyst,Financial manager,46.6,56.2,94.00,0.12,3.36,2.50,0.00,-1.62,1.25,1.23
Sales manager,Financial manager,33.1,56.2,93.76,1.96,0.26,0.00,2.50,0.85,1.25,1.24
Training and development manager,Human resources manager,48.0,76.5,93.69,0.31,0.40,0.00,7.50,-0.04,3.75,3.75
Project management specialist,Public relations manager,47.3,66.4,93.13,2.07,2.67,2.50,0.00,-0.30,1.25,1.25
Management analyst,Operations research analyst,46.6,55.0,92.92,1.58,1.86,0.00,0.00,-0.14,0.00,0.00
Management analyst,Public relations manager,46.6,66.4,92.91,1.15,3.07,0.00,0.00,-0.96,0.00,0.00
Purchasing manager,Human resources manager,47.7,76.5,92.77,1.16,0.65,0.00,5.00,0.25,2.50,2.49
Training and development manager,Public relations manager,48.0,66.4,92.59,2.39,2.05,0.00,0.00,0.17,0.00,0.00
Purchasing manager,Marketing manager,47.7,62.4,92.52,0.86,0.49,0.00,7.50,0.18,3.75,3.74
Project management specialist,Human resources manager,47.3,76.5,92.47,-0.05,1.30,12.50,7.50,-0.67,10.00,9.93
Purchasing manager,Public relations manager,47.7,66.4,92.38,2.59,1.71,0.00,0.00,0.44,0.00,0.00
Management analyst,Human resources manager,46.6,76.5,92.37,-0.18,1.99,5.00,10.00,-1.08,7.50,7.42
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,1.03,2.23,7.50,0.00,-0.60,3.75,3.73
Financial and investment analyst,Financial manager,43.9,56.2,92.25,0.83,1.81,2.50,0.00,-0.49,1.25,1.24
