occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,0.21,0.18,100.00,75.00,0.01,87.50,87.49
Sales manager,Marketing manager,33.1,62.4,96.46,1.10,-3.94,87.50,100.00,2.52,93.75,91.39
Project management specialist,Training and development specialist,47.3,56.7,96.32,-1.80,-1.03,100.00,100.00,-0.39,100.00,99.61
Project management specialist,Marketing specialist,47.3,61.7,96.15,-3.44,-0.58,100.00,97.50,-1.43,98.75,97.34
Project management specialist,Marketing manager,47.3,62.4,95.99,-1.90,-1.31,100.00,97.50,-0.30,98.75,98.46
Information security analyst,Operations research analyst,19.3,55.0,95.42,-2.31,-3.74,100.00,100.00,0.71,100.00,99.29
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,-1.81,-4.59,100.00,100.00,1.39,100.00,98.61
Management analyst,Marketing manager,46.6,62.4,94.88,-3.42,-0.97,100.00,100.00,-1.23,100.00,98.77
Sales manager,Public relations manager,33.1,66.4,94.60,0.71,-5.44,100.00,100.00,3.07,100.00,96.93
Management analyst,Marketing specialist,46.6,61.7,94.50,-4.26,-0.43,100.00,97.50,-1.91,98.75,96.86
Sales manager,Human resources manager,33.1,76.5,94.40,1.07,-4.28,70.00,100.00,2.68,85.00,82.73
Sales manager,Marketing specialist,33.1,61.7,94.34,1.55,-4.60,100.00,100.00,3.07,100.00,96.93
Training and development manager,Marketing manager,48.0,62.4,94.32,-2.59,-1.21,100.00,100.00,-0.69,100.00,99.31
Training and development manager,Administrative services manager,48.0,74.0,94.24,-0.94,-2.33,100.00,100.00,0.69,100.00,99.31
Project management specialist,Administrative services manager,47.3,74.0,94.20,-1.47,-2.84,100.00,100.00,0.68,100.00,99.32
Purchasing manager,Financial manager,47.7,56.2,94.07,-2.53,0.78,92.50,100.00,-1.66,96.25,94.66
Management analyst,Financial manager,46.6,56.2,94.00,-3.96,0.68,95.00,100.00,-2.32,97.50,95.24
Sales manager,Financial manager,33.1,56.2,93.76,0.18,-3.31,52.50,100.00,1.75,76.25,74.92
Training and development manager,Human resources manager,48.0,76.5,93.69,-0.57,-1.21,87.50,100.00,0.32,93.75,93.45
Project management specialist,Public relations manager,47.3,66.4,93.13,-2.50,-2.98,100.00,100.00,0.24,100.00,99.76
Management analyst,Operations research analyst,46.6,55.0,92.92,-1.96,-1.83,100.00,100.00,-0.07,100.00,99.93
Management analyst,Public relations manager,46.6,66.4,92.91,-4.06,-2.01,100.00,100.00,-1.03,100.00,98.97
Purchasing manager,Human resources manager,47.7,76.5,92.77,-1.71,-1.86,100.00,100.00,0.08,100.00,99.92
Training and development manager,Public relations manager,48.0,66.4,92.59,-1.84,-3.18,97.50,100.00,0.67,98.75,98.09
Purchasing manager,Marketing manager,47.7,62.4,92.52,-1.80,-1.47,92.50,100.00,-0.16,96.25,96.09
Project management specialist,Human resources manager,47.3,76.5,92.47,-1.45,-1.56,97.50,90.00,0.05,93.75,93.70
Purchasing manager,Public relations manager,47.7,66.4,92.38,-3.02,-3.50,100.00,100.00,0.24,100.00,99.76
Management analyst,Human resources manager,46.6,76.5,92.37,-2.11,-0.53,95.00,100.00,-0.79,97.50,96.73
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,-1.74,-3.01,100.00,100.00,0.63,100.00,99.37
Financial and investment analyst,Financial manager,43.9,56.2,92.25,-2.40,0.30,100.00,97.50,-1.35,98.75,97.42
Project management specialist,Human resources worker,47.3,76.5,92.21,-1.29,-1.32,100.00,95.00,0.01,97.50,97.49
Facilities manager,Human resources manager,23.4,76.5,92.06,-1.88,-1.65,100.00,75.00,-0.12,87.50,87.40
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,-0.65,-3.41,100.00,100.00,1.38,100.00,98.62
Training and development manager,Marketing specialist,48.0,61.7,91.94,-3.19,-1.91,100.00,100.00,-0.64,100.00,99.36
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,-0.84,-4.70,100.00,100.00,1.93,100.00,98.07
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,-0.07,-3.25,100.00,100.00,1.59,100.00,98.41
Management analyst,Human resources worker,46.6,76.5,91.64,-1.39,-0.69,100.00,100.00,-0.35,100.00,99.65
Training and development manager,Human resources worker,48.0,76.5,91.58,-0.60,-1.42,100.00,100.00,0.41,100.00,99.59
Project management specialist,Operations research analyst,47.3,55.0,91.31,-1.55,-2.82,100.00,100.00,0.64,100.00,99.36
Project management specialist,Financial manager,47.3,56.2,91.15,-3.96,-1.04,95.00,100.00,-1.46,97.50,96.08
Sales manager,Human resources worker,33.1,76.5,91.09,1.78,-6.21,95.00,100.00,3.99,97.50,93.61
Facilities manager,Marketing manager,23.4,62.4,90.92,-3.64,-1.69,100.00,80.00,-0.98,90.00,89.12
Facilities manager,Administrative services manager,23.4,74.0,90.81,-1.70,-1.77,100.00,92.50,0.03,96.25,96.22
Sales manager,Administrative services manager,33.1,74.0,90.73,0.91,-5.04,100.00,100.00,2.98,100.00,97.02
Management analyst,Administrative services manager,46.6,74.0,90.68,-1.82,-0.93,100.00,100.00,-0.45,100.00,99.55
Purchasing manager,Human resources worker,47.7,76.5,90.36,-1.83,-1.75,100.00,100.00,-0.04,100.00,99.96
Management analyst,Training and development specialist,46.6,56.7,90.32,-2.21,-0.22,100.00,100.00,-1.00,100.00,99.00
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,-1.04,-4.11,100.00,100.00,1.53,100.00,98.47
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,-1.76,-4.21,100.00,100.00,1.22,100.00,98.78
Facilities manager,Public relations manager,23.4,66.4,90.26,-3.20,-4.80,100.00,95.00,0.80,97.50,96.72
Sales manager,Training and development specialist,33.1,56.7,90.18,2.14,-4.07,100.00,97.50,3.10,98.75,95.68
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,-1.91,-4.24,100.00,100.00,1.17,100.00,98.83
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,-3.35,-3.57,100.00,100.00,0.11,100.00,99.89
Purchasing manager,Marketing specialist,47.7,61.7,90.08,-2.35,-2.05,100.00,100.00,-0.15,100.00,99.85
Training and development manager,Financial manager,48.0,56.2,90.06,-4.01,-0.44,95.00,100.00,-1.79,97.50,95.76
Sales manager,Advertising sales agent,33.1,52.7,89.99,1.29,-1.21,100.00,100.00,1.25,100.00,98.75
Management analyst,Accountant,46.6,57.0,89.84,-4.08,-0.95,67.50,97.50,-1.57,82.50,81.21
