occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,27.50,0.00,-1.25,13.75,13.58
Sales manager,Marketing manager,33.1,62.4,0.00,27.50,15.00,13.75,11.69
Project management specialist,Training and development specialist,47.3,56.7,7.50,0.00,1.25,3.75,3.70
Project management specialist,Marketing specialist,47.3,61.7,10.00,0.00,2.50,5.00,4.88
Project management specialist,Marketing manager,47.3,62.4,15.00,5.00,5.00,10.00,9.50
Information security analyst,Operations research analyst,19.3,55.0,0.00,0.00,0.00,0.00,0.00
Financial and investment analyst,Operations research analyst,43.9,55.0,0.00,0.00,0.00,0.00,0.00
Management analyst,Marketing manager,46.6,62.4,0.00,2.50,0.00,1.25,1.25
Sales manager,Public relations manager,33.1,66.4,0.00,2.50,-1.25,1.25,1.23
Management analyst,Marketing specialist,46.6,61.7,30.00,0.00,3.75,15.00,14.44
Sales manager,Human resources manager,33.1,76.5,0.00,37.50,10.00,18.75,16.88
Sales manager,Marketing specialist,33.1,61.7,0.00,2.50,3.75,1.25,1.20
Training and development manager,Marketing manager,48.0,62.4,0.00,0.00,-1.25,0.00,0.00
Training and development manager,Administrative services manager,48.0,74.0,0.00,0.00,0.00,0.00,0.00
Project management specialist,Administrative services manager,47.3,74.0,0.00,0.00,0.00,0.00,0.00
Purchasing manager,Financial manager,47.7,56.2,0.00,12.50,-6.25,6.25,5.86
Management analyst,Financial manager,46.6,56.2,2.50,15.00,-7.50,8.75,8.09
Sales manager,Financial manager,33.1,56.2,0.00,67.50,-2.50,33.75,32.91
Training and development manager,Human resources manager,48.0,76.5,0.00,12.50,-1.25,6.25,6.17
Project management specialist,Public relations manager,47.3,66.4,10.00,0.00,3.75,5.00,4.81
Management analyst,Operations research analyst,46.6,55.0,0.00,0.00,0.00,0.00,0.00
Management analyst,Public relations manager,46.6,66.4,0.00,2.50,0.00,1.25,1.25
Purchasing manager,Human resources manager,47.7,76.5,0.00,0.00,-2.50,0.00,0.00
Training and development manager,Public relations manager,48.0,66.4,0.00,0.00,0.00,0.00,0.00
Purchasing manager,Marketing manager,47.7,62.4,0.00,20.00,-12.50,10.00,8.75
Project management specialist,Human resources manager,47.3,76.5,25.00,20.00,1.25,22.50,22.22
Purchasing manager,Public relations manager,47.7,66.4,0.00,0.00,0.00,0.00,0.00
Management analyst,Human resources manager,46.6,76.5,20.00,10.00,-5.00,15.00,14.25
Architectural and engineering manager,Marketing manager,12.8,62.4,17.50,0.00,1.25,8.75,8.64
Financial and investment analyst,Financial manager,43.9,56.2,0.00,0.00,0.00,0.00,0.00
Project management specialist,Human resources worker,47.3,76.5,25.00,0.00,6.25,12.50,11.72
Facilities manager,Human resources manager,23.4,76.5,55.00,0.00,-1.25,27.50,27.16
Architectural and engineering manager,Training and development specialist,12.8,56.7,35.00,0.00,5.00,17.50,16.62
Training and development manager,Marketing specialist,48.0,61.7,0.00,0.00,0.00,0.00,0.00
Architectural and engineering manager,Administrative services manager,12.8,74.0,5.00,0.00,2.50,2.50,2.44
Architectural and engineering manager,Human resources manager,12.8,76.5,12.50,0.00,1.25,6.25,6.17
Management analyst,Human resources worker,46.6,76.5,25.00,0.00,3.75,12.50,12.03
Training and development manager,Human resources worker,48.0,76.5,0.00,0.00,1.25,0.00,0.00
Project management specialist,Operations research analyst,47.3,55.0,0.00,0.00,0.00,0.00,0.00
Project management specialist,Financial manager,47.3,56.2,5.00,17.50,-7.50,11.25,10.41
Sales manager,Human resources worker,33.1,76.5,0.00,27.50,13.75,13.75,11.86
Facilities manager,Marketing manager,23.4,62.4,45.00,0.00,-1.25,22.50,22.22
Facilities manager,Administrative services manager,23.4,74.0,17.50,0.00,2.50,8.75,8.53
Sales manager,Administrative services manager,33.1,74.0,0.00,0.00,0.00,0.00,0.00
Management analyst,Administrative services manager,46.6,74.0,0.00,0.00,0.00,0.00,0.00
Purchasing manager,Human resources worker,47.7,76.5,0.00,0.00,0.00,0.00,0.00
Management analyst,Training and development specialist,46.6,56.7,10.00,0.00,1.25,5.00,4.94
Architectural and engineering manager,Public relations manager,12.8,66.4,12.50,0.00,1.25,6.25,6.17
Financial and investment analyst,Training and development specialist,43.9,56.7,2.50,0.00,1.25,1.25,1.23
Facilities manager,Public relations manager,23.4,66.4,47.50,0.00,2.50,23.75,23.16
Sales manager,Training and development specialist,33.1,56.7,2.50,7.50,10.00,5.00,4.50
Financial and investment analyst,Administrative services manager,43.9,74.0,0.00,0.00,0.00,0.00,0.00
Architectural and engineering manager,Financial manager,12.8,56.2,20.00,0.00,3.75,10.00,9.62
Purchasing manager,Marketing specialist,47.7,61.7,0.00,2.50,-1.25,1.25,1.23
Training and development manager,Financial manager,48.0,56.2,0.00,25.00,-12.50,12.50,10.94
Sales manager,Advertising sales agent,33.1,52.7,5.00,0.00,0.00,2.50,2.50
Management analyst,Accountant,46.6,57.0,15.00,35.00,-2.50,25.00,24.38
Industrial production manager,Human resources manager,19.1,76.5,27.50,0.00,0.00,13.75,13.75
Facilities manager,Social and community service manager,23.4,71.7,42.50,0.00,2.50,21.25,20.72
Purchasing manager,Administrative services manager,47.7,74.0,0.00,0.00,0.00,0.00,0.00
Industrial production manager,Financial manager,19.1,56.2,37.50,0.00,-3.75,18.75,18.05
Operation manager,Financial manager,37.1,56.2,2.50,50.00,-21.25,26.25,20.67
Industrial production manager,Human resources worker,19.1,76.5,40.00,0.00,3.75,20.00,19.25
Sales manager,Insurance sales agent,33.1,54.9,0.00,0.00,0.00,0.00,0.00
Architectural and engineering manager,Marketing specialist,12.8,61.7,42.50,0.00,3.75,21.25,20.45
Postsecondary teacher,Secondary school teacher,46.6,56.9,40.00,3.33,10.00,21.67,19.50
Facilities manager,Human resources worker,23.4,76.5,75.00,0.00,2.50,37.50,36.56
Software developer,Marketing specialist,20.2,61.7,62.50,0.00,18.75,31.25,25.39
Industrial production manager,Marketing manager,19.1,62.4,30.00,0.00,-1.25,15.00,14.81
Facilities manager,Training and development specialist,23.4,56.7,87.50,0.00,0.00,43.75,43.75
Software developer,Operations research analyst,20.2,55.0,10.00,7.50,7.50,8.75,8.09
Web and digital interface designer,Marketing specialist,42.7,61.7,45.00,0.00,13.75,22.50,19.41
Information security analyst,Administrative services manager,19.3,74.0,5.00,0.00,-2.50,2.50,2.44
Industrial production manager,Operations research analyst,19.1,55.0,2.50,0.00,-1.25,1.25,1.23
Facilities manager,Financial manager,23.4,56.2,47.50,5.00,-8.75,26.25,23.95
Financial and investment analyst,Marketing manager,43.9,62.4,30.00,2.50,11.25,16.25,14.42
