occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,-0.50,-0.22,27.50,0.00,-0.14,13.75,13.73
Sales manager,Marketing manager,33.1,62.4,96.46,3.82,-1.38,0.00,27.50,2.60,13.75,13.39
Project management specialist,Training and development specialist,47.3,56.7,96.32,0.89,1.36,7.50,0.00,-0.24,3.75,3.74
Project management specialist,Marketing specialist,47.3,61.7,96.15,1.22,3.13,10.00,0.00,-0.96,5.00,4.95
Project management specialist,Marketing manager,47.3,62.4,95.99,1.44,1.44,15.00,5.00,-0.00,10.00,10.00
Information security analyst,Operations research analyst,19.3,55.0,95.42,2.26,2.02,0.00,0.00,0.12,0.00,0.00
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,4.15,1.59,0.00,0.00,1.28,0.00,0.00
Management analyst,Marketing manager,46.6,62.4,94.88,1.03,2.49,0.00,2.50,-0.73,1.25,1.24
Sales manager,Public relations manager,33.1,66.4,94.60,5.27,-1.11,0.00,2.50,3.19,1.25,1.21
Management analyst,Marketing specialist,46.6,61.7,94.50,0.68,3.31,30.00,0.00,-1.32,15.00,14.80
Sales manager,Human resources manager,33.1,76.5,94.40,4.10,-1.06,0.00,37.50,2.58,18.75,18.27
Sales manager,Marketing specialist,33.1,61.7,94.34,4.22,-1.91,0.00,2.50,3.06,1.25,1.21
Training and development manager,Marketing manager,48.0,62.4,94.32,1.23,2.50,0.00,0.00,-0.63,0.00,0.00
Training and development manager,Administrative services manager,48.0,74.0,94.24,2.42,0.87,0.00,0.00,0.77,0.00,0.00
Project management specialist,Administrative services manager,47.3,74.0,94.20,2.72,1.46,0.00,0.00,0.63,0.00,0.00
Purchasing manager,Financial manager,47.7,56.2,94.07,-1.33,2.95,0.00,12.50,-2.14,6.25,6.12
Management analyst,Financial manager,46.6,56.2,94.00,-0.42,4.23,2.50,15.00,-2.32,8.75,8.55
Sales manager,Financial manager,33.1,56.2,93.76,3.07,0.03,0.00,67.50,1.52,33.75,33.24
Training and development manager,Human resources manager,48.0,76.5,93.69,0.92,0.83,0.00,12.50,0.04,6.25,6.25
Project management specialist,Public relations manager,47.3,66.4,93.13,2.97,2.23,10.00,0.00,0.37,5.00,4.98
Management analyst,Operations research analyst,46.6,55.0,92.92,1.51,1.86,0.00,0.00,-0.17,0.00,0.00
Management analyst,Public relations manager,46.6,66.4,92.91,2.14,2.74,0.00,2.50,-0.30,1.25,1.25
Purchasing manager,Human resources manager,47.7,76.5,92.77,0.90,2.09,0.00,0.00,-0.59,0.00,0.00
Training and development manager,Public relations manager,48.0,66.4,92.59,3.20,1.74,0.00,0.00,0.73,0.00,0.00
Purchasing manager,Marketing manager,47.7,62.4,92.52,0.90,1.98,0.00,20.00,-0.54,10.00,9.95
Project management specialist,Human resources manager,47.3,76.5,92.47,1.23,1.52,25.00,20.00,-0.15,22.50,22.47
Purchasing manager,Public relations manager,47.7,66.4,92.38,2.20,3.05,0.00,0.00,-0.43,0.00,0.00
Management analyst,Human resources manager,46.6,76.5,92.37,0.65,2.37,20.00,10.00,-0.86,15.00,14.87
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,1.48,2.44,17.50,0.00,-0.48,8.75,8.71
Financial and investment analyst,Financial manager,43.9,56.2,92.25,-0.34,2.01,0.00,0.00,-1.17,0.00,0.00
Project management specialist,Human resources worker,47.3,76.5,92.21,1.06,1.91,25.00,0.00,-0.42,12.50,12.45
Facilities manager,Human resources manager,23.4,76.5,92.06,1.22,3.24,55.00,0.00,-1.01,27.50,27.22
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,1.71,1.04,35.00,0.00,0.33,17.50,17.44
Training and development manager,Marketing specialist,48.0,61.7,91.94,2.60,3.25,0.00,0.00,-0.32,0.00,0.00
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,3.13,1.94,5.00,0.00,0.60,2.50,2.49
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,1.92,1.07,12.50,0.00,0.42,6.25,6.22
Management analyst,Human resources worker,46.6,76.5,91.64,0.75,1.89,25.00,0.00,-0.57,12.50,12.43
Training and development manager,Human resources worker,48.0,76.5,91.58,0.71,0.97,0.00,0.00,-0.13,0.00,0.00
Project management specialist,Operations research analyst,47.3,55.0,91.31,2.37,1.44,0.00,0.00,0.47,0.00,0.00
Project management specialist,Financial manager,47.3,56.2,91.15,0.88,3.56,5.00,17.50,-1.34,11.25,11.10
Sales manager,Human resources worker,33.1,76.5,91.09,4.53,-2.15,0.00,27.50,3.34,13.75,13.29
Facilities manager,Marketing manager,23.4,62.4,90.92,0.68,4.19,45.00,0.00,-1.75,22.50,22.11
Facilities manager,Administrative services manager,23.4,74.0,90.81,1.87,1.85,17.50,0.00,0.01,8.75,8.75
Sales manager,Administrative services manager,33.1,74.0,90.73,5.55,-1.03,0.00,0.00,3.29,0.00,0.00
Management analyst,Administrative services manager,46.6,74.0,90.68,1.19,1.37,0.00,0.00,-0.09,0.00,0.00
Purchasing manager,Human resources worker,47.7,76.5,90.36,0.19,2.38,0.00,0.00,-1.10,0.00,0.00
Management analyst,Training and development specialist,46.6,56.7,90.32,0.05,1.24,10.00,0.00,-0.60,5.00,4.97
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,1.88,1.74,12.50,0.00,0.07,6.25,6.25
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,3.70,1.19,2.50,0.00,1.25,1.25,1.23
Facilities manager,Public relations manager,23.4,66.4,90.26,2.44,3.47,47.50,0.00,-0.52,23.75,23.63
Sales manager,Training and development specialist,33.1,56.7,90.18,3.53,-2.30,2.50,7.50,2.91,5.00,4.85
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,3.57,1.23,0.00,0.00,1.17,0.00,0.00
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,1.90,3.87,20.00,0.00,-0.99,10.00,9.90
Purchasing manager,Marketing specialist,47.7,61.7,90.08,1.01,2.40,0.00,2.50,-0.70,1.25,1.24
Training and development manager,Financial manager,48.0,56.2,90.06,0.50,4.05,0.00,25.00,-1.78,12.50,12.28
Sales manager,Advertising sales agent,33.1,52.7,89.99,0.22,-1.96,5.00,0.00,1.09,2.50,2.47
Management analyst,Accountant,46.6,57.0,89.84,0.26,3.68,15.00,35.00,-1.71,25.00,24.57
Industrial production manager,Human resources manager,19.1,76.5,89.80,0.91,2.97,27.50,0.00,-1.03,13.75,13.61
Facilities manager,Social and community service manager,23.4,71.7,89.67,2.75,1.62,42.50,0.00,0.56,21.25,21.13
Purchasing manager,Administrative services manager,47.7,74.0,89.51,2.64,1.80,0.00,0.00,0.42,0.00,0.00
Industrial production manager,Financial manager,19.1,56.2,89.51,-0.02,5.18,37.50,0.00,-2.60,18.75,18.26
Operation manager,Financial manager,37.1,56.2,89.31,-0.88,3.74,2.50,50.00,-2.31,26.25,25.64
Industrial production manager,Human resources worker,19.1,76.5,89.29,1.03,2.82,40.00,0.00,-0.89,20.00,19.82
Sales manager,Insurance sales agent,33.1,54.9,89.13,1.21,-0.70,0.00,0.00,0.95,0.00,0.00
Architectural and engineering manager,Marketing specialist,12.8,61.7,89.09,1.70,1.96,42.50,0.00,-0.13,21.25,21.22
Postsecondary teacher,Secondary school teacher,46.6,56.9,89.04,0.44,-2.06,40.00,3.33,1.25,21.67,21.40
Facilities manager,Human resources worker,23.4,76.5,88.96,0.65,2.07,75.00,0.00,-0.71,37.50,37.23
Software developer,Marketing specialist,20.2,61.7,88.94,5.45,-0.42,62.50,0.00,2.94,31.25,30.33
Industrial production manager,Marketing manager,19.1,62.4,88.93,-0.06,3.97,30.00,0.00,-2.02,15.00,14.70
Facilities manager,Training and development specialist,23.4,56.7,88.90,0.78,0.90,87.50,0.00,-0.06,43.75,43.72
Software developer,Operations research analyst,20.2,55.0,88.88,6.04,-1.35,10.00,7.50,3.69,8.75,8.43
Web and digital interface designer,Marketing specialist,42.7,61.7,88.62,2.90,-0.80,45.00,0.00,1.85,22.50,22.08
Information security analyst,Administrative services manager,19.3,74.0,88.53,1.63,1.95,5.00,0.00,-0.16,2.50,2.50
Industrial production manager,Operations research analyst,19.1,55.0,88.39,2.36,3.15,2.50,0.00,-0.40,1.25,1.25
Facilities manager,Financial manager,23.4,56.2,88.37,-0.64,4.93,47.50,5.00,-2.78,26.25,25.52
Financial and investment analyst,Marketing manager,43.9,62.4,88.36,3.43,0.89,30.00,2.50,1.27,16.25,16.04
Industrial production manager,Public relations manager,19.1,66.4,88.35,0.97,3.66,25.00,0.00,-1.34,12.50,12.33
Project management specialist,Public relations specialist,47.3,76.2,88.35,1.94,0.74,2.50,0.00,0.60,1.25,1.24
Industrial production manager,Administrative services manager,19.1,74.0,88.30,2.05,2.32,2.50,0.00,-0.14,1.25,1.25
Facilities manager,Marketing specialist,23.4,61.7,88.28,1.68,3.27,75.00,0.00,-0.79,37.50,37.20
Financial and investment analyst,Marketing specialist,43.9,61.7,88.28,3.65,2.25,50.00,0.00,0.70,25.00,24.83
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,88.18,4.36,-0.13,0.00,0.00,2.24,0.00,0.00
Operation manager,Marketing manager,37.1,62.4,88.12,0.21,2.74,22.50,12.50,-1.27,17.50,17.28
Industrial production manager,Training and development specialist,19.1,56.7,88.10,3.06,2.10,15.00,0.00,0.48,7.50,7.46
Purchasing manager,Accountant,47.7,57.0,88.07,0.88,3.40,2.50,25.00,-1.26,13.75,13.58
Financial and investment analyst,Insurance underwriter,43.9,56.9,88.04,2.36,1.37,2.50,0.00,0.50,1.25,1.24
Financial and investment analyst,Public relations manager,43.9,66.4,87.91,4.35,1.90,5.00,0.00,1.23,2.50,2.47
Chemical engineer,Medical scientist,21.6,51.8,87.70,-0.47,2.30,7.50,44.74,-1.38,26.12,25.76
Operation manager,Human resources manager,37.1,76.5,87.61,-0.19,3.26,7.50,25.00,-1.72,16.25,15.97
Architectural and engineering manager,Human resources worker,12.8,76.5,87.58,1.73,1.28,35.00,0.00,0.22,17.50,17.46
Operation manager,Public relations manager,37.1,66.4,87.47,1.00,2.60,7.50,2.50,-0.80,5.00,4.96
Training and development manager,Social and community service manager,48.0,71.7,87.29,2.98,0.87,0.00,0.00,1.06,0.00,0.00
Financial and investment analyst,Accountant,43.9,57.0,87.27,1.44,1.77,12.50,7.50,-0.17,10.00,9.98
Financial and investment analyst,Human resources manager,43.9,76.5,87.23,3.21,0.47,20.00,0.00,1.37,10.00,9.86
Training and development manager,Insurance claims and policy processing clerk,48.0,80.1,87.11,2.40,1.43,0.00,0.00,0.48,0.00,0.00
Purchasing manager,Training and development specialist,47.7,56.7,86.71,-0.53,1.93,2.50,0.00,-1.23,1.25,1.23
Web developer,Graphic designer,19.4,54.7,86.62,1.28,-2.76,97.50,62.16,2.02,79.83,78.22
Purchasing manager,Social and community service manager,47.7,71.7,86.53,2.61,1.07,0.00,2.50,0.77,1.25,1.24
Chemical engineer,Biological scientist,21.6,55.0,86.36,3.57,-0.20,2.50,5.41,1.89,3.95,3.88
Dentist,Dental hygienist,39.5,95.7,86.25,5.14,-14.99,73.68,100.00,10.07,86.84,78.10
Software quality tester,Operations research analyst,44.1,55.0,86.23,1.80,1.08,0.00,0.00,0.36,0.00,0.00
Web and digital interface designer,Graphic designer,42.7,54.7,86.19,-0.24,-3.52,30.00,70.27,1.64,50.14,49.31
Information security analyst,Training and development specialist,19.3,56.7,85.97,0.98,0.92,5.00,0.00,0.03,2.50,2.50
Software developer,Graphic designer,20.2,54.7,85.82,2.58,-1.80,32.50,56.76,2.19,44.63,43.65
Architectural and engineering manager,Social and community service manager,12.8,71.7,85.81,3.63,0.80,15.00,0.00,1.41,7.50,7.39
Web and digital interface designer,Operations research analyst,42.7,55.0,85.73,4.68,-1.36,0.00,5.00,3.02,2.50,2.42
First-line supervisor of non-retail sales workers,Supervisor of personal care and service workers,35.9,65.8,85.68,1.70,-0.88,0.00,0.00,1.29,0.00,0.00
Lawyer,Paralegal,39.5,83.0,85.66,3.65,-4.48,90.00,62.50,4.07,76.25,73.15
Architectural and engineering manager,Operations research analyst,12.8,55.0,85.62,2.12,1.49,0.00,0.00,0.32,0.00,0.00
Operation manager,Social and community service manager,37.1,71.7,85.47,1.62,2.08,0.00,12.50,-0.23,6.25,6.24
Industrial production manager,Social and community service manager,19.1,71.7,85.20,3.08,2.60,12.50,0.00,0.24,6.25,6.23
First-line supervisor of non-retail sales workers,Human resources worker,35.9,76.5,85.15,-0.13,1.53,0.00,0.00,-0.83,0.00,0.00
Property assessor,Insurance underwriter,34.2,56.9,85.13,-0.05,1.02,5.00,0.00,-0.54,2.50,2.49
Operation manager,Human resources worker,37.1,76.5,84.98,-0.42,3.93,12.50,0.00,-2.18,6.25,6.11
Computer systems analyst,Operations research analyst,37.8,55.0,84.96,2.22,1.71,0.00,0.00,0.25,0.00,0.00
Building cleaner,Housekeeping cleaner,38.7,88.4,84.95,4.13,-2.99,66.67,60.00,3.56,63.33,61.08
Postsecondary teacher,School psychologist,46.6,87.9,84.73,-0.30,1.76,62.50,3.12,-1.03,32.81,32.47
Industrial production manager,Accountant,19.1,57.0,84.49,1.22,4.75,57.50,2.50,-1.76,30.00,29.47
Food service manager,First-line supervisor of food preparation and serving workers,46.7,53.5,84.49,1.77,-2.50,2.50,0.00,2.13,1.25,1.22
Facilities manager,Social and human service assistant,23.4,75.3,84.45,6.30,1.00,27.50,0.00,2.65,13.75,13.39
Chemical technician,Medical scientist,35.0,51.8,84.20,-1.71,4.40,60.71,39.47,-3.06,50.09,48.56
Counter and rental clerk,Order clerk,38.7,58.3,84.14,1.97,0.77,12.50,0.00,0.60,6.25,6.21
Postsecondary teacher,Elementary and middle school teacher,46.6,78.6,83.91,2.06,-3.18,5.00,3.45,2.62,4.22,4.11
Chemical technician,Biological scientist,35.0,55.0,83.89,1.06,1.98,0.00,2.70,-0.46,1.35,1.35
Cost estimator,Accountant,17.7,57.0,83.72,2.16,1.78,17.50,45.00,0.19,31.25,31.19
Postsecondary teacher,Teaching assistant,46.6,79.5,83.68,1.54,1.00,47.50,27.50,0.27,37.50,37.40
Food service manager,Food preparation worker,46.7,58.7,83.62,2.23,-1.87,32.50,17.50,2.05,25.00,24.49
Operation manager,Accountant,37.1,57.0,83.57,-0.62,4.35,25.00,37.50,-2.48,31.25,30.47
First-line supervisor of non-retail sales workers,Payroll and timekeeping clerk,35.9,88.2,83.54,1.82,0.46,0.00,0.00,0.68,0.00,0.00
First-line supervisor of non-retail sales workers,Insurance sales agent,35.9,54.9,83.35,0.89,3.75,0.00,0.00,-1.43,0.00,0.00
Software developer,Advertising sales agent,20.2,52.7,83.02,7.03,1.22,52.50,3.85,2.90,28.17,27.36
First-line supervisor of retail sales workers,First-line supervisor of office and administrative support workers,44.6,65.8,82.90,2.68,-0.33,0.00,0.00,1.50,0.00,0.00
First-line supervisor of non-retail sales workers,Insurance claims and policy processing clerk,35.9,80.1,82.90,2.48,2.18,0.00,0.00,0.15,0.00,0.00
Cost estimator,Insurance underwriter,17.7,56.9,82.88,1.11,1.02,25.00,0.00,0.05,12.50,12.49
