occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,-0.15,0.42,100.00,90.00,-0.28,95.00,94.73
Sales manager,Marketing manager,33.1,62.4,96.46,1.78,-1.59,90.00,100.00,1.68,95.00,93.40
Project management specialist,Training and development specialist,47.3,56.7,96.32,-0.23,0.21,100.00,100.00,-0.22,100.00,99.78
Project management specialist,Marketing specialist,47.3,61.7,96.15,-0.07,1.15,100.00,97.50,-0.61,98.75,98.15
Project management specialist,Marketing manager,47.3,62.4,95.99,0.98,-0.21,100.00,95.00,0.59,97.50,96.92
Information security analyst,Operations research analyst,19.3,55.0,95.42,0.01,-0.83,100.00,100.00,0.42,100.00,99.58
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,1.00,-1.04,100.00,100.00,1.02,100.00,98.98
Management analyst,Marketing manager,46.6,62.4,94.88,0.02,-0.24,100.00,100.00,0.13,100.00,99.87
Sales manager,Public relations manager,33.1,66.4,94.60,1.95,-1.77,100.00,100.00,1.86,100.00,98.14
Management analyst,Marketing specialist,46.6,61.7,94.50,-0.73,0.39,100.00,97.50,-0.56,98.75,98.19
Sales manager,Human resources manager,33.1,76.5,94.40,1.94,-1.72,72.50,100.00,1.83,86.25,84.67
Sales manager,Marketing specialist,33.1,61.7,94.34,1.57,-1.00,100.00,100.00,1.28,100.00,98.72
Training and development manager,Marketing manager,48.0,62.4,94.32,-0.34,-0.13,100.00,100.00,-0.10,100.00,99.90
Training and development manager,Administrative services manager,48.0,74.0,94.24,0.01,-0.01,100.00,100.00,0.01,100.00,99.99
Project management specialist,Administrative services manager,47.3,74.0,94.20,0.58,-0.77,100.00,100.00,0.68,100.00,99.32
Purchasing manager,Financial manager,47.7,56.2,94.07,-1.30,3.49,95.00,100.00,-2.40,97.50,95.16
Management analyst,Financial manager,46.6,56.2,94.00,-0.71,2.01,100.00,100.00,-1.36,100.00,98.64
Sales manager,Financial manager,33.1,56.2,93.76,0.82,0.85,62.50,100.00,-0.01,81.25,81.24
Training and development manager,Human resources manager,48.0,76.5,93.69,0.28,-0.30,95.00,100.00,0.29,97.50,97.22
Project management specialist,Public relations manager,47.3,66.4,93.13,1.12,-0.75,100.00,100.00,0.93,100.00,99.07
Management analyst,Operations research analyst,46.6,55.0,92.92,-0.11,-0.12,100.00,100.00,0.00,100.00,100.00
Management analyst,Public relations manager,46.6,66.4,92.91,0.21,-0.72,100.00,100.00,0.46,100.00,99.54
Purchasing manager,Human resources manager,47.7,76.5,92.77,-0.51,0.66,100.00,100.00,-0.58,100.00,99.42
