occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,7.50,0.00,-3.75,3.75,3.61
Sales manager,Marketing manager,33.1,62.4,0.00,27.50,11.25,13.75,12.20
Project management specialist,Training and development specialist,47.3,56.7,7.50,0.00,1.25,3.75,3.70
Project management specialist,Marketing specialist,47.3,61.7,17.50,0.00,3.75,8.75,8.42
Project management specialist,Marketing manager,47.3,62.4,17.50,2.50,6.25,10.00,9.37
Information security analyst,Operations research analyst,19.3,55.0,0.00,0.00,0.00,0.00,0.00
Financial and investment analyst,Operations research analyst,43.9,55.0,0.00,0.00,0.00,0.00,0.00
Management analyst,Marketing manager,46.6,62.4,5.00,2.50,0.00,3.75,3.75
Sales manager,Public relations manager,33.1,66.4,0.00,7.50,1.25,3.75,3.70
Management analyst,Marketing specialist,46.6,61.7,30.00,0.00,2.50,15.00,14.62
Sales manager,Human resources manager,33.1,76.5,0.00,37.50,15.00,18.75,15.94
Sales manager,Marketing specialist,33.1,61.7,0.00,0.00,0.00,0.00,0.00
Training and development manager,Marketing manager,48.0,62.4,0.00,0.00,0.00,0.00,0.00
Training and development manager,Administrative services manager,48.0,74.0,0.00,0.00,0.00,0.00,0.00
Project management specialist,Administrative services manager,47.3,74.0,0.00,0.00,0.00,0.00,0.00
Purchasing manager,Financial manager,47.7,56.2,0.00,5.00,-2.50,2.50,2.44
Management analyst,Financial manager,46.6,56.2,0.00,0.00,0.00,0.00,0.00
Sales manager,Financial manager,33.1,56.2,0.00,62.50,0.00,31.25,31.25
Training and development manager,Human resources manager,48.0,76.5,0.00,5.00,-1.25,2.50,2.47
Project management specialist,Public relations manager,47.3,66.4,12.50,0.00,3.75,6.25,6.02
Management analyst,Operations research analyst,46.6,55.0,0.00,0.00,0.00,0.00,0.00
Management analyst,Public relations manager,46.6,66.4,2.50,2.50,-1.25,2.50,2.47
Purchasing manager,Human resources manager,47.7,76.5,0.00,0.00,0.00,0.00,0.00
Training and development manager,Public relations manager,48.0,66.4,0.00,0.00,0.00,0.00,0.00
Purchasing manager,Marketing manager,47.7,62.4,0.00,10.00,-3.75,5.00,4.81
Project management specialist,Human resources manager,47.3,76.5,27.50,2.50,7.50,15.00,13.88
Purchasing manager,Public relations manager,47.7,66.4,0.00,0.00,0.00,0.00,0.00
Management analyst,Human resources manager,46.6,76.5,20.00,0.00,2.50,10.00,9.75
Architectural and engineering manager,Marketing manager,12.8,62.4,22.50,0.00,1.25,11.25,11.11
Financial and investment analyst,Financial manager,43.9,56.2,2.50,0.00,-1.25,1.25,1.23
Project management specialist,Human resources worker,47.3,76.5,25.00,0.00,6.25,12.50,11.72
Facilities manager,Human resources manager,23.4,76.5,65.00,0.00,-1.25,32.50,32.09
Architectural and engineering manager,Training and development specialist,12.8,56.7,37.50,0.00,6.25,18.75,17.58
Training and development manager,Marketing specialist,48.0,61.7,0.00,0.00,0.00,0.00,0.00
Architectural and engineering manager,Administrative services manager,12.8,74.0,5.00,0.00,1.25,2.50,2.47
Architectural and engineering manager,Human resources manager,12.8,76.5,15.00,0.00,0.00,7.50,7.50
Management analyst,Human resources worker,46.6,76.5,22.50,0.00,3.75,11.25,10.83
Training and development manager,Human resources worker,48.0,76.5,0.00,0.00,0.00,0.00,0.00
Project management specialist,Operations research analyst,47.3,55.0,0.00,0.00,0.00,0.00,0.00
Project management specialist,Financial manager,47.3,56.2,2.50,7.50,-3.75,5.00,4.81
