occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,-0.57,0.11,7.50,0.00,-0.34,3.75,3.74
Sales manager,Marketing manager,33.1,62.4,96.46,1.44,-2.12,0.00,27.50,1.78,13.75,13.51
Project management specialist,Training and development specialist,47.3,56.7,96.32,0.01,0.13,7.50,0.00,-0.06,3.75,3.75
Project management specialist,Marketing specialist,47.3,61.7,96.15,-0.28,0.55,17.50,0.00,-0.42,8.75,8.71
Project management specialist,Marketing manager,47.3,62.4,95.99,0.65,-0.79,17.50,2.50,0.72,10.00,9.93
Information security analyst,Operations research analyst,19.3,55.0,95.42,-0.05,-0.41,0.00,0.00,0.18,0.00,0.00
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,0.54,-0.70,0.00,0.00,0.62,0.00,0.00
Management analyst,Marketing manager,46.6,62.4,94.88,0.50,0.08,5.00,2.50,0.21,3.75,3.74
Sales manager,Public relations manager,33.1,66.4,94.60,1.61,-2.26,0.00,7.50,1.94,3.75,3.68
Management analyst,Marketing specialist,46.6,61.7,94.50,-0.11,0.76,30.00,0.00,-0.44,15.00,14.93
Sales manager,Human resources manager,33.1,76.5,94.40,1.58,-1.93,0.00,37.50,1.76,18.75,18.42
Sales manager,Marketing specialist,33.1,61.7,94.34,0.76,-1.30,0.00,0.00,1.03,0.00,0.00
Training and development manager,Marketing manager,48.0,62.4,94.32,-0.04,0.46,0.00,0.00,-0.25,0.00,0.00
Training and development manager,Administrative services manager,48.0,74.0,94.24,0.20,-0.02,0.00,0.00,0.11,0.00,0.00
Project management specialist,Administrative services manager,47.3,74.0,94.20,1.18,-0.66,0.00,0.00,0.92,0.00,0.00
Purchasing manager,Financial manager,47.7,56.2,94.07,-3.13,1.55,0.00,5.00,-2.34,2.50,2.44
Management analyst,Financial manager,46.6,56.2,94.00,-1.59,1.15,0.00,0.00,-1.37,0.00,0.00
Sales manager,Financial manager,33.1,56.2,93.76,-0.48,-0.46,0.00,62.50,-0.01,31.25,31.25
Training and development manager,Human resources manager,48.0,76.5,93.69,-0.02,0.10,0.00,5.00,-0.06,2.50,2.50
Project management specialist,Public relations manager,47.3,66.4,93.13,0.74,-0.85,12.50,0.00,0.80,6.25,6.20
Management analyst,Operations research analyst,46.6,55.0,92.92,-0.38,0.16,0.00,0.00,-0.27,0.00,0.00
Management analyst,Public relations manager,46.6,66.4,92.91,0.78,-0.61,2.50,2.50,0.69,2.50,2.48
Purchasing manager,Human resources manager,47.7,76.5,92.77,-0.97,0.87,0.00,0.00,-0.92,0.00,0.00
Training and development manager,Public relations manager,48.0,66.4,92.59,0.28,-0.37,0.00,0.00,0.32,0.00,0.00
Purchasing manager,Marketing manager,47.7,62.4,92.52,-0.92,0.95,0.00,10.00,-0.94,5.00,4.95
Project management specialist,Human resources manager,47.3,76.5,92.47,0.94,-0.73,27.50,2.50,0.83,15.00,14.88
Purchasing manager,Public relations manager,47.7,66.4,92.38,-1.33,0.55,0.00,0.00,-0.94,0.00,0.00
Management analyst,Human resources manager,46.6,76.5,92.37,0.38,0.07,20.00,0.00,0.15,10.00,9.98
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,0.23,-0.01,22.50,0.00,0.12,11.25,11.24
Financial and investment analyst,Financial manager,43.9,56.2,92.25,-1.92,0.10,2.50,0.00,-1.01,1.25,1.24
Project management specialist,Human resources worker,47.3,76.5,92.21,0.92,-0.68,25.00,0.00,0.80,12.50,12.40
Facilities manager,Human resources manager,23.4,76.5,92.06,-0.39,1.66,65.00,0.00,-1.02,32.50,32.17
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,0.48,0.25,37.50,0.00,0.12,18.75,18.73
Training and development manager,Marketing specialist,48.0,61.7,91.94,0.16,1.09,0.00,0.00,-0.46,0.00,0.00
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,0.80,0.05,5.00,0.00,0.38,2.50,2.49
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,1.01,-0.58,15.00,0.00,0.79,7.50,7.44
Management analyst,Human resources worker,46.6,76.5,91.64,0.87,-0.21,22.50,0.00,0.54,11.25,11.19
Training and development manager,Human resources worker,48.0,76.5,91.58,0.21,-0.35,0.00,0.00,0.28,0.00,0.00
Project management specialist,Operations research analyst,47.3,55.0,91.31,0.20,0.27,0.00,0.00,-0.04,0.00,0.00
Project management specialist,Financial manager,47.3,56.2,91.15,-0.83,0.90,2.50,7.50,-0.87,5.00,4.96
Sales manager,Human resources worker,33.1,76.5,91.09,1.63,-2.47,0.00,15.00,2.05,7.50,7.35
Facilities manager,Marketing manager,23.4,62.4,90.92,-1.34,1.72,65.00,0.00,-1.53,32.50,32.00
Facilities manager,Administrative services manager,23.4,74.0,90.81,-0.26,0.64,15.00,0.00,-0.45,7.50,7.47
