occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,2.50,0.00,1.25,1.25,1.23
Sales manager,Marketing manager,33.1,62.4,15.00,50.00,25.00,32.50,24.38
Project management specialist,Training and development specialist,47.3,56.7,75.00,67.50,11.25,71.25,63.23
Project management specialist,Marketing specialist,47.3,61.7,65.00,62.50,20.00,63.75,51.00
Project management specialist,Marketing manager,47.3,62.4,2.50,87.50,5.00,45.00,42.75
Information security analyst,Operations research analyst,19.3,55.0,100.00,25.00,5.00,62.50,59.38
Financial and investment analyst,Operations research analyst,43.9,55.0,97.50,30.00,-3.75,63.75,61.36
Management analyst,Marketing manager,46.6,62.4,30.00,70.00,2.50,50.00,48.75
Sales manager,Public relations manager,33.1,66.4,17.50,57.50,10.00,37.50,33.75
Management analyst,Marketing specialist,46.6,61.7,85.00,32.50,8.75,58.75,53.61
Sales manager,Human resources manager,33.1,76.5,22.50,50.00,11.25,36.25,32.17
Sales manager,Marketing specialist,33.1,61.7,80.00,10.00,11.25,45.00,39.94
Training and development manager,Marketing manager,48.0,62.4,52.50,75.00,2.50,63.75,62.16
Training and development manager,Administrative services manager,48.0,74.0,87.50,62.50,15.00,75.00,63.75
Project management specialist,Administrative services manager,47.3,74.0,37.50,80.00,10.00,58.75,52.88
Purchasing manager,Financial manager,47.7,56.2,0.00,95.00,13.75,47.50,40.97
Management analyst,Financial manager,46.6,56.2,0.00,92.50,3.75,46.25,44.52
Sales manager,Financial manager,33.1,56.2,0.00,87.50,6.25,43.75,41.02
Training and development manager,Human resources manager,48.0,76.5,5.00,25.00,6.25,15.00,14.06
Project management specialist,Public relations manager,47.3,66.4,7.50,92.50,10.00,50.00,45.00
Management analyst,Operations research analyst,46.6,55.0,50.00,52.50,-3.75,51.25,49.33
Management analyst,Public relations manager,46.6,66.4,27.50,80.00,12.50,53.75,47.03
Purchasing manager,Human resources manager,47.7,76.5,0.00,62.50,12.50,31.25,27.34
Training and development manager,Public relations manager,48.0,66.4,15.00,77.50,8.75,46.25,42.20
Purchasing manager,Marketing manager,47.7,62.4,5.00,90.00,11.25,47.50,42.16
Project management specialist,Human resources manager,47.3,76.5,27.50,62.50,7.50,45.00,41.62
Purchasing manager,Public relations manager,47.7,66.4,0.00,85.00,17.50,42.50,35.06
Management analyst,Human resources manager,46.6,76.5,22.50,52.50,10.00,37.50,33.75
Architectural and engineering manager,Marketing manager,12.8,62.4,92.50,22.50,17.50,57.50,47.44
Financial and investment analyst,Financial manager,43.9,56.2,45.00,0.00,-6.25,22.50,21.09
Project management specialist,Human resources worker,47.3,76.5,52.50,47.50,18.75,50.00,40.62
Facilities manager,Human resources manager,23.4,76.5,10.00,62.50,16.25,36.25,30.36
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.50,27.50,10.00,60.00,54.00
Training and development manager,Marketing specialist,48.0,61.7,90.00,12.50,12.50,51.25,44.84
Architectural and engineering manager,Administrative services manager,12.8,74.0,95.00,62.50,23.75,78.75,60.05
Architectural and engineering manager,Human resources manager,12.8,76.5,95.00,40.00,7.50,67.50,62.44
Management analyst,Human resources worker,46.6,76.5,72.50,17.50,10.00,45.00,40.50
Training and development manager,Human resources worker,48.0,76.5,52.50,0.00,0.00,26.25,26.25
Project management specialist,Operations research analyst,47.3,55.0,5.00,95.00,0.00,50.00,50.00
Project management specialist,Financial manager,47.3,56.2,0.00,95.00,2.50,47.50,46.31
Sales manager,Human resources worker,33.1,76.5,45.00,30.00,10.00,37.50,33.75
Facilities manager,Marketing manager,23.4,62.4,35.00,85.00,21.25,60.00,47.25
Facilities manager,Administrative services manager,23.4,74.0,12.50,70.00,36.25,41.25,26.30
Sales manager,Administrative services manager,33.1,74.0,65.00,60.00,22.50,62.50,48.44
Management analyst,Administrative services manager,46.6,74.0,37.50,35.00,17.50,36.25,29.91
Purchasing manager,Human resources worker,47.7,76.5,10.00,40.00,16.25,25.00,20.94
Management analyst,Training and development specialist,46.6,56.7,75.00,45.00,7.50,60.00,55.50
Architectural and engineering manager,Public relations manager,12.8,66.4,90.00,45.00,20.00,67.50,54.00
Financial and investment analyst,Training and development specialist,43.9,56.7,100.00,12.50,-3.75,56.25,54.14
Facilities manager,Public relations manager,23.4,66.4,7.50,90.00,18.75,48.75,39.61
Sales manager,Training and development specialist,33.1,56.7,70.00,50.00,11.25,60.00,53.25
Financial and investment analyst,Administrative services manager,43.9,74.0,97.50,10.00,-2.50,53.75,52.41
Architectural and engineering manager,Financial manager,12.8,56.2,95.00,70.00,2.50,82.50,80.44
Purchasing manager,Marketing specialist,47.7,61.7,47.50,67.50,11.25,57.50,51.03
Training and development manager,Financial manager,48.0,56.2,32.50,85.00,-18.75,58.75,47.73
Sales manager,Advertising sales agent,33.1,52.7,27.50,7.69,7.58,17.60,16.26
Management analyst,Accountant,46.6,57.0,50.00,17.50,-18.75,33.75,27.42
Industrial production manager,Human resources manager,19.1,76.5,47.50,57.50,21.25,52.50,41.34
Facilities manager,Social and community service manager,23.4,71.7,22.50,25.00,25.00,23.75,17.81
Purchasing manager,Administrative services manager,47.7,74.0,17.50,82.50,12.50,50.00,43.75
Industrial production manager,Financial manager,19.1,56.2,45.00,95.00,5.00,70.00,66.50
Operation manager,Financial manager,37.1,56.2,32.50,97.50,8.75,65.00,59.31
Industrial production manager,Human resources worker,19.1,76.5,57.50,22.50,20.00,40.00,32.00
Sales manager,Insurance sales agent,33.1,54.9,7.50,9.09,-3.23,8.30,8.03
Architectural and engineering manager,Marketing specialist,12.8,61.7,95.00,0.00,3.75,47.50,45.72
Postsecondary teacher,Secondary school teacher,46.6,56.9,75.00,20.00,4.29,47.50,45.46
Facilities manager,Human resources worker,23.4,76.5,35.00,50.00,30.00,42.50,29.75
Software developer,Marketing specialist,20.2,61.7,100.00,2.50,8.75,51.25,46.77
Industrial production manager,Marketing manager,19.1,62.4,57.50,90.00,17.50,73.75,60.84
Facilities manager,Training and development specialist,23.4,56.7,40.00,60.00,31.25,50.00,34.38
Software developer,Operations research analyst,20.2,55.0,80.00,35.00,0.00,57.50,57.50
Web and digital interface designer,Marketing specialist,42.7,61.7,100.00,0.00,3.75,50.00,48.12
Information security analyst,Administrative services manager,19.3,74.0,100.00,42.50,11.25,71.25,63.23
Industrial production manager,Operations research analyst,19.1,55.0,42.50,72.50,13.75,57.50,49.59
Facilities manager,Financial manager,23.4,56.2,10.00,95.00,15.00,52.50,44.62
Financial and investment analyst,Marketing manager,43.9,62.4,95.00,0.00,-2.50,47.50,46.31
Industrial production manager,Public relations manager,19.1,66.4,37.50,87.50,15.00,62.50,53.12
Project management specialist,Public relations specialist,47.3,76.2,42.50,80.00,17.50,61.25,50.53
Industrial production manager,Administrative services manager,19.1,74.0,52.50,60.00,23.75,56.25,42.89
Facilities manager,Marketing specialist,23.4,61.7,65.00,70.00,36.25,67.50,43.03
Financial and investment analyst,Marketing specialist,43.9,61.7,100.00,0.00,-2.50,50.00,48.75
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,92.86,96.30,1.82,94.58,92.86
Operation manager,Marketing manager,37.1,62.4,55.00,87.50,13.75,71.25,61.45
Industrial production manager,Training and development specialist,19.1,56.7,67.50,50.00,23.75,58.75,44.80
Purchasing manager,Accountant,47.7,57.0,7.50,47.50,2.50,27.50,26.81
Financial and investment analyst,Insurance underwriter,43.9,56.9,92.50,17.50,-5.00,55.00,52.25
Financial and investment analyst,Public relations manager,43.9,66.4,92.50,7.50,1.25,50.00,49.38
Chemical engineer,Medical scientist,21.6,51.8,32.50,89.47,7.69,60.99,56.30
Operation manager,Human resources manager,37.1,76.5,55.00,62.50,13.75,58.75,50.67
Architectural and engineering manager,Human resources worker,12.8,76.5,97.50,5.00,2.50,51.25,49.97
Operation manager,Public relations manager,37.1,66.4,50.00,82.50,12.50,66.25,57.97
Training and development manager,Social and community service manager,48.0,71.7,60.00,10.00,7.50,35.00,32.38
Financial and investment analyst,Accountant,43.9,57.0,92.50,0.00,-2.50,46.25,45.09
Financial and investment analyst,Human resources manager,43.9,76.5,92.50,12.50,-1.25,52.50,51.84
Training and development manager,Insurance claims and policy processing clerk,48.0,80.1,47.50,71.05,14.10,59.28,50.92
Purchasing manager,Training and development specialist,47.7,56.7,32.50,62.50,18.75,47.50,38.59
Web developer,Graphic designer,19.4,54.7,52.50,81.08,2.60,66.79,65.06
Purchasing manager,Social and community service manager,47.7,71.7,7.50,52.50,23.75,30.00,22.87
Chemical engineer,Biological scientist,21.6,55.0,27.50,59.46,10.39,43.48,38.96
Dentist,Dental hygienist,39.5,95.7,0.00,100.00,7.32,50.00,46.34
Software quality tester,Operations research analyst,44.1,55.0,32.50,95.00,-7.50,63.75,58.97
Web and digital interface designer,Graphic designer,42.7,54.7,80.00,40.54,-7.79,60.27,55.57
Information security analyst,Training and development specialist,19.3,56.7,100.00,25.00,10.00,62.50,56.25
Software developer,Graphic designer,20.2,54.7,75.00,75.68,-3.90,75.34,72.40
