occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,3.23,-2.16,2.50,0.00,2.69,1.25,1.22
Sales manager,Marketing manager,33.1,62.4,96.46,0.34,-9.69,15.00,50.00,5.01,32.50,30.87
Project management specialist,Training and development specialist,47.3,56.7,96.32,-0.15,-6.19,75.00,67.50,3.02,71.25,69.10
Project management specialist,Marketing specialist,47.3,61.7,96.15,0.88,-6.62,65.00,62.50,3.75,63.75,61.36
Project management specialist,Marketing manager,47.3,62.4,95.99,2.25,-6.15,2.50,87.50,4.20,45.00,43.11
Information security analyst,Operations research analyst,19.3,55.0,95.42,-0.77,-5.27,100.00,25.00,2.25,62.50,61.09
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,-6.57,-1.27,97.50,30.00,-2.65,63.75,62.06
Management analyst,Marketing manager,46.6,62.4,94.88,-2.18,-4.99,30.00,70.00,1.40,50.00,49.30
Sales manager,Public relations manager,33.1,66.4,94.60,-0.75,-6.62,17.50,57.50,2.93,37.50,36.40
Management analyst,Marketing specialist,46.6,61.7,94.50,-2.89,-4.56,85.00,32.50,0.83,58.75,58.26
Sales manager,Human resources manager,33.1,76.5,94.40,-0.43,-5.92,22.50,50.00,2.75,36.25,35.25
Sales manager,Marketing specialist,33.1,61.7,94.34,-1.15,-8.27,80.00,10.00,3.56,45.00,43.40
Training and development manager,Marketing manager,48.0,62.4,94.32,-2.53,-5.96,52.50,75.00,1.72,63.75,62.66
Training and development manager,Administrative services manager,48.0,74.0,94.24,-2.30,-5.24,87.50,62.50,1.47,75.00,73.90
Project management specialist,Administrative services manager,47.3,74.0,94.20,1.28,-4.84,37.50,80.00,3.06,58.75,56.95
Purchasing manager,Financial manager,47.7,56.2,94.07,-1.40,-1.96,0.00,95.00,0.28,47.50,47.37
Management analyst,Financial manager,46.6,56.2,94.00,-4.95,-0.06,0.00,92.50,-2.44,46.25,45.12
Sales manager,Financial manager,33.1,56.2,93.76,-1.65,-1.69,0.00,87.50,0.02,43.75,43.74
Training and development manager,Human resources manager,48.0,76.5,93.69,-0.63,-3.70,5.00,25.00,1.53,15.00,14.77
Project management specialist,Public relations manager,47.3,66.4,93.13,2.96,-5.63,7.50,92.50,4.29,50.00,47.85
Management analyst,Operations research analyst,46.6,55.0,92.92,-5.55,-3.46,50.00,52.50,-1.04,51.25,50.72
Management analyst,Public relations manager,46.6,66.4,92.91,-2.20,-5.71,27.50,80.00,1.75,53.75,52.81
