occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,100.00,95.00,1.25,97.50,96.28
Sales manager,Marketing manager,33.1,62.4,47.50,87.50,23.75,67.50,51.47
Project management specialist,Training and development specialist,47.3,56.7,52.50,47.50,20.00,50.00,40.00
Project management specialist,Marketing specialist,47.3,61.7,52.50,30.00,8.75,41.25,37.64
Project management specialist,Marketing manager,47.3,62.4,10.00,90.00,1.25,50.00,49.38
Information security analyst,Operations research analyst,19.3,55.0,97.50,10.00,-2.50,53.75,52.41
Financial and investment analyst,Operations research analyst,43.9,55.0,92.50,15.00,1.25,53.75,53.08
Management analyst,Marketing manager,46.6,62.4,55.00,85.00,10.00,70.00,63.00
Sales manager,Public relations manager,33.1,66.4,50.00,92.50,20.00,71.25,57.00
Management analyst,Marketing specialist,46.6,61.7,100.00,22.50,1.25,61.25,60.48
Sales manager,Human resources manager,33.1,76.5,57.50,95.00,8.75,76.25,69.58
Sales manager,Marketing specialist,33.1,61.7,97.50,25.00,6.25,61.25,57.42
Training and development manager,Marketing manager,48.0,62.4,45.00,72.50,12.50,58.75,51.41
Training and development manager,Administrative services manager,48.0,74.0,72.50,40.00,16.25,56.25,47.11
Project management specialist,Administrative services manager,47.3,74.0,42.50,90.00,12.50,66.25,57.97
Purchasing manager,Financial manager,47.7,56.2,27.50,100.00,13.75,63.75,54.98
Management analyst,Financial manager,46.6,56.2,30.00,100.00,5.00,65.00,61.75
Sales manager,Financial manager,33.1,56.2,35.00,97.50,3.75,66.25,63.77
Training and development manager,Human resources manager,48.0,76.5,65.00,100.00,11.25,82.50,73.22
Project management specialist,Public relations manager,47.3,66.4,20.00,100.00,6.25,60.00,56.25
Management analyst,Operations research analyst,46.6,55.0,100.00,55.00,-8.75,77.50,70.72
Management analyst,Public relations manager,46.6,66.4,55.00,100.00,8.75,77.50,70.72
Purchasing manager,Human resources manager,47.7,76.5,42.50,97.50,22.50,70.00,54.25
Training and development manager,Public relations manager,48.0,66.4,40.00,97.50,17.50,68.75,56.72
Purchasing manager,Marketing manager,47.7,62.4,35.00,97.50,22.50,66.25,51.34
Project management specialist,Human resources manager,47.3,76.5,57.50,97.50,15.00,77.50,65.88
Purchasing manager,Public relations manager,47.7,66.4,22.50,100.00,21.25,61.25,48.23
Management analyst,Human resources manager,46.6,76.5,70.00,97.50,6.25,83.75,78.52
Architectural and engineering manager,Marketing manager,12.8,62.4,97.50,27.50,5.00,62.50,59.38
Financial and investment analyst,Financial manager,43.9,56.2,100.00,82.50,-7.50,91.25,84.41
Project management specialist,Human resources worker,47.3,76.5,85.00,90.00,0.00,87.50,87.50
Facilities manager,Human resources manager,23.4,76.5,52.50,100.00,20.00,76.25,61.00
Architectural and engineering manager,Training and development specialist,12.8,56.7,100.00,30.00,10.00,65.00,58.50
Training and development manager,Marketing specialist,48.0,61.7,97.50,17.50,0.00,57.50,57.50
Architectural and engineering manager,Administrative services manager,12.8,74.0,92.50,65.00,6.25,78.75,73.83
Architectural and engineering manager,Human resources manager,12.8,76.5,97.50,50.00,10.00,73.75,66.38
Management analyst,Human resources worker,46.6,76.5,95.00,55.00,0.00,75.00,75.00
Training and development manager,Human resources worker,48.0,76.5,100.00,77.50,2.50,88.75,86.53
Project management specialist,Operations research analyst,47.3,55.0,30.00,97.50,1.25,63.75,62.95
Project management specialist,Financial manager,47.3,56.2,10.00,100.00,1.25,55.00,54.31
Sales manager,Human resources worker,33.1,76.5,80.00,75.00,10.00,77.50,69.75
Facilities manager,Marketing manager,23.4,62.4,50.00,92.50,20.00,71.25,57.00
Facilities manager,Administrative services manager,23.4,74.0,60.00,97.50,23.75,78.75,60.05
Sales manager,Administrative services manager,33.1,74.0,62.50,45.00,11.25,53.75,47.70
Management analyst,Administrative services manager,46.6,74.0,90.00,87.50,7.50,88.75,82.09
Purchasing manager,Human resources worker,47.7,76.5,72.50,90.00,3.75,81.25,78.20
Management analyst,Training and development specialist,46.6,56.7,82.50,47.50,10.00,65.00,58.50
Architectural and engineering manager,Public relations manager,12.8,66.4,97.50,60.00,11.25,78.75,69.89
Financial and investment analyst,Training and development specialist,43.9,56.7,100.00,20.00,3.75,60.00,57.75
Facilities manager,Public relations manager,23.4,66.4,45.00,100.00,15.00,72.50,61.62
Sales manager,Training and development specialist,33.1,56.7,77.50,62.50,12.50,70.00,61.25
Financial and investment analyst,Administrative services manager,43.9,74.0,100.00,20.00,-7.50,60.00,55.50
Architectural and engineering manager,Financial manager,12.8,56.2,95.00,70.00,-1.25,82.50,81.47
Purchasing manager,Marketing specialist,47.7,61.7,67.50,62.50,25.00,65.00,48.75
Training and development manager,Financial manager,48.0,56.2,42.50,90.00,-3.75,66.25,63.77
Sales manager,Advertising sales agent,33.1,52.7,97.50,50.00,1.52,73.75,72.63
Management analyst,Accountant,46.6,57.0,100.00,92.50,-3.75,96.25,92.64
Industrial production manager,Human resources manager,19.1,76.5,77.50,97.50,8.75,87.50,79.84
Facilities manager,Social and community service manager,23.4,71.7,87.50,85.00,18.75,86.25,70.08
Purchasing manager,Administrative services manager,47.7,74.0,15.00,85.00,10.00,50.00,45.00
Industrial production manager,Financial manager,19.1,56.2,72.50,100.00,7.50,86.25,79.78
Operation manager,Financial manager,37.1,56.2,47.50,97.50,8.75,72.50,66.16
Industrial production manager,Human resources worker,19.1,76.5,90.00,90.00,8.75,90.00,82.12
Sales manager,Insurance sales agent,33.1,54.9,77.50,86.36,-8.06,81.93,75.32
Architectural and engineering manager,Marketing specialist,12.8,61.7,100.00,15.00,2.50,57.50,56.06
Postsecondary teacher,Secondary school teacher,46.6,56.9,95.00,50.00,2.86,72.50,70.43
Facilities manager,Human resources worker,23.4,76.5,72.50,95.00,15.00,83.75,71.19
Software developer,Marketing specialist,20.2,61.7,100.00,2.50,1.25,51.25,50.61
Industrial production manager,Marketing manager,19.1,62.4,67.50,92.50,11.25,80.00,71.00
Facilities manager,Training and development specialist,23.4,56.7,57.50,87.50,35.00,72.50,47.12
Software developer,Operations research analyst,20.2,55.0,100.00,82.50,3.75,91.25,87.83
Web and digital interface designer,Marketing specialist,42.7,61.7,100.00,2.50,-3.75,51.25,49.33
Information security analyst,Administrative services manager,19.3,74.0,97.50,37.50,-7.50,67.50,62.44
Industrial production manager,Operations research analyst,19.1,55.0,87.50,100.00,7.50,93.75,86.72
Facilities manager,Financial manager,23.4,56.2,47.50,100.00,17.50,73.75,60.84
Financial and investment analyst,Marketing manager,43.9,62.4,100.00,30.00,-10.00,65.00,58.50
Industrial production manager,Public relations manager,19.1,66.4,67.50,100.00,11.25,83.75,74.33
Project management specialist,Public relations specialist,47.3,76.2,40.00,75.00,25.00,57.50,43.12
Industrial production manager,Administrative services manager,19.1,74.0,82.50,95.00,5.00,88.75,84.31
Facilities manager,Marketing specialist,23.4,61.7,65.00,67.50,41.25,66.25,38.92
Financial and investment analyst,Marketing specialist,43.9,61.7,100.00,0.00,-2.50,50.00,48.75
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,0.00,11.11,3.64,5.56,5.35
Operation manager,Marketing manager,37.1,62.4,47.50,82.50,13.75,65.00,56.06
Industrial production manager,Training and development specialist,19.1,56.7,77.50,70.00,12.50,73.75,64.53
Purchasing manager,Accountant,47.7,57.0,72.50,100.00,7.50,86.25,79.78
Financial and investment analyst,Insurance underwriter,43.9,56.9,92.50,30.00,-20.00,61.25,49.00
Financial and investment analyst,Public relations manager,43.9,66.4,100.00,30.00,-7.50,65.00,60.13
Chemical engineer,Medical scientist,21.6,51.8,50.00,86.84,0.00,68.42,68.42
Operation manager,Human resources manager,37.1,76.5,52.50,95.00,12.50,73.75,64.53
Architectural and engineering manager,Human resources worker,12.8,76.5,100.00,55.00,1.25,77.50,76.53
Operation manager,Public relations manager,37.1,66.4,52.50,100.00,11.25,76.25,67.67
Training and development manager,Social and community service manager,48.0,71.7,92.50,42.50,5.00,67.50,64.12
Financial and investment analyst,Accountant,43.9,57.0,100.00,25.00,-7.50,62.50,57.81
Financial and investment analyst,Human resources manager,43.9,76.5,95.00,47.50,-6.25,71.25,66.80
Training and development manager,Insurance claims and policy processing clerk,48.0,80.1,27.50,71.05,15.38,49.28,41.70
Purchasing manager,Training and development specialist,47.7,56.7,60.00,77.50,26.25,68.75,50.70
Web developer,Graphic designer,19.4,54.7,82.50,83.78,-2.60,83.14,80.98
Purchasing manager,Social and community service manager,47.7,71.7,75.00,87.50,23.75,81.25,61.95
Chemical engineer,Biological scientist,21.6,55.0,62.50,83.78,11.69,73.14,64.59
Dentist,Dental hygienist,39.5,95.7,68.42,100.00,21.95,84.21,65.73
Software quality tester,Operations research analyst,44.1,55.0,20.00,90.00,2.50,55.00,53.62
Web and digital interface designer,Graphic designer,42.7,54.7,85.00,59.46,-7.79,72.23,66.60
Information security analyst,Training and development specialist,19.3,56.7,100.00,35.00,8.75,67.50,61.59
Software developer,Graphic designer,20.2,54.7,95.00,81.08,0.00,88.04,88.04
Architectural and engineering manager,Social and community service manager,12.8,71.7,97.50,57.50,10.00,77.50,69.75
Web and digital interface designer,Operations research analyst,42.7,55.0,100.00,87.50,-2.50,93.75,91.41
First-line supervisor of non-retail sales workers,Supervisor of personal care and service workers,35.9,65.8,60.71,18.18,10.26,39.45,35.40
Lawyer,Paralegal,39.5,83.0,100.00,20.00,3.75,60.00,57.75
Architectural and engineering manager,Operations research analyst,12.8,55.0,97.50,57.50,-1.25,77.50,76.53
Operation manager,Social and community service manager,37.1,71.7,92.50,87.50,16.25,90.00,75.38
Industrial production manager,Social and community service manager,19.1,71.7,92.50,77.50,8.75,85.00,77.56
First-line supervisor of non-retail sales workers,Human resources worker,35.9,76.5,78.57,37.50,7.35,58.04,53.77
Property assessor,Insurance underwriter,34.2,56.9,15.00,97.50,0.00,56.25,56.25
Operation manager,Human resources worker,37.1,76.5,90.00,70.00,11.25,80.00,71.00
Computer systems analyst,Operations research analyst,37.8,55.0,97.50,10.00,-6.25,53.75,50.39
Building cleaner,Housekeeping cleaner,38.7,88.4,9.09,87.50,0.00,48.30,48.30
Postsecondary teacher,School psychologist,46.6,87.9,97.50,18.75,0.00,58.13,58.13
Industrial production manager,Accountant,19.1,57.0,100.00,100.00,0.00,100.00,100.00
Food service manager,First-line supervisor of food preparation and serving workers,46.7,53.5,100.00,80.00,0.00,90.00,90.00
Facilities manager,Social and human service assistant,23.4,75.3,75.00,87.50,23.75,81.25,61.95
Chemical technician,Medical scientist,35.0,51.8,17.86,100.00,1.52,58.93,58.04
Counter and rental clerk,Order clerk,38.7,58.3,87.50,75.00,6.25,81.25,76.17
Postsecondary teacher,Elementary and middle school teacher,46.6,78.6,90.00,75.86,1.45,82.93,81.73
Chemical technician,Biological scientist,35.0,55.0,39.29,97.30,6.15,68.29,64.09
Cost estimator,Accountant,17.7,57.0,45.00,100.00,10.00,72.50,65.25
Postsecondary teacher,Teaching assistant,46.6,79.5,100.00,17.50,-7.50,58.75,54.34
Food service manager,Food preparation worker,46.7,58.7,47.50,100.00,-2.50,73.75,71.91
Operation manager,Accountant,37.1,57.0,82.50,92.50,5.00,87.50,83.12
First-line supervisor of non-retail sales workers,Payroll and timekeeping clerk,35.9,88.2,71.43,47.83,-3.92,59.63,57.29
First-line supervisor of non-retail sales workers,Insurance sales agent,35.9,54.9,67.86,50.00,2.00,58.93,57.75
