occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,1.52,-3.99,100.00,95.00,2.76,97.50,94.81
Sales manager,Marketing manager,33.1,62.4,96.46,9.46,-0.25,47.50,87.50,4.86,67.50,64.22
Project management specialist,Training and development specialist,47.3,56.7,96.32,6.35,-1.31,52.50,47.50,3.83,50.00,48.09
Project management specialist,Marketing specialist,47.3,61.7,96.15,6.05,0.31,52.50,30.00,2.87,41.25,40.06
Project management specialist,Marketing manager,47.3,62.4,95.99,6.01,-0.98,10.00,90.00,3.50,50.00,48.25
Information security analyst,Operations research analyst,19.3,55.0,95.42,3.95,3.38,97.50,10.00,0.28,53.75,53.60
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,1.09,4.67,92.50,15.00,-1.79,53.75,52.79
Management analyst,Marketing manager,46.6,62.4,94.88,4.47,2.25,55.00,85.00,1.11,70.00,69.22
Sales manager,Public relations manager,33.1,66.4,94.60,5.75,1.42,50.00,92.50,2.17,71.25,69.71
Management analyst,Marketing specialist,46.6,61.7,94.50,3.64,1.38,100.00,22.50,1.13,61.25,60.56
Sales manager,Human resources manager,33.1,76.5,94.40,5.66,1.43,57.50,95.00,2.11,76.25,74.64
Sales manager,Marketing specialist,33.1,61.7,94.34,7.76,0.08,97.50,25.00,3.84,61.25,58.90
Training and development manager,Marketing manager,48.0,62.4,94.32,6.09,1.04,45.00,72.50,2.52,58.75,57.27
Training and development manager,Administrative services manager,48.0,74.0,94.24,5.34,0.31,72.50,40.00,2.52,56.25,54.83
Project management specialist,Administrative services manager,47.3,74.0,94.20,6.66,-0.09,42.50,90.00,3.38,66.25,64.01
Purchasing manager,Financial manager,47.7,56.2,94.07,5.35,0.57,27.50,100.00,2.39,63.75,62.23
Management analyst,Financial manager,46.6,56.2,94.00,0.03,3.84,30.00,100.00,-1.90,65.00,63.76
Sales manager,Financial manager,33.1,56.2,93.76,2.67,1.65,35.00,97.50,0.51,66.25,65.91
Training and development manager,Human resources manager,48.0,76.5,93.69,3.73,1.82,65.00,100.00,0.95,82.50,81.71
Project management specialist,Public relations manager,47.3,66.4,93.13,5.77,-0.78,20.00,100.00,3.28,60.00,58.03
Management analyst,Operations research analyst,46.6,55.0,92.92,3.59,4.62,100.00,55.00,-0.52,77.50,77.10
Management analyst,Public relations manager,46.6,66.4,92.91,2.98,2.59,55.00,100.00,0.19,77.50,77.35
Purchasing manager,Human resources manager,47.7,76.5,92.77,6.07,1.57,42.50,97.50,2.25,70.00,68.43
Training and development manager,Public relations manager,48.0,66.4,92.59,4.64,2.04,40.00,97.50,1.30,68.75,67.85
Purchasing manager,Marketing manager,47.7,62.4,92.52,8.77,-0.83,35.00,97.50,4.80,66.25,63.07
Project management specialist,Human resources manager,47.3,76.5,92.47,7.17,0.53,57.50,97.50,3.32,77.50,74.93
Purchasing manager,Public relations manager,47.7,66.4,92.38,7.22,0.01,22.50,100.00,3.60,61.25,59.04
Management analyst,Human resources manager,46.6,76.5,92.37,2.75,2.42,70.00,97.50,0.17,83.75,83.61
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,5.85,-0.28,97.50,27.50,3.06,62.50,60.59
Financial and investment analyst,Financial manager,43.9,56.2,92.25,-3.51,7.03,100.00,82.50,-5.27,91.25,86.44
Project management specialist,Human resources worker,47.3,76.5,92.21,6.68,-0.71,85.00,90.00,3.70,87.50,84.27
Facilities manager,Human resources manager,23.4,76.5,92.06,9.68,-1.20,52.50,100.00,5.44,76.25,72.10
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,5.30,-2.41,100.00,30.00,3.85,65.00,62.49
Training and development manager,Marketing specialist,48.0,61.7,91.94,5.13,0.98,97.50,17.50,2.08,57.50,56.31
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,7.49,-2.80,92.50,65.00,5.14,78.75,74.70
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,5.60,-1.79,97.50,50.00,3.70,73.75,71.02
Management analyst,Human resources worker,46.6,76.5,91.64,3.67,-0.21,95.00,55.00,1.94,75.00,73.54
Training and development manager,Human resources worker,48.0,76.5,91.58,2.93,-1.81,100.00,77.50,2.37,88.75,86.65
Project management specialist,Operations research analyst,47.3,55.0,91.31,3.34,3.16,30.00,97.50,0.09,63.75,63.69
Project management specialist,Financial manager,47.3,56.2,91.15,2.86,0.52,10.00,100.00,1.17,55.00,54.36
Sales manager,Human resources worker,33.1,76.5,91.09,5.73,-2.67,80.00,75.00,4.20,77.50,74.25
Facilities manager,Marketing manager,23.4,62.4,90.92,12.55,-1.80,50.00,92.50,7.18,71.25,66.14
Facilities manager,Administrative services manager,23.4,74.0,90.81,12.24,-2.62,60.00,97.50,7.43,78.75,72.90
Sales manager,Administrative services manager,33.1,74.0,90.73,8.11,-0.46,62.50,45.00,4.29,53.75,51.45
Management analyst,Administrative services manager,46.6,74.0,90.68,5.83,0.82,90.00,87.50,2.50,88.75,86.53
Purchasing manager,Human resources worker,47.7,76.5,90.36,6.99,-2.34,72.50,90.00,4.66,81.25,77.46
Management analyst,Training and development specialist,46.6,56.7,90.32,4.32,-2.85,82.50,47.50,3.58,65.00,62.67
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,5.09,-2.30,97.50,60.00,3.70,78.75,75.84
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,-0.47,-0.59,100.00,20.00,0.06,60.00,59.96
Facilities manager,Public relations manager,23.4,66.4,90.26,9.97,0.30,45.00,100.00,4.84,72.50,68.99
Sales manager,Training and development specialist,33.1,56.7,90.18,6.40,-3.13,77.50,62.50,4.76,70.00,66.67
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,0.21,2.80,100.00,20.00,-1.29,60.00,59.22
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,4.00,0.62,95.00,70.00,1.69,82.50,81.11
Purchasing manager,Marketing specialist,47.7,61.7,90.08,8.76,-2.02,67.50,62.50,5.39,65.00,61.50
Training and development manager,Financial manager,48.0,56.2,90.06,1.47,6.45,42.50,90.00,-2.49,66.25,64.60
Sales manager,Advertising sales agent,33.1,52.7,89.99,4.67,2.09,97.50,50.00,1.29,73.75,72.80
Management analyst,Accountant,46.6,57.0,89.84,-1.12,2.54,100.00,92.50,-1.83,96.25,94.49
Industrial production manager,Human resources manager,19.1,76.5,89.80,10.14,-0.42,77.50,97.50,5.28,87.50,82.88
Facilities manager,Social and community service manager,23.4,71.7,89.67,11.33,-3.62,87.50,85.00,7.48,86.25,79.80
Purchasing manager,Administrative services manager,47.7,74.0,89.51,6.67,-0.54,15.00,85.00,3.60,50.00,48.20
Industrial production manager,Financial manager,19.1,56.2,89.51,7.60,1.68,72.50,100.00,2.96,86.25,83.70
Operation manager,Financial manager,37.1,56.2,89.31,4.15,1.38,47.50,97.50,1.39,72.50,71.49
Industrial production manager,Human resources worker,19.1,76.5,89.29,7.94,-5.10,90.00,90.00,6.52,90.00,84.13
Sales manager,Insurance sales agent,33.1,54.9,89.13,0.25,3.43,77.50,86.36,-1.59,81.93,80.63
Architectural and engineering manager,Marketing specialist,12.8,61.7,89.09,3.61,-1.42,100.00,15.00,2.52,57.50,56.05
Postsecondary teacher,Secondary school teacher,46.6,56.9,89.04,0.64,-1.45,95.00,50.00,1.05,72.50,71.74
Facilities manager,Human resources worker,23.4,76.5,88.96,10.66,-3.03,72.50,95.00,6.85,83.75,78.01
Software developer,Marketing specialist,20.2,61.7,88.94,2.72,1.27,100.00,2.50,0.73,51.25,50.88
Industrial production manager,Marketing manager,19.1,62.4,88.93,12.13,0.45,67.50,92.50,5.84,80.00,75.33
Facilities manager,Training and development specialist,23.4,56.7,88.90,13.51,-4.85,57.50,87.50,9.18,72.50,65.85
Software developer,Operations research analyst,20.2,55.0,88.88,7.88,0.06,100.00,82.50,3.91,91.25,87.68
Web and digital interface designer,Marketing specialist,42.7,61.7,88.62,1.43,2.36,100.00,2.50,-0.47,51.25,51.01
Information security analyst,Administrative services manager,19.3,74.0,88.53,2.44,1.26,97.50,37.50,0.59,67.50,67.10
Industrial production manager,Operations research analyst,19.1,55.0,88.39,9.50,-0.45,87.50,100.00,4.97,93.75,89.09
Facilities manager,Financial manager,23.4,56.2,88.37,9.46,-0.22,47.50,100.00,4.84,73.75,70.18
Financial and investment analyst,Marketing manager,43.9,62.4,88.36,-0.66,2.30,100.00,30.00,-1.48,65.00,64.04
Industrial production manager,Public relations manager,19.1,66.4,88.35,9.30,0.48,67.50,100.00,4.41,83.75,80.06
Project management specialist,Public relations specialist,47.3,76.2,88.35,7.16,-2.48,40.00,75.00,4.82,57.50,54.73
Industrial production manager,Administrative services manager,19.1,74.0,88.30,11.36,0.70,82.50,95.00,5.33,88.75,84.02
Facilities manager,Marketing specialist,23.4,61.7,88.28,15.37,-4.41,65.00,67.50,9.89,66.25,59.70
Financial and investment analyst,Marketing specialist,43.9,61.7,88.28,-0.42,3.27,100.00,0.00,-1.84,50.00,49.08
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,88.18,3.33,2.74,0.00,11.11,0.30,5.56,5.54
Operation manager,Marketing manager,37.1,62.4,88.12,9.02,-1.52,47.50,82.50,5.27,65.00,61.57
Industrial production manager,Training and development specialist,19.1,56.7,88.10,10.82,-4.32,77.50,70.00,7.57,73.75,68.16
Purchasing manager,Accountant,47.7,57.0,88.07,4.06,0.24,72.50,100.00,1.91,86.25,84.60
Financial and investment analyst,Insurance underwriter,43.9,56.9,88.04,-5.25,9.24,92.50,30.00,-7.24,61.25,56.81
Financial and investment analyst,Public relations manager,43.9,66.4,87.91,-2.21,3.22,100.00,30.00,-2.71,65.00,63.24
Chemical engineer,Medical scientist,21.6,51.8,87.70,-0.18,-1.38,50.00,86.84,0.60,68.42,68.01
Operation manager,Human resources manager,37.1,76.5,87.61,7.30,-0.98,52.50,95.00,4.14,73.75,70.69
Architectural and engineering manager,Human resources worker,12.8,76.5,87.58,2.84,-2.98,100.00,55.00,2.91,77.50,75.25
Operation manager,Public relations manager,37.1,66.4,87.47,7.18,-0.31,52.50,100.00,3.75,76.25,73.39
Training and development manager,Social and community service manager,48.0,71.7,87.29,4.14,0.35,92.50,42.50,1.90,67.50,66.22
