occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,0.00,0.00,1.25,0.00,0.00
Sales manager,Marketing manager,33.1,62.4,22.50,40.00,18.75,31.25,25.39
Project management specialist,Training and development specialist,47.3,56.7,47.50,30.00,3.75,38.75,37.30
Project management specialist,Marketing specialist,47.3,61.7,30.00,47.50,27.50,38.75,28.09
Project management specialist,Marketing manager,47.3,62.4,5.00,72.50,17.50,38.75,31.97
Information security analyst,Operations research analyst,19.3,55.0,87.50,47.50,7.50,67.50,62.44
Financial and investment analyst,Operations research analyst,43.9,55.0,95.00,17.50,-1.25,56.25,55.55
Management analyst,Marketing manager,46.6,62.4,10.00,70.00,7.50,40.00,37.00
Sales manager,Public relations manager,33.1,66.4,22.50,50.00,13.75,36.25,31.27
Management analyst,Marketing specialist,46.6,61.7,75.00,10.00,-7.50,42.50,39.31
Sales manager,Human resources manager,33.1,76.5,40.00,17.50,5.00,28.75,27.31
Sales manager,Marketing specialist,33.1,61.7,70.00,5.00,-11.25,37.50,33.28
Training and development manager,Marketing manager,48.0,62.4,2.50,67.50,16.25,35.00,29.31
Training and development manager,Administrative services manager,48.0,74.0,5.00,75.00,21.25,40.00,31.50
Project management specialist,Administrative services manager,47.3,74.0,17.50,87.50,17.50,52.50,43.31
Purchasing manager,Financial manager,47.7,56.2,0.00,90.00,0.00,45.00,45.00
Management analyst,Financial manager,46.6,56.2,0.00,92.50,3.75,46.25,44.52
Sales manager,Financial manager,33.1,56.2,5.00,90.00,-2.50,47.50,46.31
Training and development manager,Human resources manager,48.0,76.5,0.00,17.50,11.25,8.75,7.77
Project management specialist,Public relations manager,47.3,66.4,7.50,90.00,13.75,48.75,42.05
Management analyst,Operations research analyst,46.6,55.0,55.00,25.00,-13.75,40.00,34.50
Management analyst,Public relations manager,46.6,66.4,25.00,75.00,16.25,50.00,41.88
Purchasing manager,Human resources manager,47.7,76.5,10.00,37.50,12.50,23.75,20.78
Training and development manager,Public relations manager,48.0,66.4,0.00,80.00,17.50,40.00,33.00
Purchasing manager,Marketing manager,47.7,62.4,10.00,70.00,16.25,40.00,33.50
Project management specialist,Human resources manager,47.3,76.5,22.50,52.50,18.75,37.50,30.47
Purchasing manager,Public relations manager,47.7,66.4,10.00,77.50,13.75,43.75,37.73
Management analyst,Human resources manager,46.6,76.5,30.00,27.50,8.75,28.75,26.23
Architectural and engineering manager,Marketing manager,12.8,62.4,87.50,22.50,31.25,55.00,37.81
Financial and investment analyst,Financial manager,43.9,56.2,52.50,27.50,-13.75,40.00,34.50
Project management specialist,Human resources worker,47.3,76.5,45.00,10.00,5.00,27.50,26.12
Facilities manager,Human resources manager,23.4,76.5,10.00,55.00,23.75,32.50,24.78
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.50,5.00,2.50,48.75,47.53
Training and development manager,Marketing specialist,48.0,61.7,37.50,32.50,16.25,35.00,29.31
Architectural and engineering manager,Administrative services manager,12.8,74.0,87.50,62.50,27.50,75.00,54.37
Architectural and engineering manager,Human resources manager,12.8,76.5,90.00,25.00,18.75,57.50,46.72
Management analyst,Human resources worker,46.6,76.5,77.50,0.00,-5.00,38.75,36.81
Training and development manager,Human resources worker,48.0,76.5,35.00,0.00,-1.25,17.50,17.28
Project management specialist,Operations research analyst,47.3,55.0,15.00,70.00,8.75,42.50,38.78
Project management specialist,Financial manager,47.3,56.2,0.00,92.50,2.50,46.25,45.09
Sales manager,Human resources worker,33.1,76.5,77.50,0.00,-7.50,38.75,35.84
Facilities manager,Marketing manager,23.4,62.4,17.50,80.00,18.75,48.75,39.61
Facilities manager,Administrative services manager,23.4,74.0,7.50,82.50,23.75,45.00,34.31
Sales manager,Administrative services manager,33.1,74.0,50.00,62.50,22.50,56.25,43.59
Management analyst,Administrative services manager,46.6,74.0,32.50,72.50,23.75,52.50,40.03
Purchasing manager,Human resources worker,47.7,76.5,22.50,2.50,3.75,12.50,12.03
Management analyst,Training and development specialist,46.6,56.7,82.50,10.00,-6.25,46.25,43.36
Architectural and engineering manager,Public relations manager,12.8,66.4,85.00,50.00,30.00,67.50,47.25
Financial and investment analyst,Training and development specialist,43.9,56.7,95.00,5.00,-3.75,50.00,48.12
Facilities manager,Public relations manager,23.4,66.4,10.00,95.00,8.75,52.50,47.91
Sales manager,Training and development specialist,33.1,56.7,80.00,5.00,-10.00,42.50,38.25
Financial and investment analyst,Administrative services manager,43.9,74.0,92.50,30.00,10.00,61.25,55.12
Architectural and engineering manager,Financial manager,12.8,56.2,87.50,82.50,8.75,85.00,77.56
Purchasing manager,Marketing specialist,47.7,61.7,22.50,47.50,28.75,35.00,24.94
Training and development manager,Financial manager,48.0,56.2,0.00,95.00,2.50,47.50,46.31
Sales manager,Advertising sales agent,33.1,52.7,52.50,0.00,-21.21,26.25,20.68
Management analyst,Accountant,46.6,57.0,12.50,25.00,-2.50,18.75,18.28
Industrial production manager,Human resources manager,19.1,76.5,52.50,32.50,17.50,42.50,35.06
Facilities manager,Social and community service manager,23.4,71.7,17.50,17.50,11.25,17.50,15.53
Purchasing manager,Administrative services manager,47.7,74.0,5.00,77.50,16.25,41.25,34.55
Industrial production manager,Financial manager,19.1,56.2,52.50,92.50,2.50,72.50,70.69
Operation manager,Financial manager,37.1,56.2,35.00,90.00,-2.50,62.50,60.94
Industrial production manager,Human resources worker,19.1,76.5,70.00,2.50,2.50,36.25,35.34
Sales manager,Insurance sales agent,33.1,54.9,7.50,18.18,-4.84,12.84,12.22
Architectural and engineering manager,Marketing specialist,12.8,61.7,95.00,2.50,5.00,48.75,46.31
Postsecondary teacher,Secondary school teacher,46.6,56.9,62.50,20.00,-12.86,41.25,35.95
Facilities manager,Human resources worker,23.4,76.5,27.50,22.50,21.25,25.00,19.69
Software developer,Marketing specialist,20.2,61.7,95.00,17.50,15.00,56.25,47.81
Industrial production manager,Marketing manager,19.1,62.4,52.50,70.00,23.75,61.25,46.70
Facilities manager,Training and development specialist,23.4,56.7,22.50,45.00,33.75,33.75,22.36
Software developer,Operations research analyst,20.2,55.0,60.00,52.50,20.00,56.25,45.00
Web and digital interface designer,Marketing specialist,42.7,61.7,97.50,5.00,3.75,51.25,49.33
Information security analyst,Administrative services manager,19.3,74.0,82.50,85.00,20.00,83.75,67.00
Industrial production manager,Operations research analyst,19.1,55.0,57.50,37.50,6.25,47.50,44.53
Facilities manager,Financial manager,23.4,56.2,2.50,95.00,5.00,48.75,46.31
Financial and investment analyst,Marketing manager,43.9,62.4,87.50,7.50,0.00,47.50,47.50
Industrial production manager,Public relations manager,19.1,66.4,50.00,77.50,18.75,63.75,51.80
Project management specialist,Public relations specialist,47.3,76.2,27.50,75.00,17.50,51.25,42.28
Industrial production manager,Administrative services manager,19.1,74.0,50.00,75.00,26.25,62.50,46.09
Facilities manager,Marketing specialist,23.4,61.7,37.50,65.00,36.25,51.25,32.67
Financial and investment analyst,Marketing specialist,43.9,61.7,95.00,2.50,-2.50,48.75,47.53
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,67.86,88.89,-14.55,78.37,66.97
Operation manager,Marketing manager,37.1,62.4,52.50,67.50,16.25,60.00,50.25
Industrial production manager,Training and development specialist,19.1,56.7,67.50,12.50,6.25,40.00,37.50
Purchasing manager,Accountant,47.7,57.0,0.00,62.50,6.25,31.25,29.30
Financial and investment analyst,Insurance underwriter,43.9,56.9,92.50,52.50,2.50,72.50,70.69
Financial and investment analyst,Public relations manager,43.9,66.4,85.00,17.50,-3.75,51.25,49.33
Chemical engineer,Medical scientist,21.6,51.8,27.50,94.74,2.56,61.12,59.55
Operation manager,Human resources manager,37.1,76.5,42.50,42.50,18.75,42.50,34.53
Architectural and engineering manager,Human resources worker,12.8,76.5,97.50,0.00,0.00,48.75,48.75
Operation manager,Public relations manager,37.1,66.4,50.00,80.00,13.75,65.00,56.06
Training and development manager,Social and community service manager,48.0,71.7,27.50,7.50,-1.25,17.50,17.28
Financial and investment analyst,Accountant,43.9,57.0,95.00,5.00,-1.25,50.00,49.38
Financial and investment analyst,Human resources manager,43.9,76.5,90.00,5.00,-1.25,47.50,46.91
Training and development manager,Insurance claims and policy processing clerk,48.0,80.1,35.00,52.63,10.26,43.82,39.32
Purchasing manager,Training and development specialist,47.7,56.7,30.00,20.00,-2.50,25.00,24.38
Web developer,Graphic designer,19.4,54.7,47.50,86.49,2.60,66.99,65.25
Purchasing manager,Social and community service manager,47.7,71.7,17.50,27.50,6.25,22.50,21.09
Chemical engineer,Biological scientist,21.6,55.0,17.50,78.38,7.79,47.94,44.20
Dentist,Dental hygienist,39.5,95.7,13.16,33.33,26.83,23.25,17.01
Software quality tester,Operations research analyst,44.1,55.0,17.50,90.00,-2.50,53.75,52.41
Web and digital interface designer,Graphic designer,42.7,54.7,72.50,72.97,-6.49,72.74,68.01
Information security analyst,Training and development specialist,19.3,56.7,90.00,17.50,10.00,53.75,48.38
Software developer,Graphic designer,20.2,54.7,70.00,89.19,1.30,79.59,78.56
Architectural and engineering manager,Social and community service manager,12.8,71.7,90.00,20.00,8.75,55.00,50.19
Web and digital interface designer,Operations research analyst,42.7,55.0,92.50,47.50,7.50,70.00,64.75
First-line supervisor of non-retail sales workers,Supervisor of personal care and service workers,35.9,65.8,57.14,0.00,-2.56,28.57,27.84
Lawyer,Paralegal,39.5,83.0,97.50,0.00,1.25,48.75,48.14
Architectural and engineering manager,Operations research analyst,12.8,55.0,95.00,42.50,15.00,68.75,58.44
Operation manager,Social and community service manager,37.1,71.7,80.00,27.50,-7.50,53.75,49.72
Industrial production manager,Social and community service manager,19.1,71.7,70.00,20.00,1.25,45.00,44.44
First-line supervisor of non-retail sales workers,Human resources worker,35.9,76.5,35.71,15.00,8.82,25.36,23.12
Property assessor,Insurance underwriter,34.2,56.9,20.00,85.00,5.00,52.50,49.88
Operation manager,Human resources worker,37.1,76.5,85.00,5.00,1.25,45.00,44.44
Computer systems analyst,Operations research analyst,37.8,55.0,90.00,10.00,-3.75,50.00,48.12
Building cleaner,Housekeeping cleaner,38.7,88.4,33.33,90.00,5.48,61.67,58.29
Postsecondary teacher,School psychologist,46.6,87.9,87.50,3.12,-11.11,45.31,40.28
Industrial production manager,Accountant,19.1,57.0,62.50,60.00,12.50,61.25,53.59
Food service manager,First-line supervisor of food preparation and serving workers,46.7,53.5,37.50,20.00,-1.25,28.75,28.39
Facilities manager,Social and human service assistant,23.4,75.3,27.50,15.00,25.00,21.25,15.94
Chemical technician,Medical scientist,35.0,51.8,10.71,86.84,-9.09,48.78,44.34
Counter and rental clerk,Order clerk,38.7,58.3,62.50,75.00,6.25,68.75,64.45
Postsecondary teacher,Elementary and middle school teacher,46.6,78.6,72.50,37.93,-2.90,55.22,53.62
Chemical technician,Biological scientist,35.0,55.0,21.43,75.68,-3.08,48.55,47.06
Cost estimator,Accountant,17.7,57.0,7.50,72.50,8.75,40.00,36.50
Postsecondary teacher,Teaching assistant,46.6,79.5,75.00,10.00,-7.50,42.50,39.31
Food service manager,Food preparation worker,46.7,58.7,22.50,87.50,-3.75,55.00,52.94
Operation manager,Accountant,37.1,57.0,60.00,65.00,0.00,62.50,62.50
First-line supervisor of non-retail sales workers,Payroll and timekeeping clerk,35.9,88.2,53.57,60.87,5.88,57.22,53.85
First-line supervisor of non-retail sales workers,Insurance sales agent,35.9,54.9,25.00,72.73,10.00,48.86,43.98
Software developer,Advertising sales agent,20.2,52.7,92.50,7.69,4.55,50.10,47.82
First-line supervisor of retail sales workers,First-line supervisor of office and administrative support workers,44.6,65.8,72.22,62.96,9.52,67.59,61.16
First-line supervisor of non-retail sales workers,Insurance claims and policy processing clerk,35.9,80.1,28.57,57.89,6.06,43.23,40.61
Cost estimator,Insurance underwriter,17.7,56.9,5.00,85.00,13.75,45.00,38.81
Materials engineer,Medical scientist,13.5,51.8,50.00,89.47,-5.13,69.74,66.16
First-line supervisor of non-retail sales workers,Social and human service assistant,35.9,75.3,21.43,17.50,11.76,19.46,17.17
Property assessor,Accountant,34.2,57.0,20.00,60.00,1.25,40.00,39.50
Postsecondary teacher,Special education teacher,46.6,86.6,75.00,21.88,-13.89,48.44,41.71
First-line supervisor of retail sales workers,Order clerk,44.6,58.3,11.11,84.38,0.00,47.74,47.74
Painter,Artist,10.4,51.6,57.14,77.50,8.00,67.32,61.94
Software developer,Accountant,20.2,57.0,90.00,75.00,6.25,82.50,77.34
Information security analyst,Insurance claims and policy processing clerk,19.3,80.1,90.00,36.84,7.69,63.42,58.54
Operation manager,Compliance officer,37.1,51.8,15.00,82.50,6.25,48.75,45.70
Chemists and materials scientist,Medical scientist,36.0,51.8,50.00,86.84,-20.00,68.42,54.74
Materials engineer,Biological scientist,13.5,55.0,47.50,86.49,2.60,66.99,65.25
Web and digital interface designer,Advertising sales agent,42.7,52.7,100.00,7.69,1.52,53.85,53.03
Web and digital interface designer,Insurance claims and policy processing clerk,42.7,80.1,95.00,36.84,8.97,65.92,60.01
Property assessor,Tax preparer,34.2,66.3,17.50,62.16,10.39,39.83,35.69
Counter and rental clerk,Payroll and timekeeping clerk,38.7,88.2,87.50,82.61,23.08,85.05,65.43
First-line supervisor of non-retail sales workers,Advertising sales agent,35.9,52.7,21.43,19.23,22.22,20.33,15.81
First-line supervisor of non-retail sales workers,Order clerk,35.9,58.3,25.00,78.12,3.33,51.56,49.84
Operation manager,Public relations specialist,37.1,76.2,72.50,55.00,18.75,63.75,51.80
Property assessor,Real estate broker,34.2,57.0,20.00,97.50,1.25,58.75,58.02
First-line supervisor of non-retail sales workers,Customer service representative,35.9,65.3,14.29,100.00,3.57,57.14,55.10
Software developer,Insurance claims and policy processing clerk,20.2,80.1,82.50,31.58,17.95,57.04,46.80
Information security analyst,Insurance underwriter,19.3,56.9,62.50,75.00,-2.50,68.75,67.03
Information security analyst,Accountant,19.3,57.0,85.00,80.00,-2.50,82.50,80.44
Web developer,Advertising sales agent,19.4,52.7,85.00,11.54,12.12,48.27,42.42
Postsecondary teacher,Public relations specialist,46.6,76.2,67.50,67.50,12.50,67.50,59.06
Computer support specialist,Customer service representative,26.2,65.3,37.50,100.00,7.35,68.75,63.69
Software developer,Customer service representative,20.2,65.3,75.00,100.00,10.29,87.50,78.49
Chemists and materials scientist,Biological scientist,36.0,55.0,93.75,56.76,-8.70,75.25,68.71
Surgeon,Medical scientist,20.0,51.8,70.97,84.21,4.35,77.59,74.22
Operation manager,Insurance underwriter,37.1,56.9,15.00,70.00,5.00,42.50,40.38
Postsecondary teacher,Social and community service manager,46.6,71.7,62.50,10.00,-1.25,36.25,35.80
Information security analyst,Payroll and timekeeping clerk,19.3,88.2,95.00,52.17,7.94,73.59,67.75
Electrical and electronic engineering technician,Medical appliance technician,11.6,58.9,100.00,65.00,0.00,82.50,82.50
Information security analyst,Executive secretary,19.3,90.0,50.00,100.00,20.31,75.00,59.77
Property assessor,Loan officer,34.2,51.6,22.50,76.92,-2.53,49.71,48.45
Software developer,Insurance sales agent,20.2,54.9,77.50,59.09,12.90,68.30,59.48
Lawyer,Accountant,39.5,57.0,100.00,37.50,1.25,68.75,67.89
Information security analyst,Social and community service manager,19.3,71.7,87.50,20.00,6.25,53.75,50.39
