occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,-0.34,-1.99,0.00,0.00,0.83,0.00,0.00
Sales manager,Marketing manager,33.1,62.4,96.46,-3.56,-15.70,22.50,40.00,6.07,31.25,29.35
Project management specialist,Training and development specialist,47.3,56.7,96.32,-2.43,-9.31,47.50,30.00,3.44,38.75,37.42
Project management specialist,Marketing specialist,47.3,61.7,96.15,3.92,-10.64,30.00,47.50,7.28,38.75,35.93
Project management specialist,Marketing manager,47.3,62.4,95.99,4.14,-10.22,5.00,72.50,7.18,38.75,35.97
Information security analyst,Operations research analyst,19.3,55.0,95.42,-5.64,-7.52,87.50,47.50,0.94,67.50,66.86
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,-4.38,-6.56,95.00,17.50,1.09,56.25,55.64
Management analyst,Marketing manager,46.6,62.4,94.88,-3.36,-8.20,10.00,70.00,2.42,40.00,39.03
Sales manager,Public relations manager,33.1,66.4,94.60,-3.22,-9.47,22.50,50.00,3.12,36.25,35.12
Management analyst,Marketing specialist,46.6,61.7,94.50,-4.49,-6.67,75.00,10.00,1.09,42.50,42.04
Sales manager,Human resources manager,33.1,76.5,94.40,-1.88,-10.48,40.00,17.50,4.30,28.75,27.51
Sales manager,Marketing specialist,33.1,61.7,94.34,-4.49,-9.54,70.00,5.00,2.53,37.50,36.55
Training and development manager,Marketing manager,48.0,62.4,94.32,-3.71,-10.28,2.50,67.50,3.29,35.00,33.85
Training and development manager,Administrative services manager,48.0,74.0,94.24,-1.50,-12.80,5.00,75.00,5.65,40.00,37.74
Project management specialist,Administrative services manager,47.3,74.0,94.20,5.81,-9.92,17.50,87.50,7.86,52.50,48.37
Purchasing manager,Financial manager,47.7,56.2,94.07,-3.47,2.98,0.00,90.00,-3.23,45.00,43.55
Management analyst,Financial manager,46.6,56.2,94.00,-4.92,2.92,0.00,92.50,-3.92,46.25,44.44
Sales manager,Financial manager,33.1,56.2,93.76,-3.03,2.99,5.00,90.00,-3.01,47.50,46.07
Training and development manager,Human resources manager,48.0,76.5,93.69,-3.05,-8.45,0.00,17.50,2.70,8.75,8.51
Project management specialist,Public relations manager,47.3,66.4,93.13,2.89,-9.26,7.50,90.00,6.07,48.75,45.79
Management analyst,Operations research analyst,46.6,55.0,92.92,-7.21,-4.18,55.00,25.00,-1.52,40.00,39.39
Management analyst,Public relations manager,46.6,66.4,92.91,-2.64,-7.41,25.00,75.00,2.38,50.00,48.81
Purchasing manager,Human resources manager,47.7,76.5,92.77,-1.64,-9.25,10.00,37.50,3.81,23.75,22.85
Training and development manager,Public relations manager,48.0,66.4,92.59,-4.44,-9.68,0.00,80.00,2.62,40.00,38.95
Purchasing manager,Marketing manager,47.7,62.4,92.52,-1.39,-10.03,10.00,70.00,4.32,40.00,38.27
Project management specialist,Human resources manager,47.3,76.5,92.47,3.41,-8.19,22.50,52.50,5.80,37.50,35.32
Purchasing manager,Public relations manager,47.7,66.4,92.38,-2.88,-9.80,10.00,77.50,3.46,43.75,42.24
Management analyst,Human resources manager,46.6,76.5,92.37,-2.35,-7.38,30.00,27.50,2.52,28.75,28.03
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,4.68,-19.90,87.50,22.50,12.29,55.00,48.24
Financial and investment analyst,Financial manager,43.9,56.2,92.25,-5.60,9.54,52.50,27.50,-7.57,40.00,36.97
Project management specialist,Human resources worker,47.3,76.5,92.21,3.48,-10.77,45.00,10.00,7.12,27.50,25.54
Facilities manager,Human resources manager,23.4,76.5,92.06,8.14,-14.07,10.00,55.00,11.11,32.50,28.89
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,1.93,-10.83,92.50,5.00,6.38,48.75,45.64
Training and development manager,Marketing specialist,48.0,61.7,91.94,-2.10,-9.05,37.50,32.50,3.48,35.00,33.78
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,3.76,-16.16,87.50,62.50,9.96,75.00,67.53
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,3.27,-14.94,90.00,25.00,9.11,57.50,52.26
Management analyst,Human resources worker,46.6,76.5,91.64,-2.17,-6.08,77.50,0.00,1.95,38.75,37.99
Training and development manager,Human resources worker,48.0,76.5,91.58,-0.10,-5.89,35.00,0.00,2.90,17.50,16.99
Project management specialist,Operations research analyst,47.3,55.0,91.31,-2.75,-4.30,15.00,70.00,0.77,42.50,42.17
Project management specialist,Financial manager,47.3,56.2,91.15,-1.43,0.94,0.00,92.50,-1.19,46.25,45.70
Sales manager,Human resources worker,33.1,76.5,91.09,-2.23,-9.09,77.50,0.00,3.43,38.75,37.42
Facilities manager,Marketing manager,23.4,62.4,90.92,7.12,-15.29,17.50,80.00,11.21,48.75,43.29
Facilities manager,Administrative services manager,23.4,74.0,90.81,6.73,-18.96,7.50,82.50,12.84,45.00,39.22
Sales manager,Administrative services manager,33.1,74.0,90.73,-1.83,-16.75,50.00,62.50,7.46,56.25,52.05
Management analyst,Administrative services manager,46.6,74.0,90.68,-1.72,-10.90,32.50,72.50,4.59,52.50,50.09
Purchasing manager,Human resources worker,47.7,76.5,90.36,0.86,-9.38,22.50,2.50,5.12,12.50,11.86
Management analyst,Training and development specialist,46.6,56.7,90.32,-5.10,-6.57,82.50,10.00,0.73,46.25,45.91
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,3.84,-15.72,85.00,50.00,9.78,67.50,60.90
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,-3.75,-4.43,95.00,5.00,0.34,50.00,49.83
Facilities manager,Public relations manager,23.4,66.4,90.26,4.80,-11.13,10.00,95.00,7.97,52.50,48.32
Sales manager,Training and development specialist,33.1,56.7,90.18,-6.04,-7.98,80.00,5.00,0.97,42.50,42.09
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,-0.70,-12.81,92.50,30.00,6.05,61.25,57.54
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,3.05,-4.26,87.50,82.50,3.65,85.00,81.90
Purchasing manager,Marketing specialist,47.7,61.7,90.08,-0.48,-11.57,22.50,47.50,5.54,35.00,33.06
Training and development manager,Financial manager,48.0,56.2,90.06,-8.66,2.20,0.00,95.00,-5.43,47.50,44.92
Sales manager,Advertising sales agent,33.1,52.7,89.99,-6.15,-10.49,52.50,0.00,2.17,26.25,25.68
Management analyst,Accountant,46.6,57.0,89.84,-5.53,-0.95,12.50,25.00,-2.29,18.75,18.32
Industrial production manager,Human resources manager,19.1,76.5,89.80,2.40,-11.40,52.50,32.50,6.90,42.50,39.57
Facilities manager,Social and community service manager,23.4,71.7,89.67,6.52,-10.64,17.50,17.50,8.58,17.50,16.00
Purchasing manager,Administrative services manager,47.7,74.0,89.51,0.58,-12.11,5.00,77.50,6.35,41.25,38.63
Industrial production manager,Financial manager,19.1,56.2,89.51,-1.57,1.72,52.50,92.50,-1.64,72.50,71.31
Operation manager,Financial manager,37.1,56.2,89.31,-3.19,1.57,35.00,90.00,-2.38,62.50,61.01
Industrial production manager,Human resources worker,19.1,76.5,89.29,3.08,-11.22,70.00,2.50,7.15,36.25,33.66
