occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,100.00,90.00,1.25,95.00,93.81
Sales manager,Marketing manager,33.1,62.4,50.00,92.50,28.75,71.25,50.77
Project management specialist,Training and development specialist,47.3,56.7,100.00,82.50,-6.25,91.25,85.55
Project management specialist,Marketing specialist,47.3,61.7,55.00,85.00,21.25,70.00,55.12
Project management specialist,Marketing manager,47.3,62.4,15.00,100.00,13.75,57.50,49.59
Information security analyst,Operations research analyst,19.3,55.0,97.50,32.50,-11.25,65.00,57.69
Financial and investment analyst,Operations research analyst,43.9,55.0,92.50,7.50,1.25,50.00,49.38
Management analyst,Marketing manager,46.6,62.4,60.00,92.50,13.75,76.25,65.77
Sales manager,Public relations manager,33.1,66.4,65.00,82.50,13.75,73.75,63.61
Management analyst,Marketing specialist,46.6,61.7,97.50,70.00,3.75,83.75,80.61
Sales manager,Human resources manager,33.1,76.5,82.50,57.50,5.00,70.00,66.50
Sales manager,Marketing specialist,33.1,61.7,100.00,60.00,-5.00,80.00,76.00
Training and development manager,Marketing manager,48.0,62.4,47.50,100.00,23.75,73.75,56.23
Training and development manager,Administrative services manager,48.0,74.0,55.00,92.50,22.50,73.75,57.16
Project management specialist,Administrative services manager,47.3,74.0,35.00,100.00,28.75,67.50,48.09
Purchasing manager,Financial manager,47.7,56.2,5.00,100.00,8.75,52.50,47.91
Management analyst,Financial manager,46.6,56.2,7.50,100.00,-2.50,53.75,52.41
Sales manager,Financial manager,33.1,56.2,15.00,100.00,13.75,57.50,49.59
Training and development manager,Human resources manager,48.0,76.5,90.00,100.00,10.00,95.00,85.50
Project management specialist,Public relations manager,47.3,66.4,22.50,100.00,8.75,61.25,55.89
Management analyst,Operations research analyst,46.6,55.0,97.50,60.00,-12.50,78.75,68.91
Management analyst,Public relations manager,46.6,66.4,65.00,100.00,6.25,82.50,77.34
Purchasing manager,Human resources manager,47.7,76.5,67.50,100.00,18.75,83.75,68.05
Training and development manager,Public relations manager,48.0,66.4,35.00,100.00,18.75,67.50,54.84
Purchasing manager,Marketing manager,47.7,62.4,32.50,100.00,22.50,66.25,51.34
Project management specialist,Human resources manager,47.3,76.5,80.00,100.00,15.00,90.00,76.50
Purchasing manager,Public relations manager,47.7,66.4,22.50,100.00,12.50,61.25,53.59
Management analyst,Human resources manager,46.6,76.5,87.50,95.00,5.00,91.25,86.69
Architectural and engineering manager,Marketing manager,12.8,62.4,95.00,42.50,16.25,68.75,57.58
Financial and investment analyst,Financial manager,43.9,56.2,92.50,80.00,-16.25,86.25,72.23
Project management specialist,Human resources worker,47.3,76.5,95.00,82.50,8.75,88.75,80.98
Facilities manager,Human resources manager,23.4,76.5,57.50,100.00,20.00,78.75,63.00
Architectural and engineering manager,Training and development specialist,12.8,56.7,100.00,30.00,0.00,65.00,65.00
Training and development manager,Marketing specialist,48.0,61.7,92.50,90.00,2.50,91.25,88.97
Architectural and engineering manager,Administrative services manager,12.8,74.0,95.00,62.50,15.00,78.75,66.94
Architectural and engineering manager,Human resources manager,12.8,76.5,100.00,57.50,6.25,78.75,73.83
Management analyst,Human resources worker,46.6,76.5,97.50,57.50,-2.50,77.50,75.56
Training and development manager,Human resources worker,48.0,76.5,100.00,90.00,3.75,95.00,91.44
Project management specialist,Operations research analyst,47.3,55.0,62.50,97.50,10.00,80.00,72.00
Project management specialist,Financial manager,47.3,56.2,12.50,100.00,7.50,56.25,52.03
Sales manager,Human resources worker,33.1,76.5,100.00,47.50,5.00,73.75,70.06
Facilities manager,Marketing manager,23.4,62.4,50.00,97.50,16.25,73.75,61.77
Facilities manager,Administrative services manager,23.4,74.0,47.50,100.00,25.00,73.75,55.31
Sales manager,Administrative services manager,33.1,74.0,57.50,67.50,22.50,62.50,48.44
Management analyst,Administrative services manager,46.6,74.0,82.50,95.00,5.00,88.75,84.31
Purchasing manager,Human resources worker,47.7,76.5,100.00,82.50,5.00,91.25,86.69
Management analyst,Training and development specialist,46.6,56.7,100.00,62.50,-13.75,81.25,70.08
Architectural and engineering manager,Public relations manager,12.8,66.4,97.50,72.50,12.50,85.00,74.38
Financial and investment analyst,Training and development specialist,43.9,56.7,100.00,25.00,-12.50,62.50,54.69
Facilities manager,Public relations manager,23.4,66.4,45.00,100.00,7.50,72.50,67.06
Sales manager,Training and development specialist,33.1,56.7,100.00,35.00,-10.00,67.50,60.75
Financial and investment analyst,Administrative services manager,43.9,74.0,97.50,40.00,2.50,68.75,67.03
Architectural and engineering manager,Financial manager,12.8,56.2,92.50,87.50,10.00,90.00,81.00
Purchasing manager,Marketing specialist,47.7,61.7,82.50,90.00,12.50,86.25,75.47
Training and development manager,Financial manager,48.0,56.2,5.00,100.00,11.25,52.50,46.59
