occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,1.97,0.83,100.00,90.00,0.57,95.00,94.46
Sales manager,Marketing manager,33.1,62.4,96.46,15.19,0.19,50.00,92.50,7.50,71.25,65.90
Project management specialist,Training and development specialist,47.3,56.7,96.32,10.13,3.05,100.00,82.50,3.54,91.25,88.02
Project management specialist,Marketing specialist,47.3,61.7,96.15,10.79,-2.92,55.00,85.00,6.86,70.00,65.20
Project management specialist,Marketing manager,47.3,62.4,95.99,10.05,-2.71,15.00,100.00,6.38,57.50,53.83
Information security analyst,Operations research analyst,19.3,55.0,95.42,2.47,7.29,97.50,32.50,-2.41,65.00,63.43
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,8.67,4.24,92.50,7.50,2.21,50.00,48.89
Management analyst,Marketing manager,46.6,62.4,94.88,10.31,4.01,60.00,92.50,3.15,76.25,73.85
Sales manager,Public relations manager,33.1,66.4,94.60,9.49,5.50,65.00,82.50,2.00,73.75,72.28
Management analyst,Marketing specialist,46.6,61.7,94.50,7.70,4.65,97.50,70.00,1.53,83.75,82.47
Sales manager,Human resources manager,33.1,76.5,94.40,10.36,2.69,82.50,57.50,3.83,70.00,67.32
Sales manager,Marketing specialist,33.1,61.7,94.34,7.48,2.06,100.00,60.00,2.71,80.00,77.83
Training and development manager,Marketing manager,48.0,62.4,94.32,10.62,2.90,47.50,100.00,3.86,73.75,70.90
Training and development manager,Administrative services manager,48.0,74.0,94.24,14.83,0.52,55.00,92.50,7.16,73.75,68.47
Project management specialist,Administrative services manager,47.3,74.0,94.20,14.74,-1.85,35.00,100.00,8.29,67.50,61.90
Purchasing manager,Financial manager,47.7,56.2,94.07,2.76,2.91,5.00,100.00,-0.08,52.50,52.46
Management analyst,Financial manager,46.6,56.2,94.00,0.10,5.30,7.50,100.00,-2.60,53.75,52.35
