occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,2.50,0.00,0.00,1.25,1.25
Sales manager,Marketing manager,33.1,62.4,12.50,37.50,20.00,25.00,20.00
Project management specialist,Training and development specialist,47.3,56.7,37.50,25.00,2.50,31.25,30.47
Project management specialist,Marketing specialist,47.3,61.7,27.50,45.00,22.50,36.25,28.09
Project management specialist,Marketing manager,47.3,62.4,5.00,72.50,13.75,38.75,33.42
Information security analyst,Operations research analyst,19.3,55.0,87.50,57.50,-1.25,72.50,71.59
Financial and investment analyst,Operations research analyst,43.9,55.0,95.00,17.50,-2.50,56.25,54.84
Management analyst,Marketing manager,46.6,62.4,7.50,72.50,7.50,40.00,37.00
Sales manager,Public relations manager,33.1,66.4,30.00,55.00,22.50,42.50,32.94
Management analyst,Marketing specialist,46.6,61.7,70.00,15.00,5.00,42.50,40.38
Sales manager,Human resources manager,33.1,76.5,45.00,15.00,13.75,30.00,25.87
Sales manager,Marketing specialist,33.1,61.7,70.00,5.00,1.25,37.50,37.03
Training and development manager,Marketing manager,48.0,62.4,2.50,65.00,7.50,33.75,31.22
Training and development manager,Administrative services manager,48.0,74.0,5.00,80.00,12.50,42.50,37.19
Project management specialist,Administrative services manager,47.3,74.0,10.00,90.00,6.25,50.00,46.88
Purchasing manager,Financial manager,47.7,56.2,0.00,90.00,-2.50,45.00,43.88
Management analyst,Financial manager,46.6,56.2,0.00,95.00,-1.25,47.50,46.91
Sales manager,Financial manager,33.1,56.2,2.50,90.00,-1.25,46.25,45.67
Training and development manager,Human resources manager,48.0,76.5,0.00,12.50,12.50,6.25,5.47
Project management specialist,Public relations manager,47.3,66.4,7.50,85.00,15.00,46.25,39.31
Management analyst,Operations research analyst,46.6,55.0,45.00,27.50,-3.75,36.25,34.89
Management analyst,Public relations manager,46.6,66.4,22.50,77.50,20.00,50.00,40.00
Purchasing manager,Human resources manager,47.7,76.5,10.00,35.00,13.75,22.50,19.41
Training and development manager,Public relations manager,48.0,66.4,0.00,77.50,17.50,38.75,31.97
Purchasing manager,Marketing manager,47.7,62.4,12.50,70.00,13.75,41.25,35.58
Project management specialist,Human resources manager,47.3,76.5,20.00,42.50,23.75,31.25,23.83
Purchasing manager,Public relations manager,47.7,66.4,12.50,77.50,17.50,45.00,37.12
Management analyst,Human resources manager,46.6,76.5,32.50,25.00,17.50,28.75,23.72
Architectural and engineering manager,Marketing manager,12.8,62.4,87.50,22.50,27.50,55.00,39.88
Financial and investment analyst,Financial manager,43.9,56.2,42.50,42.50,-15.00,42.50,36.12
Project management specialist,Human resources worker,47.3,76.5,40.00,5.00,1.25,22.50,22.22
Facilities manager,Human resources manager,23.4,76.5,10.00,52.50,25.00,31.25,23.44
Architectural and engineering manager,Training and development specialist,12.8,56.7,95.00,7.50,2.50,51.25,49.97
Training and development manager,Marketing specialist,48.0,61.7,35.00,15.00,15.00,25.00,21.25
Architectural and engineering manager,Administrative services manager,12.8,74.0,87.50,72.50,17.50,80.00,66.00
Architectural and engineering manager,Human resources manager,12.8,76.5,90.00,25.00,22.50,57.50,44.56
