occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,-6.39,-1.44,2.50,0.00,-2.47,1.25,1.22
Sales manager,Marketing manager,33.1,62.4,96.46,1.28,-16.44,12.50,37.50,8.86,25.00,22.79
Project management specialist,Training and development specialist,47.3,56.7,96.32,-0.94,-7.92,37.50,25.00,3.49,31.25,30.16
Project management specialist,Marketing specialist,47.3,61.7,96.15,4.40,-10.22,27.50,45.00,7.31,36.25,33.60
Project management specialist,Marketing manager,47.3,62.4,95.99,3.62,-7.02,5.00,72.50,5.32,38.75,36.69
Information security analyst,Operations research analyst,19.3,55.0,95.42,-1.08,-0.16,87.50,57.50,-0.46,72.50,72.17
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,1.90,-3.82,95.00,17.50,2.86,56.25,54.64
Management analyst,Marketing manager,46.6,62.4,94.88,-0.27,-6.90,7.50,72.50,3.31,40.00,38.67
Sales manager,Public relations manager,33.1,66.4,94.60,3.59,-12.45,30.00,55.00,8.02,42.50,39.09
Management analyst,Marketing specialist,46.6,61.7,94.50,-0.41,-8.73,70.00,15.00,4.16,42.50,40.73
Sales manager,Human resources manager,33.1,76.5,94.40,3.57,-15.84,45.00,15.00,9.71,30.00,27.09
Sales manager,Marketing specialist,33.1,61.7,94.34,0.59,-10.36,70.00,5.00,5.48,37.50,35.45
Training and development manager,Marketing manager,48.0,62.4,94.32,-3.45,-6.80,2.50,65.00,1.67,33.75,33.19
Training and development manager,Administrative services manager,48.0,74.0,94.24,-4.00,-8.78,5.00,80.00,2.39,42.50,41.49
Project management specialist,Administrative services manager,47.3,74.0,94.20,3.98,-4.45,10.00,90.00,4.21,50.00,47.89
Purchasing manager,Financial manager,47.7,56.2,94.07,-5.97,8.35,0.00,90.00,-7.16,45.00,41.78
Management analyst,Financial manager,46.6,56.2,94.00,-3.29,6.20,0.00,95.00,-4.75,47.50,45.24
Sales manager,Financial manager,33.1,56.2,93.76,-3.54,7.16,2.50,90.00,-5.35,46.25,43.77
Training and development manager,Human resources manager,48.0,76.5,93.69,-4.45,-12.16,0.00,12.50,3.86,6.25,6.01
Project management specialist,Public relations manager,47.3,66.4,93.13,4.38,-7.05,7.50,85.00,5.71,46.25,43.61
