occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,100.00,80.00,-2.50,90.00,87.75
Sales manager,Marketing manager,33.1,62.4,55.00,95.00,31.25,75.00,51.56
Project management specialist,Training and development specialist,47.3,56.7,97.50,82.50,-3.75,90.00,86.62
Project management specialist,Marketing specialist,47.3,61.7,52.50,90.00,18.75,71.25,57.89
Project management specialist,Marketing manager,47.3,62.4,17.50,100.00,8.75,58.75,53.61
Information security analyst,Operations research analyst,19.3,55.0,87.50,37.50,-12.50,62.50,54.69
Financial and investment analyst,Operations research analyst,43.9,55.0,97.50,10.00,1.25,53.75,53.08
Management analyst,Marketing manager,46.6,62.4,55.00,95.00,15.00,75.00,63.75
Sales manager,Public relations manager,33.1,66.4,52.50,90.00,26.25,71.25,52.55
Management analyst,Marketing specialist,46.6,61.7,92.50,75.00,13.75,83.75,72.23
Sales manager,Human resources manager,33.1,76.5,82.50,57.50,11.25,70.00,62.12
Sales manager,Marketing specialist,33.1,61.7,100.00,67.50,10.00,83.75,75.38
Training and development manager,Marketing manager,48.0,62.4,47.50,100.00,21.25,73.75,58.08
Training and development manager,Administrative services manager,48.0,74.0,52.50,92.50,16.25,72.50,60.72
Project management specialist,Administrative services manager,47.3,74.0,32.50,100.00,20.00,66.25,53.00
Purchasing manager,Financial manager,47.7,56.2,17.50,100.00,0.00,58.75,58.75
Management analyst,Financial manager,46.6,56.2,5.00,100.00,-1.25,52.50,51.84
Sales manager,Financial manager,33.1,56.2,12.50,100.00,3.75,56.25,54.14
Training and development manager,Human resources manager,48.0,76.5,95.00,100.00,7.50,97.50,90.19
Project management specialist,Public relations manager,47.3,66.4,17.50,100.00,11.25,58.75,52.14
Management analyst,Operations research analyst,46.6,55.0,97.50,75.00,-1.25,86.25,85.17
Management analyst,Public relations manager,46.6,66.4,67.50,100.00,7.50,83.75,77.47
Purchasing manager,Human resources manager,47.7,76.5,75.00,92.50,21.25,83.75,65.95
Training and development manager,Public relations manager,48.0,66.4,40.00,100.00,18.75,70.00,56.88
Purchasing manager,Marketing manager,47.7,62.4,45.00,100.00,18.75,72.50,58.91
Project management specialist,Human resources manager,47.3,76.5,77.50,100.00,13.75,88.75,76.55
Purchasing manager,Public relations manager,47.7,66.4,22.50,97.50,13.75,60.00,51.75
Management analyst,Human resources manager,46.6,76.5,87.50,95.00,6.25,91.25,85.55
Architectural and engineering manager,Marketing manager,12.8,62.4,97.50,42.50,18.75,70.00,56.88
Financial and investment analyst,Financial manager,43.9,56.2,87.50,90.00,-13.75,88.75,76.55
Project management specialist,Human resources worker,47.3,76.5,97.50,87.50,11.25,92.50,82.09
Facilities manager,Human resources manager,23.4,76.5,65.00,100.00,20.00,82.50,66.00
Architectural and engineering manager,Training and development specialist,12.8,56.7,100.00,30.00,5.00,65.00,61.75
Training and development manager,Marketing specialist,48.0,61.7,92.50,90.00,6.25,91.25,85.55
Architectural and engineering manager,Administrative services manager,12.8,74.0,95.00,65.00,12.50,80.00,70.00
Architectural and engineering manager,Human resources manager,12.8,76.5,100.00,50.00,16.25,75.00,62.81
Management analyst,Human resources worker,46.6,76.5,100.00,55.00,1.25,77.50,76.53
Training and development manager,Human resources worker,48.0,76.5,100.00,90.00,1.25,95.00,93.81
Project management specialist,Operations research analyst,47.3,55.0,55.00,97.50,1.25,76.25,75.30
Project management specialist,Financial manager,47.3,56.2,10.00,100.00,1.25,55.00,54.31
Sales manager,Human resources worker,33.1,76.5,100.00,50.00,15.00,75.00,63.75
Facilities manager,Marketing manager,23.4,62.4,55.00,100.00,11.25,77.50,68.78
Facilities manager,Administrative services manager,23.4,74.0,40.00,100.00,22.50,70.00,54.25
Sales manager,Administrative services manager,33.1,74.0,62.50,70.00,26.25,66.25,48.86
Management analyst,Administrative services manager,46.6,74.0,82.50,97.50,6.25,90.00,84.37
Purchasing manager,Human resources worker,47.7,76.5,100.00,65.00,-2.50,82.50,80.44
Management analyst,Training and development specialist,46.6,56.7,100.00,67.50,-2.50,83.75,81.66
Architectural and engineering manager,Public relations manager,12.8,66.4,95.00,75.00,11.25,85.00,75.44
Financial and investment analyst,Training and development specialist,43.9,56.7,100.00,25.00,-2.50,62.50,60.94
Facilities manager,Public relations manager,23.4,66.4,37.50,100.00,5.00,68.75,65.31
Sales manager,Training and development specialist,33.1,56.7,100.00,40.00,-2.50,70.00,68.25
Financial and investment analyst,Administrative services manager,43.9,74.0,97.50,52.50,12.50,75.00,65.62
Architectural and engineering manager,Financial manager,12.8,56.2,95.00,87.50,6.25,91.25,85.55
Purchasing manager,Marketing specialist,47.7,61.7,90.00,92.50,10.00,91.25,82.13
Training and development manager,Financial manager,48.0,56.2,10.00,100.00,2.50,55.00,53.62
Sales manager,Advertising sales agent,33.1,52.7,100.00,42.31,7.58,71.15,65.76
Management analyst,Accountant,46.6,57.0,97.50,95.00,3.75,96.25,92.64
Industrial production manager,Human resources manager,19.1,76.5,87.50,100.00,6.25,93.75,87.89
Facilities manager,Social and community service manager,23.4,71.7,97.50,75.00,8.75,86.25,78.70
Purchasing manager,Administrative services manager,47.7,74.0,25.00,100.00,16.25,62.50,52.34
Industrial production manager,Financial manager,19.1,56.2,65.00,100.00,5.00,82.50,78.38
Operation manager,Financial manager,37.1,56.2,47.50,100.00,1.25,73.75,72.83
Industrial production manager,Human resources worker,19.1,76.5,100.00,90.00,5.00,95.00,90.25
Sales manager,Insurance sales agent,33.1,54.9,75.00,90.91,6.45,82.95,77.60
Architectural and engineering manager,Marketing specialist,12.8,61.7,100.00,42.50,17.50,71.25,58.78
Postsecondary teacher,Secondary school teacher,46.6,56.9,92.50,53.33,2.86,72.92,70.83
Facilities manager,Human resources worker,23.4,76.5,95.00,100.00,3.75,97.50,93.84
Software developer,Marketing specialist,20.2,61.7,100.00,77.50,16.25,88.75,74.33
Industrial production manager,Marketing manager,19.1,62.4,77.50,97.50,6.25,87.50,82.03
Facilities manager,Training and development specialist,23.4,56.7,85.00,97.50,13.75,91.25,78.70
Software developer,Operations research analyst,20.2,55.0,95.00,95.00,3.75,95.00,91.44
Web and digital interface designer,Marketing specialist,42.7,61.7,100.00,55.00,3.75,77.50,74.59
Information security analyst,Administrative services manager,19.3,74.0,92.50,95.00,6.25,93.75,87.89
Industrial production manager,Operations research analyst,19.1,55.0,90.00,97.50,0.00,93.75,93.75
Facilities manager,Financial manager,23.4,56.2,27.50,100.00,6.25,63.75,59.77
Financial and investment analyst,Marketing manager,43.9,62.4,100.00,62.50,0.00,81.25,81.25
Industrial production manager,Public relations manager,19.1,66.4,72.50,100.00,5.00,86.25,81.94
Project management specialist,Public relations specialist,47.3,76.2,57.50,100.00,17.50,78.75,64.97
Industrial production manager,Administrative services manager,19.1,74.0,80.00,100.00,10.00,90.00,81.00
Facilities manager,Marketing specialist,23.4,61.7,77.50,97.50,13.75,87.50,75.47
Financial and investment analyst,Marketing specialist,43.9,61.7,100.00,27.50,-3.75,63.75,61.36
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,21.43,33.33,1.82,27.38,26.88
Operation manager,Marketing manager,37.1,62.4,62.50,100.00,6.25,81.25,76.17
Industrial production manager,Training and development specialist,19.1,56.7,100.00,95.00,0.00,97.50,97.50
Purchasing manager,Accountant,47.7,57.0,77.50,100.00,1.25,88.75,87.64
Financial and investment analyst,Insurance underwriter,43.9,56.9,92.50,37.50,-2.50,65.00,63.38
Financial and investment analyst,Public relations manager,43.9,66.4,97.50,50.00,2.50,73.75,71.91
Chemical engineer,Medical scientist,21.6,51.8,35.00,100.00,-1.28,67.50,66.63
Operation manager,Human resources manager,37.1,76.5,87.50,95.00,10.00,91.25,82.12
Architectural and engineering manager,Human resources worker,12.8,76.5,100.00,35.00,17.50,67.50,55.69
Operation manager,Public relations manager,37.1,66.4,55.00,100.00,5.00,77.50,73.62
Training and development manager,Social and community service manager,48.0,71.7,97.50,55.00,2.50,76.25,74.34
Financial and investment analyst,Accountant,43.9,57.0,97.50,32.50,5.00,65.00,61.75
Financial and investment analyst,Human resources manager,43.9,76.5,100.00,52.50,15.00,76.25,64.81
