occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,1.37,6.46,100.00,80.00,-2.54,90.00,87.71
Sales manager,Marketing manager,33.1,62.4,96.46,17.35,-3.17,55.00,95.00,10.26,75.00,67.31
Project management specialist,Training and development specialist,47.3,56.7,96.32,8.13,2.97,97.50,82.50,2.58,90.00,87.68
Project management specialist,Marketing specialist,47.3,61.7,96.15,10.41,-2.88,52.50,90.00,6.65,71.25,66.51
Project management specialist,Marketing manager,47.3,62.4,95.99,8.04,-1.74,17.50,100.00,4.89,58.75,55.88
Information security analyst,Operations research analyst,19.3,55.0,95.42,-2.42,3.45,87.50,37.50,-2.94,62.50,60.66
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,7.88,-0.20,97.50,10.00,4.04,53.75,51.58
Management analyst,Marketing manager,46.6,62.4,94.88,12.61,1.58,55.00,95.00,5.51,75.00,70.86
Sales manager,Public relations manager,33.1,66.4,94.60,14.94,0.36,52.50,90.00,7.29,71.25,66.05
Management analyst,Marketing specialist,46.6,61.7,94.50,11.04,0.70,92.50,75.00,5.17,83.75,79.42
Sales manager,Human resources manager,33.1,76.5,94.40,15.62,-3.11,82.50,57.50,9.37,70.00,63.44
Sales manager,Marketing specialist,33.1,61.7,94.34,9.01,-3.00,100.00,67.50,6.00,83.75,78.72
Training and development manager,Marketing manager,48.0,62.4,94.32,8.17,2.62,47.50,100.00,2.77,73.75,71.71
Training and development manager,Administrative services manager,48.0,74.0,94.24,13.11,4.72,52.50,92.50,4.20,72.50,69.46
Project management specialist,Administrative services manager,47.3,74.0,94.20,12.17,1.41,32.50,100.00,5.38,66.25,62.68
Purchasing manager,Financial manager,47.7,56.2,94.07,-4.54,5.27,17.50,100.00,-4.90,58.75,55.87
Management analyst,Financial manager,46.6,56.2,94.00,-3.66,4.14,5.00,100.00,-3.90,52.50,50.45
Sales manager,Financial manager,33.1,56.2,93.76,-1.54,5.36,12.50,100.00,-3.45,56.25,54.31
Training and development manager,Human resources manager,48.0,76.5,93.69,9.08,2.87,95.00,100.00,3.10,97.50,94.47
Project management specialist,Public relations manager,47.3,66.4,93.13,7.83,0.70,17.50,100.00,3.56,58.75,56.66
Management analyst,Operations research analyst,46.6,55.0,92.92,5.34,4.90,97.50,75.00,0.22,86.25,86.06
Management analyst,Public relations manager,46.6,66.4,92.91,9.62,2.52,67.50,100.00,3.55,83.75,80.77
Purchasing manager,Human resources manager,47.7,76.5,92.77,13.31,1.84,75.00,92.50,5.74,83.75,78.95
Training and development manager,Public relations manager,48.0,66.4,92.59,7.62,5.12,40.00,100.00,1.25,70.00,69.13
Purchasing manager,Marketing manager,47.7,62.4,92.52,7.92,1.02,45.00,100.00,3.45,72.50,70.00
Project management specialist,Human resources manager,47.3,76.5,92.47,13.49,-1.95,77.50,100.00,7.72,88.75,81.90
Purchasing manager,Public relations manager,47.7,66.4,92.38,5.61,1.46,22.50,97.50,2.08,60.00,58.75
Management analyst,Human resources manager,46.6,76.5,92.37,8.40,-0.09,87.50,95.00,4.25,91.25,87.37
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,8.70,-12.48,97.50,42.50,10.59,70.00,62.59
Financial and investment analyst,Financial manager,43.9,56.2,92.25,-2.99,10.57,87.50,90.00,-6.78,88.75,82.73
Project management specialist,Human resources worker,47.3,76.5,92.21,11.72,-2.29,97.50,87.50,7.01,92.50,86.02
Facilities manager,Human resources manager,23.4,76.5,92.06,13.75,-1.60,65.00,100.00,7.67,82.50,76.17
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,2.46,-6.73,100.00,30.00,4.60,65.00,62.01
Training and development manager,Marketing specialist,48.0,61.7,91.94,9.94,-0.87,92.50,90.00,5.40,91.25,86.32
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,9.35,-9.37,95.00,65.00,9.36,80.00,72.51
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,5.21,-11.47,100.00,50.00,8.34,75.00,68.75
Management analyst,Human resources worker,46.6,76.5,91.64,6.54,-0.16,100.00,55.00,3.35,77.50,74.90
Training and development manager,Human resources worker,48.0,76.5,91.58,5.92,-1.16,100.00,90.00,3.54,95.00,91.64
Project management specialist,Operations research analyst,47.3,55.0,91.31,2.33,3.01,55.00,97.50,-0.34,76.25,75.99
Project management specialist,Financial manager,47.3,56.2,91.15,-1.76,3.38,10.00,100.00,-2.57,55.00,53.59
Sales manager,Human resources worker,33.1,76.5,91.09,7.66,-6.40,100.00,50.00,7.03,75.00,69.72
Facilities manager,Marketing manager,23.4,62.4,90.92,10.93,-2.00,55.00,100.00,6.47,77.50,72.49
Facilities manager,Administrative services manager,23.4,74.0,90.81,17.03,0.34,40.00,100.00,8.35,70.00,64.16
Sales manager,Administrative services manager,33.1,74.0,90.73,17.74,-3.10,62.50,70.00,10.42,66.25,59.35
Management analyst,Administrative services manager,46.6,74.0,90.68,10.52,1.88,82.50,97.50,4.32,90.00,86.11
Purchasing manager,Human resources worker,47.7,76.5,90.36,11.18,-0.17,100.00,65.00,5.68,82.50,77.82
Management analyst,Training and development specialist,46.6,56.7,90.32,6.49,1.37,100.00,67.50,2.56,83.75,81.61
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,6.39,-8.78,95.00,75.00,7.58,85.00,78.55
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,3.20,1.53,100.00,25.00,0.84,62.50,61.98
Facilities manager,Public relations manager,23.4,66.4,90.26,9.13,0.99,37.50,100.00,4.07,68.75,65.95
Sales manager,Training and development specialist,33.1,56.7,90.18,5.86,-0.00,100.00,40.00,2.93,70.00,67.95
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,7.66,-5.49,97.50,52.50,6.58,75.00,70.07
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,4.67,-4.07,95.00,87.50,4.37,91.25,87.26
Purchasing manager,Marketing specialist,47.7,61.7,90.08,11.64,-2.95,90.00,92.50,7.29,91.25,84.59
Training and development manager,Financial manager,48.0,56.2,90.06,-2.67,8.37,10.00,100.00,-5.52,55.00,51.96
Sales manager,Advertising sales agent,33.1,52.7,89.99,6.30,-1.44,100.00,42.31,3.87,71.15,68.40
Management analyst,Accountant,46.6,57.0,89.84,4.12,1.00,97.50,95.00,1.56,96.25,94.75
Industrial production manager,Human resources manager,19.1,76.5,89.80,8.81,-2.07,87.50,100.00,5.44,93.75,88.65
Facilities manager,Social and community service manager,23.4,71.7,89.67,9.80,-4.83,97.50,75.00,7.31,86.25,79.94
Purchasing manager,Administrative services manager,47.7,74.0,89.51,10.68,1.34,25.00,100.00,4.67,62.50,59.58
Industrial production manager,Financial manager,19.1,56.2,89.51,1.58,3.17,65.00,100.00,-0.79,82.50,81.84
Operation manager,Financial manager,37.1,56.2,89.31,0.67,4.23,47.50,100.00,-1.78,73.75,72.44
Industrial production manager,Human resources worker,19.1,76.5,89.29,3.41,-6.63,100.00,90.00,5.02,95.00,90.23
Sales manager,Insurance sales agent,33.1,54.9,89.13,6.70,-2.73,75.00,90.91,4.72,82.95,79.04
Architectural and engineering manager,Marketing specialist,12.8,61.7,89.09,3.46,-11.99,100.00,42.50,7.72,71.25,65.75
Postsecondary teacher,Secondary school teacher,46.6,56.9,89.04,8.79,2.80,92.50,53.33,2.99,72.92,70.73
Facilities manager,Human resources worker,23.4,76.5,88.96,12.25,-4.08,95.00,100.00,8.17,97.50,89.54
Software developer,Marketing specialist,20.2,61.7,88.94,5.53,-13.24,100.00,77.50,9.38,88.75,80.42
Industrial production manager,Marketing manager,19.1,62.4,88.93,7.62,-3.04,77.50,97.50,5.33,87.50,82.84
Facilities manager,Training and development specialist,23.4,56.7,88.90,11.61,-0.91,85.00,97.50,6.26,91.25,85.53
Software developer,Operations research analyst,20.2,55.0,88.88,7.30,-3.14,95.00,95.00,5.22,95.00,90.04
Web and digital interface designer,Marketing specialist,42.7,61.7,88.62,1.63,-3.50,100.00,55.00,2.57,77.50,75.51
Information security analyst,Administrative services manager,19.3,74.0,88.53,7.11,3.29,92.50,95.00,1.91,93.75,91.96
Industrial production manager,Operations research analyst,19.1,55.0,88.39,3.54,0.81,90.00,97.50,1.37,93.75,92.47
Facilities manager,Financial manager,23.4,56.2,88.37,4.53,2.24,27.50,100.00,1.14,63.75,63.02
Financial and investment analyst,Marketing manager,43.9,62.4,88.36,6.44,-2.45,100.00,62.50,4.44,81.25,77.64
Industrial production manager,Public relations manager,19.1,66.4,88.35,6.92,0.25,72.50,100.00,3.33,86.25,83.37
Project management specialist,Public relations specialist,47.3,76.2,88.35,11.33,-3.97,57.50,100.00,7.65,78.75,72.72
Industrial production manager,Administrative services manager,19.1,74.0,88.30,11.15,-0.02,80.00,100.00,5.58,90.00,84.97
Facilities manager,Marketing specialist,23.4,61.7,88.28,12.59,-8.06,77.50,97.50,10.32,87.50,78.47
Financial and investment analyst,Marketing specialist,43.9,61.7,88.28,4.79,-0.13,100.00,27.50,2.46,63.75,62.18
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,88.18,4.27,1.01,21.43,33.33,1.63,27.38,26.93
Operation manager,Marketing manager,37.1,62.4,88.12,7.92,-0.59,62.50,100.00,4.26,81.25,77.79
Industrial production manager,Training and development specialist,19.1,56.7,88.10,4.76,-3.13,100.00,95.00,3.95,97.50,93.65
Purchasing manager,Accountant,47.7,57.0,88.07,2.81,1.06,77.50,100.00,0.87,88.75,87.98
Financial and investment analyst,Insurance underwriter,43.9,56.9,88.04,2.68,5.12,92.50,37.50,-1.22,65.00,64.21
Financial and investment analyst,Public relations manager,43.9,66.4,87.91,6.48,-3.12,97.50,50.00,4.80,73.75,70.21
Chemical engineer,Medical scientist,21.6,51.8,87.70,1.32,1.57,35.00,100.00,-0.13,67.50,67.41
Operation manager,Human resources manager,37.1,76.5,87.61,10.70,-2.54,87.50,95.00,6.62,91.25,85.21
Architectural and engineering manager,Human resources worker,12.8,76.5,87.58,2.53,-13.54,100.00,35.00,8.03,67.50,62.08
Operation manager,Public relations manager,37.1,66.4,87.47,6.21,0.20,55.00,100.00,3.00,77.50,75.17
Training and development manager,Social and community service manager,48.0,71.7,87.29,6.72,2.12,97.50,55.00,2.30,76.25,74.50
Financial and investment analyst,Accountant,43.9,57.0,87.27,2.87,-5.78,97.50,32.50,4.33,65.00,62.19
Financial and investment analyst,Human resources manager,43.9,76.5,87.23,3.68,-7.22,100.00,52.50,5.45,76.25,72.10
Training and development manager,Insurance claims and policy processing clerk,48.0,80.1,87.11,11.04,-0.90,75.00,86.84,5.97,80.92,76.09
Purchasing manager,Training and development specialist,47.7,56.7,86.71,8.50,2.69,100.00,70.00,2.91,85.00,82.53
Web developer,Graphic designer,19.4,54.7,86.62,8.10,-1.39,85.00,97.30,4.75,91.15,86.82
Purchasing manager,Social and community service manager,47.7,71.7,86.53,10.32,-1.25,100.00,87.50,5.78,93.75,88.33
Chemical engineer,Biological scientist,21.6,55.0,86.36,3.39,-5.35,45.00,100.00,4.37,72.50,69.33
Dentist,Dental hygienist,39.5,95.7,86.25,24.27,-41.56,81.58,100.00,32.92,90.79,60.90
Software quality tester,Operations research analyst,44.1,55.0,86.23,0.75,4.69,25.00,95.00,-1.97,60.00,58.82
Web and digital interface designer,Graphic designer,42.7,54.7,86.19,5.90,-4.62,75.00,64.86,5.26,69.93,66.25
Information security analyst,Training and development specialist,19.3,56.7,85.97,2.08,2.09,100.00,85.00,-0.01,92.50,92.49
Software developer,Graphic designer,20.2,54.7,85.82,1.65,-2.62,92.50,91.89,2.13,92.20,90.23
Architectural and engineering manager,Social and community service manager,12.8,71.7,85.81,4.32,-12.59,100.00,55.00,8.46,77.50,70.95
Web and digital interface designer,Operations research analyst,42.7,55.0,85.73,2.05,-0.62,100.00,97.50,1.33,98.75,97.43
First-line supervisor of non-retail sales workers,Supervisor of personal care and service workers,35.9,65.8,85.68,5.51,1.82,96.43,45.45,1.84,70.94,69.64
Lawyer,Paralegal,39.5,83.0,85.66,2.81,-7.11,100.00,25.00,4.96,62.50,59.40
Architectural and engineering manager,Operations research analyst,12.8,55.0,85.62,2.68,-4.46,97.50,70.00,3.57,83.75,80.76
Operation manager,Social and community service manager,37.1,71.7,85.47,6.75,-0.52,100.00,80.00,3.63,90.00,86.73
Industrial production manager,Social and community service manager,19.1,71.7,85.20,4.81,-5.60,97.50,82.50,5.20,90.00,85.32
First-line supervisor of non-retail sales workers,Human resources worker,35.9,76.5,85.15,13.13,-1.24,67.86,40.00,7.18,53.93,50.05
Property assessor,Insurance underwriter,34.2,56.9,85.13,3.15,8.49,20.00,97.50,-2.67,58.75,57.18
Operation manager,Human resources worker,37.1,76.5,84.98,6.64,-6.21,100.00,57.50,6.42,78.75,73.69
Computer systems analyst,Operations research analyst,37.8,55.0,84.96,-2.04,-1.64,97.50,37.50,-0.20,67.50,67.37
Building cleaner,Housekeeping cleaner,38.7,88.4,84.95,5.93,-4.28,18.18,92.50,5.11,55.34,52.51
Postsecondary teacher,School psychologist,46.6,87.9,84.73,7.54,0.20,97.50,15.62,3.67,56.56,54.49
Industrial production manager,Accountant,19.1,57.0,84.49,2.54,-2.33,100.00,97.50,2.43,98.75,96.35
Food service manager,First-line supervisor of food preparation and serving workers,46.7,53.5,84.49,2.45,-1.02,97.50,95.00,1.73,96.25,94.58
Facilities manager,Social and human service assistant,23.4,75.3,84.45,14.05,-5.97,95.00,90.00,10.01,92.50,83.24
Chemical technician,Medical scientist,35.0,51.8,84.20,-1.26,1.98,25.00,100.00,-1.62,62.50,61.49
Counter and rental clerk,Order clerk,38.7,58.3,84.14,3.87,4.34,93.75,90.62,-0.23,92.19,91.97
Postsecondary teacher,Elementary and middle school teacher,46.6,78.6,83.91,6.52,-5.38,97.50,79.31,5.95,88.41,83.14
Chemical technician,Biological scientist,35.0,55.0,83.89,3.30,-1.04,39.29,97.30,2.17,68.29,66.81
Cost estimator,Accountant,17.7,57.0,83.72,5.46,-2.15,70.00,100.00,3.81,85.00,81.76
Postsecondary teacher,Teaching assistant,46.6,79.5,83.68,7.11,1.64,97.50,12.50,2.74,55.00,53.49
Food service manager,Food preparation worker,46.7,58.7,83.62,3.16,0.36,80.00,100.00,1.40,90.00,88.74
Operation manager,Accountant,37.1,57.0,83.57,3.19,0.39,80.00,100.00,1.40,90.00,88.74
First-line supervisor of non-retail sales workers,Payroll and timekeeping clerk,35.9,88.2,83.54,10.37,-3.34,57.14,78.26,6.86,67.70,63.06
First-line supervisor of non-retail sales workers,Insurance sales agent,35.9,54.9,83.35,6.54,4.24,46.43,90.91,1.15,68.67,67.88
Software developer,Advertising sales agent,20.2,52.7,83.02,2.16,-2.40,100.00,96.15,2.28,98.08,95.84
First-line supervisor of retail sales workers,First-line supervisor of office and administrative support workers,44.6,65.8,82.90,2.37,5.94,80.56,74.07,-1.78,77.31,75.94
First-line supervisor of non-retail sales workers,Insurance claims and policy processing clerk,35.9,80.1,82.90,9.86,-3.87,53.57,94.74,6.86,74.15,69.06
Cost estimator,Insurance underwriter,17.7,56.9,82.88,5.21,0.74,27.50,100.00,2.24,63.75,62.33
Materials engineer,Medical scientist,13.5,51.8,82.86,1.06,0.90,75.00,100.00,0.08,87.50,87.43
First-line supervisor of non-retail sales workers,Social and human service assistant,35.9,75.3,82.81,10.11,1.59,78.57,97.50,4.26,88.04,84.29
Property assessor,Accountant,34.2,57.0,82.77,6.77,-1.55,90.00,90.00,4.16,90.00,86.26
Postsecondary teacher,Special education teacher,46.6,86.6,82.74,7.90,7.40,97.50,50.00,0.25,73.75,73.56
First-line supervisor of retail sales workers,Order clerk,44.6,58.3,82.68,1.52,-4.81,47.22,100.00,3.16,73.61,71.28
Painter,Artist,10.4,51.6,82.54,6.73,-1.84,45.71,70.00,4.28,57.86,55.38
Software developer,Accountant,20.2,57.0,82.50,1.83,-2.46,100.00,100.00,2.14,100.00,97.86
Information security analyst,Insurance claims and policy processing clerk,19.3,80.1,82.43,8.18,1.17,85.00,57.89,3.51,71.45,68.94
Operation manager,Compliance officer,37.1,51.8,82.41,6.93,-0.98,40.00,100.00,3.95,70.00,67.23
