occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,12.50,10.00,5.00,11.25,10.69
Sales manager,Marketing manager,33.1,62.4,17.50,17.50,18.75,17.50,14.22
Project management specialist,Training and development specialist,47.3,56.7,70.00,0.00,18.75,35.00,28.44
Project management specialist,Marketing specialist,47.3,61.7,60.00,5.00,10.00,32.50,29.25
Project management specialist,Marketing manager,47.3,62.4,22.50,62.50,-15.00,42.50,36.12
Information security analyst,Operations research analyst,19.3,55.0,0.00,97.50,-11.25,48.75,43.27
Financial and investment analyst,Operations research analyst,43.9,55.0,72.50,2.50,22.50,37.50,29.06
Management analyst,Marketing manager,46.6,62.4,32.50,15.00,17.50,23.75,19.59
Sales manager,Public relations manager,33.1,66.4,60.00,0.00,36.25,30.00,19.12
Management analyst,Marketing specialist,46.6,61.7,57.50,0.00,33.75,28.75,19.05
Sales manager,Human resources manager,33.1,76.5,35.00,37.50,32.50,36.25,24.47
Sales manager,Marketing specialist,33.1,61.7,30.00,30.00,32.50,30.00,20.25
Training and development manager,Marketing manager,48.0,62.4,0.00,42.50,-6.25,21.25,19.92
Training and development manager,Administrative services manager,48.0,74.0,10.00,32.50,-2.50,21.25,20.72
Project management specialist,Administrative services manager,47.3,74.0,15.00,50.00,7.50,32.50,30.06
Purchasing manager,Financial manager,47.7,56.2,0.00,80.00,-25.00,40.00,30.00
Management analyst,Financial manager,46.6,56.2,0.00,27.50,-6.25,13.75,12.89
Sales manager,Financial manager,33.1,56.2,35.00,70.00,-7.50,52.50,48.56
Training and development manager,Human resources manager,48.0,76.5,0.00,60.00,-7.50,30.00,27.75
Project management specialist,Public relations manager,47.3,66.4,95.00,2.50,15.00,48.75,41.44
Management analyst,Operations research analyst,46.6,55.0,95.00,0.00,2.50,47.50,46.31
Management analyst,Public relations manager,46.6,66.4,75.00,0.00,35.00,37.50,24.38
Purchasing manager,Human resources manager,47.7,76.5,0.00,87.50,-2.50,43.75,42.66
Training and development manager,Public relations manager,48.0,66.4,32.50,0.00,20.00,16.25,13.00
Purchasing manager,Marketing manager,47.7,62.4,12.50,82.50,-20.00,47.50,38.00
Project management specialist,Human resources manager,47.3,76.5,77.50,72.50,17.50,75.00,61.87
Purchasing manager,Public relations manager,47.7,66.4,80.00,42.50,13.75,61.25,52.83
Management analyst,Human resources manager,46.6,76.5,45.00,25.00,43.75,35.00,19.69
Architectural and engineering manager,Marketing manager,12.8,62.4,37.50,97.50,16.25,67.50,56.53
Financial and investment analyst,Financial manager,43.9,56.2,2.50,27.50,3.75,15.00,14.44
Project management specialist,Human resources worker,47.3,76.5,82.50,47.50,35.00,65.00,42.25
Facilities manager,Human resources manager,23.4,76.5,5.00,77.50,5.00,41.25,39.19
Architectural and engineering manager,Training and development specialist,12.8,56.7,60.00,55.00,45.00,57.50,31.62
Training and development manager,Marketing specialist,48.0,61.7,12.50,15.00,16.25,13.75,11.52
Architectural and engineering manager,Administrative services manager,12.8,74.0,47.50,100.00,26.25,73.75,54.39
Architectural and engineering manager,Human resources manager,12.8,76.5,42.50,85.00,22.50,63.75,49.41
Management analyst,Human resources worker,46.6,76.5,65.00,0.00,42.50,32.50,18.69
Training and development manager,Human resources worker,48.0,76.5,22.50,30.00,22.50,26.25,20.34
Project management specialist,Operations research analyst,47.3,55.0,62.50,2.50,-8.75,32.50,29.66
Project management specialist,Financial manager,47.3,56.2,30.00,65.00,-33.75,47.50,31.47
Sales manager,Human resources worker,33.1,76.5,45.00,47.50,37.50,46.25,28.91
Facilities manager,Marketing manager,23.4,62.4,5.00,85.00,-17.50,45.00,37.12
Facilities manager,Administrative services manager,23.4,74.0,0.00,77.50,-8.75,38.75,35.36
Sales manager,Administrative services manager,33.1,74.0,0.00,22.50,3.75,11.25,10.83
Management analyst,Administrative services manager,46.6,74.0,35.00,2.50,27.50,18.75,13.59
Purchasing manager,Human resources worker,47.7,76.5,40.00,45.00,35.00,42.50,27.63
Management analyst,Training and development specialist,46.6,56.7,75.00,0.00,27.50,37.50,27.19
Architectural and engineering manager,Public relations manager,12.8,66.4,62.50,52.50,53.75,57.50,26.59
Financial and investment analyst,Training and development specialist,43.9,56.7,75.00,2.50,15.00,38.75,32.94
Facilities manager,Public relations manager,23.4,66.4,35.00,45.00,-1.25,40.00,39.50
