occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,5.08,-0.20,12.50,10.00,2.64,11.25,10.95
Sales manager,Marketing manager,33.1,62.4,96.46,5.11,-1.06,17.50,17.50,3.08,17.50,16.96
Project management specialist,Training and development specialist,47.3,56.7,96.32,4.79,-0.86,70.00,0.00,2.83,35.00,34.01
Project management specialist,Marketing specialist,47.3,61.7,96.15,4.31,0.93,60.00,5.00,1.69,32.50,31.95
Project management specialist,Marketing manager,47.3,62.4,95.99,2.62,3.82,22.50,62.50,-0.60,42.50,42.25
Information security analyst,Operations research analyst,19.3,55.0,95.42,1.44,9.15,0.00,97.50,-3.86,48.75,46.87
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,6.24,7.41,72.50,2.50,-0.58,37.50,37.28
Management analyst,Marketing manager,46.6,62.4,94.88,7.48,2.40,32.50,15.00,2.54,23.75,23.15
Sales manager,Public relations manager,33.1,66.4,94.60,9.56,-3.87,60.00,0.00,6.71,30.00,27.99
Management analyst,Marketing specialist,46.6,61.7,94.50,9.29,0.39,57.50,0.00,4.45,28.75,27.47
Sales manager,Human resources manager,33.1,76.5,94.40,9.24,-8.13,35.00,37.50,8.69,36.25,33.10
Sales manager,Marketing specialist,33.1,61.7,94.34,6.89,-3.79,30.00,30.00,5.34,30.00,28.40
Training and development manager,Marketing manager,48.0,62.4,94.32,4.31,4.07,0.00,42.50,0.12,21.25,21.22
Training and development manager,Administrative services manager,48.0,74.0,94.24,11.70,2.56,10.00,32.50,4.57,21.25,20.28
Project management specialist,Administrative services manager,47.3,74.0,94.20,9.30,-1.60,15.00,50.00,5.45,32.50,30.73
Purchasing manager,Financial manager,47.7,56.2,94.07,-3.30,11.36,0.00,80.00,-7.33,40.00,37.07
Management analyst,Financial manager,46.6,56.2,94.00,-0.10,4.57,0.00,27.50,-2.34,13.75,13.43
Sales manager,Financial manager,33.1,56.2,93.76,0.55,2.55,35.00,70.00,-1.00,52.50,51.98
Training and development manager,Human resources manager,48.0,76.5,93.69,9.96,3.12,0.00,60.00,3.42,30.00,28.97
Project management specialist,Public relations manager,47.3,66.4,93.13,7.99,2.12,95.00,2.50,2.93,48.75,47.32
Management analyst,Operations research analyst,46.6,55.0,92.92,1.88,2.43,95.00,0.00,-0.28,47.50,47.37
Management analyst,Public relations manager,46.6,66.4,92.91,12.93,-2.47,75.00,0.00,7.70,37.50,34.61
Purchasing manager,Human resources manager,47.7,76.5,92.77,7.48,1.86,0.00,87.50,2.81,43.75,42.52
Training and development manager,Public relations manager,48.0,66.4,92.59,7.96,4.76,32.50,0.00,1.60,16.25,15.99
Purchasing manager,Marketing manager,47.7,62.4,92.52,2.90,8.97,12.50,82.50,-3.03,47.50,46.06
Project management specialist,Human resources manager,47.3,76.5,92.47,9.39,-0.41,77.50,72.50,4.90,75.00,71.33
Purchasing manager,Public relations manager,47.7,66.4,92.38,7.16,5.26,80.00,42.50,0.95,61.25,60.67
Management analyst,Human resources manager,46.6,76.5,92.37,16.76,-6.03,45.00,25.00,11.39,35.00,31.01
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,15.16,-4.58,37.50,97.50,9.87,67.50,60.84
Financial and investment analyst,Financial manager,43.9,56.2,92.25,4.31,5.52,2.50,27.50,-0.61,15.00,14.91
Project management specialist,Human resources worker,47.3,76.5,92.21,17.05,-4.54,82.50,47.50,10.80,65.00,57.98
Facilities manager,Human resources manager,23.4,76.5,92.06,6.69,-0.60,5.00,77.50,3.65,41.25,39.75
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,20.10,-9.26,60.00,55.00,14.68,57.50,49.06
Training and development manager,Marketing specialist,48.0,61.7,91.94,8.28,0.05,12.50,15.00,4.11,13.75,13.18
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,24.28,-7.35,47.50,100.00,15.81,73.75,62.09
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,22.63,-10.17,42.50,85.00,16.40,63.75,53.29
Management analyst,Human resources worker,46.6,76.5,91.64,21.33,-12.10,65.00,0.00,16.71,32.50,27.07
Training and development manager,Human resources worker,48.0,76.5,91.58,17.67,-4.61,22.50,30.00,11.14,26.25,23.33
Project management specialist,Operations research analyst,47.3,55.0,91.31,0.39,3.67,62.50,2.50,-1.64,32.50,31.97
Project management specialist,Financial manager,47.3,56.2,91.15,-4.25,10.75,30.00,65.00,-7.50,47.50,43.94
Sales manager,Human resources worker,33.1,76.5,91.09,12.74,-10.99,45.00,47.50,11.87,46.25,40.76
Facilities manager,Marketing manager,23.4,62.4,90.92,-1.91,3.28,5.00,85.00,-2.59,45.00,43.83
Facilities manager,Administrative services manager,23.4,74.0,90.81,3.26,1.66,0.00,77.50,0.80,38.75,38.44
Sales manager,Administrative services manager,33.1,74.0,90.73,7.09,-5.31,0.00,22.50,6.20,11.25,10.55
Management analyst,Administrative services manager,46.6,74.0,90.68,16.92,-9.38,35.00,2.50,13.15,18.75,16.28
Purchasing manager,Human resources worker,47.7,76.5,90.36,14.04,-3.94,40.00,45.00,8.99,42.50,38.68
Management analyst,Training and development specialist,46.6,56.7,90.32,8.48,-6.20,75.00,0.00,7.34,37.50,34.75
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,17.59,-7.79,62.50,52.50,12.69,57.50,50.20
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,8.76,-4.46,75.00,2.50,6.61,38.75,36.19
Facilities manager,Public relations manager,23.4,66.4,90.26,1.19,3.25,35.00,45.00,-1.03,40.00,39.59
Sales manager,Training and development specialist,33.1,56.7,90.18,7.17,-6.47,60.00,22.50,6.82,41.25,38.44
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,15.06,-12.39,22.50,10.00,13.73,16.25,14.02
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,6.40,1.86,45.00,100.00,2.27,72.50,70.86
Purchasing manager,Marketing specialist,47.7,61.7,90.08,6.61,3.73,30.00,62.50,1.44,46.25,45.59
Training and development manager,Financial manager,48.0,56.2,90.06,-2.09,11.76,12.50,75.00,-6.93,43.75,40.72
Sales manager,Advertising sales agent,33.1,52.7,89.99,6.08,-5.58,90.00,0.00,5.83,45.00,42.38
Management analyst,Accountant,46.6,57.0,89.84,2.50,4.42,27.50,17.50,-0.96,22.50,22.28
Industrial production manager,Human resources manager,19.1,76.5,89.80,13.60,-3.34,12.50,97.50,8.47,55.00,50.34
Facilities manager,Social and community service manager,23.4,71.7,89.67,4.19,-1.87,52.50,5.00,3.03,28.75,27.88
Purchasing manager,Administrative services manager,47.7,74.0,89.51,5.36,0.60,0.00,67.50,2.38,33.75,32.95
Industrial production manager,Financial manager,19.1,56.2,89.51,3.21,3.73,17.50,100.00,-0.26,58.75,58.60
Operation manager,Financial manager,37.1,56.2,89.31,-0.92,9.36,45.00,40.00,-5.14,42.50,40.31
Industrial production manager,Human resources worker,19.1,76.5,89.29,19.56,-5.90,10.00,70.00,12.73,40.00,34.91
Sales manager,Insurance sales agent,33.1,54.9,89.13,6.56,-2.53,85.00,0.00,4.55,42.50,40.57
Architectural and engineering manager,Marketing specialist,12.8,61.7,89.09,19.46,-8.34,45.00,62.50,13.90,53.75,46.28
Postsecondary teacher,Secondary school teacher,46.6,56.9,89.04,-0.88,-1.75,7.50,6.67,0.44,7.08,7.05
Facilities manager,Human resources worker,23.4,76.5,88.96,12.06,-1.54,10.00,87.50,6.80,48.75,45.44
Software developer,Marketing specialist,20.2,61.7,88.94,4.06,-3.68,80.00,42.50,3.87,61.25,58.88
Industrial production manager,Marketing manager,19.1,62.4,88.93,5.04,-0.28,12.50,100.00,2.66,56.25,54.75
Facilities manager,Training and development specialist,23.4,56.7,88.90,2.82,2.96,37.50,50.00,-0.07,43.75,43.72
Software developer,Operations research analyst,20.2,55.0,88.88,0.07,4.57,67.50,35.00,-2.25,51.25,50.10
Web and digital interface designer,Marketing specialist,42.7,61.7,88.62,19.17,-2.13,37.50,85.00,10.65,61.25,54.73
Information security analyst,Administrative services manager,19.3,74.0,88.53,11.77,-1.08,12.50,100.00,6.43,56.25,52.64
Industrial production manager,Operations research analyst,19.1,55.0,88.39,1.43,3.62,20.00,87.50,-1.10,53.75,53.16
Facilities manager,Financial manager,23.4,56.2,88.37,-6.05,10.10,20.00,90.00,-8.07,55.00,50.56
Financial and investment analyst,Marketing manager,43.9,62.4,88.36,9.46,-0.36,77.50,22.50,4.91,50.00,47.55
Industrial production manager,Public relations manager,19.1,66.4,88.35,9.52,0.36,37.50,45.00,4.58,41.25,39.36
Project management specialist,Public relations specialist,47.3,76.2,88.35,6.65,-0.31,95.00,15.00,3.48,55.00,53.09
Industrial production manager,Administrative services manager,19.1,74.0,88.30,10.31,-0.30,12.50,100.00,5.31,56.25,53.26
Facilities manager,Marketing specialist,23.4,61.7,88.28,1.96,1.02,15.00,80.00,0.47,47.50,47.28
Financial and investment analyst,Marketing specialist,43.9,61.7,88.28,12.70,-3.43,72.50,5.00,8.07,38.75,35.62
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,88.18,1.39,-10.32,0.00,51.85,5.86,25.93,24.41
Operation manager,Marketing manager,37.1,62.4,88.12,0.16,4.44,7.50,32.50,-2.14,20.00,19.57
Industrial production manager,Training and development specialist,19.1,56.7,88.10,12.29,-0.95,17.50,72.50,6.62,45.00,42.02
Purchasing manager,Accountant,47.7,57.0,88.07,-2.90,11.13,2.50,70.00,-7.02,36.25,33.71
Financial and investment analyst,Insurance underwriter,43.9,56.9,88.04,13.97,-4.37,80.00,2.50,9.17,41.25,37.47
Financial and investment analyst,Public relations manager,43.9,66.4,87.91,14.76,-2.71,87.50,0.00,8.74,43.75,39.93
Chemical engineer,Medical scientist,21.6,51.8,87.70,1.28,2.39,0.00,63.16,-0.55,31.58,31.40
Operation manager,Human resources manager,37.1,76.5,87.61,8.90,1.31,32.50,12.50,3.79,22.50,21.65
Architectural and engineering manager,Human resources worker,12.8,76.5,87.58,31.35,-17.03,57.50,67.50,24.19,62.50,47.38
Operation manager,Public relations manager,37.1,66.4,87.47,5.64,3.04,87.50,0.00,1.30,43.75,43.18
Training and development manager,Social and community service manager,48.0,71.7,87.29,8.62,-3.74,57.50,0.00,6.18,28.75,26.97
Financial and investment analyst,Accountant,43.9,57.0,87.27,7.09,0.68,22.50,45.00,3.20,33.75,32.67
Financial and investment analyst,Human resources manager,43.9,76.5,87.23,16.09,-7.32,52.50,50.00,11.70,51.25,45.25
Training and development manager,Insurance claims and policy processing clerk,48.0,80.1,87.11,16.86,-9.83,35.00,13.16,13.35,24.08,20.86
Purchasing manager,Training and development specialist,47.7,56.7,86.71,7.46,3.52,65.00,25.00,1.97,45.00,44.11
Web developer,Graphic designer,19.4,54.7,86.62,1.38,-0.07,92.50,32.43,0.72,62.47,62.01
Purchasing manager,Social and community service manager,47.7,71.7,86.53,10.59,-2.93,95.00,2.50,6.76,48.75,45.45
Chemical engineer,Biological scientist,21.6,55.0,86.36,-2.20,2.54,0.00,72.97,-2.37,36.49,35.62
Dentist,Dental hygienist,39.5,95.7,86.25,10.40,-12.35,36.84,33.33,11.37,35.09,31.10
Software quality tester,Operations research analyst,44.1,55.0,86.23,-8.32,11.12,0.00,95.00,-9.72,47.50,42.88
Web and digital interface designer,Graphic designer,42.7,54.7,86.19,1.24,1.75,20.00,16.22,-0.26,18.11,18.06
Information security analyst,Training and development specialist,19.3,56.7,85.97,5.29,0.86,2.50,97.50,2.21,50.00,48.89
Software developer,Graphic designer,20.2,54.7,85.82,-3.70,1.61,100.00,24.32,-2.66,62.16,60.51
Architectural and engineering manager,Social and community service manager,12.8,71.7,85.81,23.25,-12.14,70.00,40.00,17.70,55.00,45.27
Web and digital interface designer,Operations research analyst,42.7,55.0,85.73,12.38,8.12,35.00,95.00,2.13,65.00,63.61
First-line supervisor of non-retail sales workers,Supervisor of personal care and service workers,35.9,65.8,85.68,7.44,-7.70,14.29,9.09,7.57,11.69,10.80
Lawyer,Paralegal,39.5,83.0,85.66,17.16,-6.26,57.50,0.00,11.71,28.75,25.38
Architectural and engineering manager,Operations research analyst,12.8,55.0,85.62,11.76,-0.59,57.50,77.50,6.17,67.50,63.33
Operation manager,Social and community service manager,37.1,71.7,85.47,8.29,-2.88,97.50,2.50,5.58,50.00,47.21
Industrial production manager,Social and community service manager,19.1,71.7,85.20,15.35,-3.67,52.50,35.00,9.51,43.75,39.59
First-line supervisor of non-retail sales workers,Human resources worker,35.9,76.5,85.15,10.36,-7.02,0.00,85.00,8.69,42.50,38.81
Property assessor,Insurance underwriter,34.2,56.9,85.13,-2.12,1.26,0.00,100.00,-1.69,50.00,49.15
Operation manager,Human resources worker,37.1,76.5,84.98,14.73,-1.76,60.00,0.00,8.24,30.00,27.53
Computer systems analyst,Operations research analyst,37.8,55.0,84.96,3.02,-2.12,97.50,0.00,2.57,48.75,47.50
Building cleaner,Housekeeping cleaner,38.7,88.4,84.95,8.17,-2.13,27.27,55.00,5.15,41.14,39.02
Postsecondary teacher,School psychologist,46.6,87.9,84.73,0.97,-0.18,70.00,0.00,0.57,35.00,34.80
Industrial production manager,Accountant,19.1,57.0,84.49,5.67,2.97,12.50,95.00,1.35,53.75,53.03
Food service manager,First-line supervisor of food preparation and serving workers,46.7,53.5,84.49,2.55,0.05,65.00,0.00,1.25,32.50,32.09
Facilities manager,Social and human service assistant,23.4,75.3,84.45,15.71,-9.60,65.00,12.50,12.65,38.75,33.85
Chemical technician,Medical scientist,35.0,51.8,84.20,-2.17,8.87,0.00,50.00,-5.52,25.00,23.62
Counter and rental clerk,Order clerk,38.7,58.3,84.14,-2.15,0.20,43.75,0.00,-1.17,21.88,21.62
