occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,95.00,90.00,6.25,92.50,86.72
Sales manager,Marketing manager,33.1,62.4,95.00,87.50,11.25,91.25,80.98
Project management specialist,Training and development specialist,47.3,56.7,100.00,75.00,15.00,87.50,74.38
Project management specialist,Marketing specialist,47.3,61.7,95.00,77.50,5.00,86.25,81.94
Project management specialist,Marketing manager,47.3,62.4,77.50,90.00,-7.50,83.75,77.47
Information security analyst,Operations research analyst,19.3,55.0,25.00,100.00,-13.75,62.50,53.91
Financial and investment analyst,Operations research analyst,43.9,55.0,100.00,45.00,11.25,72.50,64.34
Management analyst,Marketing manager,46.6,62.4,92.50,87.50,6.25,90.00,84.38
Sales manager,Public relations manager,33.1,66.4,97.50,55.00,35.00,76.25,49.56
Management analyst,Marketing specialist,46.6,61.7,100.00,70.00,28.75,85.00,60.56
Sales manager,Human resources manager,33.1,76.5,60.00,70.00,37.50,65.00,40.62
Sales manager,Marketing specialist,33.1,61.7,87.50,95.00,6.25,91.25,85.55
Training and development manager,Marketing manager,48.0,62.4,87.50,100.00,-3.75,93.75,90.23
Training and development manager,Administrative services manager,48.0,74.0,77.50,92.50,11.25,85.00,75.44
Project management specialist,Administrative services manager,47.3,74.0,85.00,97.50,-2.50,91.25,88.97
Purchasing manager,Financial manager,47.7,56.2,30.00,97.50,-31.25,63.75,43.83
Management analyst,Financial manager,46.6,56.2,87.50,100.00,-8.75,93.75,85.55
Sales manager,Financial manager,33.1,56.2,55.00,92.50,-6.25,73.75,69.14
Training and development manager,Human resources manager,48.0,76.5,32.50,97.50,-7.50,65.00,60.13
Project management specialist,Public relations manager,47.3,66.4,100.00,22.50,26.25,61.25,45.17
Management analyst,Operations research analyst,46.6,55.0,100.00,12.50,-1.25,56.25,55.55
Management analyst,Public relations manager,46.6,66.4,100.00,27.50,32.50,63.75,43.03
Purchasing manager,Human resources manager,47.7,76.5,12.50,95.00,-3.75,53.75,51.73
Training and development manager,Public relations manager,48.0,66.4,100.00,60.00,30.00,80.00,56.00
Purchasing manager,Marketing manager,47.7,62.4,57.50,100.00,-17.50,78.75,64.97
Project management specialist,Human resources manager,47.3,76.5,72.50,90.00,5.00,81.25,77.19
Purchasing manager,Public relations manager,47.7,66.4,77.50,27.50,20.00,52.50,42.00
Management analyst,Human resources manager,46.6,76.5,100.00,90.00,16.25,95.00,79.56
Architectural and engineering manager,Marketing manager,12.8,62.4,50.00,97.50,2.50,73.75,71.91
Financial and investment analyst,Financial manager,43.9,56.2,85.00,100.00,-10.00,92.50,83.25
Project management specialist,Human resources worker,47.3,76.5,77.50,37.50,30.00,57.50,40.25
Facilities manager,Human resources manager,23.4,76.5,10.00,97.50,5.00,53.75,51.06
Architectural and engineering manager,Training and development specialist,12.8,56.7,72.50,92.50,17.50,82.50,68.06
Training and development manager,Marketing specialist,48.0,61.7,90.00,100.00,6.25,95.00,89.06
Architectural and engineering manager,Administrative services manager,12.8,74.0,52.50,100.00,10.00,76.25,68.62
Architectural and engineering manager,Human resources manager,12.8,76.5,55.00,100.00,11.25,77.50,68.78
Management analyst,Human resources worker,46.6,76.5,100.00,55.00,35.00,77.50,50.38
Training and development manager,Human resources worker,48.0,76.5,77.50,72.50,22.50,75.00,58.13
Project management specialist,Operations research analyst,47.3,55.0,100.00,62.50,-2.50,81.25,79.22
Project management specialist,Financial manager,47.3,56.2,65.00,87.50,-27.50,76.25,55.28
Sales manager,Human resources worker,33.1,76.5,80.00,75.00,31.25,77.50,53.28
Facilities manager,Marketing manager,23.4,62.4,37.50,97.50,-5.00,67.50,64.12
Facilities manager,Administrative services manager,23.4,74.0,27.50,100.00,-1.25,63.75,62.95
Sales manager,Administrative services manager,33.1,74.0,82.50,97.50,6.25,90.00,84.37
Management analyst,Administrative services manager,46.6,74.0,100.00,92.50,10.00,96.25,86.63
Purchasing manager,Human resources worker,47.7,76.5,55.00,47.50,37.50,51.25,32.03
Management analyst,Training and development specialist,46.6,56.7,100.00,50.00,31.25,75.00,51.56
Architectural and engineering manager,Public relations manager,12.8,66.4,77.50,97.50,15.00,87.50,74.38
Financial and investment analyst,Training and development specialist,43.9,56.7,100.00,72.50,13.75,86.25,74.39
Facilities manager,Public relations manager,23.4,66.4,52.50,95.00,-2.50,73.75,71.91
