occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,0.16,-4.08,95.00,90.00,2.12,92.50,90.54
Sales manager,Marketing manager,33.1,62.4,96.46,1.61,-5.31,95.00,87.50,3.46,91.25,88.10
Project management specialist,Training and development specialist,47.3,56.7,96.32,0.58,-3.83,100.00,75.00,2.21,87.50,85.57
Project management specialist,Marketing specialist,47.3,61.7,96.15,-1.02,-3.26,95.00,77.50,1.12,86.25,85.28
Project management specialist,Marketing manager,47.3,62.4,95.99,-3.88,-2.06,77.50,90.00,-0.91,83.75,82.98
Information security analyst,Operations research analyst,19.3,55.0,95.42,-5.77,-1.24,25.00,100.00,-2.27,62.50,61.08
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,-2.60,-4.30,100.00,45.00,0.85,72.50,71.88
Management analyst,Marketing manager,46.6,62.4,94.88,-1.51,-6.27,92.50,87.50,2.38,90.00,87.86
Sales manager,Public relations manager,33.1,66.4,94.60,4.54,-10.14,97.50,55.00,7.34,76.25,70.65
Management analyst,Marketing specialist,46.6,61.7,94.50,0.04,-9.12,100.00,70.00,4.58,85.00,81.11
Sales manager,Human resources manager,33.1,76.5,94.40,7.49,-9.94,60.00,70.00,8.72,65.00,59.33
Sales manager,Marketing specialist,33.1,61.7,94.34,4.76,-5.31,87.50,95.00,5.03,91.25,86.66
Training and development manager,Marketing manager,48.0,62.4,94.32,-4.16,-4.72,87.50,100.00,0.28,93.75,93.49
Training and development manager,Administrative services manager,48.0,74.0,94.24,-0.05,-11.58,77.50,92.50,5.76,85.00,80.10
Project management specialist,Administrative services manager,47.3,74.0,94.20,2.08,-7.80,85.00,97.50,4.94,91.25,86.75
Purchasing manager,Financial manager,47.7,56.2,94.07,-9.51,4.96,30.00,97.50,-7.23,63.75,59.14
Management analyst,Financial manager,46.6,56.2,94.00,-3.60,2.22,87.50,100.00,-2.91,93.75,91.02
Sales manager,Financial manager,33.1,56.2,93.76,-1.43,0.32,55.00,92.50,-0.88,73.75,73.10
Training and development manager,Human resources manager,48.0,76.5,93.69,-1.92,-9.68,32.50,97.50,3.88,65.00,62.48
Project management specialist,Public relations manager,47.3,66.4,93.13,0.27,-5.33,100.00,22.50,2.80,61.25,59.54
Management analyst,Operations research analyst,46.6,55.0,92.92,-1.06,0.06,100.00,12.50,-0.56,56.25,55.94
Management analyst,Public relations manager,46.6,66.4,92.91,3.16,-10.24,100.00,27.50,6.70,63.75,59.48
Purchasing manager,Human resources manager,47.7,76.5,92.77,-3.22,-8.60,12.50,95.00,2.69,53.75,52.30
Training and development manager,Public relations manager,48.0,66.4,92.59,-4.05,-9.28,100.00,60.00,2.62,80.00,77.91
Purchasing manager,Marketing manager,47.7,62.4,92.52,-7.60,-2.62,57.50,100.00,-2.49,78.75,76.79
Project management specialist,Human resources manager,47.3,76.5,92.47,1.55,-5.75,72.50,90.00,3.65,81.25,78.29
Purchasing manager,Public relations manager,47.7,66.4,92.38,-4.43,-7.60,77.50,27.50,1.58,52.50,51.67
Management analyst,Human resources manager,46.6,76.5,92.37,7.12,-12.31,100.00,90.00,9.72,95.00,85.77
