occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,35.00,5.00,5.00,20.00,19.00
Sales manager,Marketing manager,33.1,62.4,75.00,17.50,12.50,46.25,40.47
Project management specialist,Training and development specialist,47.3,56.7,90.00,10.00,-10.00,50.00,45.00
Project management specialist,Marketing specialist,47.3,61.7,35.00,75.00,-13.75,55.00,47.44
Project management specialist,Marketing manager,47.3,62.4,5.00,85.00,-3.75,45.00,43.31
Information security analyst,Operations research analyst,19.3,55.0,7.50,100.00,-3.75,53.75,51.73
Financial and investment analyst,Operations research analyst,43.9,55.0,100.00,2.50,3.75,51.25,49.33
Management analyst,Marketing manager,46.6,62.4,5.00,67.50,-2.50,36.25,35.34
Sales manager,Public relations manager,33.1,66.4,87.50,20.00,18.75,53.75,43.67
Management analyst,Marketing specialist,46.6,61.7,17.50,37.50,-1.25,27.50,27.16
Sales manager,Human resources manager,33.1,76.5,87.50,17.50,16.25,52.50,43.97
Sales manager,Marketing specialist,33.1,61.7,82.50,27.50,11.25,55.00,48.81
Training and development manager,Marketing manager,48.0,62.4,0.00,92.50,-1.25,46.25,45.67
Training and development manager,Administrative services manager,48.0,74.0,10.00,65.00,22.50,37.50,29.06
Project management specialist,Administrative services manager,47.3,74.0,7.50,92.50,17.50,50.00,41.25
Purchasing manager,Financial manager,47.7,56.2,15.00,97.50,-6.25,56.25,52.73
Management analyst,Financial manager,46.6,56.2,2.50,85.00,2.50,43.75,42.66
Sales manager,Financial manager,33.1,56.2,77.50,85.00,-8.75,81.25,74.14
Training and development manager,Human resources manager,48.0,76.5,2.50,97.50,3.75,50.00,48.12
Project management specialist,Public relations manager,47.3,66.4,87.50,57.50,1.25,72.50,71.59
Management analyst,Operations research analyst,46.6,55.0,100.00,0.00,-1.25,50.00,49.38
Management analyst,Public relations manager,46.6,66.4,57.50,40.00,17.50,48.75,40.22
Purchasing manager,Human resources manager,47.7,76.5,17.50,87.50,8.75,52.50,47.91
Training and development manager,Public relations manager,48.0,66.4,12.50,65.00,1.25,38.75,38.27
Purchasing manager,Marketing manager,47.7,62.4,20.00,97.50,0.00,58.75,58.75
Project management specialist,Human resources manager,47.3,76.5,70.00,95.00,6.25,82.50,77.34
Purchasing manager,Public relations manager,47.7,66.4,67.50,72.50,11.25,70.00,62.12
Management analyst,Human resources manager,46.6,76.5,27.50,85.00,15.00,56.25,47.81
Architectural and engineering manager,Marketing manager,12.8,62.4,40.00,100.00,6.25,70.00,65.62
Financial and investment analyst,Financial manager,43.9,56.2,0.00,87.50,-1.25,43.75,43.20
Project management specialist,Human resources worker,47.3,76.5,90.00,52.50,23.75,71.25,54.33
Facilities manager,Human resources manager,23.4,76.5,27.50,97.50,-3.75,62.50,60.16
Architectural and engineering manager,Training and development specialist,12.8,56.7,77.50,50.00,42.50,63.75,36.66
Training and development manager,Marketing specialist,48.0,61.7,7.50,80.00,1.25,43.75,43.20
Architectural and engineering manager,Administrative services manager,12.8,74.0,67.50,97.50,18.75,82.50,67.03
Architectural and engineering manager,Human resources manager,12.8,76.5,50.00,90.00,13.75,70.00,60.38
Management analyst,Human resources worker,46.6,76.5,67.50,22.50,38.75,45.00,27.56
Training and development manager,Human resources worker,48.0,76.5,10.00,47.50,46.25,28.75,15.45
Project management specialist,Operations research analyst,47.3,55.0,95.00,0.00,-1.25,47.50,46.91
Project management specialist,Financial manager,47.3,56.2,47.50,97.50,-28.75,72.50,51.66
Sales manager,Human resources worker,33.1,76.5,87.50,32.50,38.75,60.00,36.75
Facilities manager,Marketing manager,23.4,62.4,17.50,100.00,-2.50,58.75,57.28
Facilities manager,Administrative services manager,23.4,74.0,5.00,85.00,12.50,45.00,39.38
Sales manager,Administrative services manager,33.1,74.0,30.00,15.00,26.25,22.50,16.59
Management analyst,Administrative services manager,46.6,74.0,12.50,45.00,28.75,28.75,20.48
Purchasing manager,Human resources worker,47.7,76.5,67.50,42.50,46.25,55.00,29.56
Management analyst,Training and development specialist,46.6,56.7,100.00,7.50,-1.25,53.75,53.08
Architectural and engineering manager,Public relations manager,12.8,66.4,62.50,70.00,18.75,66.25,53.83
Financial and investment analyst,Training and development specialist,43.9,56.7,85.00,22.50,18.75,53.75,43.67
Facilities manager,Public relations manager,23.4,66.4,27.50,95.00,-6.25,61.25,57.42
Sales manager,Training and development specialist,33.1,56.7,100.00,2.50,1.25,51.25,50.61
Financial and investment analyst,Administrative services manager,43.9,74.0,17.50,62.50,42.50,40.00,23.00
Architectural and engineering manager,Financial manager,12.8,56.2,60.00,100.00,-1.25,80.00,79.00
Purchasing manager,Marketing specialist,47.7,61.7,55.00,82.50,2.50,68.75,67.03
Training and development manager,Financial manager,48.0,56.2,37.50,97.50,-1.25,67.50,66.66
Sales manager,Advertising sales agent,33.1,52.7,100.00,0.00,1.52,50.00,49.24
Management analyst,Accountant,46.6,57.0,60.00,27.50,-11.25,43.75,38.83
Industrial production manager,Human resources manager,19.1,76.5,10.00,100.00,5.00,55.00,52.25
Facilities manager,Social and community service manager,23.4,71.7,97.50,15.00,-10.00,56.25,50.62
Purchasing manager,Administrative services manager,47.7,74.0,2.50,62.50,21.25,32.50,25.59
Industrial production manager,Financial manager,19.1,56.2,17.50,100.00,-1.25,58.75,58.02
Operation manager,Financial manager,37.1,56.2,75.00,70.00,-30.00,72.50,50.75
