occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,0.83,1.00,35.00,5.00,-0.09,20.00,19.98
Sales manager,Marketing manager,33.1,62.4,96.46,2.70,-1.66,75.00,17.50,2.18,46.25,45.24
Project management specialist,Training and development specialist,47.3,56.7,96.32,-3.05,-0.12,90.00,10.00,-1.46,50.00,49.27
Project management specialist,Marketing specialist,47.3,61.7,96.15,-3.33,0.14,35.00,75.00,-1.74,55.00,54.05
Project management specialist,Marketing manager,47.3,62.4,95.99,-3.49,0.78,5.00,85.00,-2.14,45.00,44.04
Information security analyst,Operations research analyst,19.3,55.0,95.42,1.65,1.75,7.50,100.00,-0.05,53.75,53.72
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,3.01,3.17,100.00,2.50,-0.08,51.25,51.21
Management analyst,Marketing manager,46.6,62.4,94.88,-2.80,-0.97,5.00,67.50,-0.91,36.25,35.92
Sales manager,Public relations manager,33.1,66.4,94.60,5.63,-5.22,87.50,20.00,5.43,53.75,50.83
Management analyst,Marketing specialist,46.6,61.7,94.50,-0.81,-1.81,17.50,37.50,0.50,27.50,27.36
Sales manager,Human resources manager,33.1,76.5,94.40,5.26,-5.00,87.50,17.50,5.13,52.50,49.81
Sales manager,Marketing specialist,33.1,61.7,94.34,0.88,-5.01,82.50,27.50,2.95,55.00,53.38
Training and development manager,Marketing manager,48.0,62.4,94.32,2.69,0.34,0.00,92.50,1.17,46.25,45.71
Training and development manager,Administrative services manager,48.0,74.0,94.24,9.02,-3.82,10.00,65.00,6.42,37.50,35.09
Project management specialist,Administrative services manager,47.3,74.0,94.20,4.19,-4.69,7.50,92.50,4.44,50.00,47.78
Purchasing manager,Financial manager,47.7,56.2,94.07,-4.90,3.73,15.00,97.50,-4.32,56.25,53.82
Management analyst,Financial manager,46.6,56.2,94.00,-3.11,-0.56,2.50,85.00,-1.28,43.75,43.19
Sales manager,Financial manager,33.1,56.2,93.76,-2.82,-0.23,77.50,85.00,-1.29,81.25,80.20
Training and development manager,Human resources manager,48.0,76.5,93.69,11.21,-0.51,2.50,97.50,5.86,50.00,47.07
Project management specialist,Public relations manager,47.3,66.4,93.13,-0.65,-3.11,87.50,57.50,1.23,72.50,71.61
Management analyst,Operations research analyst,46.6,55.0,92.92,-3.71,1.25,100.00,0.00,-2.48,50.00,48.76
Management analyst,Public relations manager,46.6,66.4,92.91,-0.64,-7.52,57.50,40.00,3.44,48.75,47.07
Purchasing manager,Human resources manager,47.7,76.5,92.77,5.31,-1.25,17.50,87.50,3.28,52.50,50.78
Training and development manager,Public relations manager,48.0,66.4,92.59,8.52,-0.74,12.50,65.00,4.63,38.75,36.96
Purchasing manager,Marketing manager,47.7,62.4,92.52,0.53,1.44,20.00,97.50,-0.45,58.75,58.48
Project management specialist,Human resources manager,47.3,76.5,92.47,1.52,-3.29,70.00,95.00,2.40,82.50,80.52
Purchasing manager,Public relations manager,47.7,66.4,92.38,2.33,-4.14,67.50,72.50,3.24,70.00,67.73
Management analyst,Human resources manager,46.6,76.5,92.37,5.50,-8.87,27.50,85.00,7.19,56.25,52.21
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,7.52,-11.86,40.00,100.00,9.69,70.00,63.22
Financial and investment analyst,Financial manager,43.9,56.2,92.25,5.67,-1.56,0.00,87.50,3.62,43.75,42.17
Project management specialist,Human resources worker,47.3,76.5,92.21,6.75,-5.29,90.00,52.50,6.02,71.25,66.96
Facilities manager,Human resources manager,23.4,76.5,92.06,2.88,-4.65,27.50,97.50,3.76,62.50,60.15
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,7.41,-17.36,77.50,50.00,12.39,63.75,55.85
Training and development manager,Marketing specialist,48.0,61.7,91.94,3.01,-2.74,7.50,80.00,2.87,43.75,42.49
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,14.44,-18.69,67.50,97.50,16.56,82.50,68.84
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,11.99,-17.90,50.00,90.00,14.94,70.00,59.54
Management analyst,Human resources worker,46.6,76.5,91.64,6.77,-11.15,67.50,22.50,8.96,45.00,40.97
Training and development manager,Human resources worker,48.0,76.5,91.58,14.67,-6.27,10.00,47.50,10.47,28.75,25.74
Project management specialist,Operations research analyst,47.3,55.0,91.31,-4.93,2.59,95.00,0.00,-3.76,47.50,45.72
Project management specialist,Financial manager,47.3,56.2,91.15,-8.21,3.63,47.50,97.50,-5.92,72.50,68.21
