occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,92.50,87.50,7.50,90.00,83.25
Sales manager,Marketing manager,33.1,62.4,97.50,67.50,7.50,82.50,76.31
Project management specialist,Training and development specialist,47.3,56.7,100.00,35.00,-8.75,67.50,61.59
Project management specialist,Marketing specialist,47.3,61.7,70.00,80.00,-12.50,75.00,65.62
Project management specialist,Marketing manager,47.3,62.4,25.00,100.00,-10.00,62.50,56.25
Information security analyst,Operations research analyst,19.3,55.0,12.50,100.00,-1.25,56.25,55.55
Financial and investment analyst,Operations research analyst,43.9,55.0,100.00,2.50,5.00,51.25,48.69
Management analyst,Marketing manager,46.6,62.4,52.50,95.00,-2.50,73.75,71.91
Sales manager,Public relations manager,33.1,66.4,87.50,42.50,28.75,65.00,46.31
Management analyst,Marketing specialist,46.6,61.7,80.00,87.50,-3.75,83.75,80.61
Sales manager,Human resources manager,33.1,76.5,85.00,22.50,21.25,53.75,42.33
Sales manager,Marketing specialist,33.1,61.7,92.50,62.50,10.00,77.50,69.75
Training and development manager,Marketing manager,48.0,62.4,22.50,100.00,-3.75,61.25,58.95
Training and development manager,Administrative services manager,48.0,74.0,52.50,92.50,28.75,72.50,51.66
Project management specialist,Administrative services manager,47.3,74.0,45.00,100.00,22.50,72.50,56.19
Purchasing manager,Financial manager,47.7,56.2,5.00,95.00,-7.50,50.00,46.25
Management analyst,Financial manager,46.6,56.2,40.00,100.00,5.00,70.00,66.50
Sales manager,Financial manager,33.1,56.2,50.00,47.50,-15.00,48.75,41.44
Training and development manager,Human resources manager,48.0,76.5,7.50,97.50,5.00,52.50,49.88
Project management specialist,Public relations manager,47.3,66.4,82.50,80.00,-2.50,81.25,79.22
Management analyst,Operations research analyst,46.6,55.0,100.00,2.50,-1.25,51.25,50.61
Management analyst,Public relations manager,46.6,66.4,82.50,80.00,-2.50,81.25,79.22
Purchasing manager,Human resources manager,47.7,76.5,12.50,62.50,27.50,37.50,27.19
Training and development manager,Public relations manager,48.0,66.4,45.00,95.00,7.50,70.00,64.75
Purchasing manager,Marketing manager,47.7,62.4,15.00,97.50,-3.75,56.25,54.14
Project management specialist,Human resources manager,47.3,76.5,45.00,82.50,10.00,63.75,57.38
Purchasing manager,Public relations manager,47.7,66.4,40.00,42.50,18.75,41.25,33.52
Management analyst,Human resources manager,46.6,76.5,67.50,97.50,8.75,82.50,75.28
Architectural and engineering manager,Marketing manager,12.8,62.4,40.00,100.00,7.50,70.00,64.75
Financial and investment analyst,Financial manager,43.9,56.2,20.00,100.00,-3.75,60.00,57.75
Project management specialist,Human resources worker,47.3,76.5,70.00,45.00,25.00,57.50,43.12
Facilities manager,Human resources manager,23.4,76.5,15.00,77.50,3.75,46.25,44.52
Architectural and engineering manager,Training and development specialist,12.8,56.7,75.00,72.50,26.25,73.75,54.39
Training and development manager,Marketing specialist,48.0,61.7,55.00,100.00,5.00,77.50,73.62
Architectural and engineering manager,Administrative services manager,12.8,74.0,55.00,100.00,16.25,77.50,64.91
Architectural and engineering manager,Human resources manager,12.8,76.5,57.50,100.00,13.75,78.75,67.92
Management analyst,Human resources worker,46.6,76.5,90.00,65.00,22.50,77.50,60.06
Training and development manager,Human resources worker,48.0,76.5,57.50,75.00,38.75,66.25,40.58
Project management specialist,Operations research analyst,47.3,55.0,100.00,20.00,-3.75,60.00,57.75
Project management specialist,Financial manager,47.3,56.2,25.00,75.00,-27.50,50.00,36.25
Sales manager,Human resources worker,33.1,76.5,95.00,45.00,27.50,70.00,50.75
Facilities manager,Marketing manager,23.4,62.4,15.00,100.00,6.25,57.50,53.91
Facilities manager,Administrative services manager,23.4,74.0,20.00,100.00,16.25,60.00,50.25
Sales manager,Administrative services manager,33.1,74.0,95.00,92.50,13.75,93.75,80.86
Management analyst,Administrative services manager,46.6,74.0,82.50,100.00,13.75,91.25,78.70
Purchasing manager,Human resources worker,47.7,76.5,55.00,35.00,40.00,45.00,27.00
Management analyst,Training and development specialist,46.6,56.7,100.00,22.50,5.00,61.25,58.19
Architectural and engineering manager,Public relations manager,12.8,66.4,65.00,97.50,18.75,81.25,66.02
Financial and investment analyst,Training and development specialist,43.9,56.7,100.00,70.00,5.00,85.00,80.75
Facilities manager,Public relations manager,23.4,66.4,22.50,90.00,1.25,56.25,55.55
Sales manager,Training and development specialist,33.1,56.7,97.50,20.00,11.25,58.75,52.14
Financial and investment analyst,Administrative services manager,43.9,74.0,67.50,100.00,30.00,83.75,58.62
Architectural and engineering manager,Financial manager,12.8,56.2,47.50,97.50,5.00,72.50,68.88
Purchasing manager,Marketing specialist,47.7,61.7,75.00,90.00,8.75,82.50,75.28
Training and development manager,Financial manager,48.0,56.2,5.00,90.00,-10.00,47.50,42.75
Sales manager,Advertising sales agent,33.1,52.7,100.00,3.85,3.03,51.92,50.35
Management analyst,Accountant,46.6,57.0,95.00,70.00,-7.50,82.50,76.31
Industrial production manager,Human resources manager,19.1,76.5,25.00,100.00,5.00,62.50,59.38
Facilities manager,Social and community service manager,23.4,71.7,70.00,35.00,-12.50,52.50,45.94
Purchasing manager,Administrative services manager,47.7,74.0,35.00,100.00,18.75,67.50,54.84
Industrial production manager,Financial manager,19.1,56.2,12.50,100.00,2.50,56.25,54.84
Operation manager,Financial manager,37.1,56.2,55.00,42.50,-38.75,48.75,29.86
Industrial production manager,Human resources worker,19.1,76.5,45.00,100.00,11.25,72.50,64.34
Sales manager,Insurance sales agent,33.1,54.9,100.00,22.73,9.68,61.36,55.43
Architectural and engineering manager,Marketing specialist,12.8,61.7,60.00,100.00,15.00,80.00,68.00
Postsecondary teacher,Secondary school teacher,46.6,56.9,100.00,66.67,-14.29,83.33,71.43
Facilities manager,Human resources worker,23.4,76.5,17.50,100.00,6.25,58.75,55.08
Software developer,Marketing specialist,20.2,61.7,57.50,97.50,21.25,77.50,61.03
Industrial production manager,Marketing manager,19.1,62.4,30.00,100.00,1.25,65.00,64.19
Facilities manager,Training and development specialist,23.4,56.7,67.50,62.50,1.25,65.00,64.19
Software developer,Operations research analyst,20.2,55.0,100.00,90.00,1.25,95.00,93.81
Web and digital interface designer,Marketing specialist,42.7,61.7,47.50,100.00,17.50,73.75,60.84
Information security analyst,Administrative services manager,19.3,74.0,7.50,100.00,5.00,53.75,51.06
Industrial production manager,Operations research analyst,19.1,55.0,72.50,100.00,-2.50,86.25,84.09
Facilities manager,Financial manager,23.4,56.2,7.50,82.50,-8.75,45.00,41.06
Financial and investment analyst,Marketing manager,43.9,62.4,62.50,90.00,7.50,76.25,70.53
Industrial production manager,Public relations manager,19.1,66.4,42.50,100.00,3.75,71.25,68.58
Project management specialist,Public relations specialist,47.3,76.2,97.50,82.50,-3.75,90.00,86.62
Industrial production manager,Administrative services manager,19.1,74.0,20.00,100.00,8.75,60.00,54.75
Facilities manager,Marketing specialist,23.4,61.7,30.00,100.00,6.25,65.00,60.94
Financial and investment analyst,Marketing specialist,43.9,61.7,85.00,85.00,12.50,85.00,74.38
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,46.43,100.00,20.00,73.21,58.57
Operation manager,Marketing manager,37.1,62.4,70.00,97.50,-13.75,83.75,72.23
Industrial production manager,Training and development specialist,19.1,56.7,42.50,100.00,10.00,71.25,64.12
Purchasing manager,Accountant,47.7,57.0,77.50,80.00,-1.25,78.75,77.77
Financial and investment analyst,Insurance underwriter,43.9,56.9,100.00,55.00,18.75,77.50,62.97
Financial and investment analyst,Public relations manager,43.9,66.4,85.00,77.50,17.50,81.25,67.03
Chemical engineer,Medical scientist,21.6,51.8,20.00,100.00,0.00,60.00,60.00
Operation manager,Human resources manager,37.1,76.5,95.00,57.50,12.50,76.25,66.72
Architectural and engineering manager,Human resources worker,12.8,76.5,67.50,100.00,23.75,83.75,63.86
Operation manager,Public relations manager,37.1,66.4,87.50,70.00,-1.25,78.75,77.77
Training and development manager,Social and community service manager,48.0,71.7,100.00,37.50,1.25,68.75,67.89
Financial and investment analyst,Accountant,43.9,57.0,72.50,77.50,21.25,75.00,59.06
Financial and investment analyst,Human resources manager,43.9,76.5,55.00,97.50,18.75,76.25,61.95
Training and development manager,Insurance claims and policy processing clerk,48.0,80.1,95.00,28.95,25.64,61.97,46.08
Purchasing manager,Training and development specialist,47.7,56.7,95.00,20.00,0.00,57.50,57.50
Web developer,Graphic designer,19.4,54.7,100.00,59.46,-3.90,79.73,76.62
Purchasing manager,Social and community service manager,47.7,71.7,100.00,12.50,1.25,56.25,55.55
Chemical engineer,Biological scientist,21.6,55.0,22.50,94.59,0.00,58.55,58.55
Dentist,Dental hygienist,39.5,95.7,89.47,66.67,17.07,78.07,64.74
Software quality tester,Operations research analyst,44.1,55.0,5.00,100.00,0.00,52.50,52.50
Web and digital interface designer,Graphic designer,42.7,54.7,100.00,91.89,-3.90,95.95,92.21
Information security analyst,Training and development specialist,19.3,56.7,10.00,100.00,-1.25,55.00,54.31
Software developer,Graphic designer,20.2,54.7,100.00,54.05,-12.99,77.03,67.02
Architectural and engineering manager,Social and community service manager,12.8,71.7,77.50,62.50,38.75,70.00,42.88
Web and digital interface designer,Operations research analyst,42.7,55.0,52.50,97.50,13.75,75.00,64.69
First-line supervisor of non-retail sales workers,Supervisor of personal care and service workers,35.9,65.8,82.14,81.82,17.95,81.98,67.27
Lawyer,Paralegal,39.5,83.0,100.00,35.00,27.50,67.50,48.94
Architectural and engineering manager,Operations research analyst,12.8,55.0,90.00,90.00,3.75,90.00,86.63
Operation manager,Social and community service manager,37.1,71.7,97.50,0.00,-7.50,48.75,45.09
Industrial production manager,Social and community service manager,19.1,71.7,60.00,82.50,13.75,71.25,61.45
First-line supervisor of non-retail sales workers,Human resources worker,35.9,76.5,10.71,100.00,4.41,55.36,52.91
Property assessor,Insurance underwriter,34.2,56.9,10.00,100.00,3.75,55.00,52.94
Operation manager,Human resources worker,37.1,76.5,90.00,40.00,28.75,65.00,46.31
Computer systems analyst,Operations research analyst,37.8,55.0,100.00,7.50,2.50,53.75,52.41
Building cleaner,Housekeeping cleaner,38.7,88.4,87.88,92.50,8.22,90.19,82.78
Postsecondary teacher,School psychologist,46.6,87.9,100.00,0.00,-1.39,50.00,49.31
Industrial production manager,Accountant,19.1,57.0,32.50,100.00,3.75,66.25,63.77
Food service manager,First-line supervisor of food preparation and serving workers,46.7,53.5,100.00,10.00,-1.25,55.00,54.31
