occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,-1.70,-2.14,92.50,87.50,0.22,90.00,89.80
Sales manager,Marketing manager,33.1,62.4,96.46,-1.12,-3.09,97.50,67.50,0.99,82.50,81.69
Project management specialist,Training and development specialist,47.3,56.7,96.32,-1.42,2.06,100.00,35.00,-1.74,67.50,66.33
Project management specialist,Marketing specialist,47.3,61.7,96.15,-2.03,4.07,70.00,80.00,-3.05,75.00,72.71
Project management specialist,Marketing manager,47.3,62.4,95.99,-3.38,3.49,25.00,100.00,-3.44,62.50,60.35
Information security analyst,Operations research analyst,19.3,55.0,95.42,-0.12,-3.57,12.50,100.00,1.73,56.25,55.28
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,-2.34,-4.02,100.00,2.50,0.84,51.25,50.82
Management analyst,Marketing manager,46.6,62.4,94.88,1.07,1.39,52.50,95.00,-0.16,73.75,73.63
Sales manager,Public relations manager,33.1,66.4,94.60,4.81,-6.86,87.50,42.50,5.84,65.00,61.21
Management analyst,Marketing specialist,46.6,61.7,94.50,1.61,-0.51,80.00,87.50,1.06,83.75,82.86
Sales manager,Human resources manager,33.1,76.5,94.40,6.63,-6.05,85.00,22.50,6.34,53.75,50.34
Sales manager,Marketing specialist,33.1,61.7,94.34,3.33,-1.27,92.50,62.50,2.30,77.50,75.72
Training and development manager,Marketing manager,48.0,62.4,94.32,-1.44,-1.60,22.50,100.00,0.08,61.25,61.20
Training and development manager,Administrative services manager,48.0,74.0,94.24,3.65,-8.54,52.50,92.50,6.09,72.50,68.08
Project management specialist,Administrative services manager,47.3,74.0,94.20,5.70,-3.89,45.00,100.00,4.80,72.50,69.02
Purchasing manager,Financial manager,47.7,56.2,94.07,-4.11,5.55,5.00,95.00,-4.83,50.00,47.59
Management analyst,Financial manager,46.6,56.2,94.00,1.47,4.72,40.00,100.00,-1.63,70.00,68.86
Sales manager,Financial manager,33.1,56.2,93.76,0.54,5.13,50.00,47.50,-2.30,48.75,47.63
Training and development manager,Human resources manager,48.0,76.5,93.69,2.02,-10.59,7.50,97.50,6.31,52.50,49.19
Project management specialist,Public relations manager,47.3,66.4,93.13,-0.25,-1.40,82.50,80.00,0.58,81.25,80.78
Management analyst,Operations research analyst,46.6,55.0,92.92,-0.87,2.56,100.00,2.50,-1.71,51.25,50.37
Management analyst,Public relations manager,46.6,66.4,92.91,1.74,-2.97,82.50,80.00,2.36,81.25,79.33
Purchasing manager,Human resources manager,47.7,76.5,92.77,3.58,-7.61,12.50,62.50,5.60,37.50,35.40
Training and development manager,Public relations manager,48.0,66.4,92.59,0.90,-7.81,45.00,95.00,4.36,70.00,66.95
Purchasing manager,Marketing manager,47.7,62.4,92.52,-1.93,-0.76,15.00,97.50,-0.58,56.25,55.92
Project management specialist,Human resources manager,47.3,76.5,92.47,3.43,-1.89,45.00,82.50,2.66,63.75,62.05
Purchasing manager,Public relations manager,47.7,66.4,92.38,3.11,-5.30,40.00,42.50,4.20,41.25,39.52
Management analyst,Human resources manager,46.6,76.5,92.37,7.25,-7.70,67.50,97.50,7.47,82.50,76.34
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,13.34,-8.09,40.00,100.00,10.72,70.00,62.50
Financial and investment analyst,Financial manager,43.9,56.2,92.25,-0.72,-4.07,20.00,100.00,1.67,60.00,59.00
Project management specialist,Human resources worker,47.3,76.5,92.21,5.68,-6.42,70.00,45.00,6.05,57.50,54.02
Facilities manager,Human resources manager,23.4,76.5,92.06,7.13,-5.16,15.00,77.50,6.14,46.25,43.41
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,13.51,-12.48,75.00,72.50,13.00,73.75,64.17
Training and development manager,Marketing specialist,48.0,61.7,91.94,1.81,-1.40,55.00,100.00,1.60,77.50,76.26
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,24.40,-15.66,55.00,100.00,20.03,77.50,61.97
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,17.44,-14.15,57.50,100.00,15.80,78.75,66.31
Management analyst,Human resources worker,46.6,76.5,91.64,9.59,-10.33,90.00,65.00,9.96,77.50,69.78
Training and development manager,Human resources worker,48.0,76.5,91.58,5.98,-15.73,57.50,75.00,10.86,66.25,59.06
Project management specialist,Operations research analyst,47.3,55.0,91.31,-3.37,5.38,100.00,20.00,-4.37,60.00,57.38
Project management specialist,Financial manager,47.3,56.2,91.15,-2.92,12.74,25.00,75.00,-7.83,50.00,46.08
