occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,77.50,30.00,-2.50,53.75,52.41
Sales manager,Marketing manager,33.1,62.4,57.50,12.50,31.25,35.00,24.06
Project management specialist,Training and development specialist,47.3,56.7,80.00,35.00,37.50,57.50,35.94
Project management specialist,Marketing specialist,47.3,61.7,25.00,55.00,36.25,40.00,25.50
Project management specialist,Marketing manager,47.3,62.4,2.50,77.50,7.50,40.00,37.00
Information security analyst,Operations research analyst,19.3,55.0,5.00,100.00,0.00,52.50,52.50
Financial and investment analyst,Operations research analyst,43.9,55.0,87.50,2.50,7.50,45.00,41.62
Management analyst,Marketing manager,46.6,62.4,2.50,55.00,7.50,28.75,26.59
Sales manager,Public relations manager,33.1,66.4,50.00,30.00,50.00,40.00,20.00
Management analyst,Marketing specialist,46.6,61.7,10.00,22.50,16.25,16.25,13.61
Sales manager,Human resources manager,33.1,76.5,55.00,25.00,60.00,40.00,16.00
Sales manager,Marketing specialist,33.1,61.7,60.00,20.00,38.75,40.00,24.50
Training and development manager,Marketing manager,48.0,62.4,2.50,62.50,-1.25,32.50,32.09
Training and development manager,Administrative services manager,48.0,74.0,0.00,57.50,36.25,28.75,18.33
Project management specialist,Administrative services manager,47.3,74.0,5.00,87.50,18.75,46.25,37.58
Purchasing manager,Financial manager,47.7,56.2,0.00,87.50,-3.75,43.75,42.11
Management analyst,Financial manager,46.6,56.2,0.00,70.00,-5.00,35.00,33.25
Sales manager,Financial manager,33.1,56.2,52.50,65.00,0.00,58.75,58.75
Training and development manager,Human resources manager,48.0,76.5,0.00,65.00,30.00,32.50,22.75
Project management specialist,Public relations manager,47.3,66.4,57.50,62.50,30.00,60.00,42.00
Management analyst,Operations research analyst,46.6,55.0,95.00,0.00,-2.50,47.50,46.31
Management analyst,Public relations manager,46.6,66.4,50.00,42.50,32.50,46.25,31.22
Purchasing manager,Human resources manager,47.7,76.5,2.50,52.50,40.00,27.50,16.50
Training and development manager,Public relations manager,48.0,66.4,12.50,55.00,8.75,33.75,30.80
Purchasing manager,Marketing manager,47.7,62.4,7.50,62.50,7.50,35.00,32.38
Project management specialist,Human resources manager,47.3,76.5,42.50,87.50,32.50,65.00,43.88
Purchasing manager,Public relations manager,47.7,66.4,42.50,50.00,40.00,46.25,27.75
Management analyst,Human resources manager,46.6,76.5,15.00,57.50,37.50,36.25,22.66
Architectural and engineering manager,Marketing manager,12.8,62.4,30.00,80.00,28.75,55.00,39.19
Financial and investment analyst,Financial manager,43.9,56.2,0.00,87.50,-5.00,43.75,41.56
Project management specialist,Human resources worker,47.3,76.5,62.50,52.50,70.00,57.50,17.25
Facilities manager,Human resources manager,23.4,76.5,25.00,65.00,35.00,45.00,29.25
Architectural and engineering manager,Training and development specialist,12.8,56.7,62.50,55.00,51.25,58.75,28.64
Training and development manager,Marketing specialist,48.0,61.7,10.00,50.00,26.25,30.00,22.12
Architectural and engineering manager,Administrative services manager,12.8,74.0,35.00,97.50,22.50,66.25,51.34
Architectural and engineering manager,Human resources manager,12.8,76.5,45.00,57.50,46.25,51.25,27.55
Management analyst,Human resources worker,46.6,76.5,52.50,27.50,50.00,40.00,20.00
Training and development manager,Human resources worker,48.0,76.5,2.50,40.00,38.75,21.25,13.02
Project management specialist,Operations research analyst,47.3,55.0,75.00,0.00,-7.50,37.50,34.69
Project management specialist,Financial manager,47.3,56.2,17.50,97.50,-6.25,57.50,53.91
Sales manager,Human resources worker,33.1,76.5,57.50,37.50,66.25,47.50,16.03
Facilities manager,Marketing manager,23.4,62.4,12.50,97.50,3.75,55.00,52.94
Facilities manager,Administrative services manager,23.4,74.0,7.50,60.00,27.50,33.75,24.47
Sales manager,Administrative services manager,33.1,74.0,22.50,30.00,41.25,26.25,15.42
Management analyst,Administrative services manager,46.6,74.0,2.50,42.50,37.50,22.50,14.06
Purchasing manager,Human resources worker,47.7,76.5,27.50,50.00,57.50,38.75,16.47
Management analyst,Training and development specialist,46.6,56.7,90.00,12.50,13.75,51.25,44.20
Architectural and engineering manager,Public relations manager,12.8,66.4,52.50,52.50,41.25,52.50,30.84
Financial and investment analyst,Training and development specialist,43.9,56.7,50.00,37.50,46.25,43.75,23.52
Facilities manager,Public relations manager,23.4,66.4,40.00,65.00,26.25,52.50,38.72
Sales manager,Training and development specialist,33.1,56.7,87.50,17.50,22.50,52.50,40.69
Financial and investment analyst,Administrative services manager,43.9,74.0,10.00,65.00,35.00,37.50,24.38
Architectural and engineering manager,Financial manager,12.8,56.2,52.50,100.00,2.50,76.25,74.34
Purchasing manager,Marketing specialist,47.7,61.7,30.00,55.00,32.50,42.50,28.69
Training and development manager,Financial manager,48.0,56.2,45.00,87.50,-22.50,66.25,51.34
Sales manager,Advertising sales agent,33.1,52.7,95.00,0.00,9.09,47.50,43.18
Management analyst,Accountant,46.6,57.0,40.00,10.00,-1.25,25.00,24.69
Industrial production manager,Human resources manager,19.1,76.5,12.50,90.00,16.25,51.25,42.92
Facilities manager,Social and community service manager,23.4,71.7,62.50,45.00,47.50,53.75,28.22
Purchasing manager,Administrative services manager,47.7,74.0,0.00,50.00,33.75,25.00,16.56
Industrial production manager,Financial manager,19.1,56.2,15.00,100.00,1.25,57.50,56.78
Operation manager,Financial manager,37.1,56.2,72.50,57.50,-25.00,65.00,48.75
Industrial production manager,Human resources worker,19.1,76.5,17.50,55.00,35.00,36.25,23.56
Sales manager,Insurance sales agent,33.1,54.9,97.50,0.00,8.06,48.75,44.82
Architectural and engineering manager,Marketing specialist,12.8,61.7,50.00,50.00,52.50,50.00,23.75
Postsecondary teacher,Secondary school teacher,46.6,56.9,57.50,26.67,4.29,42.08,40.28
Facilities manager,Human resources worker,23.4,76.5,37.50,50.00,46.25,43.75,23.52
Software developer,Marketing specialist,20.2,61.7,45.00,67.50,53.75,56.25,26.02
Industrial production manager,Marketing manager,19.1,62.4,10.00,100.00,6.25,55.00,51.56
Facilities manager,Training and development specialist,23.4,56.7,77.50,57.50,17.50,67.50,55.69
Software developer,Operations research analyst,20.2,55.0,32.50,75.00,62.50,53.75,20.16
Web and digital interface designer,Marketing specialist,42.7,61.7,40.00,100.00,20.00,70.00,56.00
Information security analyst,Administrative services manager,19.3,74.0,2.50,100.00,1.25,51.25,50.61
Industrial production manager,Operations research analyst,19.1,55.0,35.00,67.50,15.00,51.25,43.56
Facilities manager,Financial manager,23.4,56.2,47.50,92.50,-11.25,70.00,62.12
Financial and investment analyst,Marketing manager,43.9,62.4,35.00,62.50,23.75,48.75,37.17
Industrial production manager,Public relations manager,19.1,66.4,27.50,82.50,20.00,55.00,44.00
Project management specialist,Public relations specialist,47.3,76.2,77.50,77.50,26.25,77.50,57.16
Industrial production manager,Administrative services manager,19.1,74.0,10.00,100.00,6.25,55.00,51.56
Facilities manager,Marketing specialist,23.4,61.7,35.00,80.00,17.50,57.50,47.44
Financial and investment analyst,Marketing specialist,43.9,61.7,45.00,45.00,42.50,45.00,25.87
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,0.00,55.56,25.45,27.78,20.71
Operation manager,Marketing manager,37.1,62.4,37.50,42.50,10.00,40.00,36.00
Industrial production manager,Training and development specialist,19.1,56.7,22.50,85.00,20.00,53.75,43.00
Purchasing manager,Accountant,47.7,57.0,27.50,42.50,5.00,35.00,33.25
Financial and investment analyst,Insurance underwriter,43.9,56.9,70.00,10.00,16.25,40.00,33.50
Financial and investment analyst,Public relations manager,43.9,66.4,55.00,52.50,40.00,53.75,32.25
Chemical engineer,Medical scientist,21.6,51.8,0.00,100.00,0.00,50.00,50.00
Operation manager,Human resources manager,37.1,76.5,60.00,45.00,60.00,52.50,21.00
Architectural and engineering manager,Human resources worker,12.8,76.5,60.00,52.50,56.25,56.25,24.61
Operation manager,Public relations manager,37.1,66.4,75.00,42.50,23.75,58.75,44.80
Training and development manager,Social and community service manager,48.0,71.7,92.50,17.50,17.50,55.00,45.38
Financial and investment analyst,Accountant,43.9,57.0,35.00,50.00,26.25,42.50,31.34
Financial and investment analyst,Human resources manager,43.9,76.5,30.00,80.00,30.00,55.00,38.50
Training and development manager,Insurance claims and policy processing clerk,48.0,80.1,95.00,7.89,10.26,51.45,46.17
Purchasing manager,Training and development specialist,47.7,56.7,90.00,55.00,23.75,72.50,55.28
