occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,-3.94,-5.99,77.50,30.00,1.02,53.75,53.20
Sales manager,Marketing manager,33.1,62.4,96.46,7.61,-6.82,57.50,12.50,7.21,35.00,32.48
Project management specialist,Training and development specialist,47.3,56.7,96.32,4.10,-10.53,80.00,35.00,7.32,57.50,53.29
Project management specialist,Marketing specialist,47.3,61.7,96.15,7.47,-8.17,25.00,55.00,7.82,40.00,36.87
Project management specialist,Marketing manager,47.3,62.4,95.99,4.28,-2.14,2.50,77.50,3.21,40.00,38.71
Information security analyst,Operations research analyst,19.3,55.0,95.42,4.09,-0.94,5.00,100.00,2.51,52.50,51.18
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,4.81,0.09,87.50,2.50,2.36,45.00,43.94
Management analyst,Marketing manager,46.6,62.4,94.88,5.74,-5.05,2.50,55.00,5.39,28.75,27.20
Sales manager,Public relations manager,33.1,66.4,94.60,13.23,-13.53,50.00,30.00,13.38,40.00,34.65
Management analyst,Marketing specialist,46.6,61.7,94.50,8.53,-7.09,10.00,22.50,7.81,16.25,14.98
Sales manager,Human resources manager,33.1,76.5,94.40,16.89,-20.40,55.00,25.00,18.65,40.00,32.54
Sales manager,Marketing specialist,33.1,61.7,94.34,11.15,-10.25,60.00,20.00,10.70,40.00,35.72
Training and development manager,Marketing manager,48.0,62.4,94.32,-1.13,-1.84,2.50,62.50,0.35,32.50,32.39
Training and development manager,Administrative services manager,48.0,74.0,94.24,8.07,-8.72,0.00,57.50,8.39,28.75,26.34
Project management specialist,Administrative services manager,47.3,74.0,94.20,13.71,-12.69,5.00,87.50,13.20,46.25,40.14
Purchasing manager,Financial manager,47.7,56.2,94.07,-3.46,5.27,0.00,87.50,-4.36,43.75,41.84
Management analyst,Financial manager,46.6,56.2,94.00,-2.30,2.86,0.00,70.00,-2.58,35.00,34.10
Sales manager,Financial manager,33.1,56.2,93.76,3.03,2.25,52.50,65.00,0.39,58.75,58.52
Training and development manager,Human resources manager,48.0,76.5,93.69,9.60,-10.23,0.00,65.00,9.91,32.50,29.28
Project management specialist,Public relations manager,47.3,66.4,93.13,9.50,-10.19,57.50,62.50,9.85,60.00,54.09
Management analyst,Operations research analyst,46.6,55.0,92.92,-2.74,3.11,95.00,0.00,-2.92,47.50,46.11
Management analyst,Public relations manager,46.6,66.4,92.91,8.19,-15.83,50.00,42.50,12.01,46.25,40.70
Purchasing manager,Human resources manager,47.7,76.5,92.77,11.19,-18.89,2.50,52.50,15.04,27.50,23.36
Training and development manager,Public relations manager,48.0,66.4,92.59,6.81,-6.80,12.50,55.00,6.81,33.75,31.45
Purchasing manager,Marketing manager,47.7,62.4,92.52,2.77,-2.21,7.50,62.50,2.49,35.00,34.13
Project management specialist,Human resources manager,47.3,76.5,92.47,12.32,-16.07,42.50,87.50,14.19,65.00,55.77
Purchasing manager,Public relations manager,47.7,66.4,92.38,7.47,-12.18,42.50,50.00,9.82,46.25,41.71
Management analyst,Human resources manager,46.6,76.5,92.37,14.46,-21.82,15.00,57.50,18.14,36.25,29.67
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,17.61,-17.47,30.00,80.00,17.54,55.00,45.35
Financial and investment analyst,Financial manager,43.9,56.2,92.25,2.26,1.48,0.00,87.50,0.39,43.75,43.58
Project management specialist,Human resources worker,47.3,76.5,92.21,15.13,-20.97,62.50,52.50,18.05,57.50,47.12
Facilities manager,Human resources manager,23.4,76.5,92.06,10.38,-14.64,25.00,65.00,12.51,45.00,39.37
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,18.02,-25.70,62.50,55.00,21.86,58.75,45.91
Training and development manager,Marketing specialist,48.0,61.7,91.94,4.17,-4.83,10.00,50.00,4.50,30.00,28.65
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,23.14,-21.04,35.00,97.50,22.09,66.25,51.62
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,22.48,-29.85,45.00,57.50,26.17,51.25,37.84
Management analyst,Human resources worker,46.6,76.5,91.64,15.00,-23.99,52.50,27.50,19.49,40.00,32.20
Training and development manager,Human resources worker,48.0,76.5,91.58,12.38,-14.45,2.50,40.00,13.41,21.25,18.40
Project management specialist,Operations research analyst,47.3,55.0,91.31,-2.84,4.38,75.00,0.00,-3.61,37.50,36.15
Project management specialist,Financial manager,47.3,56.2,91.15,-4.24,6.23,17.50,97.50,-5.24,57.50,54.49
Sales manager,Human resources worker,33.1,76.5,91.09,18.30,-27.65,57.50,37.50,22.98,47.50,36.59
Facilities manager,Marketing manager,23.4,62.4,90.92,1.29,-6.70,12.50,97.50,4.00,55.00,52.80
Facilities manager,Administrative services manager,23.4,74.0,90.81,7.33,-13.21,7.50,60.00,10.27,33.75,30.28
Sales manager,Administrative services manager,33.1,74.0,90.73,18.60,-16.97,22.50,30.00,17.78,26.25,21.58
Management analyst,Administrative services manager,46.6,74.0,90.68,12.46,-15.84,2.50,42.50,14.15,22.50,19.32
Purchasing manager,Human resources worker,47.7,76.5,90.36,13.44,-21.70,27.50,50.00,17.57,38.75,31.94
Management analyst,Training and development specialist,46.6,56.7,90.32,4.25,-10.57,90.00,12.50,7.41,51.25,47.45
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,17.35,-23.16,52.50,52.50,20.25,52.50,41.87
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,13.13,-15.38,50.00,37.50,14.25,43.75,37.52
Facilities manager,Public relations manager,23.4,66.4,90.26,5.92,-12.40,40.00,65.00,9.16,52.50,47.69
Sales manager,Training and development specialist,33.1,56.7,90.18,8.58,-14.00,87.50,17.50,11.29,52.50,46.57
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,18.50,-25.84,10.00,65.00,22.17,37.50,29.19
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,6.63,-4.69,52.50,100.00,5.66,76.25,71.94
Purchasing manager,Marketing specialist,47.7,61.7,90.08,7.54,-6.22,30.00,55.00,6.88,42.50,39.58
Training and development manager,Financial manager,48.0,56.2,90.06,-9.28,8.21,45.00,87.50,-8.75,66.25,60.45
Sales manager,Advertising sales agent,33.1,52.7,89.99,4.27,-2.58,95.00,0.00,3.42,47.50,45.87
Management analyst,Accountant,46.6,57.0,89.84,0.22,-1.56,40.00,10.00,0.89,25.00,24.78
Industrial production manager,Human resources manager,19.1,76.5,89.80,16.50,-23.22,12.50,90.00,19.86,51.25,41.07
Facilities manager,Social and community service manager,23.4,71.7,89.67,6.60,-15.23,62.50,45.00,10.92,53.75,47.88
Purchasing manager,Administrative services manager,47.7,74.0,89.51,8.40,-13.34,0.00,50.00,10.87,25.00,22.28
Industrial production manager,Financial manager,19.1,56.2,89.51,1.15,-4.98,15.00,100.00,3.07,57.50,55.74
