occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,92.50,32.50,-18.75,62.50,50.78
Sales manager,Marketing manager,33.1,62.4,97.50,72.50,15.00,85.00,72.25
Project management specialist,Training and development specialist,47.3,56.7,87.50,55.00,23.75,71.25,54.33
Project management specialist,Marketing specialist,47.3,61.7,67.50,87.50,23.75,77.50,59.09
Project management specialist,Marketing manager,47.3,62.4,32.50,100.00,0.00,66.25,66.25
Information security analyst,Operations research analyst,19.3,55.0,17.50,100.00,3.75,58.75,56.55
Financial and investment analyst,Operations research analyst,43.9,55.0,100.00,45.00,13.75,72.50,62.53
Management analyst,Marketing manager,46.6,62.4,72.50,97.50,5.00,85.00,80.75
Sales manager,Public relations manager,33.1,66.4,75.00,52.50,41.25,63.75,37.45
Management analyst,Marketing specialist,46.6,61.7,92.50,92.50,3.75,92.50,89.03
Sales manager,Human resources manager,33.1,76.5,67.50,47.50,60.00,57.50,23.00
Sales manager,Marketing specialist,33.1,61.7,95.00,80.00,11.25,87.50,77.66
Training and development manager,Marketing manager,48.0,62.4,57.50,100.00,8.75,78.75,71.86
Training and development manager,Administrative services manager,48.0,74.0,42.50,97.50,27.50,70.00,50.75
Project management specialist,Administrative services manager,47.3,74.0,45.00,100.00,36.25,72.50,46.22
Purchasing manager,Financial manager,47.7,56.2,25.00,100.00,-11.25,62.50,55.47
Management analyst,Financial manager,46.6,56.2,65.00,100.00,-3.75,82.50,79.41
Sales manager,Financial manager,33.1,56.2,72.50,75.00,5.00,73.75,70.06
Training and development manager,Human resources manager,48.0,76.5,45.00,100.00,38.75,72.50,44.41
Project management specialist,Public relations manager,47.3,66.4,75.00,80.00,18.75,77.50,62.97
Management analyst,Operations research analyst,46.6,55.0,100.00,17.50,-1.25,58.75,58.02
Management analyst,Public relations manager,46.6,66.4,82.50,80.00,15.00,81.25,69.06
Purchasing manager,Human resources manager,47.7,76.5,42.50,95.00,28.75,68.75,48.98
Training and development manager,Public relations manager,48.0,66.4,47.50,87.50,21.25,67.50,53.16
