occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,4.77,4.23,92.50,32.50,0.27,62.50,62.33
Sales manager,Marketing manager,33.1,62.4,96.46,5.87,-8.61,97.50,72.50,7.24,85.00,78.85
Project management specialist,Training and development specialist,47.3,56.7,96.32,7.58,-5.05,87.50,55.00,6.31,71.25,66.75
Project management specialist,Marketing specialist,47.3,61.7,96.15,7.77,-6.22,67.50,87.50,7.00,77.50,72.08
Project management specialist,Marketing manager,47.3,62.4,95.99,0.21,-4.22,32.50,100.00,2.21,66.25,64.78
Information security analyst,Operations research analyst,19.3,55.0,95.42,0.72,-3.64,17.50,100.00,2.18,58.75,57.47
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,0.97,-5.84,100.00,45.00,3.41,72.50,70.03
Management analyst,Marketing manager,46.6,62.4,94.88,5.25,-6.73,72.50,97.50,5.99,85.00,79.91
Sales manager,Public relations manager,33.1,66.4,94.60,16.44,-12.03,75.00,52.50,14.24,63.75,54.67
Management analyst,Marketing specialist,46.6,61.7,94.50,7.22,-8.56,92.50,92.50,7.89,92.50,85.20
Sales manager,Human resources manager,33.1,76.5,94.40,20.57,-16.91,67.50,47.50,18.74,57.50,46.72
Sales manager,Marketing specialist,33.1,61.7,94.34,10.84,-11.80,95.00,80.00,11.32,87.50,77.60
Training and development manager,Marketing manager,48.0,62.4,94.32,2.05,2.06,57.50,100.00,-0.00,78.75,78.75
Training and development manager,Administrative services manager,48.0,74.0,94.24,7.45,-7.14,42.50,97.50,7.30,70.00,64.89
Project management specialist,Administrative services manager,47.3,74.0,94.20,13.55,-11.09,45.00,100.00,12.32,72.50,63.57
Purchasing manager,Financial manager,47.7,56.2,94.07,-5.13,4.33,25.00,100.00,-4.73,62.50,59.55
Management analyst,Financial manager,46.6,56.2,94.00,0.11,4.83,65.00,100.00,-2.36,82.50,80.55
Sales manager,Financial manager,33.1,56.2,93.76,-0.47,-3.06,72.50,75.00,1.30,73.75,72.79
Training and development manager,Human resources manager,48.0,76.5,93.69,10.62,-7.75,45.00,100.00,9.19,72.50,65.84
Project management specialist,Public relations manager,47.3,66.4,93.13,10.17,-9.59,75.00,80.00,9.88,77.50,69.84
Management analyst,Operations research analyst,46.6,55.0,92.92,-2.58,2.07,100.00,17.50,-2.33,58.75,57.38
Management analyst,Public relations manager,46.6,66.4,92.91,12.49,-9.49,82.50,80.00,10.99,81.25,72.32
Purchasing manager,Human resources manager,47.7,76.5,92.77,17.81,-11.51,42.50,95.00,14.66,68.75,58.67
Training and development manager,Public relations manager,48.0,66.4,92.59,8.32,-4.71,47.50,87.50,6.52,67.50,63.10
Purchasing manager,Marketing manager,47.7,62.4,92.52,1.26,-3.69,67.50,100.00,2.48,83.75,81.67
Project management specialist,Human resources manager,47.3,76.5,92.47,17.61,-11.49,45.00,97.50,14.55,71.25,60.88
Purchasing manager,Public relations manager,47.7,66.4,92.38,12.72,-8.26,45.00,75.00,10.49,60.00,53.71
Management analyst,Human resources manager,46.6,76.5,92.37,19.61,-16.79,70.00,97.50,18.20,83.75,68.51
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,13.89,-17.33,57.50,100.00,15.61,78.75,66.46
