occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,100.00,90.00,-11.25,95.00,84.31
Sales manager,Marketing manager,33.1,62.4,95.00,95.00,-1.25,95.00,93.81
Project management specialist,Training and development specialist,47.3,56.7,100.00,82.50,-7.50,91.25,84.41
Project management specialist,Marketing specialist,47.3,61.7,100.00,80.00,10.00,90.00,81.00
Project management specialist,Marketing manager,47.3,62.4,100.00,75.00,2.50,87.50,85.31
Information security analyst,Operations research analyst,19.3,55.0,100.00,100.00,0.00,100.00,100.00
Financial and investment analyst,Operations research analyst,43.9,55.0,100.00,92.50,6.25,96.25,90.23
Management analyst,Marketing manager,46.6,62.4,100.00,100.00,0.00,100.00,100.00
Sales manager,Public relations manager,33.1,66.4,100.00,100.00,6.25,100.00,93.75
Management analyst,Marketing specialist,46.6,61.7,100.00,97.50,1.25,98.75,97.52
Sales manager,Human resources manager,33.1,76.5,92.50,95.00,5.00,93.75,89.06
Sales manager,Marketing specialist,33.1,61.7,100.00,95.00,0.00,97.50,97.50
Training and development manager,Marketing manager,48.0,62.4,100.00,82.50,7.50,91.25,84.41
Training and development manager,Administrative services manager,48.0,74.0,100.00,92.50,8.75,96.25,87.83
Project management specialist,Administrative services manager,47.3,74.0,100.00,95.00,3.75,97.50,93.84
Purchasing manager,Financial manager,47.7,56.2,95.00,100.00,-6.25,97.50,91.41
Management analyst,Financial manager,46.6,56.2,100.00,100.00,0.00,100.00,100.00
Sales manager,Financial manager,33.1,56.2,95.00,97.50,-7.50,96.25,89.03
Training and development manager,Human resources manager,48.0,76.5,97.50,85.00,12.50,91.25,79.84
Project management specialist,Public relations manager,47.3,66.4,100.00,80.00,5.00,90.00,85.50
Management analyst,Operations research analyst,46.6,55.0,100.00,100.00,0.00,100.00,100.00
Management analyst,Public relations manager,46.6,66.4,100.00,100.00,0.00,100.00,100.00
Purchasing manager,Human resources manager,47.7,76.5,97.50,95.00,6.25,96.25,90.23
Training and development manager,Public relations manager,48.0,66.4,100.00,65.00,16.25,82.50,69.09
Purchasing manager,Marketing manager,47.7,62.4,92.50,100.00,1.25,96.25,95.05
Project management specialist,Human resources manager,47.3,76.5,100.00,90.00,7.50,95.00,87.88
Purchasing manager,Public relations manager,47.7,66.4,100.00,100.00,12.50,100.00,87.50
Management analyst,Human resources manager,46.6,76.5,100.00,100.00,1.25,100.00,98.75
Architectural and engineering manager,Marketing manager,12.8,62.4,82.50,100.00,11.25,91.25,80.98
Financial and investment analyst,Financial manager,43.9,56.2,100.00,97.50,5.00,98.75,93.81
