occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,-3.12,3.10,100.00,90.00,-3.11,95.00,92.05
Sales manager,Marketing manager,33.1,62.4,96.46,-0.92,-3.83,95.00,95.00,1.46,95.00,93.62
Project management specialist,Training and development specialist,47.3,56.7,96.32,-4.19,4.19,100.00,82.50,-4.19,91.25,87.43
Project management specialist,Marketing specialist,47.3,61.7,96.15,-1.31,-3.73,100.00,80.00,1.21,90.00,88.91
Project management specialist,Marketing manager,47.3,62.4,95.99,-2.15,-1.48,100.00,75.00,-0.33,87.50,87.21
Information security analyst,Operations research analyst,19.3,55.0,95.42,-2.96,-0.86,100.00,100.00,-1.05,100.00,98.95
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,-1.16,-8.33,100.00,92.50,3.58,96.25,92.80
Management analyst,Marketing manager,46.6,62.4,94.88,-1.00,-2.44,100.00,100.00,0.72,100.00,99.28
Sales manager,Public relations manager,33.1,66.4,94.60,5.55,-8.16,100.00,100.00,6.86,100.00,93.14
Management analyst,Marketing specialist,46.6,61.7,94.50,-0.96,-1.64,100.00,97.50,0.34,98.75,98.42
Sales manager,Human resources manager,33.1,76.5,94.40,4.86,-5.66,92.50,95.00,5.26,93.75,88.82
Sales manager,Marketing specialist,33.1,61.7,94.34,-1.13,-3.58,100.00,95.00,1.22,97.50,96.31
Training and development manager,Marketing manager,48.0,62.4,94.32,-2.20,-6.65,100.00,82.50,2.23,91.25,89.22
Training and development manager,Administrative services manager,48.0,74.0,94.24,-1.29,-8.34,100.00,92.50,3.52,96.25,92.86
Project management specialist,Administrative services manager,47.3,74.0,94.20,-1.53,-4.31,100.00,95.00,1.39,97.50,96.15
Purchasing manager,Financial manager,47.7,56.2,94.07,-8.44,-0.50,95.00,100.00,-3.97,97.50,93.63
Management analyst,Financial manager,46.6,56.2,94.00,-7.80,-0.57,100.00,100.00,-3.62,100.00,96.38
Sales manager,Financial manager,33.1,56.2,93.76,-8.19,-1.34,95.00,97.50,-3.42,96.25,92.96
Training and development manager,Human resources manager,48.0,76.5,93.69,2.42,-10.14,97.50,85.00,6.28,91.25,85.52
Project management specialist,Public relations manager,47.3,66.4,93.13,1.90,-5.38,100.00,80.00,3.64,90.00,86.72
Management analyst,Operations research analyst,46.6,55.0,92.92,-2.15,0.04,100.00,100.00,-1.09,100.00,98.91
Management analyst,Public relations manager,46.6,66.4,92.91,5.68,-2.19,100.00,100.00,3.94,100.00,96.06
Purchasing manager,Human resources manager,47.7,76.5,92.77,4.60,-7.66,97.50,95.00,6.13,96.25,90.35
Training and development manager,Public relations manager,48.0,66.4,92.59,3.83,-11.33,100.00,65.00,7.58,82.50,76.25
Purchasing manager,Marketing manager,47.7,62.4,92.52,-1.90,-5.45,92.50,100.00,1.78,96.25,94.54
Project management specialist,Human resources manager,47.3,76.5,92.47,0.19,-5.60,100.00,90.00,2.89,95.00,92.25
Purchasing manager,Public relations manager,47.7,66.4,92.38,8.04,-16.09,100.00,100.00,12.06,100.00,87.94
Management analyst,Human resources manager,46.6,76.5,92.37,4.89,-2.84,100.00,100.00,3.86,100.00,96.14
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,5.23,-5.54,82.50,100.00,5.39,91.25,86.34
Financial and investment analyst,Financial manager,43.9,56.2,92.25,-2.12,-4.94,100.00,97.50,1.41,98.75,97.36
Project management specialist,Human resources worker,47.3,76.5,92.21,1.43,-0.32,100.00,30.00,0.87,65.00,64.43
Facilities manager,Human resources manager,23.4,76.5,92.06,7.06,-4.74,42.50,100.00,5.90,71.25,67.05
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,1.61,-2.87,97.50,97.50,2.24,97.50,95.31
Training and development manager,Marketing specialist,48.0,61.7,91.94,-2.75,-8.53,100.00,35.00,2.89,67.50,65.55
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,1.30,-9.82,100.00,100.00,5.56,100.00,94.44
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,9.61,-6.57,70.00,97.50,8.09,83.75,76.98
Management analyst,Human resources worker,46.6,76.5,91.64,4.57,-0.92,100.00,100.00,2.75,100.00,97.25
Training and development manager,Human resources worker,48.0,76.5,91.58,2.92,-7.98,100.00,7.50,5.45,53.75,50.82
Project management specialist,Operations research analyst,47.3,55.0,91.31,-2.58,2.30,100.00,97.50,-2.44,98.75,96.34
Project management specialist,Financial manager,47.3,56.2,91.15,-6.72,3.28,100.00,77.50,-5.00,88.75,84.31
Sales manager,Human resources worker,33.1,76.5,91.09,4.18,-3.57,100.00,77.50,3.87,88.75,85.31
Facilities manager,Marketing manager,23.4,62.4,90.92,1.23,-5.53,60.00,100.00,3.38,80.00,77.30
Facilities manager,Administrative services manager,23.4,74.0,90.81,-1.36,-11.53,100.00,100.00,5.08,100.00,94.92
Sales manager,Administrative services manager,33.1,74.0,90.73,-0.70,-7.93,100.00,100.00,3.61,100.00,96.39
Management analyst,Administrative services manager,46.6,74.0,90.68,0.31,-2.97,100.00,100.00,1.64,100.00,98.36
Purchasing manager,Human resources worker,47.7,76.5,90.36,8.43,-10.48,100.00,45.00,9.45,72.50,65.65
Management analyst,Training and development specialist,46.6,56.7,90.32,-1.55,4.24,100.00,100.00,-2.90,100.00,97.10
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,12.35,-12.34,92.50,100.00,12.35,96.25,84.36
