occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,12.50,2.50,0.00,7.50,7.50
Sales manager,Marketing manager,33.1,62.4,7.50,12.50,-3.75,10.00,9.62
Project management specialist,Training and development specialist,47.3,56.7,62.50,2.50,-3.75,32.50,31.28
Project management specialist,Marketing specialist,47.3,61.7,62.50,0.00,10.00,31.25,28.12
Project management specialist,Marketing manager,47.3,62.4,52.50,0.00,1.25,26.25,25.92
Information security analyst,Operations research analyst,19.3,55.0,0.00,0.00,0.00,0.00,0.00
Financial and investment analyst,Operations research analyst,43.9,55.0,17.50,0.00,10.00,8.75,7.88
Management analyst,Marketing manager,46.6,62.4,0.00,2.50,0.00,1.25,1.25
Sales manager,Public relations manager,33.1,66.4,5.00,0.00,8.75,2.50,2.28
Management analyst,Marketing specialist,46.6,61.7,0.00,0.00,1.25,0.00,0.00
Sales manager,Human resources manager,33.1,76.5,12.50,7.50,10.00,10.00,9.00
Sales manager,Marketing specialist,33.1,61.7,10.00,7.50,5.00,8.75,8.31
Training and development manager,Marketing manager,48.0,62.4,12.50,10.00,13.75,11.25,9.70
Training and development manager,Administrative services manager,48.0,74.0,7.50,0.00,11.25,3.75,3.33
Project management specialist,Administrative services manager,47.3,74.0,2.50,0.00,6.25,1.25,1.17
Purchasing manager,Financial manager,47.7,56.2,0.00,7.50,-5.00,3.75,3.56
Management analyst,Financial manager,46.6,56.2,0.00,0.00,0.00,0.00,0.00
Sales manager,Financial manager,33.1,56.2,7.50,7.50,-7.50,7.50,6.94
Training and development manager,Human resources manager,48.0,76.5,7.50,0.00,13.75,3.75,3.23
Project management specialist,Public relations manager,47.3,66.4,52.50,0.00,7.50,26.25,24.28
Management analyst,Operations research analyst,46.6,55.0,0.00,0.00,0.00,0.00,0.00
Management analyst,Public relations manager,46.6,66.4,0.00,0.00,0.00,0.00,0.00
Purchasing manager,Human resources manager,47.7,76.5,0.00,5.00,12.50,2.50,2.19
Training and development manager,Public relations manager,48.0,66.4,47.50,0.00,17.50,23.75,19.59
Purchasing manager,Marketing manager,47.7,62.4,0.00,27.50,-5.00,13.75,13.06
Project management specialist,Human resources manager,47.3,76.5,45.00,0.00,10.00,22.50,20.25
Purchasing manager,Public relations manager,47.7,66.4,5.00,2.50,16.25,3.75,3.14
Management analyst,Human resources manager,46.6,76.5,0.00,0.00,2.50,0.00,0.00
Architectural and engineering manager,Marketing manager,12.8,62.4,7.50,30.00,18.75,18.75,15.23
