occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,100.00,52.50,-8.75,76.25,69.58
Sales manager,Marketing manager,33.1,62.4,95.00,92.50,3.75,93.75,90.23
Project management specialist,Training and development specialist,47.3,56.7,100.00,37.50,-7.50,68.75,63.59
Project management specialist,Marketing specialist,47.3,61.7,100.00,42.50,1.25,71.25,70.36
Project management specialist,Marketing manager,47.3,62.4,100.00,55.00,5.00,77.50,73.62
Information security analyst,Operations research analyst,19.3,55.0,100.00,100.00,0.00,100.00,100.00
Financial and investment analyst,Operations research analyst,43.9,55.0,100.00,85.00,3.75,92.50,89.03
Management analyst,Marketing manager,46.6,62.4,100.00,100.00,0.00,100.00,100.00
Sales manager,Public relations manager,33.1,66.4,100.00,95.00,5.00,97.50,92.62
Management analyst,Marketing specialist,46.6,61.7,100.00,100.00,-1.25,100.00,98.75
Sales manager,Human resources manager,33.1,76.5,100.00,97.50,6.25,98.75,92.58
Sales manager,Marketing specialist,33.1,61.7,100.00,77.50,5.00,88.75,84.31
Training and development manager,Marketing manager,48.0,62.4,97.50,87.50,10.00,92.50,83.25
Training and development manager,Administrative services manager,48.0,74.0,100.00,82.50,16.25,91.25,76.42
Project management specialist,Administrative services manager,47.3,74.0,100.00,85.00,2.50,92.50,90.19
Purchasing manager,Financial manager,47.7,56.2,95.00,100.00,-5.00,97.50,92.62
Management analyst,Financial manager,46.6,56.2,87.50,100.00,-7.50,93.75,86.72
Sales manager,Financial manager,33.1,56.2,100.00,100.00,-3.75,100.00,96.25
Training and development manager,Human resources manager,48.0,76.5,100.00,90.00,16.25,95.00,79.56
Project management specialist,Public relations manager,47.3,66.4,100.00,32.50,10.00,66.25,59.62
Management analyst,Operations research analyst,46.6,55.0,100.00,100.00,0.00,100.00,100.00
Management analyst,Public relations manager,46.6,66.4,100.00,100.00,0.00,100.00,100.00
Purchasing manager,Human resources manager,47.7,76.5,100.00,100.00,5.00,100.00,95.00
Training and development manager,Public relations manager,48.0,66.4,100.00,35.00,23.75,67.50,51.47
Purchasing manager,Marketing manager,47.7,62.4,87.50,100.00,-11.25,93.75,83.20
Project management specialist,Human resources manager,47.3,76.5,100.00,72.50,6.25,86.25,80.86
Purchasing manager,Public relations manager,47.7,66.4,97.50,90.00,8.75,93.75,85.55
Management analyst,Human resources manager,46.6,76.5,100.00,100.00,0.00,100.00,100.00
Architectural and engineering manager,Marketing manager,12.8,62.4,85.00,100.00,11.25,92.50,82.09
Financial and investment analyst,Financial manager,43.9,56.2,100.00,97.50,2.50,98.75,96.28
Project management specialist,Human resources worker,47.3,76.5,100.00,0.00,1.25,50.00,49.38
Facilities manager,Human resources manager,23.4,76.5,47.50,100.00,-1.25,73.75,72.83
Architectural and engineering manager,Training and development specialist,12.8,56.7,97.50,80.00,-3.75,88.75,85.42
Training and development manager,Marketing specialist,48.0,61.7,100.00,20.00,3.75,60.00,57.75
Architectural and engineering manager,Administrative services manager,12.8,74.0,100.00,100.00,0.00,100.00,100.00
Architectural and engineering manager,Human resources manager,12.8,76.5,80.00,97.50,8.75,88.75,80.98
Management analyst,Human resources worker,46.6,76.5,100.00,97.50,3.75,98.75,95.05
Training and development manager,Human resources worker,48.0,76.5,100.00,2.50,5.00,51.25,48.69
Project management specialist,Operations research analyst,47.3,55.0,100.00,97.50,-5.00,98.75,93.81
Project management specialist,Financial manager,47.3,56.2,97.50,60.00,-13.75,78.75,67.92
Sales manager,Human resources worker,33.1,76.5,100.00,82.50,10.00,91.25,82.12
Facilities manager,Marketing manager,23.4,62.4,42.50,100.00,-3.75,71.25,68.58
Facilities manager,Administrative services manager,23.4,74.0,100.00,100.00,0.00,100.00,100.00
Sales manager,Administrative services manager,33.1,74.0,100.00,100.00,1.25,100.00,98.75
Management analyst,Administrative services manager,46.6,74.0,100.00,100.00,0.00,100.00,100.00
Purchasing manager,Human resources worker,47.7,76.5,100.00,17.50,10.00,58.75,52.88
Management analyst,Training and development specialist,46.6,56.7,100.00,100.00,0.00,100.00,100.00
Architectural and engineering manager,Public relations manager,12.8,66.4,90.00,100.00,8.75,95.00,86.69
Financial and investment analyst,Training and development specialist,43.9,56.7,100.00,40.00,-2.50,70.00,68.25
Facilities manager,Public relations manager,23.4,66.4,85.00,100.00,6.25,92.50,86.72
Sales manager,Training and development specialist,33.1,56.7,100.00,95.00,-1.25,97.50,96.28
Financial and investment analyst,Administrative services manager,43.9,74.0,100.00,77.50,8.75,88.75,80.98
Architectural and engineering manager,Financial manager,12.8,56.2,90.00,100.00,0.00,95.00,95.00
Purchasing manager,Marketing specialist,47.7,61.7,95.00,90.00,-2.50,92.50,90.19
Training and development manager,Financial manager,48.0,56.2,97.50,42.50,-11.25,70.00,62.12
Sales manager,Advertising sales agent,33.1,52.7,100.00,100.00,0.00,100.00,100.00
Management analyst,Accountant,46.6,57.0,100.00,100.00,0.00,100.00,100.00
Industrial production manager,Human resources manager,19.1,76.5,82.50,100.00,12.50,91.25,79.84
Facilities manager,Social and community service manager,23.4,71.7,100.00,77.50,3.75,88.75,85.42
Purchasing manager,Administrative services manager,47.7,74.0,100.00,97.50,3.75,98.75,95.05
Industrial production manager,Financial manager,19.1,56.2,82.50,100.00,-2.50,91.25,88.97
Operation manager,Financial manager,37.1,56.2,92.50,100.00,-1.25,96.25,95.05
Industrial production manager,Human resources worker,19.1,76.5,92.50,75.00,22.50,83.75,64.91
Sales manager,Insurance sales agent,33.1,54.9,100.00,86.36,8.06,93.18,85.67
Architectural and engineering manager,Marketing specialist,12.8,61.7,90.00,92.50,8.75,91.25,83.27
Postsecondary teacher,Secondary school teacher,46.6,56.9,75.00,23.33,5.71,49.17,46.36
Facilities manager,Human resources worker,23.4,76.5,60.00,80.00,11.25,70.00,62.12
Software developer,Marketing specialist,20.2,61.7,100.00,85.00,10.00,92.50,83.25
Industrial production manager,Marketing manager,19.1,62.4,80.00,100.00,5.00,90.00,85.50
Facilities manager,Training and development specialist,23.4,56.7,47.50,97.50,-3.75,72.50,69.78
Software developer,Operations research analyst,20.2,55.0,100.00,97.50,1.25,98.75,97.52
Web and digital interface designer,Marketing specialist,42.7,61.7,97.50,80.00,11.25,88.75,78.77
Information security analyst,Administrative services manager,19.3,74.0,100.00,100.00,0.00,100.00,100.00
Industrial production manager,Operations research analyst,19.1,55.0,100.00,100.00,0.00,100.00,100.00
Facilities manager,Financial manager,23.4,56.2,80.00,100.00,-13.75,90.00,77.63
Financial and investment analyst,Marketing manager,43.9,62.4,100.00,80.00,13.75,90.00,77.63
Industrial production manager,Public relations manager,19.1,66.4,95.00,100.00,2.50,97.50,95.06
Project management specialist,Public relations specialist,47.3,76.2,100.00,85.00,-1.25,92.50,91.34
Industrial production manager,Administrative services manager,19.1,74.0,100.00,100.00,-1.25,100.00,98.75
Facilities manager,Marketing specialist,23.4,61.7,52.50,97.50,-1.25,75.00,74.06
Financial and investment analyst,Marketing specialist,43.9,61.7,100.00,57.50,11.25,78.75,69.89
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,28.57,85.19,9.09,56.88,51.71
Operation manager,Marketing manager,37.1,62.4,97.50,100.00,0.00,98.75,98.75
Industrial production manager,Training and development specialist,19.1,56.7,95.00,100.00,-2.50,97.50,95.06
Purchasing manager,Accountant,47.7,57.0,100.00,100.00,0.00,100.00,100.00
Financial and investment analyst,Insurance underwriter,43.9,56.9,100.00,32.50,2.50,66.25,64.59
Financial and investment analyst,Public relations manager,43.9,66.4,100.00,32.50,22.50,66.25,51.34
Chemical engineer,Medical scientist,21.6,51.8,70.00,92.11,3.85,81.05,77.94
Operation manager,Human resources manager,37.1,76.5,95.00,100.00,3.75,97.50,93.84
Architectural and engineering manager,Human resources worker,12.8,76.5,92.50,62.50,20.00,77.50,62.00
Operation manager,Public relations manager,37.1,66.4,100.00,100.00,0.00,100.00,100.00
Training and development manager,Social and community service manager,48.0,71.7,100.00,27.50,7.50,63.75,58.97
Financial and investment analyst,Accountant,43.9,57.0,100.00,82.50,5.00,91.25,86.69
Financial and investment analyst,Human resources manager,43.9,76.5,100.00,82.50,15.00,91.25,77.56
Training and development manager,Insurance claims and policy processing clerk,48.0,80.1,100.00,36.84,16.67,68.42,57.02
Purchasing manager,Training and development specialist,47.7,56.7,87.50,65.00,-17.50,76.25,62.91
Web developer,Graphic designer,19.4,54.7,97.50,35.14,5.19,66.32,62.87
Purchasing manager,Social and community service manager,47.7,71.7,100.00,62.50,0.00,81.25,81.25
Chemical engineer,Biological scientist,21.6,55.0,85.00,21.62,10.39,53.31,47.77
Dentist,Dental hygienist,39.5,95.7,86.84,100.00,-4.88,93.42,88.86
Software quality tester,Operations research analyst,44.1,55.0,100.00,100.00,0.00,100.00,100.00
Web and digital interface designer,Graphic designer,42.7,54.7,90.00,8.11,-7.79,49.05,45.23
Information security analyst,Training and development specialist,19.3,56.7,85.00,100.00,-2.50,92.50,90.19
Software developer,Graphic designer,20.2,54.7,100.00,56.76,-5.19,78.38,74.31
Architectural and engineering manager,Social and community service manager,12.8,71.7,97.50,97.50,0.00,97.50,97.50
Web and digital interface designer,Operations research analyst,42.7,55.0,100.00,92.50,2.50,96.25,93.84
First-line supervisor of non-retail sales workers,Supervisor of personal care and service workers,35.9,65.8,92.86,45.45,2.56,69.16,67.38
Lawyer,Paralegal,39.5,83.0,100.00,85.00,-2.50,92.50,90.19
Architectural and engineering manager,Operations research analyst,12.8,55.0,97.50,100.00,-1.25,98.75,97.52
Operation manager,Social and community service manager,37.1,71.7,100.00,100.00,1.25,100.00,98.75
Industrial production manager,Social and community service manager,19.1,71.7,100.00,92.50,2.50,96.25,93.84
First-line supervisor of non-retail sales workers,Human resources worker,35.9,76.5,85.71,47.50,22.06,66.61,51.91
Property assessor,Insurance underwriter,34.2,56.9,100.00,100.00,0.00,100.00,100.00
Operation manager,Human resources worker,37.1,76.5,97.50,100.00,5.00,98.75,93.81
Computer systems analyst,Operations research analyst,37.8,55.0,100.00,100.00,0.00,100.00,100.00
Building cleaner,Housekeeping cleaner,38.7,88.4,81.82,82.50,9.59,82.16,74.28
Postsecondary teacher,School psychologist,46.6,87.9,52.50,18.75,0.00,35.62,35.62
Industrial production manager,Accountant,19.1,57.0,100.00,100.00,0.00,100.00,100.00
Food service manager,First-line supervisor of food preparation and serving workers,46.7,53.5,97.50,100.00,-1.25,98.75,97.52
Facilities manager,Social and human service assistant,23.4,75.3,100.00,85.00,5.00,92.50,87.88
Chemical technician,Medical scientist,35.0,51.8,89.29,92.11,-7.58,90.70,83.82
Counter and rental clerk,Order clerk,38.7,58.3,100.00,100.00,0.00,100.00,100.00
Postsecondary teacher,Elementary and middle school teacher,46.6,78.6,97.50,75.86,4.35,86.68,82.91
Chemical technician,Biological scientist,35.0,55.0,92.86,27.03,0.00,59.94,59.94
Cost estimator,Accountant,17.7,57.0,100.00,100.00,1.25,100.00,98.75
Postsecondary teacher,Teaching assistant,46.6,79.5,67.50,17.50,3.75,42.50,40.91
Food service manager,Food preparation worker,46.7,58.7,77.50,100.00,-5.00,88.75,84.31
Operation manager,Accountant,37.1,57.0,100.00,100.00,0.00,100.00,100.00
First-line supervisor of non-retail sales workers,Payroll and timekeeping clerk,35.9,88.2,82.14,52.17,5.88,67.16,63.21
First-line supervisor of non-retail sales workers,Insurance sales agent,35.9,54.9,100.00,81.82,6.00,90.91,85.45
Software developer,Advertising sales agent,20.2,52.7,100.00,100.00,0.00,100.00,100.00
First-line supervisor of retail sales workers,First-line supervisor of office and administrative support workers,44.6,65.8,69.44,100.00,0.00,84.72,84.72
