occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,-4.33,4.18,100.00,52.50,-4.25,76.25,73.01
Sales manager,Marketing manager,33.1,62.4,96.46,2.52,-5.12,95.00,92.50,3.82,93.75,90.17
Project management specialist,Training and development specialist,47.3,56.7,96.32,-4.43,5.92,100.00,37.50,-5.18,68.75,65.19
Project management specialist,Marketing specialist,47.3,61.7,96.15,-1.13,-0.07,100.00,42.50,-0.53,71.25,70.87
Project management specialist,Marketing manager,47.3,62.4,95.99,-0.76,-0.00,100.00,55.00,-0.38,77.50,77.21
Information security analyst,Operations research analyst,19.3,55.0,95.42,0.08,-1.44,100.00,100.00,0.76,100.00,99.24
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,-1.55,-4.95,100.00,85.00,1.70,92.50,90.93
Management analyst,Marketing manager,46.6,62.4,94.88,1.22,-3.75,100.00,100.00,2.48,100.00,97.52
Sales manager,Public relations manager,33.1,66.4,94.60,2.37,-10.65,100.00,95.00,6.51,97.50,91.15
Management analyst,Marketing specialist,46.6,61.7,94.50,-0.50,-3.70,100.00,100.00,1.60,100.00,98.40
Sales manager,Human resources manager,33.1,76.5,94.40,5.39,-8.37,100.00,97.50,6.88,98.75,91.95
Sales manager,Marketing specialist,33.1,61.7,94.34,0.60,-3.96,100.00,77.50,2.28,88.75,86.73
Training and development manager,Marketing manager,48.0,62.4,94.32,0.42,-7.78,97.50,87.50,4.10,92.50,88.71
Training and development manager,Administrative services manager,48.0,74.0,94.24,-1.68,-11.84,100.00,82.50,5.08,91.25,86.61
Project management specialist,Administrative services manager,47.3,74.0,94.20,-1.50,-4.33,100.00,85.00,1.42,92.50,91.19
Purchasing manager,Financial manager,47.7,56.2,94.07,-11.91,4.61,95.00,100.00,-8.26,97.50,89.45
Management analyst,Financial manager,46.6,56.2,94.00,-13.09,-0.40,87.50,100.00,-6.34,93.75,87.80
Sales manager,Financial manager,33.1,56.2,93.76,-6.46,-0.32,100.00,100.00,-3.07,100.00,96.93
Training and development manager,Human resources manager,48.0,76.5,93.69,1.32,-13.58,100.00,90.00,7.45,95.00,87.92
Project management specialist,Public relations manager,47.3,66.4,93.13,0.97,-2.10,100.00,32.50,1.54,66.25,65.23
Management analyst,Operations research analyst,46.6,55.0,92.92,-3.94,-1.09,100.00,100.00,-1.43,100.00,98.57
Management analyst,Public relations manager,46.6,66.4,92.91,1.62,-8.99,100.00,100.00,5.30,100.00,94.70
Purchasing manager,Human resources manager,47.7,76.5,92.77,-2.99,-10.29,100.00,100.00,3.65,100.00,96.35
Training and development manager,Public relations manager,48.0,66.4,92.59,2.24,-14.61,100.00,35.00,8.42,67.50,61.82
Purchasing manager,Marketing manager,47.7,62.4,92.52,-7.88,-4.87,87.50,100.00,-1.51,93.75,92.34
Project management specialist,Human resources manager,47.3,76.5,92.47,1.40,-6.59,100.00,72.50,4.00,86.25,82.80
Purchasing manager,Public relations manager,47.7,66.4,92.38,0.97,-17.86,97.50,90.00,9.42,93.75,84.92
