occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,62.50,2.50,-12.50,32.50,28.44
Sales manager,Marketing manager,33.1,62.4,2.50,22.50,5.00,12.50,11.88
Project management specialist,Training and development specialist,47.3,56.7,90.00,2.50,-3.75,46.25,44.52
Project management specialist,Marketing specialist,47.3,61.7,85.00,0.00,-5.00,42.50,40.38
Project management specialist,Marketing manager,47.3,62.4,70.00,2.50,-11.25,36.25,32.17
Information security analyst,Operations research analyst,19.3,55.0,0.00,5.00,1.25,2.50,2.47
Financial and investment analyst,Operations research analyst,43.9,55.0,52.50,0.00,3.75,26.25,25.27
Management analyst,Marketing manager,46.6,62.4,2.50,7.50,2.50,5.00,4.88
Sales manager,Public relations manager,33.1,66.4,2.50,0.00,1.25,1.25,1.23
Management analyst,Marketing specialist,46.6,61.7,2.50,2.50,1.25,2.50,2.47
Sales manager,Human resources manager,33.1,76.5,2.50,0.00,3.75,1.25,1.20
Sales manager,Marketing specialist,33.1,61.7,7.50,7.50,10.00,7.50,6.75
Training and development manager,Marketing manager,48.0,62.4,20.00,12.50,8.75,16.25,14.83
Training and development manager,Administrative services manager,48.0,74.0,32.50,0.00,17.50,16.25,13.41
Project management specialist,Administrative services manager,47.3,74.0,55.00,0.00,-7.50,27.50,25.44
Purchasing manager,Financial manager,47.7,56.2,0.00,15.00,-6.25,7.50,7.03
Management analyst,Financial manager,46.6,56.2,0.00,20.00,-11.25,10.00,8.88
Sales manager,Financial manager,33.1,56.2,2.50,7.50,0.00,5.00,5.00
Training and development manager,Human resources manager,48.0,76.5,30.00,0.00,21.25,15.00,11.81
Project management specialist,Public relations manager,47.3,66.4,85.00,0.00,-1.25,42.50,41.97
Management analyst,Operations research analyst,46.6,55.0,0.00,0.00,0.00,0.00,0.00
Management analyst,Public relations manager,46.6,66.4,0.00,0.00,0.00,0.00,0.00
Purchasing manager,Human resources manager,47.7,76.5,5.00,2.50,1.25,3.75,3.70
Training and development manager,Public relations manager,48.0,66.4,62.50,0.00,20.00,31.25,25.00
Purchasing manager,Marketing manager,47.7,62.4,0.00,52.50,-10.00,26.25,23.62
Project management specialist,Human resources manager,47.3,76.5,77.50,2.50,0.00,40.00,40.00
Purchasing manager,Public relations manager,47.7,66.4,12.50,2.50,15.00,7.50,6.38
Management analyst,Human resources manager,46.6,76.5,2.50,0.00,1.25,1.25,1.23
Architectural and engineering manager,Marketing manager,12.8,62.4,22.50,32.50,15.00,27.50,23.38
Financial and investment analyst,Financial manager,43.9,56.2,0.00,0.00,1.25,0.00,0.00
Project management specialist,Human resources worker,47.3,76.5,100.00,0.00,-1.25,50.00,49.38
Facilities manager,Human resources manager,23.4,76.5,0.00,42.50,0.00,21.25,21.25
Architectural and engineering manager,Training and development specialist,12.8,56.7,82.50,12.50,5.00,47.50,45.12
Training and development manager,Marketing specialist,48.0,61.7,82.50,15.00,8.75,48.75,44.48
Architectural and engineering manager,Administrative services manager,12.8,74.0,2.50,0.00,1.25,1.25,1.23
Architectural and engineering manager,Human resources manager,12.8,76.5,42.50,62.50,28.75,52.50,37.41
Management analyst,Human resources worker,46.6,76.5,10.00,0.00,6.25,5.00,4.69
Training and development manager,Human resources worker,48.0,76.5,97.50,0.00,2.50,48.75,47.53
Project management specialist,Operations research analyst,47.3,55.0,37.50,0.00,-18.75,18.75,15.23
Project management specialist,Financial manager,47.3,56.2,72.50,5.00,-22.50,38.75,30.03
Sales manager,Human resources worker,33.1,76.5,15.00,0.00,11.25,7.50,6.66
Facilities manager,Marketing manager,23.4,62.4,2.50,75.00,11.25,38.75,34.39
