occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,-2.97,3.09,62.50,2.50,-3.03,32.50,31.51
Sales manager,Marketing manager,33.1,62.4,96.46,7.17,-2.63,2.50,22.50,4.90,12.50,11.89
Project management specialist,Training and development specialist,47.3,56.7,96.32,-11.79,4.02,90.00,2.50,-7.90,46.25,42.59
Project management specialist,Marketing specialist,47.3,61.7,96.15,-3.98,0.39,85.00,0.00,-2.19,42.50,41.57
Project management specialist,Marketing manager,47.3,62.4,95.99,-5.01,-0.81,70.00,2.50,-2.10,36.25,35.49
Information security analyst,Operations research analyst,19.3,55.0,95.42,1.77,-1.61,0.00,5.00,1.69,2.50,2.46
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,3.51,0.60,52.50,0.00,1.45,26.25,25.87
Management analyst,Marketing manager,46.6,62.4,94.88,5.34,-2.42,2.50,7.50,3.88,5.00,4.81
Sales manager,Public relations manager,33.1,66.4,94.60,10.88,-1.89,2.50,0.00,6.38,1.25,1.17
Management analyst,Marketing specialist,46.6,61.7,94.50,4.71,-0.93,2.50,2.50,2.82,2.50,2.43
Sales manager,Human resources manager,33.1,76.5,94.40,7.94,-3.89,2.50,0.00,5.92,1.25,1.18
Sales manager,Marketing specialist,33.1,61.7,94.34,5.06,0.32,7.50,7.50,2.37,7.50,7.32
Training and development manager,Marketing manager,48.0,62.4,94.32,7.36,-0.86,20.00,12.50,4.11,16.25,15.58
Training and development manager,Administrative services manager,48.0,74.0,94.24,9.76,2.16,32.50,0.00,3.80,16.25,15.63
Project management specialist,Administrative services manager,47.3,74.0,94.20,-3.91,1.16,55.00,0.00,-2.54,27.50,26.80
Purchasing manager,Financial manager,47.7,56.2,94.07,-4.76,10.81,0.00,15.00,-7.79,7.50,6.92
Management analyst,Financial manager,46.6,56.2,94.00,0.14,12.29,0.00,20.00,-6.07,10.00,9.39
Sales manager,Financial manager,33.1,56.2,93.76,2.79,7.56,2.50,7.50,-2.39,5.00,4.88
