occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,100.00,75.00,-1.25,87.50,86.41
Sales manager,Marketing manager,33.1,62.4,92.50,97.50,2.50,95.00,92.62
Project management specialist,Training and development specialist,47.3,56.7,100.00,45.00,-2.50,72.50,70.69
Project management specialist,Marketing specialist,47.3,61.7,100.00,52.50,-6.25,76.25,71.48
Project management specialist,Marketing manager,47.3,62.4,100.00,62.50,-1.25,81.25,80.23
Information security analyst,Operations research analyst,19.3,55.0,100.00,100.00,0.00,100.00,100.00
Financial and investment analyst,Operations research analyst,43.9,55.0,100.00,95.00,1.25,97.50,96.28
Management analyst,Marketing manager,46.6,62.4,100.00,100.00,0.00,100.00,100.00
Sales manager,Public relations manager,33.1,66.4,100.00,100.00,0.00,100.00,100.00
Management analyst,Marketing specialist,46.6,61.7,100.00,100.00,0.00,100.00,100.00
Sales manager,Human resources manager,33.1,76.5,100.00,100.00,0.00,100.00,100.00
Sales manager,Marketing specialist,33.1,61.7,100.00,95.00,0.00,97.50,97.50
Training and development manager,Marketing manager,48.0,62.4,100.00,92.50,2.50,96.25,93.84
Training and development manager,Administrative services manager,48.0,74.0,100.00,90.00,5.00,95.00,90.25
Project management specialist,Administrative services manager,47.3,74.0,100.00,85.00,-2.50,92.50,90.19
Purchasing manager,Financial manager,47.7,56.2,100.00,100.00,0.00,100.00,100.00
Management analyst,Financial manager,46.6,56.2,100.00,100.00,0.00,100.00,100.00
Sales manager,Financial manager,33.1,56.2,100.00,100.00,0.00,100.00,100.00
Training and development manager,Human resources manager,48.0,76.5,100.00,100.00,2.50,100.00,97.50
Project management specialist,Public relations manager,47.3,66.4,100.00,52.50,-2.50,76.25,74.34
Management analyst,Operations research analyst,46.6,55.0,100.00,100.00,0.00,100.00,100.00
Management analyst,Public relations manager,46.6,66.4,100.00,100.00,0.00,100.00,100.00
Purchasing manager,Human resources manager,47.7,76.5,100.00,100.00,2.50,100.00,97.50
Training and development manager,Public relations manager,48.0,66.4,100.00,60.00,1.25,80.00,79.00
Purchasing manager,Marketing manager,47.7,62.4,82.50,100.00,-3.75,91.25,87.83
Project management specialist,Human resources manager,47.3,76.5,100.00,72.50,-1.25,86.25,85.17
Purchasing manager,Public relations manager,47.7,66.4,97.50,100.00,-2.50,98.75,96.28
Management analyst,Human resources manager,46.6,76.5,100.00,100.00,0.00,100.00,100.00
Architectural and engineering manager,Marketing manager,12.8,62.4,90.00,100.00,2.50,95.00,92.62
Financial and investment analyst,Financial manager,43.9,56.2,100.00,97.50,1.25,98.75,97.52
Project management specialist,Human resources worker,47.3,76.5,100.00,10.00,-2.50,55.00,53.62
Facilities manager,Human resources manager,23.4,76.5,82.50,100.00,-6.25,91.25,85.55
Architectural and engineering manager,Training and development specialist,12.8,56.7,97.50,80.00,0.00,88.75,88.75
Training and development manager,Marketing specialist,48.0,61.7,100.00,47.50,-2.50,73.75,71.91
Architectural and engineering manager,Administrative services manager,12.8,74.0,100.00,100.00,0.00,100.00,100.00
Architectural and engineering manager,Human resources manager,12.8,76.5,85.00,97.50,6.25,91.25,85.55
Management analyst,Human resources worker,46.6,76.5,100.00,100.00,0.00,100.00,100.00
Training and development manager,Human resources worker,48.0,76.5,100.00,22.50,6.25,61.25,57.42
Project management specialist,Operations research analyst,47.3,55.0,100.00,97.50,-2.50,98.75,96.28
Project management specialist,Financial manager,47.3,56.2,100.00,70.00,-8.75,85.00,77.56
Sales manager,Human resources worker,33.1,76.5,100.00,97.50,0.00,98.75,98.75
Facilities manager,Marketing manager,23.4,62.4,57.50,100.00,-6.25,78.75,73.83
Facilities manager,Administrative services manager,23.4,74.0,100.00,100.00,1.25,100.00,98.75
Sales manager,Administrative services manager,33.1,74.0,100.00,100.00,0.00,100.00,100.00
Management analyst,Administrative services manager,46.6,74.0,100.00,100.00,0.00,100.00,100.00
Purchasing manager,Human resources worker,47.7,76.5,100.00,35.00,3.75,67.50,64.97
Management analyst,Training and development specialist,46.6,56.7,100.00,100.00,0.00,100.00,100.00
Architectural and engineering manager,Public relations manager,12.8,66.4,92.50,100.00,3.75,96.25,92.64
Financial and investment analyst,Training and development specialist,43.9,56.7,100.00,57.50,1.25,78.75,77.77
Facilities manager,Public relations manager,23.4,66.4,95.00,100.00,2.50,97.50,95.06
Sales manager,Training and development specialist,33.1,56.7,100.00,100.00,-1.25,100.00,98.75
Financial and investment analyst,Administrative services manager,43.9,74.0,100.00,90.00,3.75,95.00,91.44
Architectural and engineering manager,Financial manager,12.8,56.2,97.50,100.00,0.00,98.75,98.75
Purchasing manager,Marketing specialist,47.7,61.7,95.00,97.50,-2.50,96.25,93.84
Training and development manager,Financial manager,48.0,56.2,97.50,57.50,-10.00,77.50,69.75
Sales manager,Advertising sales agent,33.1,52.7,100.00,100.00,0.00,100.00,100.00
Management analyst,Accountant,46.6,57.0,100.00,100.00,0.00,100.00,100.00
Industrial production manager,Human resources manager,19.1,76.5,85.00,100.00,2.50,92.50,90.19
Facilities manager,Social and community service manager,23.4,71.7,100.00,87.50,0.00,93.75,93.75
Purchasing manager,Administrative services manager,47.7,74.0,100.00,100.00,1.25,100.00,98.75
Industrial production manager,Financial manager,19.1,56.2,85.00,100.00,-2.50,92.50,90.19
Operation manager,Financial manager,37.1,56.2,97.50,100.00,-1.25,98.75,97.52
Industrial production manager,Human resources worker,19.1,76.5,92.50,97.50,2.50,95.00,92.62
Sales manager,Insurance sales agent,33.1,54.9,100.00,95.45,3.23,97.73,94.57
Architectural and engineering manager,Marketing specialist,12.8,61.7,95.00,97.50,1.25,96.25,95.05
Postsecondary teacher,Secondary school teacher,46.6,56.9,80.00,23.33,2.86,51.67,50.19
Facilities manager,Human resources worker,23.4,76.5,80.00,95.00,-7.50,87.50,80.94
Software developer,Marketing specialist,20.2,61.7,100.00,92.50,2.50,96.25,93.84
Industrial production manager,Marketing manager,19.1,62.4,85.00,100.00,0.00,92.50,92.50
Facilities manager,Training and development specialist,23.4,56.7,72.50,97.50,-5.00,85.00,80.75
Software developer,Operations research analyst,20.2,55.0,100.00,100.00,0.00,100.00,100.00
Web and digital interface designer,Marketing specialist,42.7,61.7,97.50,82.50,7.50,90.00,83.25
Information security analyst,Administrative services manager,19.3,74.0,100.00,100.00,0.00,100.00,100.00
Industrial production manager,Operations research analyst,19.1,55.0,100.00,100.00,0.00,100.00,100.00
Facilities manager,Financial manager,23.4,56.2,87.50,100.00,-3.75,93.75,90.23
Financial and investment analyst,Marketing manager,43.9,62.4,100.00,87.50,5.00,93.75,89.06
Industrial production manager,Public relations manager,19.1,66.4,97.50,100.00,0.00,98.75,98.75
Project management specialist,Public relations specialist,47.3,76.2,100.00,85.00,-5.00,92.50,87.88
Industrial production manager,Administrative services manager,19.1,74.0,100.00,100.00,0.00,100.00,100.00
Facilities manager,Marketing specialist,23.4,61.7,82.50,100.00,0.00,91.25,91.25
Financial and investment analyst,Marketing specialist,43.9,61.7,100.00,70.00,3.75,85.00,81.81
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,42.86,100.00,-1.82,71.43,70.13
Operation manager,Marketing manager,37.1,62.4,97.50,100.00,1.25,98.75,97.52
Industrial production manager,Training and development specialist,19.1,56.7,100.00,100.00,0.00,100.00,100.00
Purchasing manager,Accountant,47.7,57.0,100.00,100.00,0.00,100.00,100.00
Financial and investment analyst,Insurance underwriter,43.9,56.9,100.00,55.00,-1.25,77.50,76.53
