occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,-5.26,0.18,100.00,75.00,-2.72,87.50,85.12
Sales manager,Marketing manager,33.1,62.4,96.46,1.82,-3.64,92.50,97.50,2.73,95.00,92.40
Project management specialist,Training and development specialist,47.3,56.7,96.32,-2.71,2.98,100.00,45.00,-2.84,72.50,70.44
Project management specialist,Marketing specialist,47.3,61.7,96.15,-1.08,2.94,100.00,52.50,-2.01,76.25,74.72
Project management specialist,Marketing manager,47.3,62.4,95.99,-1.07,0.32,100.00,62.50,-0.70,81.25,80.68
Information security analyst,Operations research analyst,19.3,55.0,95.42,0.44,-0.72,100.00,100.00,0.58,100.00,99.42
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,-0.62,-1.69,100.00,95.00,0.54,97.50,96.98
Management analyst,Marketing manager,46.6,62.4,94.88,1.22,-3.34,100.00,100.00,2.28,100.00,97.72
Sales manager,Public relations manager,33.1,66.4,94.60,0.73,-4.66,100.00,100.00,2.69,100.00,97.31
Management analyst,Marketing specialist,46.6,61.7,94.50,-0.17,-2.60,100.00,100.00,1.22,100.00,98.78
Sales manager,Human resources manager,33.1,76.5,94.40,2.62,-5.72,100.00,100.00,4.17,100.00,95.83
Sales manager,Marketing specialist,33.1,61.7,94.34,0.58,-2.21,100.00,95.00,1.39,97.50,96.14
Training and development manager,Marketing manager,48.0,62.4,94.32,-1.58,-4.80,100.00,92.50,1.61,96.25,94.70
Training and development manager,Administrative services manager,48.0,74.0,94.24,-2.49,-6.77,100.00,90.00,2.14,95.00,92.97
Project management specialist,Administrative services manager,47.3,74.0,94.20,-1.00,-1.05,100.00,85.00,0.03,92.50,92.48
Purchasing manager,Financial manager,47.7,56.2,94.07,-5.38,3.17,100.00,100.00,-4.28,100.00,95.72
Management analyst,Financial manager,46.6,56.2,94.00,-6.38,-0.00,100.00,100.00,-3.19,100.00,96.81
Sales manager,Financial manager,33.1,56.2,93.76,-2.42,1.27,100.00,100.00,-1.84,100.00,98.16
Training and development manager,Human resources manager,48.0,76.5,93.69,-2.18,-8.35,100.00,100.00,3.08,100.00,96.92
