occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,50.00,0.00,3.75,25.00,24.06
Sales manager,Marketing manager,33.1,62.4,2.50,20.00,6.25,11.25,10.55
Project management specialist,Training and development specialist,47.3,56.7,90.00,2.50,-2.50,46.25,45.09
Project management specialist,Marketing specialist,47.3,61.7,82.50,0.00,-7.50,41.25,38.16
Project management specialist,Marketing manager,47.3,62.4,62.50,0.00,-3.75,31.25,30.08
Information security analyst,Operations research analyst,19.3,55.0,0.00,2.50,1.25,1.25,1.23
Financial and investment analyst,Operations research analyst,43.9,55.0,40.00,0.00,5.00,20.00,19.00
Management analyst,Marketing manager,46.6,62.4,0.00,2.50,1.25,1.25,1.23
Sales manager,Public relations manager,33.1,66.4,2.50,0.00,1.25,1.25,1.23
Management analyst,Marketing specialist,46.6,61.7,0.00,2.50,1.25,1.25,1.23
Sales manager,Human resources manager,33.1,76.5,2.50,0.00,1.25,1.25,1.23
Sales manager,Marketing specialist,33.1,61.7,2.50,2.50,1.25,2.50,2.47
Training and development manager,Marketing manager,48.0,62.4,10.00,5.00,2.50,7.50,7.31
Training and development manager,Administrative services manager,48.0,74.0,20.00,0.00,7.50,10.00,9.25
Project management specialist,Administrative services manager,47.3,74.0,42.50,0.00,-5.00,21.25,20.19
Purchasing manager,Financial manager,47.7,56.2,0.00,2.50,-3.75,1.25,1.20
Management analyst,Financial manager,46.6,56.2,0.00,0.00,0.00,0.00,0.00
Sales manager,Financial manager,33.1,56.2,2.50,0.00,0.00,1.25,1.25
Training and development manager,Human resources manager,48.0,76.5,12.50,0.00,3.75,6.25,6.02
Project management specialist,Public relations manager,47.3,66.4,75.00,0.00,-7.50,37.50,34.69
Management analyst,Operations research analyst,46.6,55.0,0.00,0.00,0.00,0.00,0.00
Management analyst,Public relations manager,46.6,66.4,0.00,0.00,0.00,0.00,0.00
Purchasing manager,Human resources manager,47.7,76.5,0.00,0.00,0.00,0.00,0.00
Training and development manager,Public relations manager,48.0,66.4,47.50,0.00,3.75,23.75,22.86
Purchasing manager,Marketing manager,47.7,62.4,0.00,42.50,-2.50,21.25,20.72
Project management specialist,Human resources manager,47.3,76.5,72.50,0.00,-1.25,36.25,35.80
Purchasing manager,Public relations manager,47.7,66.4,2.50,2.50,1.25,2.50,2.47
Management analyst,Human resources manager,46.6,76.5,0.00,0.00,0.00,0.00,0.00
Architectural and engineering manager,Marketing manager,12.8,62.4,12.50,25.00,1.25,18.75,18.52
Financial and investment analyst,Financial manager,43.9,56.2,0.00,0.00,0.00,0.00,0.00
Project management specialist,Human resources worker,47.3,76.5,95.00,0.00,-3.75,47.50,45.72
Facilities manager,Human resources manager,23.4,76.5,0.00,12.50,-5.00,6.25,5.94
Architectural and engineering manager,Training and development specialist,12.8,56.7,67.50,7.50,-3.75,37.50,36.09
Training and development manager,Marketing specialist,48.0,61.7,72.50,7.50,7.50,40.00,37.00
Architectural and engineering manager,Administrative services manager,12.8,74.0,0.00,0.00,1.25,0.00,0.00
Architectural and engineering manager,Human resources manager,12.8,76.5,37.50,50.00,12.50,43.75,38.28
