occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,2.76,4.16,50.00,0.00,-0.70,25.00,24.83
Sales manager,Marketing manager,33.1,62.4,96.46,4.95,-2.17,2.50,20.00,3.56,11.25,10.85
Project management specialist,Training and development specialist,47.3,56.7,96.32,-6.34,1.83,90.00,2.50,-4.09,46.25,44.36
Project management specialist,Marketing specialist,47.3,61.7,96.15,-4.99,0.60,82.50,0.00,-2.80,41.25,40.10
Project management specialist,Marketing manager,47.3,62.4,95.99,-3.52,0.12,62.50,0.00,-1.82,31.25,30.68
Information security analyst,Operations research analyst,19.3,55.0,95.42,0.80,-2.80,0.00,2.50,1.80,1.25,1.23
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,0.96,-0.29,40.00,0.00,0.62,20.00,19.88
Management analyst,Marketing manager,46.6,62.4,94.88,3.87,-1.63,0.00,2.50,2.75,1.25,1.22
Sales manager,Public relations manager,33.1,66.4,94.60,6.12,-0.33,2.50,0.00,3.22,1.25,1.21
Management analyst,Marketing specialist,46.6,61.7,94.50,3.42,-0.61,0.00,2.50,2.01,1.25,1.22
Sales manager,Human resources manager,33.1,76.5,94.40,4.73,-1.63,2.50,0.00,3.18,1.25,1.21
Sales manager,Marketing specialist,33.1,61.7,94.34,4.12,-0.34,2.50,2.50,2.23,2.50,2.44
Training and development manager,Marketing manager,48.0,62.4,94.32,4.08,1.96,10.00,5.00,1.06,7.50,7.42
Training and development manager,Administrative services manager,48.0,74.0,94.24,5.86,1.72,20.00,0.00,2.07,10.00,9.79
Project management specialist,Administrative services manager,47.3,74.0,94.20,-3.70,1.19,42.50,0.00,-2.44,21.25,20.73
Purchasing manager,Financial manager,47.7,56.2,94.07,-3.26,4.51,0.00,2.50,-3.89,1.25,1.20
Management analyst,Financial manager,46.6,56.2,94.00,0.73,6.09,0.00,0.00,-2.68,0.00,0.00
Sales manager,Financial manager,33.1,56.2,93.76,1.32,3.14,2.50,0.00,-0.91,1.25,1.24
Training and development manager,Human resources manager,48.0,76.5,93.69,6.86,2.00,12.50,0.00,2.43,6.25,6.10
Project management specialist,Public relations manager,47.3,66.4,93.13,-5.72,-0.88,75.00,0.00,-2.42,37.50,36.59
Management analyst,Operations research analyst,46.6,55.0,92.92,2.64,0.33,0.00,0.00,1.16,0.00,0.00
Management analyst,Public relations manager,46.6,66.4,92.91,2.97,0.54,0.00,0.00,1.22,0.00,0.00
Purchasing manager,Human resources manager,47.7,76.5,92.77,3.92,2.68,0.00,0.00,0.62,0.00,0.00
Training and development manager,Public relations manager,48.0,66.4,92.59,3.71,1.80,47.50,0.00,0.96,23.75,23.52
Purchasing manager,Marketing manager,47.7,62.4,92.52,2.96,1.64,0.00,42.50,0.66,21.25,21.11
Project management specialist,Human resources manager,47.3,76.5,92.47,-2.06,-1.51,72.50,0.00,-0.28,36.25,36.15
Purchasing manager,Public relations manager,47.7,66.4,92.38,5.66,-0.24,2.50,2.50,2.95,2.50,2.43
Management analyst,Human resources manager,46.6,76.5,92.37,3.59,-1.60,0.00,0.00,2.60,0.00,0.00
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,0.78,-6.46,12.50,25.00,3.62,18.75,18.07
Financial and investment analyst,Financial manager,43.9,56.2,92.25,-0.52,-0.01,0.00,0.00,-0.25,0.00,0.00
Project management specialist,Human resources worker,47.3,76.5,92.21,-6.22,-0.06,95.00,0.00,-3.08,47.50,46.04
Facilities manager,Human resources manager,23.4,76.5,92.06,5.15,2.57,0.00,12.50,1.29,6.25,6.17
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,-0.56,-2.01,67.50,7.50,0.72,37.50,37.23
Training and development manager,Marketing specialist,48.0,61.7,91.94,2.43,3.66,72.50,7.50,-0.61,40.00,39.75
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,-0.14,-3.26,0.00,0.00,1.56,0.00,0.00
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,3.31,-13.59,37.50,50.00,8.45,43.75,40.05
Management analyst,Human resources worker,46.6,76.5,91.64,1.94,-0.45,0.00,0.00,1.20,0.00,0.00
Training and development manager,Human resources worker,48.0,76.5,91.58,1.00,1.03,87.50,0.00,-0.02,43.75,43.74
Project management specialist,Operations research analyst,47.3,55.0,91.31,-7.40,1.13,20.00,0.00,-4.27,10.00,9.57
Project management specialist,Financial manager,47.3,56.2,91.15,-6.80,4.87,60.00,0.00,-5.83,30.00,28.25
Sales manager,Human resources worker,33.1,76.5,91.09,3.94,-0.24,2.50,0.00,2.09,1.25,1.22
Facilities manager,Marketing manager,23.4,62.4,90.92,5.92,-2.88,0.00,72.50,4.40,36.25,34.65
Facilities manager,Administrative services manager,23.4,74.0,90.81,6.65,3.81,0.00,0.00,1.42,0.00,0.00
Sales manager,Administrative services manager,33.1,74.0,90.73,6.56,1.72,2.50,0.00,2.42,1.25,1.22
Management analyst,Administrative services manager,46.6,74.0,90.68,2.99,1.20,0.00,0.00,0.89,0.00,0.00
Purchasing manager,Human resources worker,47.7,76.5,90.36,-0.16,1.53,65.00,0.00,-0.84,32.50,32.23
Management analyst,Training and development specialist,46.6,56.7,90.32,2.78,1.61,0.00,0.00,0.58,0.00,0.00
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,-0.21,-7.82,5.00,7.50,3.80,6.25,6.01
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,2.09,-0.49,95.00,12.50,1.29,53.75,53.06
Facilities manager,Public relations manager,23.4,66.4,90.26,6.59,-2.29,0.00,10.00,4.44,5.00,4.78
Sales manager,Training and development specialist,33.1,56.7,90.18,4.79,3.17,2.50,0.00,0.81,1.25,1.24
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,5.46,-1.24,55.00,0.00,3.35,27.50,26.58
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,-0.31,-1.66,22.50,12.50,0.68,17.50,17.38
Purchasing manager,Marketing specialist,47.7,61.7,90.08,1.38,1.79,0.00,35.00,-0.21,17.50,17.46
Training and development manager,Financial manager,48.0,56.2,90.06,-0.91,4.43,67.50,12.50,-2.67,40.00,38.93
Sales manager,Advertising sales agent,33.1,52.7,89.99,4.72,1.21,0.00,0.00,1.75,0.00,0.00
Management analyst,Accountant,46.6,57.0,89.84,2.01,1.20,0.00,0.00,0.40,0.00,0.00
Industrial production manager,Human resources manager,19.1,76.5,89.80,5.27,-4.75,7.50,40.00,5.01,23.75,22.56
Facilities manager,Social and community service manager,23.4,71.7,89.67,3.78,0.04,32.50,2.50,1.87,17.50,17.17
Purchasing manager,Administrative services manager,47.7,74.0,89.51,3.32,4.77,0.00,0.00,-0.72,0.00,0.00
Industrial production manager,Financial manager,19.1,56.2,89.51,-0.06,1.59,5.00,50.00,-0.83,27.50,27.27
Operation manager,Financial manager,37.1,56.2,89.31,1.02,2.60,0.00,0.00,-0.79,0.00,0.00
Industrial production manager,Human resources worker,19.1,76.5,89.29,3.81,-4.99,22.50,15.00,4.40,18.75,17.92
Sales manager,Insurance sales agent,33.1,54.9,89.13,7.09,2.09,5.00,0.00,2.50,2.50,2.44
Architectural and engineering manager,Marketing specialist,12.8,61.7,89.09,0.43,-5.93,42.50,22.50,3.18,32.50,31.47
Postsecondary teacher,Secondary school teacher,46.6,56.9,89.04,0.22,-4.21,82.50,40.00,2.21,61.25,59.89
Facilities manager,Human resources worker,23.4,76.5,88.96,4.99,-0.37,17.50,12.50,2.68,15.00,14.60
