occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,0.00,90.00,7.50,45.00,41.62
Sales manager,Marketing manager,33.1,62.4,50.00,97.50,22.50,73.75,57.16
Project management specialist,Training and development specialist,47.3,56.7,80.00,97.50,7.50,88.75,82.09
Project management specialist,Marketing specialist,47.3,61.7,72.50,57.50,15.00,65.00,55.25
Project management specialist,Marketing manager,47.3,62.4,55.00,60.00,17.50,57.50,47.44
Information security analyst,Operations research analyst,19.3,55.0,92.50,100.00,0.00,96.25,96.25
Financial and investment analyst,Operations research analyst,43.9,55.0,100.00,45.00,0.00,72.50,72.50
Management analyst,Marketing manager,46.6,62.4,100.00,7.50,2.50,53.75,52.41
Sales manager,Public relations manager,33.1,66.4,60.00,97.50,20.00,78.75,63.00
Management analyst,Marketing specialist,46.6,61.7,100.00,15.00,5.00,57.50,54.62
Sales manager,Human resources manager,33.1,76.5,5.00,100.00,2.50,52.50,51.19
Sales manager,Marketing specialist,33.1,61.7,57.50,95.00,28.75,76.25,54.33
Training and development manager,Marketing manager,48.0,62.4,72.50,75.00,11.25,73.75,65.45
Training and development manager,Administrative services manager,48.0,74.0,87.50,87.50,2.50,87.50,85.31
Project management specialist,Administrative services manager,47.3,74.0,72.50,92.50,7.50,82.50,76.31
Purchasing manager,Financial manager,47.7,56.2,10.00,100.00,5.00,55.00,52.25
Management analyst,Financial manager,46.6,56.2,85.00,55.00,-6.25,70.00,65.62
Sales manager,Financial manager,33.1,56.2,20.00,100.00,0.00,60.00,60.00
Training and development manager,Human resources manager,48.0,76.5,7.50,97.50,6.25,52.50,49.22
Project management specialist,Public relations manager,47.3,66.4,85.00,70.00,12.50,77.50,67.81
Management analyst,Operations research analyst,46.6,55.0,100.00,70.00,-3.75,85.00,81.81
Management analyst,Public relations manager,46.6,66.4,92.50,10.00,6.25,51.25,48.05
Purchasing manager,Human resources manager,47.7,76.5,7.50,100.00,5.00,53.75,51.06
Training and development manager,Public relations manager,48.0,66.4,85.00,75.00,10.00,80.00,72.00
Purchasing manager,Marketing manager,47.7,62.4,45.00,100.00,15.00,72.50,61.62
Project management specialist,Human resources manager,47.3,76.5,37.50,95.00,8.75,66.25,60.45
Purchasing manager,Public relations manager,47.7,66.4,50.00,100.00,15.00,75.00,63.75
Management analyst,Human resources manager,46.6,76.5,80.00,60.00,21.25,70.00,55.12
Architectural and engineering manager,Marketing manager,12.8,62.4,77.50,87.50,15.00,82.50,70.12
Financial and investment analyst,Financial manager,43.9,56.2,100.00,22.50,2.50,61.25,59.72
Project management specialist,Human resources worker,47.3,76.5,37.50,97.50,13.75,67.50,58.22
Facilities manager,Human resources manager,23.4,76.5,27.50,92.50,12.50,60.00,52.50
Architectural and engineering manager,Training and development specialist,12.8,56.7,72.50,97.50,8.75,85.00,77.56
Training and development manager,Marketing specialist,48.0,61.7,72.50,80.00,16.25,76.25,63.86
Architectural and engineering manager,Administrative services manager,12.8,74.0,80.00,100.00,11.25,90.00,79.88
Architectural and engineering manager,Human resources manager,12.8,76.5,72.50,97.50,10.00,85.00,76.50
Management analyst,Human resources worker,46.6,76.5,75.00,57.50,32.50,66.25,44.72
Training and development manager,Human resources worker,48.0,76.5,5.00,100.00,3.75,52.50,50.53
Project management specialist,Operations research analyst,47.3,55.0,40.00,100.00,0.00,70.00,70.00
Project management specialist,Financial manager,47.3,56.2,50.00,90.00,-7.50,70.00,64.75
Sales manager,Human resources worker,33.1,76.5,7.50,100.00,3.75,53.75,51.73
Facilities manager,Marketing manager,23.4,62.4,50.00,87.50,16.25,68.75,57.58
Facilities manager,Administrative services manager,23.4,74.0,35.00,97.50,17.50,66.25,54.66
Sales manager,Administrative services manager,33.1,74.0,27.50,100.00,6.25,63.75,59.77
Management analyst,Administrative services manager,46.6,74.0,100.00,27.50,13.75,63.75,54.98
Purchasing manager,Human resources worker,47.7,76.5,5.00,100.00,2.50,52.50,51.19
Management analyst,Training and development specialist,46.6,56.7,100.00,40.00,7.50,70.00,64.75
Architectural and engineering manager,Public relations manager,12.8,66.4,80.00,100.00,12.50,90.00,78.75
Financial and investment analyst,Training and development specialist,43.9,56.7,100.00,60.00,11.25,80.00,71.00
Facilities manager,Public relations manager,23.4,66.4,57.50,97.50,13.75,77.50,66.84
Sales manager,Training and development specialist,33.1,56.7,30.00,97.50,13.75,63.75,54.98
Financial and investment analyst,Administrative services manager,43.9,74.0,100.00,45.00,8.75,72.50,66.16
Architectural and engineering manager,Financial manager,12.8,56.2,70.00,100.00,6.25,85.00,79.69
Purchasing manager,Marketing specialist,47.7,61.7,55.00,97.50,21.25,76.25,60.05
Training and development manager,Financial manager,48.0,56.2,85.00,85.00,-7.50,85.00,78.62
Sales manager,Advertising sales agent,33.1,52.7,35.00,65.38,15.15,50.19,42.59
Management analyst,Accountant,46.6,57.0,90.00,80.00,3.75,85.00,81.81
Industrial production manager,Human resources manager,19.1,76.5,17.50,100.00,8.75,58.75,53.61
Facilities manager,Social and community service manager,23.4,71.7,92.50,52.50,20.00,72.50,58.00
Purchasing manager,Administrative services manager,47.7,74.0,12.50,100.00,8.75,56.25,51.33
Industrial production manager,Financial manager,19.1,56.2,25.00,100.00,10.00,62.50,56.25
Operation manager,Financial manager,37.1,56.2,17.50,100.00,3.75,58.75,56.55
Industrial production manager,Human resources worker,19.1,76.5,12.50,100.00,8.75,56.25,51.33
Sales manager,Insurance sales agent,33.1,54.9,55.00,90.91,19.35,72.95,58.83
Architectural and engineering manager,Marketing specialist,12.8,61.7,77.50,90.00,20.00,83.75,67.00
Postsecondary teacher,Secondary school teacher,46.6,56.9,85.00,43.33,8.57,64.17,58.67
Facilities manager,Human resources worker,23.4,76.5,27.50,100.00,7.50,63.75,58.97
Software developer,Marketing specialist,20.2,61.7,92.50,25.00,18.75,58.75,47.73
Industrial production manager,Marketing manager,19.1,62.4,42.50,100.00,12.50,71.25,62.34
Facilities manager,Training and development specialist,23.4,56.7,32.50,95.00,7.50,63.75,58.97
Software developer,Operations research analyst,20.2,55.0,97.50,80.00,5.00,88.75,84.31
Web and digital interface designer,Marketing specialist,42.7,61.7,100.00,5.00,1.25,52.50,51.84
Information security analyst,Administrative services manager,19.3,74.0,97.50,87.50,5.00,92.50,87.88
Industrial production manager,Operations research analyst,19.1,55.0,10.00,100.00,3.75,55.00,52.94
Facilities manager,Financial manager,23.4,56.2,47.50,92.50,7.50,70.00,64.75
Financial and investment analyst,Marketing manager,43.9,62.4,100.00,12.50,7.50,56.25,52.03
Industrial production manager,Public relations manager,19.1,66.4,47.50,100.00,12.50,73.75,64.53
Project management specialist,Public relations specialist,47.3,76.2,85.00,90.00,13.75,87.50,75.47
Industrial production manager,Administrative services manager,19.1,74.0,27.50,100.00,7.50,63.75,58.97
Facilities manager,Marketing specialist,23.4,61.7,50.00,77.50,21.25,63.75,50.20
Financial and investment analyst,Marketing specialist,43.9,61.7,100.00,30.00,13.75,65.00,56.06
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,42.86,100.00,-1.82,71.43,70.13
Operation manager,Marketing manager,37.1,62.4,42.50,97.50,8.75,70.00,63.87
Industrial production manager,Training and development specialist,19.1,56.7,17.50,100.00,10.00,58.75,52.88
Purchasing manager,Accountant,47.7,57.0,2.50,100.00,1.25,51.25,50.61
Financial and investment analyst,Insurance underwriter,43.9,56.9,100.00,17.50,-3.75,58.75,56.55
Financial and investment analyst,Public relations manager,43.9,66.4,97.50,15.00,10.00,56.25,50.62
Chemical engineer,Medical scientist,21.6,51.8,22.50,100.00,5.13,61.25,58.11
Operation manager,Human resources manager,37.1,76.5,15.00,100.00,3.75,57.50,55.34
Architectural and engineering manager,Human resources worker,12.8,76.5,72.50,100.00,10.00,86.25,77.63
Operation manager,Public relations manager,37.1,66.4,55.00,100.00,12.50,77.50,67.81
Training and development manager,Social and community service manager,48.0,71.7,100.00,17.50,1.25,58.75,58.02
Financial and investment analyst,Accountant,43.9,57.0,95.00,67.50,6.25,81.25,76.17
Financial and investment analyst,Human resources manager,43.9,76.5,92.50,62.50,5.00,77.50,73.62
Training and development manager,Insurance claims and policy processing clerk,48.0,80.1,82.50,81.58,6.41,82.04,76.78
