occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,3.00,-2.25,0.00,90.00,2.62,45.00,43.82
Sales manager,Marketing manager,33.1,62.4,96.46,4.94,-3.35,50.00,97.50,4.15,73.75,70.69
Project management specialist,Training and development specialist,47.3,56.7,96.32,4.81,-1.23,80.00,97.50,3.02,88.75,86.07
Project management specialist,Marketing specialist,47.3,61.7,96.15,5.74,-3.14,72.50,57.50,4.44,65.00,62.11
Project management specialist,Marketing manager,47.3,62.4,95.99,4.77,-1.49,55.00,60.00,3.13,57.50,55.70
Information security analyst,Operations research analyst,19.3,55.0,95.42,2.07,-0.01,92.50,100.00,1.04,96.25,95.25
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,0.73,0.10,100.00,45.00,0.31,72.50,72.27
Management analyst,Marketing manager,46.6,62.4,94.88,5.21,-2.93,100.00,7.50,4.07,53.75,51.56
Sales manager,Public relations manager,33.1,66.4,94.60,6.88,-4.32,60.00,97.50,5.60,78.75,74.34
Management analyst,Marketing specialist,46.6,61.7,94.50,6.79,-4.81,100.00,15.00,5.80,57.50,54.17
Sales manager,Human resources manager,33.1,76.5,94.40,4.53,-3.43,5.00,100.00,3.98,52.50,50.41
Sales manager,Marketing specialist,33.1,61.7,94.34,7.62,-4.76,57.50,95.00,6.19,76.25,71.53
Training and development manager,Marketing manager,48.0,62.4,94.32,3.12,0.05,72.50,75.00,1.53,73.75,72.62
Training and development manager,Administrative services manager,48.0,74.0,94.24,1.51,1.04,87.50,87.50,0.23,87.50,87.30
Project management specialist,Administrative services manager,47.3,74.0,94.20,3.68,0.42,72.50,92.50,1.63,82.50,81.16
Purchasing manager,Financial manager,47.7,56.2,94.07,0.90,1.54,10.00,100.00,-0.32,55.00,54.82
Management analyst,Financial manager,46.6,56.2,94.00,0.36,2.24,85.00,55.00,-0.94,70.00,69.34
Sales manager,Financial manager,33.1,56.2,93.76,0.14,2.86,20.00,100.00,-1.36,60.00,59.18
Training and development manager,Human resources manager,48.0,76.5,93.69,2.08,0.36,7.50,97.50,0.86,52.50,52.05
Project management specialist,Public relations manager,47.3,66.4,93.13,6.10,-1.86,85.00,70.00,3.98,77.50,74.42
Management analyst,Operations research analyst,46.6,55.0,92.92,-0.18,0.20,100.00,70.00,-0.19,85.00,84.84
Management analyst,Public relations manager,46.6,66.4,92.91,6.35,-4.60,92.50,10.00,5.47,51.25,48.44
Purchasing manager,Human resources manager,47.7,76.5,92.77,5.36,-3.48,7.50,100.00,4.42,53.75,51.37
Training and development manager,Public relations manager,48.0,66.4,92.59,4.14,-1.04,85.00,75.00,2.59,80.00,77.93
Purchasing manager,Marketing manager,47.7,62.4,92.52,6.61,-3.33,45.00,100.00,4.97,72.50,68.90
Project management specialist,Human resources manager,47.3,76.5,92.47,5.45,-1.76,37.50,95.00,3.60,66.25,63.86
Purchasing manager,Public relations manager,47.7,66.4,92.38,7.69,-4.75,50.00,100.00,6.22,75.00,70.33
Management analyst,Human resources manager,46.6,76.5,92.37,6.05,-3.29,80.00,60.00,4.67,70.00,66.73
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,11.49,-5.79,77.50,87.50,8.64,82.50,75.37
Financial and investment analyst,Financial manager,43.9,56.2,92.25,-0.06,0.26,100.00,22.50,-0.16,61.25,61.15
Project management specialist,Human resources worker,47.3,76.5,92.21,7.50,-3.15,37.50,97.50,5.32,67.50,63.91
Facilities manager,Human resources manager,23.4,76.5,92.06,9.32,-4.09,27.50,92.50,6.71,60.00,55.98
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,10.07,-4.89,72.50,97.50,7.48,85.00,78.64
Training and development manager,Marketing specialist,48.0,61.7,91.94,5.08,-1.65,72.50,80.00,3.37,76.25,73.68
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,10.52,-4.64,80.00,100.00,7.58,90.00,83.18
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,11.52,-4.70,72.50,97.50,8.11,85.00,78.11
Management analyst,Human resources worker,46.6,76.5,91.64,9.33,-5.15,75.00,57.50,7.24,66.25,61.45
Training and development manager,Human resources worker,48.0,76.5,91.58,4.81,-1.96,5.00,100.00,3.39,52.50,50.72
