occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,7.50,97.50,5.00,52.50,49.88
Sales manager,Marketing manager,33.1,62.4,0.00,80.00,12.50,40.00,35.00
Project management specialist,Training and development specialist,47.3,56.7,35.00,62.50,10.00,48.75,43.88
Project management specialist,Marketing specialist,47.3,61.7,77.50,55.00,16.25,66.25,55.48
Project management specialist,Marketing manager,47.3,62.4,60.00,60.00,16.25,60.00,50.25
Information security analyst,Operations research analyst,19.3,55.0,7.50,65.00,3.75,36.25,34.89
Financial and investment analyst,Operations research analyst,43.9,55.0,85.00,10.00,0.00,47.50,47.50
Management analyst,Marketing manager,46.6,62.4,100.00,17.50,8.75,58.75,53.61
Sales manager,Public relations manager,33.1,66.4,20.00,77.50,22.50,48.75,37.78
Management analyst,Marketing specialist,46.6,61.7,97.50,2.50,2.50,50.00,48.75
Sales manager,Human resources manager,33.1,76.5,0.00,100.00,0.00,50.00,50.00
Sales manager,Marketing specialist,33.1,61.7,12.50,70.00,22.50,41.25,31.97
Training and development manager,Marketing manager,48.0,62.4,27.50,27.50,6.25,27.50,25.78
Training and development manager,Administrative services manager,48.0,74.0,17.50,42.50,3.75,30.00,28.88
Project management specialist,Administrative services manager,47.3,74.0,47.50,67.50,10.00,57.50,51.75
Purchasing manager,Financial manager,47.7,56.2,0.00,97.50,0.00,48.75,48.75
Management analyst,Financial manager,46.6,56.2,67.50,20.00,-3.75,43.75,42.11
Sales manager,Financial manager,33.1,56.2,10.00,97.50,-5.00,53.75,51.06
Training and development manager,Human resources manager,48.0,76.5,0.00,92.50,3.75,46.25,44.52
Project management specialist,Public relations manager,47.3,66.4,80.00,72.50,17.50,76.25,62.91
Management analyst,Operations research analyst,46.6,55.0,95.00,15.00,-1.25,55.00,54.31
Management analyst,Public relations manager,46.6,66.4,95.00,15.00,11.25,55.00,48.81
Purchasing manager,Human resources manager,47.7,76.5,0.00,95.00,3.75,47.50,45.72
Training and development manager,Public relations manager,48.0,66.4,55.00,35.00,20.00,45.00,36.00
Purchasing manager,Marketing manager,47.7,62.4,7.50,82.50,12.50,45.00,39.37
Project management specialist,Human resources manager,47.3,76.5,32.50,92.50,3.75,62.50,60.16
Purchasing manager,Public relations manager,47.7,66.4,20.00,77.50,16.25,48.75,40.83
Management analyst,Human resources manager,46.6,76.5,77.50,50.00,25.00,63.75,47.81
Architectural and engineering manager,Marketing manager,12.8,62.4,67.50,75.00,15.00,71.25,60.56
Financial and investment analyst,Financial manager,43.9,56.2,92.50,7.50,-1.25,50.00,49.38
Project management specialist,Human resources worker,47.3,76.5,27.50,92.50,7.50,60.00,55.50
Facilities manager,Human resources manager,23.4,76.5,25.00,90.00,11.25,57.50,51.03
Architectural and engineering manager,Training and development specialist,12.8,56.7,65.00,82.50,11.25,73.75,65.45
Training and development manager,Marketing specialist,48.0,61.7,50.00,37.50,27.50,43.75,31.72
Architectural and engineering manager,Administrative services manager,12.8,74.0,72.50,87.50,13.75,80.00,69.00
Architectural and engineering manager,Human resources manager,12.8,76.5,65.00,92.50,5.00,78.75,74.81
Management analyst,Human resources worker,46.6,76.5,75.00,55.00,35.00,65.00,42.25
Training and development manager,Human resources worker,48.0,76.5,2.50,97.50,1.25,50.00,49.38
Project management specialist,Operations research analyst,47.3,55.0,5.00,92.50,0.00,48.75,48.75
Project management specialist,Financial manager,47.3,56.2,22.50,77.50,-7.50,50.00,46.25
Sales manager,Human resources worker,33.1,76.5,5.00,100.00,2.50,52.50,51.19
Facilities manager,Marketing manager,23.4,62.4,42.50,82.50,12.50,62.50,54.69
Facilities manager,Administrative services manager,23.4,74.0,27.50,92.50,8.75,60.00,54.75
Sales manager,Administrative services manager,33.1,74.0,2.50,80.00,10.00,41.25,37.12
Management analyst,Administrative services manager,46.6,74.0,92.50,5.00,3.75,48.75,46.92
Purchasing manager,Human resources worker,47.7,76.5,0.00,100.00,0.00,50.00,50.00
Management analyst,Training and development specialist,46.6,56.7,90.00,12.50,5.00,51.25,48.69
Architectural and engineering manager,Public relations manager,12.8,66.4,72.50,80.00,17.50,76.25,62.91
Financial and investment analyst,Training and development specialist,43.9,56.7,90.00,12.50,6.25,51.25,48.05
Facilities manager,Public relations manager,23.4,66.4,50.00,90.00,13.75,70.00,60.38
Sales manager,Training and development specialist,33.1,56.7,7.50,95.00,6.25,51.25,48.05
Financial and investment analyst,Administrative services manager,43.9,74.0,95.00,2.50,2.50,48.75,47.53
Architectural and engineering manager,Financial manager,12.8,56.2,67.50,100.00,1.25,83.75,82.70
Purchasing manager,Marketing specialist,47.7,61.7,17.50,75.00,25.00,46.25,34.69
Training and development manager,Financial manager,48.0,56.2,37.50,45.00,-15.00,41.25,35.06
Sales manager,Advertising sales agent,33.1,52.7,20.00,65.38,12.12,42.69,37.52
Management analyst,Accountant,46.6,57.0,77.50,67.50,13.75,72.50,62.53
Industrial production manager,Human resources manager,19.1,76.5,7.50,97.50,6.25,52.50,49.22
Facilities manager,Social and community service manager,23.4,71.7,75.00,40.00,30.00,57.50,40.25
Purchasing manager,Administrative services manager,47.7,74.0,0.00,90.00,5.00,45.00,42.75
