occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,2.54,-2.58,7.50,97.50,2.56,52.50,51.16
Sales manager,Marketing manager,33.1,62.4,96.46,3.14,-5.76,0.00,80.00,4.45,40.00,38.22
Project management specialist,Training and development specialist,47.3,56.7,96.32,1.46,-3.49,35.00,62.50,2.48,48.75,47.54
Project management specialist,Marketing specialist,47.3,61.7,96.15,2.67,-5.98,77.50,55.00,4.32,66.25,63.39
Project management specialist,Marketing manager,47.3,62.4,95.99,1.44,-4.84,60.00,60.00,3.14,60.00,58.12
Information security analyst,Operations research analyst,19.3,55.0,95.42,0.56,-1.46,7.50,65.00,1.01,36.25,35.88
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,0.98,0.54,85.00,10.00,0.22,47.50,47.39
Management analyst,Marketing manager,46.6,62.4,94.88,3.17,-5.85,100.00,17.50,4.51,58.75,56.10
Sales manager,Public relations manager,33.1,66.4,94.60,4.63,-7.03,20.00,77.50,5.83,48.75,45.91
Management analyst,Marketing specialist,46.6,61.7,94.50,4.10,-7.59,97.50,2.50,5.85,50.00,47.08
Sales manager,Human resources manager,33.1,76.5,94.40,2.82,-6.14,0.00,100.00,4.48,50.00,47.76
Sales manager,Marketing specialist,33.1,61.7,94.34,4.04,-8.03,12.50,70.00,6.03,41.25,38.76
Training and development manager,Marketing manager,48.0,62.4,94.32,-0.19,-3.23,27.50,27.50,1.52,27.50,27.08
Training and development manager,Administrative services manager,48.0,74.0,94.24,-0.25,-0.92,17.50,42.50,0.33,30.00,29.90
Project management specialist,Administrative services manager,47.3,74.0,94.20,1.01,-1.45,47.50,67.50,1.23,57.50,56.79
Purchasing manager,Financial manager,47.7,56.2,94.07,-1.10,-0.27,0.00,97.50,-0.42,48.75,48.55
Management analyst,Financial manager,46.6,56.2,94.00,-1.47,0.52,67.50,20.00,-1.00,43.75,43.31
Sales manager,Financial manager,33.1,56.2,93.76,-2.95,0.69,10.00,97.50,-1.82,53.75,52.77
Training and development manager,Human resources manager,48.0,76.5,93.69,-0.55,-3.13,0.00,92.50,1.29,46.25,45.65
