occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,32.50,67.50,13.75,50.00,43.12
Sales manager,Marketing manager,33.1,62.4,50.00,85.00,18.75,67.50,54.84
Project management specialist,Training and development specialist,47.3,56.7,95.00,92.50,6.25,93.75,87.89
Project management specialist,Marketing specialist,47.3,61.7,77.50,60.00,30.00,68.75,48.12
Project management specialist,Marketing manager,47.3,62.4,45.00,67.50,32.50,56.25,37.97
Information security analyst,Operations research analyst,19.3,55.0,87.50,100.00,1.25,93.75,92.58
Financial and investment analyst,Operations research analyst,43.9,55.0,100.00,37.50,7.50,68.75,63.59
Management analyst,Marketing manager,46.6,62.4,97.50,12.50,3.75,55.00,52.94
Sales manager,Public relations manager,33.1,66.4,75.00,70.00,25.00,72.50,54.37
Management analyst,Marketing specialist,46.6,61.7,100.00,7.50,1.25,53.75,53.08
Sales manager,Human resources manager,33.1,76.5,15.00,95.00,11.25,55.00,48.81
Sales manager,Marketing specialist,33.1,61.7,95.00,70.00,20.00,82.50,66.00
Training and development manager,Marketing manager,48.0,62.4,67.50,97.50,11.25,82.50,73.22
Training and development manager,Administrative services manager,48.0,74.0,32.50,100.00,13.75,66.25,57.14
Project management specialist,Administrative services manager,47.3,74.0,40.00,100.00,13.75,70.00,60.38
Purchasing manager,Financial manager,47.7,56.2,0.00,100.00,0.00,50.00,50.00
Management analyst,Financial manager,46.6,56.2,47.50,80.00,-5.00,63.75,60.56
Sales manager,Financial manager,33.1,56.2,12.50,97.50,-5.00,55.00,52.25
Training and development manager,Human resources manager,48.0,76.5,0.00,100.00,0.00,50.00,50.00
Project management specialist,Public relations manager,47.3,66.4,75.00,85.00,16.25,80.00,67.00
Management analyst,Operations research analyst,46.6,55.0,100.00,50.00,-1.25,75.00,74.06
Management analyst,Public relations manager,46.6,66.4,92.50,22.50,7.50,57.50,53.19
Purchasing manager,Human resources manager,47.7,76.5,7.50,97.50,6.25,52.50,49.22
Training and development manager,Public relations manager,48.0,66.4,75.00,92.50,12.50,83.75,73.28
Purchasing manager,Marketing manager,47.7,62.4,40.00,97.50,13.75,68.75,59.30
Project management specialist,Human resources manager,47.3,76.5,35.00,97.50,12.50,66.25,57.97
Purchasing manager,Public relations manager,47.7,66.4,35.00,87.50,21.25,61.25,48.23
Management analyst,Human resources manager,46.6,76.5,77.50,70.00,15.00,73.75,62.69
Architectural and engineering manager,Marketing manager,12.8,62.4,82.50,90.00,12.50,86.25,75.47
Financial and investment analyst,Financial manager,43.9,56.2,85.00,55.00,2.50,70.00,68.25
Project management specialist,Human resources worker,47.3,76.5,50.00,87.50,18.75,68.75,55.86
Facilities manager,Human resources manager,23.4,76.5,15.00,100.00,3.75,57.50,55.34
Architectural and engineering manager,Training and development specialist,12.8,56.7,80.00,90.00,8.75,85.00,77.56
Training and development manager,Marketing specialist,48.0,61.7,70.00,92.50,5.00,81.25,77.19
Architectural and engineering manager,Administrative services manager,12.8,74.0,80.00,100.00,10.00,90.00,81.00
Architectural and engineering manager,Human resources manager,12.8,76.5,80.00,97.50,7.50,88.75,82.09
Management analyst,Human resources worker,46.6,76.5,90.00,35.00,17.50,62.50,51.56
Training and development manager,Human resources worker,48.0,76.5,15.00,100.00,7.50,57.50,53.19
Project management specialist,Operations research analyst,47.3,55.0,50.00,97.50,-1.25,73.75,72.83
Project management specialist,Financial manager,47.3,56.2,15.00,97.50,-1.25,56.25,55.55
Sales manager,Human resources worker,33.1,76.5,30.00,85.00,23.75,57.50,43.84
Facilities manager,Marketing manager,23.4,62.4,40.00,95.00,12.50,67.50,59.06
Facilities manager,Administrative services manager,23.4,74.0,20.00,100.00,7.50,60.00,55.50
Sales manager,Administrative services manager,33.1,74.0,25.00,100.00,10.00,62.50,56.25
Management analyst,Administrative services manager,46.6,74.0,92.50,72.50,20.00,82.50,66.00
Purchasing manager,Human resources worker,47.7,76.5,10.00,100.00,8.75,55.00,50.19
Management analyst,Training and development specialist,46.6,56.7,100.00,22.50,10.00,61.25,55.12
Architectural and engineering manager,Public relations manager,12.8,66.4,82.50,100.00,5.00,91.25,86.69
Financial and investment analyst,Training and development specialist,43.9,56.7,100.00,50.00,23.75,75.00,57.19
Facilities manager,Public relations manager,23.4,66.4,50.00,100.00,8.75,75.00,68.44
Sales manager,Training and development specialist,33.1,56.7,97.50,77.50,15.00,87.50,74.38
Financial and investment analyst,Administrative services manager,43.9,74.0,97.50,72.50,27.50,85.00,61.62
Architectural and engineering manager,Financial manager,12.8,56.2,70.00,100.00,0.00,85.00,85.00
Purchasing manager,Marketing specialist,47.7,61.7,50.00,87.50,22.50,68.75,53.28
Training and development manager,Financial manager,48.0,56.2,30.00,95.00,-8.75,62.50,57.03
