occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,-2.16,-7.20,32.50,67.50,2.52,50.00,48.74
Sales manager,Marketing manager,33.1,62.4,96.46,3.18,-8.07,50.00,85.00,5.63,67.50,63.70
Project management specialist,Training and development specialist,47.3,56.7,96.32,1.60,-7.14,95.00,92.50,4.37,93.75,89.65
Project management specialist,Marketing specialist,47.3,61.7,96.15,5.03,-9.51,77.50,60.00,7.27,68.75,63.75
Project management specialist,Marketing manager,47.3,62.4,95.99,5.03,-8.58,45.00,67.50,6.81,56.25,52.42
Information security analyst,Operations research analyst,19.3,55.0,95.42,-0.78,-4.11,87.50,100.00,1.66,93.75,92.19
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,0.80,-5.56,100.00,37.50,3.18,68.75,66.56
Management analyst,Marketing manager,46.6,62.4,94.88,4.13,-4.16,97.50,12.50,4.15,55.00,52.72
Sales manager,Public relations manager,33.1,66.4,94.60,6.32,-11.41,75.00,70.00,8.87,72.50,66.07
Management analyst,Marketing specialist,46.6,61.7,94.50,2.52,-4.68,100.00,7.50,3.60,53.75,51.81
Sales manager,Human resources manager,33.1,76.5,94.40,5.02,-11.19,15.00,95.00,8.11,55.00,50.54
Sales manager,Marketing specialist,33.1,61.7,94.34,2.84,-8.52,95.00,70.00,5.68,82.50,77.81
Training and development manager,Marketing manager,48.0,62.4,94.32,1.04,-3.72,67.50,97.50,2.38,82.50,80.53
Training and development manager,Administrative services manager,48.0,74.0,94.24,3.79,-7.32,32.50,100.00,5.55,66.25,62.57
Project management specialist,Administrative services manager,47.3,74.0,94.20,7.19,-8.26,40.00,100.00,7.73,70.00,64.59
Purchasing manager,Financial manager,47.7,56.2,94.07,-2.82,-1.00,0.00,100.00,-0.91,50.00,49.55
Management analyst,Financial manager,46.6,56.2,94.00,-6.89,2.32,47.50,80.00,-4.61,63.75,60.81
Sales manager,Financial manager,33.1,56.2,93.76,-7.32,1.96,12.50,97.50,-4.64,55.00,52.45
Training and development manager,Human resources manager,48.0,76.5,93.69,2.35,-6.18,0.00,100.00,4.27,50.00,47.87
Project management specialist,Public relations manager,47.3,66.4,93.13,7.48,-11.00,75.00,85.00,9.24,80.00,72.61
Management analyst,Operations research analyst,46.6,55.0,92.92,-5.96,-2.19,100.00,50.00,-1.89,75.00,73.58
Management analyst,Public relations manager,46.6,66.4,92.91,4.66,-9.20,92.50,22.50,6.93,57.50,53.51
Purchasing manager,Human resources manager,47.7,76.5,92.77,8.33,-10.32,7.50,97.50,9.32,52.50,47.61
Training and development manager,Public relations manager,48.0,66.4,92.59,3.87,-6.94,75.00,92.50,5.41,83.75,79.22
Purchasing manager,Marketing manager,47.7,62.4,92.52,8.95,-9.61,40.00,97.50,9.28,68.75,62.37
Project management specialist,Human resources manager,47.3,76.5,92.47,5.36,-9.29,35.00,97.50,7.32,66.25,61.40
Purchasing manager,Public relations manager,47.7,66.4,92.38,12.54,-13.49,35.00,87.50,13.02,61.25,53.28
Management analyst,Human resources manager,46.6,76.5,92.37,4.30,-8.30,77.50,70.00,6.30,73.75,69.10
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,13.45,-15.61,82.50,90.00,14.53,86.25,73.72
Financial and investment analyst,Financial manager,43.9,56.2,92.25,0.03,-4.80,85.00,55.00,2.41,70.00,68.31
Project management specialist,Human resources worker,47.3,76.5,92.21,8.04,-11.70,50.00,87.50,9.87,68.75,61.96
Facilities manager,Human resources manager,23.4,76.5,92.06,10.33,-11.78,15.00,100.00,11.06,57.50,51.14
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,9.08,-13.35,80.00,90.00,11.21,85.00,75.47
Training and development manager,Marketing specialist,48.0,61.7,91.94,1.84,-2.75,70.00,92.50,2.30,81.25,79.38
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,11.74,-14.39,80.00,100.00,13.07,90.00,78.24
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,11.63,-11.52,80.00,97.50,11.57,88.75,78.48
Management analyst,Human resources worker,46.6,76.5,91.64,5.69,-10.50,90.00,35.00,8.09,62.50,57.44
Training and development manager,Human resources worker,48.0,76.5,91.58,6.13,-9.38,15.00,100.00,7.76,57.50,53.04
Project management specialist,Operations research analyst,47.3,55.0,91.31,-3.81,-1.44,50.00,97.50,-1.19,73.75,72.88
Project management specialist,Financial manager,47.3,56.2,91.15,-4.62,1.41,15.00,97.50,-3.02,56.25,54.55
Sales manager,Human resources worker,33.1,76.5,91.09,8.47,-12.98,30.00,85.00,10.72,57.50,51.33
Facilities manager,Marketing manager,23.4,62.4,90.92,11.83,-11.59,40.00,95.00,11.71,67.50,59.60
Facilities manager,Administrative services manager,23.4,74.0,90.81,11.77,-13.33,20.00,100.00,12.55,60.00,52.47
Sales manager,Administrative services manager,33.1,74.0,90.73,5.07,-12.22,25.00,100.00,8.65,62.50,57.10
Management analyst,Administrative services manager,46.6,74.0,90.68,4.50,-10.07,92.50,72.50,7.28,82.50,76.49
Purchasing manager,Human resources worker,47.7,76.5,90.36,12.32,-13.28,10.00,100.00,12.80,55.00,47.96
Management analyst,Training and development specialist,46.6,56.7,90.32,-0.73,-5.32,100.00,22.50,2.30,61.25,59.84
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,11.18,-14.97,82.50,100.00,13.08,91.25,79.32
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,3.33,-11.60,100.00,50.00,7.47,75.00,69.40
Facilities manager,Public relations manager,23.4,66.4,90.26,14.40,-12.03,50.00,100.00,13.21,75.00,65.09
Sales manager,Training and development specialist,33.1,56.7,90.18,1.94,-7.02,97.50,77.50,4.48,87.50,83.58
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,10.53,-16.46,97.50,72.50,13.49,85.00,73.53
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,4.79,-3.25,70.00,100.00,4.02,85.00,81.58
Purchasing manager,Marketing specialist,47.7,61.7,90.08,9.30,-11.44,50.00,87.50,10.37,68.75,61.62
Training and development manager,Financial manager,48.0,56.2,90.06,-9.29,4.27,30.00,95.00,-6.78,62.50,58.26
Sales manager,Advertising sales agent,33.1,52.7,89.99,0.02,-5.59,80.00,57.69,2.81,68.85,66.91
Management analyst,Accountant,46.6,57.0,89.84,-0.60,-2.41,82.50,82.50,0.90,82.50,81.75
Industrial production manager,Human resources manager,19.1,76.5,89.80,12.26,-5.47,25.00,100.00,8.87,62.50,56.96
Facilities manager,Social and community service manager,23.4,71.7,89.67,7.98,-13.37,97.50,65.00,10.67,81.25,72.58
Purchasing manager,Administrative services manager,47.7,74.0,89.51,8.17,-11.32,5.00,100.00,9.74,52.50,47.39
Industrial production manager,Financial manager,19.1,56.2,89.51,0.44,-1.06,30.00,100.00,0.75,65.00,64.51
Operation manager,Financial manager,37.1,56.2,89.31,-5.48,1.97,37.50,100.00,-3.72,68.75,66.19
Industrial production manager,Human resources worker,19.1,76.5,89.29,17.65,-6.48,37.50,100.00,12.07,68.75,60.45
Sales manager,Insurance sales agent,33.1,54.9,89.13,-6.05,-3.47,77.50,72.73,-1.29,75.11,74.14
Architectural and engineering manager,Marketing specialist,12.8,61.7,89.09,14.10,-16.79,82.50,85.00,15.44,83.75,70.81
Postsecondary teacher,Secondary school teacher,46.6,56.9,89.04,0.44,-10.68,95.00,30.00,5.56,62.50,59.02
Facilities manager,Human resources worker,23.4,76.5,88.96,13.42,-12.18,17.50,100.00,12.80,58.75,51.23
Software developer,Marketing specialist,20.2,61.7,88.94,15.18,-20.47,90.00,65.00,17.83,77.50,63.69
Industrial production manager,Marketing manager,19.1,62.4,88.93,14.40,-6.90,55.00,100.00,10.65,77.50,69.25
Facilities manager,Training and development specialist,23.4,56.7,88.90,8.15,-10.63,30.00,97.50,9.39,63.75,57.76
Software developer,Operations research analyst,20.2,55.0,88.88,11.60,-7.10,85.00,100.00,9.35,92.50,83.85
Web and digital interface designer,Marketing specialist,42.7,61.7,88.62,5.75,-11.86,97.50,65.00,8.81,81.25,74.10
Information security analyst,Administrative services manager,19.3,74.0,88.53,7.25,-11.77,92.50,100.00,9.51,96.25,87.09
Industrial production manager,Operations research analyst,19.1,55.0,88.39,4.76,-1.54,27.50,100.00,3.15,63.75,61.74
Facilities manager,Financial manager,23.4,56.2,88.37,2.80,-1.94,22.50,97.50,2.37,60.00,58.58
Financial and investment analyst,Marketing manager,43.9,62.4,88.36,8.48,-11.10,100.00,17.50,9.79,58.75,53.00
Industrial production manager,Public relations manager,19.1,66.4,88.35,15.47,-7.30,57.50,100.00,11.39,78.75,69.78
Project management specialist,Public relations specialist,47.3,76.2,88.35,8.40,-15.97,82.50,90.00,12.19,86.25,75.74
Industrial production manager,Administrative services manager,19.1,74.0,88.30,11.02,-5.90,30.00,100.00,8.46,65.00,59.50
Facilities manager,Marketing specialist,23.4,61.7,88.28,13.21,-13.43,45.00,80.00,13.32,62.50,54.17
Financial and investment analyst,Marketing specialist,43.9,61.7,88.28,6.74,-11.56,100.00,15.00,9.15,57.50,52.24
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,88.18,2.08,-7.07,21.43,100.00,4.58,60.71,57.93
Operation manager,Marketing manager,37.1,62.4,88.12,2.74,-6.31,75.00,97.50,4.53,86.25,82.35
Industrial production manager,Training and development specialist,19.1,56.7,88.10,9.62,-6.04,52.50,100.00,7.83,76.25,70.28
Purchasing manager,Accountant,47.7,57.0,88.07,3.09,-3.98,0.00,100.00,3.53,50.00,48.23
Financial and investment analyst,Insurance underwriter,43.9,56.9,88.04,2.60,-7.06,100.00,10.00,4.83,55.00,52.34
