occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,47.50,87.50,20.00,67.50,54.00
Sales manager,Marketing manager,33.1,62.4,27.50,67.50,32.50,47.50,32.06
Project management specialist,Training and development specialist,47.3,56.7,42.50,52.50,25.00,47.50,35.62
Project management specialist,Marketing specialist,47.3,61.7,67.50,62.50,32.50,65.00,43.88
Project management specialist,Marketing manager,47.3,62.4,37.50,77.50,23.75,57.50,43.84
Information security analyst,Operations research analyst,19.3,55.0,25.00,70.00,12.50,47.50,41.56
Financial and investment analyst,Operations research analyst,43.9,55.0,97.50,7.50,3.75,52.50,50.53
Management analyst,Marketing manager,46.6,62.4,95.00,25.00,10.00,60.00,54.00
Sales manager,Public relations manager,33.1,66.4,40.00,42.50,40.00,41.25,24.75
Management analyst,Marketing specialist,46.6,61.7,97.50,12.50,1.25,55.00,54.31
Sales manager,Human resources manager,33.1,76.5,10.00,97.50,7.50,53.75,49.72
Sales manager,Marketing specialist,33.1,61.7,62.50,52.50,31.25,57.50,39.53
Training and development manager,Marketing manager,48.0,62.4,5.00,70.00,8.75,37.50,34.22
Training and development manager,Administrative services manager,48.0,74.0,0.00,87.50,12.50,43.75,38.28
Project management specialist,Administrative services manager,47.3,74.0,25.00,100.00,17.50,62.50,51.56
Purchasing manager,Financial manager,47.7,56.2,0.00,100.00,1.25,50.00,49.38
Management analyst,Financial manager,46.6,56.2,42.50,57.50,-17.50,50.00,41.25
Sales manager,Financial manager,33.1,56.2,12.50,97.50,1.25,55.00,54.31
Training and development manager,Human resources manager,48.0,76.5,0.00,100.00,0.00,50.00,50.00
Project management specialist,Public relations manager,47.3,66.4,67.50,82.50,25.00,75.00,56.25
Management analyst,Operations research analyst,46.6,55.0,100.00,12.50,-5.00,56.25,53.44
Management analyst,Public relations manager,46.6,66.4,87.50,20.00,10.00,53.75,48.38
Purchasing manager,Human resources manager,47.7,76.5,0.00,95.00,3.75,47.50,45.72
Training and development manager,Public relations manager,48.0,66.4,40.00,52.50,22.50,46.25,35.84
Purchasing manager,Marketing manager,47.7,62.4,5.00,85.00,11.25,45.00,39.94
Project management specialist,Human resources manager,47.3,76.5,35.00,95.00,11.25,65.00,57.69
Purchasing manager,Public relations manager,47.7,66.4,17.50,67.50,26.25,42.50,31.34
Management analyst,Human resources manager,46.6,76.5,75.00,77.50,12.50,76.25,66.72
Architectural and engineering manager,Marketing manager,12.8,62.4,72.50,67.50,23.75,70.00,53.37
Financial and investment analyst,Financial manager,43.9,56.2,75.00,37.50,6.25,56.25,52.73
Project management specialist,Human resources worker,47.3,76.5,47.50,85.00,21.25,66.25,52.17
Facilities manager,Human resources manager,23.4,76.5,17.50,97.50,7.50,57.50,53.19
Architectural and engineering manager,Training and development specialist,12.8,56.7,75.00,82.50,17.50,78.75,64.97
Training and development manager,Marketing specialist,48.0,61.7,40.00,60.00,15.00,50.00,42.50
Architectural and engineering manager,Administrative services manager,12.8,74.0,70.00,95.00,15.00,82.50,70.12
Architectural and engineering manager,Human resources manager,12.8,76.5,70.00,95.00,7.50,82.50,76.31
Management analyst,Human resources worker,46.6,76.5,90.00,40.00,18.75,65.00,52.81
Training and development manager,Human resources worker,48.0,76.5,5.00,90.00,8.75,47.50,43.34
Project management specialist,Operations research analyst,47.3,55.0,5.00,92.50,0.00,48.75,48.75
Project management specialist,Financial manager,47.3,56.2,7.50,97.50,-1.25,52.50,51.84
Sales manager,Human resources worker,33.1,76.5,30.00,90.00,16.25,60.00,50.25
Facilities manager,Marketing manager,23.4,62.4,35.00,97.50,16.25,66.25,55.48
Facilities manager,Administrative services manager,23.4,74.0,17.50,100.00,10.00,58.75,52.88
Sales manager,Administrative services manager,33.1,74.0,12.50,92.50,12.50,52.50,45.94
Management analyst,Administrative services manager,46.6,74.0,85.00,47.50,25.00,66.25,49.69
Purchasing manager,Human resources worker,47.7,76.5,2.50,97.50,5.00,50.00,47.50
Management analyst,Training and development specialist,46.6,56.7,100.00,12.50,1.25,56.25,55.55
Architectural and engineering manager,Public relations manager,12.8,66.4,77.50,67.50,27.50,72.50,52.56
Financial and investment analyst,Training and development specialist,43.9,56.7,100.00,17.50,8.75,58.75,53.61
Facilities manager,Public relations manager,23.4,66.4,42.50,97.50,20.00,70.00,56.00
