occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,6.39,-0.20,47.50,87.50,3.29,67.50,65.28
Sales manager,Marketing manager,33.1,62.4,96.46,10.62,-1.82,27.50,67.50,6.22,47.50,44.55
Project management specialist,Training and development specialist,47.3,56.7,96.32,7.67,-2.92,42.50,52.50,5.30,47.50,44.98
Project management specialist,Marketing specialist,47.3,61.7,96.15,8.17,-7.71,67.50,62.50,7.94,65.00,59.84
Project management specialist,Marketing manager,47.3,62.4,95.99,8.02,-7.50,37.50,77.50,7.76,57.50,53.04
Information security analyst,Operations research analyst,19.3,55.0,95.42,3.80,-1.27,25.00,70.00,2.54,47.50,46.30
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,8.06,0.52,97.50,7.50,3.77,52.50,50.52
Management analyst,Marketing manager,46.6,62.4,94.88,5.05,-4.75,95.00,25.00,4.90,60.00,57.06
Sales manager,Public relations manager,33.1,66.4,94.60,13.02,-5.93,40.00,42.50,9.47,41.25,37.34
Management analyst,Marketing specialist,46.6,61.7,94.50,3.56,-5.15,97.50,12.50,4.35,55.00,52.60
Sales manager,Human resources manager,33.1,76.5,94.40,11.63,-6.00,10.00,97.50,8.81,53.75,49.01
Sales manager,Marketing specialist,33.1,61.7,94.34,8.91,-4.36,62.50,52.50,6.64,57.50,53.68
Training and development manager,Marketing manager,48.0,62.4,94.32,4.76,-1.57,5.00,70.00,3.16,37.50,36.31
Training and development manager,Administrative services manager,48.0,74.0,94.24,8.54,-2.91,0.00,87.50,5.73,43.75,41.24
Project management specialist,Administrative services manager,47.3,74.0,94.20,11.18,-4.87,25.00,100.00,8.03,62.50,57.48
Purchasing manager,Financial manager,47.7,56.2,94.07,4.21,4.36,0.00,100.00,-0.08,50.00,49.96
Management analyst,Financial manager,46.6,56.2,94.00,-1.24,8.39,42.50,57.50,-4.82,50.00,47.59
Sales manager,Financial manager,33.1,56.2,93.76,0.69,9.33,12.50,97.50,-4.32,55.00,52.62
Training and development manager,Human resources manager,48.0,76.5,93.69,6.69,-3.70,0.00,100.00,5.19,50.00,47.40
Project management specialist,Public relations manager,47.3,66.4,93.13,10.95,-7.54,67.50,82.50,9.24,75.00,68.07
