occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,22.50,70.00,1.25,46.25,45.67
Sales manager,Marketing manager,33.1,62.4,50.00,82.50,21.25,66.25,52.17
Project management specialist,Training and development specialist,47.3,56.7,100.00,92.50,1.25,96.25,95.05
Project management specialist,Marketing specialist,47.3,61.7,77.50,57.50,23.75,67.50,51.47
Project management specialist,Marketing manager,47.3,62.4,55.00,62.50,33.75,58.75,38.92
Information security analyst,Operations research analyst,19.3,55.0,87.50,100.00,1.25,93.75,92.58
Financial and investment analyst,Operations research analyst,43.9,55.0,100.00,35.00,3.75,67.50,64.97
Management analyst,Marketing manager,46.6,62.4,100.00,12.50,5.00,56.25,53.44
Sales manager,Public relations manager,33.1,66.4,72.50,70.00,32.50,71.25,48.09
Management analyst,Marketing specialist,46.6,61.7,100.00,7.50,-1.25,53.75,53.08
Sales manager,Human resources manager,33.1,76.5,20.00,90.00,16.25,55.00,46.06
Sales manager,Marketing specialist,33.1,61.7,95.00,75.00,17.50,85.00,70.12
Training and development manager,Marketing manager,48.0,62.4,62.50,97.50,12.50,80.00,70.00
Training and development manager,Administrative services manager,48.0,74.0,27.50,100.00,17.50,63.75,52.59
Project management specialist,Administrative services manager,47.3,74.0,40.00,100.00,18.75,70.00,56.88
Purchasing manager,Financial manager,47.7,56.2,0.00,100.00,1.25,50.00,49.38
Management analyst,Financial manager,46.6,56.2,47.50,75.00,-3.75,61.25,58.95
Sales manager,Financial manager,33.1,56.2,17.50,100.00,-2.50,58.75,57.28
Training and development manager,Human resources manager,48.0,76.5,0.00,100.00,1.25,50.00,49.38
Project management specialist,Public relations manager,47.3,66.4,75.00,77.50,21.25,76.25,60.05
Management analyst,Operations research analyst,46.6,55.0,100.00,45.00,-1.25,72.50,71.59
Management analyst,Public relations manager,46.6,66.4,92.50,22.50,11.25,57.50,51.03
Purchasing manager,Human resources manager,47.7,76.5,10.00,97.50,7.50,53.75,49.72
Training and development manager,Public relations manager,48.0,66.4,67.50,92.50,18.75,80.00,65.00
Purchasing manager,Marketing manager,47.7,62.4,40.00,95.00,15.00,67.50,57.38
Project management specialist,Human resources manager,47.3,76.5,42.50,97.50,8.75,70.00,63.87
Purchasing manager,Public relations manager,47.7,66.4,35.00,87.50,21.25,61.25,48.23
Management analyst,Human resources manager,46.6,76.5,82.50,62.50,8.75,72.50,66.16
Architectural and engineering manager,Marketing manager,12.8,62.4,82.50,90.00,11.25,86.25,76.55
Financial and investment analyst,Financial manager,43.9,56.2,82.50,55.00,1.25,68.75,67.89
Project management specialist,Human resources worker,47.3,76.5,52.50,85.00,21.25,68.75,54.14
Facilities manager,Human resources manager,23.4,76.5,12.50,100.00,5.00,56.25,53.44
Architectural and engineering manager,Training and development specialist,12.8,56.7,80.00,90.00,8.75,85.00,77.56
