occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,-2.33,-4.46,22.50,70.00,1.06,46.25,45.76
Sales manager,Marketing manager,33.1,62.4,96.46,4.44,-7.78,50.00,82.50,6.11,66.25,62.20
Project management specialist,Training and development specialist,47.3,56.7,96.32,0.74,-5.83,100.00,92.50,3.28,96.25,93.09
Project management specialist,Marketing specialist,47.3,61.7,96.15,4.44,-8.95,77.50,57.50,6.69,67.50,62.98
Project management specialist,Marketing manager,47.3,62.4,95.99,5.92,-9.65,55.00,62.50,7.78,58.75,54.18
Information security analyst,Operations research analyst,19.3,55.0,95.42,-0.08,-2.53,87.50,100.00,1.22,93.75,92.60
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,1.77,-4.58,100.00,35.00,3.17,67.50,65.36
Management analyst,Marketing manager,46.6,62.4,94.88,3.12,-4.49,100.00,12.50,3.80,56.25,54.11
Sales manager,Public relations manager,33.1,66.4,94.60,8.02,-11.38,72.50,70.00,9.70,71.25,64.34
Management analyst,Marketing specialist,46.6,61.7,94.50,1.34,-3.26,100.00,7.50,2.30,53.75,52.51
Sales manager,Human resources manager,33.1,76.5,94.40,6.93,-11.79,20.00,90.00,9.36,55.00,49.85
Sales manager,Marketing specialist,33.1,61.7,94.34,2.91,-7.34,95.00,75.00,5.12,85.00,80.64
Training and development manager,Marketing manager,48.0,62.4,94.32,1.98,-4.93,62.50,97.50,3.45,80.00,77.24
Training and development manager,Administrative services manager,48.0,74.0,94.24,5.01,-7.25,27.50,100.00,6.13,63.75,59.84
Project management specialist,Administrative services manager,47.3,74.0,94.20,9.00,-8.43,40.00,100.00,8.72,70.00,63.90
Purchasing manager,Financial manager,47.7,56.2,94.07,-0.96,0.55,0.00,100.00,-0.76,50.00,49.62
Management analyst,Financial manager,46.6,56.2,94.00,-5.03,3.47,47.50,75.00,-4.25,61.25,58.65
Sales manager,Financial manager,33.1,56.2,93.76,-5.07,3.04,17.50,100.00,-4.06,58.75,56.37
Training and development manager,Human resources manager,48.0,76.5,93.69,3.79,-7.45,0.00,100.00,5.62,50.00,47.19
Project management specialist,Public relations manager,47.3,66.4,93.13,8.46,-12.39,75.00,77.50,10.43,76.25,68.30
Management analyst,Operations research analyst,46.6,55.0,92.92,-4.02,-1.07,100.00,45.00,-1.47,72.50,71.43
Management analyst,Public relations manager,46.6,66.4,92.91,4.45,-9.74,92.50,22.50,7.09,57.50,53.42
Purchasing manager,Human resources manager,47.7,76.5,92.77,9.63,-10.78,10.00,97.50,10.21,53.75,48.26
Training and development manager,Public relations manager,48.0,66.4,92.59,5.17,-8.33,67.50,92.50,6.75,80.00,74.60
Purchasing manager,Marketing manager,47.7,62.4,92.52,9.35,-9.25,40.00,95.00,9.30,67.50,61.22
Project management specialist,Human resources manager,47.3,76.5,92.47,6.51,-10.91,42.50,97.50,8.71,70.00,63.91
Purchasing manager,Public relations manager,47.7,66.4,92.38,13.87,-13.91,35.00,87.50,13.89,61.25,52.74
Management analyst,Human resources manager,46.6,76.5,92.37,3.96,-9.33,82.50,62.50,6.64,72.50,67.68
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,10.59,-13.27,82.50,90.00,11.93,86.25,75.96
Financial and investment analyst,Financial manager,43.9,56.2,92.25,1.72,-3.57,82.50,55.00,2.65,68.75,66.93
