occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,40.00,95.00,5.00,67.50,64.12
Sales manager,Marketing manager,33.1,62.4,30.00,72.50,33.75,51.25,33.95
Project management specialist,Training and development specialist,47.3,56.7,42.50,50.00,17.50,46.25,38.16
Project management specialist,Marketing specialist,47.3,61.7,67.50,62.50,30.00,65.00,45.50
Project management specialist,Marketing manager,47.3,62.4,40.00,75.00,25.00,57.50,43.12
Information security analyst,Operations research analyst,19.3,55.0,20.00,77.50,6.25,48.75,45.70
Financial and investment analyst,Operations research analyst,43.9,55.0,97.50,7.50,2.50,52.50,51.19
Management analyst,Marketing manager,46.6,62.4,97.50,22.50,10.00,60.00,54.00
Sales manager,Public relations manager,33.1,66.4,42.50,52.50,45.00,47.50,26.12
Management analyst,Marketing specialist,46.6,61.7,100.00,7.50,-2.50,53.75,52.41
Sales manager,Human resources manager,33.1,76.5,12.50,92.50,11.25,52.50,46.59
Sales manager,Marketing specialist,33.1,61.7,60.00,55.00,21.25,57.50,45.28
Training and development manager,Marketing manager,48.0,62.4,7.50,65.00,11.25,36.25,32.17
Training and development manager,Administrative services manager,48.0,74.0,0.00,95.00,11.25,47.50,42.16
Project management specialist,Administrative services manager,47.3,74.0,25.00,100.00,20.00,62.50,50.00
Purchasing manager,Financial manager,47.7,56.2,0.00,100.00,1.25,50.00,49.38
Management analyst,Financial manager,46.6,56.2,45.00,57.50,-17.50,51.25,42.28
Sales manager,Financial manager,33.1,56.2,17.50,97.50,-2.50,57.50,56.06
Training and development manager,Human resources manager,48.0,76.5,0.00,100.00,0.00,50.00,50.00
Project management specialist,Public relations manager,47.3,66.4,65.00,80.00,23.75,72.50,55.28
Management analyst,Operations research analyst,46.6,55.0,100.00,12.50,-3.75,56.25,54.14
Management analyst,Public relations manager,46.6,66.4,87.50,22.50,10.00,55.00,49.50
Purchasing manager,Human resources manager,47.7,76.5,0.00,92.50,3.75,46.25,44.52
Training and development manager,Public relations manager,48.0,66.4,40.00,57.50,26.25,48.75,35.95
Purchasing manager,Marketing manager,47.7,62.4,10.00,85.00,12.50,47.50,41.56
Project management specialist,Human resources manager,47.3,76.5,37.50,92.50,17.50,65.00,53.62
Purchasing manager,Public relations manager,47.7,66.4,20.00,67.50,30.00,43.75,30.62
Management analyst,Human resources manager,46.6,76.5,80.00,70.00,17.50,75.00,61.87
Architectural and engineering manager,Marketing manager,12.8,62.4,72.50,62.50,23.75,67.50,51.47
Financial and investment analyst,Financial manager,43.9,56.2,75.00,37.50,5.00,56.25,53.44
Project management specialist,Human resources worker,47.3,76.5,45.00,80.00,25.00,62.50,46.88
Facilities manager,Human resources manager,23.4,76.5,17.50,97.50,6.25,57.50,53.91
Architectural and engineering manager,Training and development specialist,12.8,56.7,77.50,82.50,17.50,80.00,66.00
Training and development manager,Marketing specialist,48.0,61.7,37.50,55.00,12.50,46.25,40.47
Architectural and engineering manager,Administrative services manager,12.8,74.0,70.00,92.50,15.00,81.25,69.06
Architectural and engineering manager,Human resources manager,12.8,76.5,70.00,92.50,8.75,81.25,74.14
Management analyst,Human resources worker,46.6,76.5,90.00,40.00,17.50,65.00,53.62
Training and development manager,Human resources worker,48.0,76.5,5.00,90.00,7.50,47.50,43.94
Project management specialist,Operations research analyst,47.3,55.0,5.00,92.50,0.00,48.75,48.75
Project management specialist,Financial manager,47.3,56.2,7.50,97.50,-1.25,52.50,51.84
Sales manager,Human resources worker,33.1,76.5,30.00,85.00,21.25,57.50,45.28
Facilities manager,Marketing manager,23.4,62.4,32.50,97.50,17.50,65.00,53.62
Facilities manager,Administrative services manager,23.4,74.0,20.00,100.00,10.00,60.00,54.00
Sales manager,Administrative services manager,33.1,74.0,12.50,92.50,11.25,52.50,46.59
Management analyst,Administrative services manager,46.6,74.0,85.00,52.50,25.00,68.75,51.56
Purchasing manager,Human resources worker,47.7,76.5,2.50,82.50,15.00,42.50,36.12
Management analyst,Training and development specialist,46.6,56.7,100.00,12.50,0.00,56.25,56.25
Architectural and engineering manager,Public relations manager,12.8,66.4,77.50,65.00,27.50,71.25,51.66
Financial and investment analyst,Training and development specialist,43.9,56.7,100.00,15.00,7.50,57.50,53.19
Facilities manager,Public relations manager,23.4,66.4,47.50,97.50,16.25,72.50,60.72
Sales manager,Training and development specialist,33.1,56.7,47.50,50.00,13.75,48.75,42.05
Financial and investment analyst,Administrative services manager,43.9,74.0,87.50,27.50,36.25,57.50,36.66
Architectural and engineering manager,Financial manager,12.8,56.2,65.00,100.00,3.75,82.50,79.41
Purchasing manager,Marketing specialist,47.7,61.7,30.00,72.50,23.75,51.25,39.08
Training and development manager,Financial manager,48.0,56.2,2.50,85.00,-2.50,43.75,42.66
Sales manager,Advertising sales agent,33.1,52.7,75.00,53.85,7.58,64.42,59.54
Management analyst,Accountant,46.6,57.0,85.00,75.00,3.75,80.00,77.00
Industrial production manager,Human resources manager,19.1,76.5,12.50,100.00,6.25,56.25,52.73
Facilities manager,Social and community service manager,23.4,71.7,62.50,47.50,36.25,55.00,35.06
Purchasing manager,Administrative services manager,47.7,74.0,0.00,97.50,0.00,48.75,48.75
Industrial production manager,Financial manager,19.1,56.2,20.00,100.00,0.00,60.00,60.00
Operation manager,Financial manager,37.1,56.2,32.50,100.00,-1.25,66.25,65.42
Industrial production manager,Human resources worker,19.1,76.5,15.00,100.00,8.75,57.50,52.47
Sales manager,Insurance sales agent,33.1,54.9,47.50,63.64,0.00,55.57,55.57
Architectural and engineering manager,Marketing specialist,12.8,61.7,75.00,60.00,30.00,67.50,47.25
Postsecondary teacher,Secondary school teacher,46.6,56.9,95.00,23.33,7.14,59.17,54.94
Facilities manager,Human resources worker,23.4,76.5,20.00,97.50,8.75,58.75,53.61
Software developer,Marketing specialist,20.2,61.7,95.00,77.50,21.25,86.25,67.92
Industrial production manager,Marketing manager,19.1,62.4,27.50,100.00,10.00,63.75,57.38
Facilities manager,Training and development specialist,23.4,56.7,25.00,92.50,12.50,58.75,51.41
Software developer,Operations research analyst,20.2,55.0,72.50,95.00,20.00,83.75,67.00
Web and digital interface designer,Marketing specialist,42.7,61.7,95.00,50.00,12.50,72.50,63.44
Information security analyst,Administrative services manager,19.3,74.0,55.00,95.00,18.75,75.00,60.94
Industrial production manager,Operations research analyst,19.1,55.0,15.00,100.00,5.00,57.50,54.62
Facilities manager,Financial manager,23.4,56.2,32.50,100.00,8.75,66.25,60.45
Financial and investment analyst,Marketing manager,43.9,62.4,95.00,10.00,16.25,52.50,43.97
Industrial production manager,Public relations manager,19.1,66.4,37.50,100.00,10.00,68.75,61.88
Project management specialist,Public relations specialist,47.3,76.2,62.50,90.00,16.25,76.25,63.86
Industrial production manager,Administrative services manager,19.1,74.0,5.00,100.00,5.00,52.50,49.88
Facilities manager,Marketing specialist,23.4,61.7,37.50,92.50,16.25,65.00,54.44
Financial and investment analyst,Marketing specialist,43.9,61.7,100.00,10.00,2.50,55.00,53.62
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,21.43,92.59,10.91,57.01,50.79
Operation manager,Marketing manager,37.1,62.4,52.50,97.50,0.00,75.00,75.00
Industrial production manager,Training and development specialist,19.1,56.7,12.50,100.00,5.00,56.25,53.44
Purchasing manager,Accountant,47.7,57.0,0.00,100.00,1.25,50.00,49.38
Financial and investment analyst,Insurance underwriter,43.9,56.9,100.00,0.00,2.50,50.00,48.75
Financial and investment analyst,Public relations manager,43.9,66.4,95.00,15.00,16.25,55.00,46.06
Chemical engineer,Medical scientist,21.6,51.8,7.50,100.00,3.85,53.75,51.68
Operation manager,Human resources manager,37.1,76.5,2.50,100.00,1.25,51.25,50.61
Architectural and engineering manager,Human resources worker,12.8,76.5,77.50,85.00,16.25,81.25,68.05
Operation manager,Public relations manager,37.1,66.4,40.00,87.50,23.75,63.75,48.61
Training and development manager,Social and community service manager,48.0,71.7,100.00,0.00,2.50,50.00,48.75
Financial and investment analyst,Accountant,43.9,57.0,85.00,42.50,13.75,63.75,54.98
Financial and investment analyst,Human resources manager,43.9,76.5,87.50,42.50,33.75,65.00,43.06
Training and development manager,Insurance claims and policy processing clerk,48.0,80.1,47.50,28.95,28.21,38.22,27.44
Purchasing manager,Training and development specialist,47.7,56.7,17.50,77.50,22.50,47.50,36.81
Web developer,Graphic designer,19.4,54.7,82.50,94.59,6.49,88.55,82.80
Purchasing manager,Social and community service manager,47.7,71.7,42.50,27.50,20.00,35.00,28.00
Chemical engineer,Biological scientist,21.6,55.0,25.00,83.78,6.49,54.39,50.86
Dentist,Dental hygienist,39.5,95.7,36.84,100.00,60.98,68.42,26.70
Software quality tester,Operations research analyst,44.1,55.0,2.50,95.00,3.75,48.75,46.92
Web and digital interface designer,Graphic designer,42.7,54.7,75.00,54.05,1.30,64.53,63.69
Information security analyst,Training and development specialist,19.3,56.7,87.50,80.00,16.25,83.75,70.14
Software developer,Graphic designer,20.2,54.7,85.00,86.49,9.09,85.74,77.95
Architectural and engineering manager,Social and community service manager,12.8,71.7,97.50,32.50,10.00,65.00,58.50
Web and digital interface designer,Operations research analyst,42.7,55.0,87.50,95.00,5.00,91.25,86.69
First-line supervisor of non-retail sales workers,Supervisor of personal care and service workers,35.9,65.8,100.00,45.45,0.00,72.73,72.73
Lawyer,Paralegal,39.5,83.0,82.50,12.50,18.75,47.50,38.59
Architectural and engineering manager,Operations research analyst,12.8,55.0,75.00,95.00,8.75,85.00,77.56
Operation manager,Social and community service manager,37.1,71.7,82.50,17.50,1.25,50.00,49.38
Industrial production manager,Social and community service manager,19.1,71.7,47.50,75.00,18.75,61.25,49.77
First-line supervisor of non-retail sales workers,Human resources worker,35.9,76.5,10.71,100.00,0.00,55.36,55.36
Property assessor,Insurance underwriter,34.2,56.9,25.00,67.50,7.50,46.25,42.78
Operation manager,Human resources worker,37.1,76.5,15.00,100.00,6.25,57.50,53.91
Computer systems analyst,Operations research analyst,37.8,55.0,62.50,22.50,-3.75,42.50,40.91
Building cleaner,Housekeeping cleaner,38.7,88.4,21.21,77.50,10.96,49.36,43.95
Postsecondary teacher,School psychologist,46.6,87.9,100.00,0.00,-1.39,50.00,49.31
Industrial production manager,Accountant,19.1,57.0,22.50,100.00,2.50,61.25,59.72
Food service manager,First-line supervisor of food preparation and serving workers,46.7,53.5,100.00,32.50,3.75,66.25,63.77
Facilities manager,Social and human service assistant,23.4,75.3,70.00,80.00,23.75,75.00,57.19
Chemical technician,Medical scientist,35.0,51.8,10.71,100.00,1.52,55.36,54.52
Counter and rental clerk,Order clerk,38.7,58.3,0.00,93.75,-2.08,46.88,45.90
Postsecondary teacher,Elementary and middle school teacher,46.6,78.6,100.00,48.28,11.59,74.14,65.54
Chemical technician,Biological scientist,35.0,55.0,32.14,78.38,-4.62,55.26,52.71
Cost estimator,Accountant,17.7,57.0,17.50,100.00,1.25,58.75,58.02
Postsecondary teacher,Teaching assistant,46.6,79.5,80.00,32.50,15.00,56.25,47.81
Food service manager,Food preparation worker,46.7,58.7,52.50,95.00,7.50,73.75,68.22
Operation manager,Accountant,37.1,57.0,30.00,97.50,-1.25,63.75,62.95
First-line supervisor of non-retail sales workers,Payroll and timekeeping clerk,35.9,88.2,53.57,60.87,1.96,57.22,56.10
First-line supervisor of non-retail sales workers,Insurance sales agent,35.9,54.9,14.29,95.45,-4.00,54.87,52.68
Software developer,Advertising sales agent,20.2,52.7,92.50,73.08,16.67,82.79,68.99
First-line supervisor of retail sales workers,First-line supervisor of office and administrative support workers,44.6,65.8,72.22,81.48,-1.59,76.85,75.63
First-line supervisor of non-retail sales workers,Insurance claims and policy processing clerk,35.9,80.1,25.00,78.95,4.55,51.97,49.61
Cost estimator,Insurance underwriter,17.7,56.9,40.00,95.00,11.25,67.50,59.91
Materials engineer,Medical scientist,13.5,51.8,15.00,100.00,-1.28,57.50,56.76
First-line supervisor of non-retail sales workers,Social and human service assistant,35.9,75.3,53.57,50.00,-8.82,51.79,47.22
Property assessor,Accountant,34.2,57.0,17.50,95.00,7.50,56.25,52.03
Postsecondary teacher,Special education teacher,46.6,86.6,100.00,21.88,-8.33,60.94,55.86
First-line supervisor of retail sales workers,Order clerk,44.6,58.3,5.56,100.00,1.47,52.78,52.00
Painter,Artist,10.4,51.6,77.14,92.50,5.33,84.82,80.30
Software developer,Accountant,20.2,57.0,92.50,100.00,6.25,96.25,90.23
Information security analyst,Insurance claims and policy processing clerk,19.3,80.1,55.00,34.21,25.64,44.61,33.17
Operation manager,Compliance officer,37.1,51.8,17.50,92.50,5.00,55.00,52.25
Chemists and materials scientist,Medical scientist,36.0,51.8,0.00,100.00,0.00,50.00,50.00
Materials engineer,Biological scientist,13.5,55.0,47.50,100.00,7.79,73.75,68.00
Web and digital interface designer,Advertising sales agent,42.7,52.7,97.50,53.85,4.55,75.67,72.23
Web and digital interface designer,Insurance claims and policy processing clerk,42.7,80.1,95.00,42.11,5.13,68.55,65.04
Property assessor,Tax preparer,34.2,66.3,25.00,91.89,12.99,58.45,50.86
Counter and rental clerk,Payroll and timekeeping clerk,38.7,88.2,87.50,73.91,0.00,80.71,80.71
First-line supervisor of non-retail sales workers,Advertising sales agent,35.9,52.7,0.00,96.15,-3.70,48.08,46.30
First-line supervisor of non-retail sales workers,Order clerk,35.9,58.3,21.43,93.75,0.00,57.59,57.59
Operation manager,Public relations specialist,37.1,76.2,65.00,100.00,12.50,82.50,72.19
Property assessor,Real estate broker,34.2,57.0,10.00,100.00,-1.25,55.00,54.31
First-line supervisor of non-retail sales workers,Customer service representative,35.9,65.3,3.57,100.00,1.79,51.79,50.86
Software developer,Insurance claims and policy processing clerk,20.2,80.1,82.50,47.37,28.21,64.93,46.62
Information security analyst,Insurance underwriter,19.3,56.9,72.50,95.00,10.00,83.75,75.37
Information security analyst,Accountant,19.3,57.0,75.00,100.00,5.00,87.50,83.12
Web developer,Advertising sales agent,19.4,52.7,85.00,96.15,10.61,90.58,80.97
Postsecondary teacher,Public relations specialist,46.6,76.2,80.00,90.00,10.00,85.00,76.50
Computer support specialist,Customer service representative,26.2,65.3,62.50,96.43,25.00,79.46,59.60
Software developer,Customer service representative,20.2,65.3,82.50,96.43,16.18,89.46,74.99
Chemists and materials scientist,Biological scientist,36.0,55.0,0.00,48.65,5.80,24.32,22.91
Surgeon,Medical scientist,20.0,51.8,67.74,94.74,1.45,81.24,80.06
Operation manager,Insurance underwriter,37.1,56.9,15.00,97.50,0.00,56.25,56.25
Postsecondary teacher,Social and community service manager,46.6,71.7,90.00,20.00,1.25,55.00,54.31
Information security analyst,Payroll and timekeeping clerk,19.3,88.2,87.50,52.17,12.70,69.84,60.97
Electrical and electronic engineering technician,Medical appliance technician,11.6,58.9,100.00,25.00,-6.25,62.50,58.59
Information security analyst,Executive secretary,19.3,90.0,52.50,100.00,20.31,76.25,60.76
Property assessor,Loan officer,34.2,51.6,27.50,89.74,10.13,58.62,52.69
Software developer,Insurance sales agent,20.2,54.9,95.00,100.00,8.06,97.50,89.64
Lawyer,Accountant,39.5,57.0,100.00,87.50,3.75,93.75,90.23
Information security analyst,Social and community service manager,19.3,71.7,97.50,52.50,2.50,75.00,73.12
Information security analyst,Public relations specialist,19.3,76.2,77.50,95.00,20.00,86.25,69.00
Software developer,Public relations specialist,20.2,76.2,95.00,87.50,13.75,91.25,78.70
Cook,Baker,39.8,65.5,97.50,97.50,0.00,97.50,97.50
First-line supervisor of retail sales workers,Payroll and timekeeping clerk,44.6,88.2,83.33,78.26,0.00,80.80,80.80
Postsecondary teacher,Social and human service assistant,46.6,75.3,95.00,57.50,1.25,76.25,75.30
Lawyer,Legal secretary,39.5,96.4,60.00,31.03,52.17,45.52,21.77
First-line supervisor of housekeeping and janitorial workers,Housekeeping cleaner,44.1,88.4,40.91,90.00,4.84,65.45,62.29
Chemical technician,Miscellaneous health technician,35.0,72.7,100.00,71.43,4.08,85.71,82.22
Property assessor,Social and community service manager,34.2,71.7,95.00,27.50,6.25,61.25,57.42
Mechanical engineer,Biological scientist,10.1,55.0,92.50,100.00,2.60,96.25,93.75
Web developer,Customer service representative,19.4,65.3,75.00,100.00,10.29,87.50,78.49
Web and digital interface designer,Customer service representative,42.7,65.3,97.50,96.43,4.41,96.96,92.69
Computer numerically controlled tool operator,Filling machine operator,7.8,57.3,97.50,37.50,8.75,67.50,61.59
Personal financial advisor,Loan officer,32.6,51.6,97.50,56.41,-2.53,76.96,75.01
First-line supervisor of retail sales workers,Supervisor of personal care and service workers,44.6,65.8,100.00,45.45,0.00,72.73,72.73
Software quality tester,Customer service representative,44.1,65.3,42.50,100.00,14.71,71.25,60.77
Postsecondary teacher,Insurance underwriter,46.6,56.9,80.00,97.50,2.50,88.75,86.53
Web and digital interface designer,Social and community service manager,42.7,71.7,100.00,67.50,2.50,83.75,81.66
Software developer,Insurance underwriter,20.2,56.9,87.50,100.00,7.50,93.75,86.72
Property assessor,Insurance sales agent,34.2,54.9,60.00,86.36,-1.61,73.18,72.00
Software quality tester,Graphic designer,44.1,54.7,40.00,100.00,-2.60,70.00,68.18
Software quality tester,Insurance claims and policy processing clerk,44.1,80.1,50.00,60.53,17.95,55.26,45.34
Chemical technician,Ophthalmic medical technician,35.0,73.7,100.00,90.91,0.00,95.45,95.45
Lawyer,Insurance underwriter,39.5,56.9,92.50,17.50,-5.00,55.00,52.25
Web and digital interface designer,Payroll and timekeeping clerk,42.7,88.2,100.00,65.22,3.17,82.61,79.99
Database administrator,Executive secretary,30.8,90.0,50.00,100.00,25.00,75.00,56.25
Lawyer,Loan officer,39.5,51.6,92.50,46.15,-3.80,69.33,66.69
Postsecondary teacher,Mental health counselor,46.6,74.6,100.00,47.50,-16.25,73.75,61.77
First-line supervisor of retail sales workers,Billing and posting clerk,44.6,91.4,58.33,91.30,-3.39,74.82,72.28
First-line supervisor of retail sales workers,Social and human service assistant,44.6,75.3,91.67,55.00,-13.16,73.33,63.68
Occupational health and safety specialist,Order clerk,17.9,58.3,97.50,96.88,0.00,97.19,97.19
Occupational health and safety specialist,Insurance sales agent,17.9,54.9,100.00,100.00,1.61,100.00,98.39
First-line supervisor of retail sales workers,Customer service representative,44.6,65.3,2.78,100.00,-1.56,51.39,50.59
Cost estimator,Graphic designer,17.7,54.7,90.00,100.00,-7.79,95.00,87.60
Web and digital interface designer,Insurance sales agent,42.7,54.9,100.00,86.36,6.45,93.18,87.17
Personal financial advisor,Insurance underwriter,32.6,56.9,95.00,0.00,5.00,47.50,45.12
Food service manager,Lodging manager,46.7,61.6,100.00,92.50,1.25,96.25,95.05
Software quality tester,Advertising sales agent,44.1,52.7,57.50,100.00,9.09,78.75,71.59
Software quality tester,Insurance underwriter,44.1,56.9,25.00,100.00,10.00,62.50,56.25
Printing press operator,Filling machine operator,24.7,57.3,95.00,97.50,-2.50,96.25,93.84
Counter and rental clerk,Billing and posting clerk,38.7,91.4,62.50,86.96,7.69,74.73,68.98
Web developer,Public relations specialist,19.4,76.2,90.00,97.50,13.75,93.75,80.86
Web and digital interface designer,Public relations specialist,42.7,76.2,95.00,77.50,18.75,86.25,70.08
Photographer,Artist,48.5,51.6,80.00,95.00,-5.00,87.50,83.12
Database administrator,Compliance officer,30.8,51.8,80.00,90.00,13.75,85.00,73.31
Chief executive,Executive secretary,30.6,90.0,55.00,100.00,48.44,77.50,39.96
First-line supervisor of retail sales workers,Advertising sales agent,44.6,52.7,2.78,100.00,-3.23,51.39,49.73
Cost estimator,Advertising sales agent,17.7,52.7,87.50,57.69,7.58,72.60,67.10
Surgeon,Physician assistant,20.0,68.8,3.23,100.00,0.00,51.61,51.61
First-line supervisor of production and operating workers,First-line supervisor of office and administrative support workers,23.5,65.8,100.00,96.30,1.85,98.15,96.33
Web developer,Insurance sales agent,19.4,54.9,92.50,100.00,3.23,96.25,93.15
Cost estimator,Public relations specialist,17.7,76.2,75.00,92.50,7.50,83.75,77.47
Logistician,Compliance officer,38.7,51.8,22.50,100.00,3.75,61.25,58.95
Mechanical engineer,Medical scientist,10.1,51.8,80.00,100.00,11.54,90.00,79.62
Occupational health and safety specialist,Advertising sales agent,17.9,52.7,100.00,100.00,0.00,100.00,100.00
Property assessor,Lodging manager,34.2,61.6,100.00,70.00,0.00,85.00,85.00
Software quality tester,Insurance sales agent,44.1,54.9,65.00,95.45,6.45,80.23,75.05
Wastewater treatment system operator,Filling machine operator,7.3,57.3,82.50,100.00,8.75,91.25,83.27
First-line supervisor of housekeeping and janitorial workers,First-line supervisor of food preparation and serving workers,44.1,53.5,59.09,100.00,1.61,79.55,78.26
Computer systems manager,Compliance officer,27.7,51.8,92.50,75.00,5.00,83.75,79.56
Database administrator,File Clerk,30.8,76.0,72.50,80.00,4.62,76.25,72.73
First-line supervisor of retail sales workers,First-line supervisor of food preparation and serving workers,44.6,53.5,100.00,100.00,0.00,100.00,100.00
Database administrator,Billing and posting clerk,30.8,91.4,87.50,52.17,7.94,69.84,64.29
Software quality tester,Payroll and timekeeping clerk,44.1,88.2,82.50,65.22,11.11,73.86,65.65
Property assessor,Executive secretary,34.2,90.0,42.50,100.00,25.00,71.25,53.44
Property assessor,First-line supervisor of office and administrative support workers,34.2,65.8,77.50,77.78,23.88,77.64,59.10
Web developer,Insurance claims and policy processing clerk,19.4,80.1,77.50,63.16,12.82,70.33,61.31
Database administrator,Receptionist,30.8,89.1,90.00,89.29,8.82,89.64,81.73
Personal financial advisor,Mental health counselor,32.6,74.6,100.00,15.00,-7.50,57.50,53.19
Cost estimator,Executive secretary,17.7,90.0,37.50,100.00,20.31,68.75,54.79
Cost estimator,Insurance sales agent,17.7,54.9,65.00,90.91,9.68,77.95,70.41
Cost estimator,Tax preparer,17.7,66.3,25.00,100.00,5.19,62.50,59.25
Cost estimator,Real estate broker,17.7,57.0,17.50,97.50,3.75,57.50,55.34
Occupational health and safety specialist,Insurance claims and policy processing clerk,17.9,80.1,100.00,100.00,0.00,100.00,100.00
First-line supervisor of retail sales workers,Insurance sales agent,44.6,54.9,66.67,100.00,-10.34,83.33,74.71
Personal financial advisor,Real estate broker,32.6,57.0,57.50,57.50,11.25,57.50,51.03
Lawyer,Public relations specialist,39.5,76.2,90.00,80.00,12.50,85.00,74.38
Materials engineer,Medical appliance technician,13.5,58.9,92.50,80.00,-2.50,86.25,84.09
Database administrator,Legal secretary,30.8,96.4,60.00,100.00,21.74,80.00,62.61
Cost estimator,Loan officer,17.7,51.6,30.00,94.87,5.06,62.44,59.27
Chemical technician,Pharmacy technician,35.0,79.3,100.00,100.00,2.44,100.00,97.56
Chemical technician,Medical appliance technician,35.0,58.9,100.00,67.50,-8.82,83.75,76.36
Web developer,Receptionist,19.4,89.1,82.50,96.43,11.76,89.46,78.94
Chief executive,Compliance officer,30.6,51.8,85.00,75.00,16.25,80.00,67.00
Counter and rental clerk,File Clerk,38.7,76.0,87.50,100.00,7.32,93.75,86.89
Director,Editor,43.6,56.6,62.50,90.00,16.25,76.25,63.86
Software quality tester,Loan interviewer,44.1,76.9,47.50,100.00,6.15,73.75,69.21
Occupational health and safety specialist,Medical and health services manager,17.9,71.8,100.00,95.00,-1.25,97.50,96.28
Counter and rental clerk,Postal service clerk,38.7,54.1,75.00,94.74,5.71,84.87,80.02
Food service manager,Social and human service assistant,46.7,75.3,97.50,72.50,-3.75,85.00,81.81
Actor,Artist,47.0,51.6,47.50,100.00,5.00,73.75,70.06
Computer systems manager,Executive secretary,27.7,90.0,57.50,100.00,21.88,78.75,61.52
First-line supervisor of production and operating workers,Order clerk,23.5,58.3,66.67,93.75,-3.39,80.21,77.49
First-line supervisor of security workers,Compliance officer,22.5,51.8,35.00,62.50,13.75,48.75,42.05
Food service manager,Medical and health services manager,46.7,71.8,100.00,100.00,0.00,100.00,100.00
Personal financial advisor,Tax preparer,32.6,66.3,92.50,62.16,10.39,77.33,69.30
Computer systems manager,Loan officer,27.7,51.6,92.50,82.05,-5.06,87.28,82.86
Personal financial advisor,Fundraiser,32.6,74.9,97.50,2.50,3.75,50.00,48.12
Database administrator,Loan officer,30.8,51.6,77.50,100.00,-2.53,88.75,86.50
First-line supervisor of production and operating workers,Filling machine operator,23.5,57.3,59.26,80.00,7.46,69.63,64.43
Software quality tester,Public relations specialist,44.1,76.2,72.50,97.50,8.75,85.00,77.56
Chemical technician,Medical assistant,35.0,88.8,100.00,95.24,4.08,97.62,93.63
Database administrator,Customer service representative,30.8,65.3,75.00,100.00,14.71,87.50,74.63
Electrical and electronic engineering technician,Insurance claims and policy processing clerk,11.6,80.1,100.00,100.00,2.56,100.00,97.44
Occupational health and safety specialist,Social and human service assistant,17.9,75.3,100.00,72.50,-5.00,86.25,81.94
Database administrator,Advertising sales agent,30.8,52.7,92.50,84.62,1.52,88.56,87.22
Mechanical engineer,Filling machine operator,10.1,57.3,90.00,85.00,12.50,87.50,76.56
Cutting worker,Filling machine operator,31.1,57.3,87.50,100.00,1.25,93.75,92.58
