occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,3.65,0.63,40.00,95.00,1.51,67.50,66.48
Sales manager,Marketing manager,33.1,62.4,96.46,9.87,-2.70,30.00,72.50,6.28,51.25,48.03
Project management specialist,Training and development specialist,47.3,56.7,96.32,6.32,-2.39,42.50,50.00,4.36,46.25,44.23
Project management specialist,Marketing specialist,47.3,61.7,96.15,7.75,-7.35,67.50,62.50,7.55,65.00,60.09
Project management specialist,Marketing manager,47.3,62.4,95.99,9.38,-8.51,40.00,75.00,8.95,57.50,52.36
Information security analyst,Operations research analyst,19.3,55.0,95.42,2.08,-1.88,20.00,77.50,1.98,48.75,47.79
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,6.83,-0.92,97.50,7.50,3.88,52.50,50.46
Management analyst,Marketing manager,46.6,62.4,94.88,4.02,-4.92,97.50,22.50,4.47,60.00,57.32
Sales manager,Public relations manager,33.1,66.4,94.60,13.51,-6.92,42.50,52.50,10.22,47.50,42.65
Management analyst,Marketing specialist,46.6,61.7,94.50,2.01,-3.90,100.00,7.50,2.96,53.75,52.16
Sales manager,Human resources manager,33.1,76.5,94.40,11.87,-7.72,12.50,92.50,9.79,52.50,47.36
Sales manager,Marketing specialist,33.1,61.7,94.34,7.90,-3.87,60.00,55.00,5.89,57.50,54.11
Training and development manager,Marketing manager,48.0,62.4,94.32,6.00,-2.25,7.50,65.00,4.13,36.25,34.75
Training and development manager,Administrative services manager,48.0,74.0,94.24,8.72,-4.25,0.00,95.00,6.49,47.50,44.42
Project management specialist,Administrative services manager,47.3,74.0,94.20,11.96,-6.70,25.00,100.00,9.33,62.50,56.67
Purchasing manager,Financial manager,47.7,56.2,94.07,2.01,2.41,0.00,100.00,-0.20,50.00,49.90
Management analyst,Financial manager,46.6,56.2,94.00,-1.37,6.69,45.00,57.50,-4.03,51.25,49.18
Sales manager,Financial manager,33.1,56.2,93.76,-0.48,7.09,17.50,97.50,-3.78,57.50,55.33
Training and development manager,Human resources manager,48.0,76.5,93.69,7.94,-4.95,0.00,100.00,6.45,50.00,46.78
Project management specialist,Public relations manager,47.3,66.4,93.13,12.31,-9.32,65.00,80.00,10.82,72.50,64.66
Management analyst,Operations research analyst,46.6,55.0,92.92,1.10,1.85,100.00,12.50,-0.37,56.25,56.04
Management analyst,Public relations manager,46.6,66.4,92.91,6.44,-8.03,87.50,22.50,7.24,55.00,51.02
Purchasing manager,Human resources manager,47.7,76.5,92.77,10.80,-10.11,0.00,92.50,10.46,46.25,41.41
Training and development manager,Public relations manager,48.0,66.4,92.59,10.18,-4.89,40.00,57.50,7.54,48.75,45.08
Purchasing manager,Marketing manager,47.7,62.4,92.52,12.10,-6.27,10.00,85.00,9.18,47.50,43.14
Project management specialist,Human resources manager,47.3,76.5,92.47,11.56,-8.31,37.50,92.50,9.94,65.00,58.54
Purchasing manager,Public relations manager,47.7,66.4,92.38,17.68,-12.15,20.00,67.50,14.91,43.75,37.23
Management analyst,Human resources manager,46.6,76.5,92.37,6.41,-7.93,80.00,70.00,7.17,75.00,69.62
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,12.29,-14.05,72.50,62.50,13.17,67.50,58.61
Financial and investment analyst,Financial manager,43.9,56.2,92.25,3.56,-0.71,75.00,37.50,2.13,56.25,55.05
Project management specialist,Human resources worker,47.3,76.5,92.21,12.41,-10.65,45.00,80.00,11.53,62.50,55.29
Facilities manager,Human resources manager,23.4,76.5,92.06,15.21,-9.67,17.50,97.50,12.44,57.50,50.35
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,9.38,-9.51,77.50,82.50,9.45,80.00,72.44
Training and development manager,Marketing specialist,48.0,61.7,91.94,3.12,-1.08,37.50,55.00,2.10,46.25,45.28
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,14.19,-16.96,70.00,92.50,15.58,81.25,68.59
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,11.93,-14.89,70.00,92.50,13.41,81.25,70.35
Management analyst,Human resources worker,46.6,76.5,91.64,5.95,-10.70,90.00,40.00,8.33,65.00,59.59
Training and development manager,Human resources worker,48.0,76.5,91.58,10.10,-7.75,5.00,90.00,8.92,47.50,43.26
Project management specialist,Operations research analyst,47.3,55.0,91.31,4.01,-0.26,5.00,92.50,2.13,48.75,47.71
Project management specialist,Financial manager,47.3,56.2,91.15,2.26,4.53,7.50,97.50,-1.13,52.50,51.90
Sales manager,Human resources worker,33.1,76.5,91.09,12.74,-10.21,30.00,85.00,11.48,57.50,50.90
Facilities manager,Marketing manager,23.4,62.4,90.92,16.46,-8.25,32.50,97.50,12.36,65.00,56.97
Facilities manager,Administrative services manager,23.4,74.0,90.81,17.15,-10.75,20.00,100.00,13.95,60.00,51.63
Sales manager,Administrative services manager,33.1,74.0,90.73,11.53,-8.47,12.50,92.50,10.00,52.50,47.25
Management analyst,Administrative services manager,46.6,74.0,90.68,7.72,-6.77,85.00,52.50,7.24,68.75,63.77
Purchasing manager,Human resources worker,47.7,76.5,90.36,14.75,-12.90,2.50,82.50,13.83,42.50,36.62
Management analyst,Training and development specialist,46.6,56.7,90.32,1.50,-1.61,100.00,12.50,1.56,56.25,55.37
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,11.54,-15.79,77.50,65.00,13.67,71.25,61.51
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,8.44,-5.17,100.00,15.00,6.81,57.50,53.59
Facilities manager,Public relations manager,23.4,66.4,90.26,16.95,-10.57,47.50,97.50,13.76,72.50,62.53
Sales manager,Training and development specialist,33.1,56.7,90.18,6.76,-1.61,47.50,50.00,4.18,48.75,46.71
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,13.28,-17.88,87.50,27.50,15.58,57.50,48.54
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,7.84,-0.64,65.00,100.00,4.24,82.50,79.00
Purchasing manager,Marketing specialist,47.7,61.7,90.08,11.68,-7.29,30.00,72.50,9.49,51.25,46.39
Training and development manager,Financial manager,48.0,56.2,90.06,-2.15,9.64,2.50,85.00,-5.90,43.75,41.17
Sales manager,Advertising sales agent,33.1,52.7,89.99,4.12,-2.19,75.00,53.85,3.16,64.42,62.39
Management analyst,Accountant,46.6,57.0,89.84,2.98,2.16,85.00,75.00,0.41,80.00,79.67
Industrial production manager,Human resources manager,19.1,76.5,89.80,9.42,-5.68,12.50,100.00,7.55,56.25,52.00
Facilities manager,Social and community service manager,23.4,71.7,89.67,13.56,-9.23,62.50,47.50,11.40,55.00,48.73
Purchasing manager,Administrative services manager,47.7,74.0,89.51,9.81,-9.07,0.00,97.50,9.44,48.75,44.15
Industrial production manager,Financial manager,19.1,56.2,89.51,1.89,0.96,20.00,100.00,0.46,60.00,59.72
Operation manager,Financial manager,37.1,56.2,89.31,-0.17,6.67,32.50,100.00,-3.42,66.25,63.99
Industrial production manager,Human resources worker,19.1,76.5,89.29,14.01,-7.37,15.00,100.00,10.69,57.50,51.35
Sales manager,Insurance sales agent,33.1,54.9,89.13,-0.29,3.08,47.50,63.64,-1.68,55.57,54.63
Architectural and engineering manager,Marketing specialist,12.8,61.7,89.09,10.83,-15.62,75.00,60.00,13.23,67.50,58.57
Postsecondary teacher,Secondary school teacher,46.6,56.9,89.04,7.67,-0.83,95.00,23.33,4.25,59.17,56.65
Facilities manager,Human resources worker,23.4,76.5,88.96,16.54,-11.37,20.00,97.50,13.96,58.75,50.55
Software developer,Marketing specialist,20.2,61.7,88.94,13.14,-16.33,95.00,77.50,14.73,86.25,73.54
Industrial production manager,Marketing manager,19.1,62.4,88.93,12.26,-4.86,27.50,100.00,8.56,63.75,58.29
Facilities manager,Training and development specialist,23.4,56.7,88.90,9.71,-8.00,25.00,92.50,8.85,58.75,53.55
Software developer,Operations research analyst,20.2,55.0,88.88,12.10,-7.15,72.50,95.00,9.63,83.75,75.69
Web and digital interface designer,Marketing specialist,42.7,61.7,88.62,4.78,-9.58,95.00,50.00,7.18,72.50,67.29
Information security analyst,Administrative services manager,19.3,74.0,88.53,8.55,-8.91,55.00,95.00,8.73,75.00,68.46
Industrial production manager,Operations research analyst,19.1,55.0,88.39,5.71,-0.69,15.00,100.00,3.20,57.50,55.66
Facilities manager,Financial manager,23.4,56.2,88.37,8.36,0.51,32.50,100.00,3.92,66.25,63.65
Financial and investment analyst,Marketing manager,43.9,62.4,88.36,10.51,-9.75,95.00,10.00,10.13,52.50,47.18
Industrial production manager,Public relations manager,19.1,66.4,88.35,15.09,-6.89,37.50,100.00,10.99,68.75,61.19
Project management specialist,Public relations specialist,47.3,76.2,88.35,13.00,-7.63,62.50,90.00,10.31,76.25,68.39
Industrial production manager,Administrative services manager,19.1,74.0,88.30,7.26,-7.28,5.00,100.00,7.27,52.50,48.68
Facilities manager,Marketing specialist,23.4,61.7,88.28,15.26,-9.57,37.50,92.50,12.42,65.00,56.93
Financial and investment analyst,Marketing specialist,43.9,61.7,88.28,8.46,-7.46,100.00,10.00,7.96,55.00,50.62
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,88.18,5.66,-3.48,21.43,92.59,4.57,57.01,54.40
Operation manager,Marketing manager,37.1,62.4,88.12,6.98,-1.46,52.50,97.50,4.22,75.00,71.84
Industrial production manager,Training and development specialist,19.1,56.7,88.10,6.75,-3.85,12.50,100.00,5.30,56.25,53.27
Purchasing manager,Accountant,47.7,57.0,88.07,6.29,-1.41,0.00,100.00,3.85,50.00,48.07
Financial and investment analyst,Insurance underwriter,43.9,56.9,88.04,5.48,-4.12,100.00,0.00,4.80,50.00,47.60
Financial and investment analyst,Public relations manager,43.9,66.4,87.91,12.40,-13.31,95.00,15.00,12.86,55.00,47.93
Chemical engineer,Medical scientist,21.6,51.8,87.70,2.69,0.10,7.50,100.00,1.30,53.75,53.05
Operation manager,Human resources manager,37.1,76.5,87.61,8.51,-4.06,2.50,100.00,6.28,51.25,48.03
Architectural and engineering manager,Human resources worker,12.8,76.5,87.58,12.39,-18.39,77.50,85.00,15.39,81.25,68.75
Operation manager,Public relations manager,37.1,66.4,87.47,12.09,-5.26,40.00,87.50,8.67,63.75,58.22
Training and development manager,Social and community service manager,48.0,71.7,87.29,5.33,1.78,100.00,0.00,1.77,50.00,49.11
Financial and investment analyst,Accountant,43.9,57.0,87.27,8.68,-5.13,85.00,42.50,6.91,63.75,59.35
Financial and investment analyst,Human resources manager,43.9,76.5,87.23,13.37,-15.76,87.50,42.50,14.56,65.00,55.53
Training and development manager,Insurance claims and policy processing clerk,48.0,80.1,87.11,12.77,-6.25,47.50,28.95,9.51,38.22,34.59
Purchasing manager,Training and development specialist,47.7,56.7,86.71,8.51,-5.10,17.50,77.50,6.81,47.50,44.27
Web developer,Graphic designer,19.4,54.7,86.62,3.37,-3.58,82.50,94.59,3.47,88.55,85.47
Purchasing manager,Social and community service manager,47.7,71.7,86.53,11.81,-3.58,42.50,27.50,7.69,35.00,32.31
Chemical engineer,Biological scientist,21.6,55.0,86.36,4.34,-0.26,25.00,83.78,2.30,54.39,53.14
Dentist,Dental hygienist,39.5,95.7,86.25,27.78,-35.32,36.84,100.00,31.55,68.42,46.84
Software quality tester,Operations research analyst,44.1,55.0,86.23,-1.99,2.86,2.50,95.00,-2.43,48.75,47.57
Web and digital interface designer,Graphic designer,42.7,54.7,86.19,1.86,0.19,75.00,54.05,0.84,64.53,63.99
Information security analyst,Training and development specialist,19.3,56.7,85.97,1.11,-5.87,87.50,80.00,3.49,83.75,80.83
Software developer,Graphic designer,20.2,54.7,85.82,6.78,-4.53,85.00,86.49,5.66,85.74,80.89
Architectural and engineering manager,Social and community service manager,12.8,71.7,85.81,7.11,-7.05,97.50,32.50,7.08,65.00,60.40
Web and digital interface designer,Operations research analyst,42.7,55.0,85.73,2.25,-2.34,87.50,95.00,2.29,91.25,89.16
First-line supervisor of non-retail sales workers,Supervisor of personal care and service workers,35.9,65.8,85.68,-0.44,4.68,100.00,45.45,-2.56,72.73,70.87
Lawyer,Paralegal,39.5,83.0,85.66,11.51,-8.86,82.50,12.50,10.19,47.50,42.66
